Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik & Praktek Dokter,Alamanda Clinic Driyorejo | Klinik Kecantikan Gresik,4.7,234,Fitri Purwaningsih,5,2026-08-18T04:37:42.916Z,Alhamdulillah produk bagus saya yang berkulit sensitif  pakai produk alamanda aman dan flek berkurang,alhamdulillah produk bagus saya yang berkulit sensitif pakai produk alamanda aman dan flek berkurang,alhamdulillah produk bagus saya yang berkulit sensitif pakai produk alamanda aman dan flek berkurang,alhamdulillah produk bagus berkulit sensitif pakai produk alamanda aman flek berkurang,Keamanan,Positif,0.9832
Kesehatan,Klinik & Praktek Dokter,Alamanda Clinic Driyorejo | Klinik Kecantikan Gresik,4.7,234,Eli 11,5,2026-08-17T06:32:07.439Z,"Pelayanan bagus,hasilnya bagus,saya cocok treatment d sini,jerawat hilang",pelayanan bagus hasilnya bagus saya cocok treatment d sini jerawat hilang,pelayanan bagus hasilnya bagus saya cocok treatment d sini jerawat hilang,pelayanan bagus hasilnya bagus cocok treatment sini jerawat hilang,Pelayanan,Positif,0.9963
Kesehatan,Klinik & Praktek Dokter,Alamanda Clinic Driyorejo | Klinik Kecantikan Gresik,4.7,234,Muhammad Mirza,5,2026-08-17T06:20:49.473Z,"Tempatnya bersih pelayanannya memuaskan,",tempatnya bersih pelayanannya memuaskan,tempatnya bersih pelayanannya memuaskan,tempatnya bersih pelayanannya memuaskan,Pelayanan,Positif,0.9975
Kesehatan,Klinik & Praktek Dokter,Alamanda Clinic Driyorejo | Klinik Kecantikan Gresik,4.7,234,Barok Mubarok,5,2026-08-14T10:05:33.876Z,Sangat baik dan bagus,sangat baik dan bagus,sangat baik dan bagus,baik bagus,Lainnya,Positif,0.9864
Kesehatan,Klinik & Praktek Dokter,Alamanda Clinic Driyorejo | Klinik Kecantikan Gresik,4.7,234,Aisyaa Rahmaa,5,2026-08-13T07:46:40.130Z,baguss,baguss,baguss,baguss,Lainnya,Positif,0.9955
Kesehatan,Klinik & Praktek Dokter,Alamanda Clinic Driyorejo | Klinik Kecantikan Gresik,4.7,234,ni sa,5,2026-08-13T07:42:02.867Z,"Bagus, pegawainya menjelaskannya enak",bagus pegawainya menjelaskannya enak,bagus pegawainya menjelaskannya enak,bagus pegawainya menjelaskannya enak,Pelayanan,Positif,0.9968
Kesehatan,Klinik & Praktek Dokter,Alamanda Clinic Driyorejo | Klinik Kecantikan Gresik,4.7,234,Klowor Roboth,5,2026-08-13T03:46:54.916Z,Pelayanan baik....alamanda sudah terpercaya,pelayanan baik alamanda sudah terpercaya,pelayanan baik alamanda sudah terpercaya,pelayanan baik alamanda terpercaya,Pelayanan,Positif,0.9944
Kesehatan,Klinik & Praktek Dokter,Alamanda Clinic Driyorejo | Klinik Kecantikan Gresik,4.7,234,Nadine Puteri,5,2026-08-12T07:41:10.504Z,"pelayanan ramah, bisa konsultasi dengan dokter terlebih dahulu, dan terapis nya kompeten😊👍🏻",pelayanan ramah bisa konsultasi dengan dokter terlebih dahulu dan terapis nya kompeten,pelayanan ramah bisa konsultasi dengan dokter terlebih dahulu dan terapis nya kompeten,pelayanan ramah konsultasi dokter terlebih dahulu terapis kompeten,Pelayanan,Positif,0.8742
Kesehatan,Klinik & Praktek Dokter,Alamanda Clinic Driyorejo | Klinik Kecantikan Gresik,4.7,234,Pudji Isnawati,5,2026-08-09T10:11:14.258Z,"Baik, inspiratif dan puassss",baik inspiratif dan puassss,baik inspiratif dan puassss,baik inspiratif puassss,Lainnya,Positif,0.9952
Kesehatan,Klinik & Praktek Dokter,Alamanda Clinic Driyorejo | Klinik Kecantikan Gresik,4.7,234,angga nova,5,2026-08-09T04:32:28.380Z,Pelayanan bagusss bgt🤙 abis nganter istrii juga seneng facial disini,pelayanan bagusss bgt abis nganter istrii juga seneng facial disini,pelayanan bagusss banget abis nganter istrii juga seneng facial disini,pelayanan bagusss banget abis nganter istrii seneng facial disini,Pelayanan,Positif,0.9975
Kesehatan,Klinik & Praktek Dokter,Alamanda Clinic Driyorejo | Klinik Kecantikan Gresik,4.7,234,Nurul Khofifah Rahmawati,5,2026-08-09T04:27:18.734Z,"Pelayanan baguss, sukaa bangett abis facial langsung berasa bersihh🥰🥰",pelayanan baguss sukaa bangett abis facial langsung berasa bersihh,pelayanan baguss sukaa bangett abis facial langsung berasa bersihh,pelayanan baguss sukaa bangett abis facial langsung berasa bersihh,Pelayanan,Positif,0.9974
Kesehatan,Klinik & Praktek Dokter,Alamanda Clinic Driyorejo | Klinik Kecantikan Gresik,4.7,234,Agista N,5,2026-08-09T04:27:10.944Z,Buagus pokoknya,buagus pokoknya,buagus pokoknya,buagus pokoknya,Lainnya,Positif,0.9962
Kesehatan,Klinik & Praktek Dokter,Alamanda Clinic Driyorejo | Klinik Kecantikan Gresik,4.7,234,Dyah Sumekar N.A,5,2026-08-09T03:56:52.082Z,"Pegawainya sangat baik dan ramah, clinicnya juga sangat bersih dan nyaman, pokoknya the beast lah 🫶👍🏻",pegawainya sangat baik dan ramah clinicnya juga sangat bersih dan nyaman pokoknya the beast lah,pegawainya sangat baik dan ramah clinicnya juga sangat bersih dan nyaman pokoknya the beast lah,pegawainya baik ramah clinicnya bersih nyaman pokoknya the beast,Pelayanan,Positif,0.9973
Kesehatan,Klinik & Praktek Dokter,Alamanda Clinic Driyorejo | Klinik Kecantikan Gresik,4.7,234,Dika Ayu,5,2026-08-09T03:53:42.732Z,Mau diklink atau di event pelayanannya sangat baik dan ramah². Tempatnya rekomendasi banget pokoknya👍👍👍,mau diklink atau di event pelayanannya sangat baik dan ramah tempatnya rekomendasi banget pokoknya,mau diklink atau di event pelayanannya sangat baik dan ramah tempatnya rekomendasi banget pokoknya,mau diklink event pelayanannya baik ramah tempatnya rekomendasi banget pokoknya,Pelayanan,Positif,0.9978
Kesehatan,Klinik & Praktek Dokter,Alamanda Clinic Driyorejo | Klinik Kecantikan Gresik,4.7,234,Ramadina Putri Varinka,5,2026-08-09T03:48:17.000Z,"Baguss bgttt mukaku jd glowinggggg, rutin kesini. semoga istiqomah🥰👐🏻",baguss bgttt mukaku jd glowinggggg rutin kesini semoga istiqomah,baguss bgttt mukaku jd glowinggggg rutin kesini semoga istiqomah,baguss bgttt mukaku jd glowinggggg rutin kesini semoga istiqomah,Lainnya,Positif,0.9949
Kesehatan,Klinik & Praktek Dokter,Alamanda Clinic Driyorejo | Klinik Kecantikan Gresik,4.7,234,Glen game,5,2026-08-09T03:35:29.213Z,"Bagusss banget , yang jaga booth tadi ramah❤️❤️",bagusss banget yang jaga booth tadi ramah,bagusss banget yang jaga booth tadi ramah,bagusss banget jaga booth tadi ramah,Pelayanan,Positif,0.9969
