Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik & Praktek Dokter,Alfiaderma Aesthetic Clinic (KALEENA HEALTH AND BEAUTY),5,354,Windy Mila,5,2026-07-31T07:57:02.924Z,Sangat puas untuk pelayanan treatmentnya,sangat puas untuk pelayanan treatmentnya,sangat puas untuk pelayanan treatmentnya,puas pelayanan treatmentnya,Pelayanan,Positif,0.9962
Kesehatan,Klinik & Praktek Dokter,Alfiaderma Aesthetic Clinic (KALEENA HEALTH AND BEAUTY),5,354,Yesica dyah29,5,2025-11-13T03:10:50.314Z,Kliniknya sangat bagus rekomended,kliniknya sangat bagus rekomended,kliniknya sangat bagus rekomended,kliniknya bagus rekomended,Administrasi,Positif,0.9971
Kesehatan,Klinik & Praktek Dokter,Alfiaderma Aesthetic Clinic (KALEENA HEALTH AND BEAUTY),5,354,Ikka Faissdavian,5,2025-10-14T11:29:51.626Z,"masyaallah pelayanannya bgus bnget sopan , ramah ga rugi se disini , tadi sama pr.Dwi ..",masyaallah pelayanannya bgus bnget sopan ramah ga rugi se disini tadi sama pr dwi,masyaallah pelayanannya bgus bnget sopan ramah tidak rugi se disini tadi sama pr dwi,masyaallah pelayanannya bgus bnget sopan ramah rugi se disini tadi sama pr dwi,Pelayanan,Positif,0.7134
Kesehatan,Klinik & Praktek Dokter,Alfiaderma Aesthetic Clinic (KALEENA HEALTH AND BEAUTY),5,354,Checlly Chabby,5,2025-10-10T10:59:57.080Z,Ramah sekali pelayanan nya ngak kapok deh pengen balik terus 🤗,ramah sekali pelayanan nya ngak kapok deh pengen balik terus,ramah sekali pelayanan nya ngak kapok deh pengen balik terus,ramah pelayanan ngak kapok pengen balik terus,Pelayanan,Positif,0.9796
Kesehatan,Klinik & Praktek Dokter,Alfiaderma Aesthetic Clinic (KALEENA HEALTH AND BEAUTY),5,354,Shela Dwi Amelia,5,2025-10-08T05:54:36.760Z,"Sudah datang langsung, tempat wangi, admin ramah sekali",sudah datang langsung tempat wangi admin ramah sekali,sudah datang langsung tempat wangi admin ramah sekali,datang langsung tempat wangi admin ramah,Pelayanan,Positif,0.9941
Kesehatan,Klinik & Praktek Dokter,Alfiaderma Aesthetic Clinic (KALEENA HEALTH AND BEAUTY),5,354,21_Silvi Maf'ul Sa'diyah,5,2025-10-08T01:38:21.985Z,"klinik nya nyaman, lokasinya juga terjangkau🤩 jangan ragukan lagi soal pelayanan the besttt😍🥰🥰",klinik nya nyaman lokasinya juga terjangkau jangan ragukan lagi soal pelayanan the besttt,klinik nya nyaman lokasinya juga terjangkau jangan ragukan lagi soal pelayanan the besttt,klinik nyaman lokasinya terjangkau jangan ragukan soal pelayanan the besttt,Pelayanan,Positif,0.9973
Kesehatan,Klinik & Praktek Dokter,Alfiaderma Aesthetic Clinic (KALEENA HEALTH AND BEAUTY),5,354,Ayuni Felia Hapsari,5,2025-10-07T11:31:46.337Z,"Pelayanannya baik, fasilitas nya nyaman",pelayanannya baik fasilitas nya nyaman,pelayanannya baik fasilitas nya nyaman,pelayanannya baik fasilitas nyaman,Pelayanan,Positif,0.9967
Kesehatan,Klinik & Praktek Dokter,Alfiaderma Aesthetic Clinic (KALEENA HEALTH AND BEAUTY),5,354,Khovivah Anggi,5,2025-07-18T04:05:55.854Z,"Pelayanannya ramah, tempat bersih, dan harga terjangkau✨",pelayanannya ramah tempat bersih dan harga terjangkau,pelayanannya ramah tempat bersih dan harga terjangkau,pelayanannya ramah tempat bersih harga terjangkau,Pelayanan,Positif,0.9976
Kesehatan,Klinik & Praktek Dokter,Alfiaderma Aesthetic Clinic (KALEENA HEALTH AND BEAUTY),5,354,Andikacandra Andikacandra,5,2025-04-05T16:00:37.499Z,dokter apa boleh umur 16 melakukan peralatan wajah 🙏,dokter apa boleh umur melakukan peralatan wajah,dokter apa boleh umur melakukan peralatan wajah,dokter apa boleh umur melakukan peralatan wajah,Kesehatan,Netral,0.882
Kesehatan,Klinik & Praktek Dokter,Alfiaderma Aesthetic Clinic (KALEENA HEALTH AND BEAUTY),5,354,Rayi Kholidah,5,2024-12-30T09:09:58.633Z,"Tempat bersih, nyaman, pelayanan bagus, dan setiap bulan banyak promonya",tempat bersih nyaman pelayanan bagus dan setiap bulan banyak promonya,tempat bersih nyaman pelayanan bagus dan setiap bulan banyak promonya,tempat bersih nyaman pelayanan bagus setiap bulan banyak promonya,Pelayanan,Positif,0.9971
Kesehatan,Klinik & Praktek Dokter,Alfiaderma Aesthetic Clinic (KALEENA HEALTH AND BEAUTY),5,354,Citra Lestari,5,2024-12-30T06:23:58.829Z,"Tempatnya nyaman, dokternya baik ramah, jerawat dan bekasnya cepat hilang🥰🥰🥰",tempatnya nyaman dokternya baik ramah jerawat dan bekasnya cepat hilang,tempatnya nyaman dokternya baik ramah jerawat dan bekasnya cepat hilang,tempatnya nyaman dokternya baik ramah jerawat bekasnya cepat hilang,Pelayanan,Positif,0.9965
Kesehatan,Klinik & Praktek Dokter,Alfiaderma Aesthetic Clinic (KALEENA HEALTH AND BEAUTY),5,354,arina 789,5,2024-12-30T03:42:16.750Z,"tempatnya nyaman, pelayanan nya juga bagus, dokter dan terapis nya ramah², good banget👍🏻",tempatnya nyaman pelayanan nya juga bagus dokter dan terapis nya ramah good banget,tempatnya nyaman pelayanan nya juga bagus dokter dan terapis nya ramah good banget,tempatnya nyaman pelayanan bagus dokter terapis ramah good banget,Pelayanan,Positif,0.9976
