Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Lainnya,Alun-Alun Gresik,4.5,15622,Pengembara 99,5,2026-07-20T04:52:33.180Z,"Tempat nya sejuk adem . Luas juga bnyak anak"" main",tempat nya sejuk adem luas juga bnyak anak main,tempat nya sejuk adem luas juga bnyak anak main,tempat sejuk adem luas bnyak anak main,Lainnya,Negatif,0.9968
Lainnya,Alun-Alun Gresik,4.5,15622,Pocan Bahar,5,2026-07-19T04:26:55.848Z,Tempah santai yang recom,tempah santai yang recom,tempah santai yang recom,tempah santai recom,Lainnya,Negatif,0.8957
Lainnya,Alun-Alun Gresik,4.5,15622,Arahman gantada,4,2026-07-18T07:44:32.332Z,"Enak buat tempat nyatain, banyak yg dagang makanan",enak buat tempat nyatain banyak yg dagang makanan,enak buat tempat nyatain banyak yang dagang makanan,enak buat tempat nyatain banyak dagang makanan,Lainnya,Negatif,0.9974
Lainnya,Alun-Alun Gresik,4.5,15622,wisnemen wesnemen,5,2026-07-18T01:16:52.641Z,Mantul,mantul,bagus,bagus,Lainnya,Negatif,0.9961
Lainnya,Alun-Alun Gresik,4.5,15622,Ria Agustina,5,2026-07-17T18:33:22.360Z,"Alun-alun dua lantai dengan arsitektur modern yang tetap religius. Tempatnya luas dan sangat hidup, terutama di sore dan malam hari. ​Kelebihan: Banyak spot foto estetik (terutama di lantai 2), lokasinya dekat dengan wisata religi Sunan Malik Ibrahim, dan dikelilingi surga kuliner khas Gresik (Nasi Krawu, Pudak, dll) dengan harga murah. ​Kekurangan: Kalau malam minggu sangat ramai dan parkir mobil agak sulit. Siang hari juga cenderung panas karena minim pohon rindang. ​Tips: Datang jam 4 sore ke atas untuk dapat suasana terbaik (golden hour) buat foto-foto. ​Rating: ⭐ 4.5/5",alun alun dua lantai dengan arsitektur modern yang tetap religius tempatnya luas dan sangat hidup terutama di sore dan malam hari kelebihan banyak spot foto estetik terutama di lantai lokasinya dekat dengan wisata religi sunan malik ibrahim dan dikelilingi surga kuliner khas gresik nasi krawu pudak dll dengan harga murah kekurangan kalau malam minggu sangat ramai dan parkir mobil agak sulit siang hari juga cenderung panas karena minim pohon rindang tips datang jam sore ke atas untuk dapat suasana terbaik golden hour buat foto foto rating,alun alun dua lantai dengan arsitektur modern yang tetap religius tempatnya luas dan sangat hidup terutama di sore dan malam hari kelebihan banyak spot foto estetik terutama di lantai lokasinya dekat dengan wisata religi sunan malik ibrahim dan dikelilingi surga kuliner khas gresik nasi krawu pudak dll dengan harga murah kekurangan kalau malam minggu sangat ramai dan parkir mobil agak sulit siang hari juga cenderung panas karena minim pohon rindang tips datang jam sore ke atas untuk dapat suasana terbaik golden hour buat foto foto rating,alun alun dua lantai arsitektur modern tetap religius tempatnya luas hidup terutama sore malam hari kelebihan banyak spot foto estetik terutama lantai lokasinya dekat wisata religi sunan malik ibrahim dikelilingi surga kuliner khas gresik nasi krawu pudak dll harga murah kekurangan malam minggu ramai parkir mobil agak sulit siang hari cenderung panas minim pohon rindang tips datang jam sore atas suasana terbaik golden hour buat foto foto rating,Fasilitas,Negatif,0.9969
Lainnya,Alun-Alun Gresik,4.5,15622,Nurul Fitria,5,2026-07-15T01:17:31.884Z,Nyaman banget tempat nya,nyaman banget tempat nya,nyaman banget tempat nya,nyaman banget tempat,Fasilitas,Negatif,0.9976
Lainnya,Alun-Alun Gresik,4.5,15622,bambang hermanto,5,2026-07-07T03:35:37.872Z,Sejuk dan adem dihati,sejuk dan adem dihati,sejuk dan adem dihati,sejuk adem dihati,Lainnya,Negatif,0.9968
Lainnya,Alun-Alun Gresik,4.5,15622,Jos Sutikno,5,2026-07-06T23:28:22.383Z,Nice place for a walk and snacks,nice place for a walk and snacks,nice place for a walk and snacks,nice place for walk and snacks,Fasilitas,Negatif,0.9879
Lainnya,Alun-Alun Gresik,4.5,15622,Hendri Dwi Yulianto,4,2026-07-06T13:27:56.645Z,Perlu penataan ulang... Supaya pejalan kaki lebih nyaman berada di alun-alun.,perlu penataan ulang supaya pejalan kaki lebih nyaman berada di alun alun,perlu penataan ulang supaya pejalan kaki lebih nyaman berada di alun alun,perlu penataan ulang supaya pejalan kaki nyaman berada alun alun,Fasilitas,Negatif,0.5898
Lainnya,Alun-Alun Gresik,4.5,15622,Rahma Nurul,5,2026-07-06T11:46:29.645Z,Bisa buat jalan jalan dan olahraga lumayan,bisa buat jalan jalan dan olahraga lumayan,bisa buat jalan jalan dan olahraga lumayan,buat jalan jalan olahraga lumayan,Infrastruktur,Negatif,0.9692
Lainnya,Alun-Alun Gresik,4.5,15622,Abdullah Azam,5,2026-07-04T14:01:29.697Z,"Dr anak ku umur 0 THN,skrg umur 7 th Masih suka main di sini",dr anak ku umur thn skrg umur th masih suka main di sini,dari anak ku umur thn sekarang umur th masih suka main di sini,anak ku umur thn sekarang umur th suka main sini,Lainnya,Negatif,0.9323
