Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Apotek & Farmasi,Apotek Assa Farma Driyorejo,4.1,110,Astrie Rooslin Tamara,1,2025-10-17T05:20:47.398Z,Setiap bbrp beli kesini obat selalu ga ada/ kurang. Klopun ada kadang bilang nya nunggu 5 menit diambil di gudang aku kira gudangnya di dlm apotek e tiba² kluar karyawannya naek motor balik lagi ternyata ga 5 menit tp 10 menit lebih dan ternyata kosong.. Katanya ada digudang tiwas nunggu balek² lebih dari 10 menit ternyata kosong kecewa bgt terlanjur nunggu ga dpt obatnya. Sdh terakhir kjadian itu ga beli lgi kecewa💔,setiap bbrp beli kesini obat selalu ga ada kurang klopun ada kadang bilang nya nunggu menit diambil di gudang aku kira gudangnya di dlm apotek e tiba kluar karyawannya naek motor balik lagi ternyata ga menit tp menit lebih dan ternyata kosong katanya ada digudang tiwas nunggu balek lebih dari menit ternyata kosong kecewa bgt terlanjur nunggu ga dpt obatnya sdh terakhir kjadian itu ga beli lgi kecewa,setiap bbrp beli kesini obat selalu tidak ada kurang klopun ada kadang bilang nya nunggu menit diambil di gudang aku kira gudangnya di dalam apotek e tiba kluar karyawannya naek motor balik lagi ternyata tidak menit tapi menit lebih dan ternyata kosong katanya ada digudang tiwas nunggu balek lebih dari menit ternyata kosong kecewa banget terlanjur nunggu tidak dpt obatnya sudah terakhir kjadian itu tidak beli lgi kecewa,setiap bbrp beli kesini obat selalu kurang klopun kadang bilang nunggu menit diambil gudang aku kira gudangnya apotek tiba kluar karyawannya naek motor balik ternyata menit menit ternyata kosong katanya digudang tiwas nunggu balek menit ternyata kosong kecewa banget terlanjur nunggu dpt obatnya terakhir kjadian beli lgi kecewa,Kesehatan,Negatif,0.9967
Kesehatan,Apotek & Farmasi,Apotek Assa Farma Driyorejo,4.1,110,nur khoiriyah,1,2025-10-16T09:13:30.952Z,Sangat mengecewakan perjanjian di bisa ditukar tapi waktu tukar malah di tidak bisa. Tidak balik lagi,sangat mengecewakan perjanjian di bisa ditukar tapi waktu tukar malah di tidak bisa tidak balik lagi,sangat mengecewakan perjanjian di bisa ditukar tapi waktu tukar malah di tidak bisa tidak balik lagi,mengecewakan perjanjian ditukar waktu tukar malah balik,Lainnya,Negatif,0.9977
Kesehatan,Apotek & Farmasi,Apotek Assa Farma Driyorejo,4.1,110,Putri Anjani,2,2025-04-03T04:21:25.007Z,"Pelayanan kurang ramah,barang selalu tdk lengkap",pelayanan kurang ramah barang selalu tdk lengkap,pelayanan kurang ramah barang selalu tidak lengkap,pelayanan kurang ramah barang selalu lengkap,Pelayanan,Negatif,0.9955
Kesehatan,Apotek & Farmasi,Apotek Assa Farma Driyorejo,4.1,110,Budi Harjo,5,2025-03-02T02:03:55.991Z,Pelayanan bagus dan memuaskan sangat ramah👍,pelayanan bagus dan memuaskan sangat ramah,pelayanan bagus dan memuaskan sangat ramah,pelayanan bagus memuaskan ramah,Pelayanan,Positif,0.9964
Kesehatan,Apotek & Farmasi,Apotek Assa Farma Driyorejo,4.1,110,Unggul Bumi Persada,5,2025-02-28T10:12:23.578Z,Obatnya komplit ramah ramah dan murah,obatnya komplit ramah ramah dan murah,obatnya komplit ramah ramah dan murah,obatnya komplit ramah ramah murah,Pelayanan,Positif,0.9956
Kesehatan,Apotek & Farmasi,Apotek Assa Farma Driyorejo,4.1,110,Zahriyah SSos,5,2025-02-23T03:13:22.064Z,Alhamdulillah sejak ada Asa Farma kita bs cek kesehatan dg tarif Ekonomis yg sangat membantu kmi terutama warga ekonomi  menengah k bawah  .. seperti sy 🙏🙏🥰,alhamdulillah sejak ada asa farma kita bs cek kesehatan dg tarif ekonomis yg sangat membantu kmi terutama warga ekonomi menengah k bawah seperti sy,alhamdulillah sejak ada asa farma kita bs cek kesehatan dengan tarif ekonomis yang sangat membantu kmi terutama warga ekonomi menengah k bawah seperti saya,alhamdulillah sejak asa farma bs cek kesehatan tarif ekonomis membantu kmi terutama warga ekonomi menengah bawah seperti,Lainnya,Positif,0.935
Kesehatan,Apotek & Farmasi,Apotek Assa Farma Driyorejo,4.1,110,Desi Tias,5,2025-02-19T22:17:45.954Z,Pelayanan ramah,pelayanan ramah,pelayanan ramah,pelayanan ramah,Pelayanan,Positif,0.996
Kesehatan,Apotek & Farmasi,Apotek Assa Farma Driyorejo,4.1,110,ADAM GAM_ING,5,2025-02-18T12:25:46.585Z,Apotik langganan keluarga kami. Harga lebih murah. Pelayanan nya oke. Karyawan nya ramah.,apotik langganan keluarga kami harga lebih murah pelayanan nya oke karyawan nya ramah,apotik langganan keluarga kami harga lebih murah pelayanan nya oke karyawan nya ramah,apotik langganan keluarga harga murah pelayanan oke karyawan ramah,Pelayanan,Positif,0.9924
Kesehatan,Apotek & Farmasi,Apotek Assa Farma Driyorejo,4.1,110,Dewwie_dewwie,5,2025-02-16T15:18:05.611Z,Apotiknya lengkap & pelayanannya ramah puas bgt beli d sini...,apotiknya lengkap pelayanannya ramah puas bgt beli d sini,apotiknya lengkap pelayanannya ramah puas banget beli d sini,apotiknya lengkap pelayanannya ramah puas banget beli sini,Pelayanan,Positif,0.9976
Kesehatan,Apotek & Farmasi,Apotek Assa Farma Driyorejo,4.1,110,Fitri Ardianti,5,2025-02-16T05:16:51.893Z,melayani terbaik pelayanan cepat dan ramah,melayani terbaik pelayanan cepat dan ramah,melayani terbaik pelayanan cepat dan ramah,melayani terbaik pelayanan cepat ramah,Pelayanan,Positif,0.9926
Kesehatan,Apotek & Farmasi,Apotek Assa Farma Driyorejo,4.1,110,ElmegaCitra Utama,5,2025-02-16T02:24:49.934Z,"Pelayanan sangat memuaskan,mbak nya ramah dan baik2👍👍sukses aptek assa👍",pelayanan sangat memuaskan mbak nya ramah dan baik2sukses aptek assa,pelayanan sangat memuaskan mbak nya ramah dan baik2sukses aptek assa,pelayanan memuaskan mbak ramah baik2sukses aptek assa,Pelayanan,Positif,0.963
Kesehatan,Apotek & Farmasi,Apotek Assa Farma Driyorejo,4.1,110,Yudhie Setiawan,5,2025-02-16T02:23:02.459Z,"Apotek sangant bersih,rapi pelayanan terbaik dan mbaknya ramah2 sukses sellau apotek assa👍",apotek sangant bersih rapi pelayanan terbaik dan mbaknya ramah2 sukses sellau apotek assa,apotek sangant bersih rapi pelayanan terbaik dan mbaknya ramah2 sukses sellau apotek assa,apotek sangant bersih rapi pelayanan terbaik mbaknya ramah2 sukses sellau apotek assa,Pelayanan,Positif,0.9958
Kesehatan,Apotek & Farmasi,Apotek Assa Farma Driyorejo,4.1,110,Sunanti Nanti,5,2025-02-16T00:30:38.404Z,Apotik assalamualaikum Farma sangat bagus sekali,apotik assalamualaikum farma sangat bagus sekali,apotik assalamualaikum farma sangat bagus sekali,apotik assalamualaikum farma bagus,Lainnya,Positif,0.842
Kesehatan,Apotek & Farmasi,Apotek Assa Farma Driyorejo,4.1,110,Gopek Art,5,2025-02-15T14:31:18.901Z,"Pelayanannya ramah, apotek rapih, wangi, mbak mbaknya baik baik",pelayanannya ramah apotek rapih wangi mbak mbaknya baik baik,pelayanannya ramah apotek rapih wangi mbak mbaknya baik baik,pelayanannya ramah apotek rapih wangi mbak mbaknya baik baik,Pelayanan,Positif,0.9955
Kesehatan,Apotek & Farmasi,Apotek Assa Farma Driyorejo,4.1,110,Steven Joe,5,2025-02-15T13:34:40.350Z,Baik ramah dan pelayanan cepat,baik ramah dan pelayanan cepat,baik ramah dan pelayanan cepat,baik ramah pelayanan cepat,Pelayanan,Positif,0.9918
Kesehatan,Apotek & Farmasi,Apotek Assa Farma Driyorejo,4.1,110,yuni luhukay,5,2025-02-15T13:29:49.086Z,"Pelayanannya ramah, harganya murah, menerima resep, apoteknya bersih, wangi, mbak""nya baik""👍👍",pelayanannya ramah harganya murah menerima resep apoteknya bersih wangi mbak nya baik,pelayanannya ramah harganya murah menerima resep apoteknya bersih wangi mbak nya baik,pelayanannya ramah harganya murah menerima resep apoteknya bersih wangi mbak baik,Pelayanan,Positif,0.997
Kesehatan,Apotek & Farmasi,Apotek Assa Farma Driyorejo,4.1,110,Sukadi Sukadi,5,2025-02-15T11:12:13.671Z,"Pelayanan super ramah, obatnya murah2 dan ori,, terimakasih apotek assa",pelayanan super ramah obatnya murah2 dan ori terimakasih apotek assa,pelayanan super ramah obatnya murah2 dan ori terimakasih apotek assa,pelayanan super ramah obatnya murah2 ori terimakasih apotek assa,Pelayanan,Positif,0.9956
