Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Apotek & Farmasi,Apotek Dukun Farma,3.9,19,Ghaisan Danu,1,2026-08-03T14:33:43.623Z,Disini obatnya mahal2 harganya bisa 5x lipat,disini obatnya mahal2 harganya bisa 5x lipat,disini obatnya mahal2 harganya bisa 5x lipat,disini obatnya mahal2 harganya 5x lipat,Kesehatan,Negatif,0.9978
Kesehatan,Apotek & Farmasi,Apotek Dukun Farma,3.9,19,Dani Lafathoni,1,2026-07-19T14:18:40.205Z,barusan beli obat ini tanggal 19 juli 2026 jam 8nan malam di hargai 16ribu padahal tertulis harga het 8ribuan... sempet kaget padahal sudah biasa beli  obat ini,barusan beli obat ini tanggal juli jam 8nan malam di hargai 16ribu padahal tertulis harga het 8ribuan sempet kaget padahal sudah biasa beli obat ini,barusan beli obat ini tanggal juli jam 8nan malam di hargai 16ribu padahal tertulis harga het 8ribuan sempet kaget padahal sudah biasa beli obat ini,barusan beli obat tanggal juli jam 8nan malam hargai 16ribu padahal tertulis harga het 8ribuan sempet kaget padahal biasa beli obat,Kesehatan,Netral,0.6531
Kesehatan,Apotek & Farmasi,Apotek Dukun Farma,3.9,19,efendy nur salim,1,2026-02-06T16:48:15.942Z,Semoga bermanfaat bagi kesehatan masyarakat secara umum.Amin,semoga bermanfaat bagi kesehatan masyarakat secara umum amin,semoga bermanfaat bagi kesehatan masyarakat secara umum amin,semoga bermanfaat bagi kesehatan masyarakat secara umum amin,Lainnya,Negatif,0.9507
Kesehatan,Apotek & Farmasi,Apotek Dukun Farma,3.9,19,Ananda Ayu,1,2026-01-07T10:03:52.873Z,"Harga di rs sama disini lebih mahal disini, harga bisa 4x lipattt.. alasan lebih mahal katanya obat khusus pake resepp apalahh kek gituu padahal di rs saja harganya murahh, tau gitu ga beli disini lah",harga di rs sama disini lebih mahal disini harga bisa 4x lipattt alasan lebih mahal katanya obat khusus pake resepp apalahh kek gituu padahal di rs saja harganya murahh tau gitu ga beli disini lah,harga di rumah sakit sama disini lebih mahal disini harga bisa 4x lipattt alasan lebih mahal katanya obat khusus pake resepp apalahh kek gituu padahal di rumah sakit saja harganya murahh tau gitu tidak beli disini lah,harga rumah sakit sama disini mahal disini harga 4x lipattt alasan mahal katanya obat khusus pake resepp apalahh kek gituu padahal rumah sakit saja harganya murahh tau gitu beli disini,Kesehatan,Negatif,0.9899
Kesehatan,Apotek & Farmasi,Apotek Dukun Farma,3.9,19,Efendy Salim,5,2025-10-24T07:34:21.020Z,Terimakasih atas layanan yang terbaik dalam pembelian obat,terimakasih atas layanan yang terbaik dalam pembelian obat,terimakasih atas layanan yang terbaik dalam pembelian obat,terimakasih atas layanan terbaik pembelian obat,Pelayanan,Positif,0.7889
Kesehatan,Apotek & Farmasi,Apotek Dukun Farma,3.9,19,syarifuddin agung,5,2025-10-03T04:00:59.290Z,apotek paling lengkap di daerah sini. top lah,apotek paling lengkap di daerah sini top lah,apotek paling lengkap di daerah sini top lah,apotek paling lengkap daerah sini top,Lainnya,Positif,0.9757
Kesehatan,Apotek & Farmasi,Apotek Dukun Farma,3.9,19,Faiz Abdillah,5,2025-10-02T07:10:50.035Z,"harga terjangkau, pelayanan baik",harga terjangkau pelayanan baik,harga terjangkau pelayanan baik,harga terjangkau pelayanan baik,Pelayanan,Positif,0.9961
Kesehatan,Apotek & Farmasi,Apotek Dukun Farma,3.9,19,Hafidz Fakhroni,5,2025-10-02T05:43:00.748Z,"toko obat terlengkap dan termurah, sangat rekomended 👍",toko obat terlengkap dan termurah sangat rekomended,toko obat terlengkap dan termurah sangat rekomended,toko obat terlengkap termurah rekomended,Kesehatan,Positif,0.9943
Kesehatan,Apotek & Farmasi,Apotek Dukun Farma,3.9,19,akun inpinikgt,5,2025-10-02T04:07:39.006Z,hrga terjangkau dn lokasi strategis dekat ponpes maskumambang,hrga terjangkau dn lokasi strategis dekat ponpes maskumambang,hrga terjangkau dn lokasi strategis dekat ponpes maskumambang,hrga terjangkau dn lokasi strategis dekat ponpes maskumambang,Lainnya,Positif,0.9885
Kesehatan,Apotek & Farmasi,Apotek Dukun Farma,3.9,19,HM Sampoerna,5,2025-10-02T04:06:25.192Z,karyawan ramah murah senyum... ada juga pelayanan buat cek kesehatan👍,karyawan ramah murah senyum ada juga pelayanan buat cek kesehatan,karyawan ramah murah senyum ada juga pelayanan buat cek kesehatan,karyawan ramah murah senyum pelayanan buat cek kesehatan,Pelayanan,Positif,0.9925
Kesehatan,Apotek & Farmasi,Apotek Dukun Farma,3.9,19,nanda andika,5,2025-10-02T04:04:27.917Z,"beli obat disini harganya terjangkau, pelayanan ok ramah.,,",beli obat disini harganya terjangkau pelayanan ok ramah,beli obat disini harganya terjangkau pelayanan oke ramah,beli obat disini harganya terjangkau pelayanan oke ramah,Pelayanan,Positif,0.9965
Kesehatan,Apotek & Farmasi,Apotek Dukun Farma,3.9,19,Aflahatil maula,1,2025-07-10T07:58:59.287Z,"Saya beli obat vit  d 1000 iu yg biasanya seharga 5000/stripe, diapotek ini dihargai 30.000/stripe. Saat balik lagi untuk meminta dicek.kan betul harganya di daftar harga, petugas tidak berkenan. Selain itu, tdk diberikan struk pembelian. Apotek yg sangat ga recomend.",saya beli obat vit d iu yg biasanya seharga stripe diapotek ini dihargai stripe saat balik lagi untuk meminta dicek kan betul harganya di daftar harga petugas tidak berkenan selain itu tdk diberikan struk pembelian apotek yg sangat ga recomend,saya beli obat vit d iu yang biasanya seharga stripe diapotek ini dihargai stripe saat balik lagi untuk meminta dicek kan betul harganya di daftar harga petugas tidak berkenan selain itu tidak diberikan struk pembelian apotek yang sangat tidak recomend,beli obat vit iu biasanya seharga stripe diapotek dihargai stripe balik meminta dicek kan betul harganya daftar harga petugas berkenan selain diberikan struk pembelian apotek recomend,Pelayanan,Netral,0.9658
