Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Apotek & Farmasi,Apotek K-24 Balongpanggang,4.9,410,Tri Dari,5,2026-05-03T14:24:15.756Z,Pegawai nya rama,pegawai nya rama,pegawai nya rama,pegawai rama,Pelayanan,Positif,0.5342
Kesehatan,Apotek & Farmasi,Apotek K-24 Balongpanggang,4.9,410,Slamet Farid IKR Gresik1,5,2026-05-03T02:57:14.226Z,pelayanan baik,pelayanan baik,pelayanan baik,pelayanan baik,Pelayanan,Positif,0.9952
Kesehatan,Apotek & Farmasi,Apotek K-24 Balongpanggang,4.9,410,Nadia Rahma,5,2026-05-03T02:13:53.111Z,"Suka banget sama tempat dan pelayanannya,obatnya juga banyak. Buka setiap saat jadi bisa beli kapanpun",suka banget sama tempat dan pelayanannya obatnya juga banyak buka setiap saat jadi bisa beli kapanpun,suka banget sama tempat dan pelayanannya obatnya juga banyak buka setiap saat jadi bisa beli kapanpun,suka banget sama tempat pelayanannya obatnya banyak buka setiap jadi beli kapanpun,Pelayanan,Positif,0.9978
Kesehatan,Apotek & Farmasi,Apotek K-24 Balongpanggang,4.9,410,Endang Larasati,5,2026-05-03T02:12:08.535Z,Pelayanan baikkk bagus,pelayanan baikkk bagus,pelayanan baikkk bagus,pelayanan baikkk bagus,Pelayanan,Positif,0.9964
Kesehatan,Apotek & Farmasi,Apotek K-24 Balongpanggang,4.9,410,Nizar Z Alhilal,5,2026-05-03T01:11:36.155Z,"Pelayanan baik, obat cukup lengkap",pelayanan baik obat cukup lengkap,pelayanan baik obat cukup lengkap,pelayanan baik obat cukup lengkap,Pelayanan,Positif,0.9878
Kesehatan,Apotek & Farmasi,Apotek K-24 Balongpanggang,4.9,410,Rini Puji Rahayu,5,2026-05-02T23:10:41.579Z,Pelayanannya baik dan ramah,pelayanannya baik dan ramah,pelayanannya baik dan ramah,pelayanannya baik ramah,Pelayanan,Positif,0.9959
Kesehatan,Apotek & Farmasi,Apotek K-24 Balongpanggang,4.9,410,Azzahro Febriani,5,2026-05-02T14:47:51.253Z,"Apotek paling lengkap diantara yg lain, suka banget dengan pelayanan mas & mba penjaga apotek nya ramah poll",apotek paling lengkap diantara yg lain suka banget dengan pelayanan mas mba penjaga apotek nya ramah poll,apotek paling lengkap diantara yang lain suka banget dengan pelayanan mas mba penjaga apotek nya ramah poll,apotek paling lengkap diantara lain suka banget pelayanan mas mba penjaga apotek ramah poll,Pelayanan,Positif,0.9971
Kesehatan,Apotek & Farmasi,Apotek K-24 Balongpanggang,4.9,410,Tasyaa Apriliya,5,2026-05-02T14:42:51.266Z,"pelayanannya oke, obat-obatan nya lengkap, tempat nya nyaman dan luas puas deh kalo cari apapun di sini pasti ada",pelayanannya oke obat obatan nya lengkap tempat nya nyaman dan luas puas deh kalo cari apapun di sini pasti ada,pelayanannya oke obat obatan nya lengkap tempat nya nyaman dan luas puas deh kalo cari apapun di sini pasti ada,pelayanannya oke obat obatan lengkap tempat nyaman luas puas kalo cari apapun sini pasti,Pelayanan,Positif,0.9974
Kesehatan,Apotek & Farmasi,Apotek K-24 Balongpanggang,4.9,410,fatimatus islamia,5,2026-05-02T11:18:36.215Z,Pertama kali ke apotik K24 daerah sini .. Alhamdulillah pelayanannya ramah dan di beri edukasi yg mudah di mengerti 🥰🥰,pertama kali ke apotik k24 daerah sini alhamdulillah pelayanannya ramah dan di beri edukasi yg mudah di mengerti,pertama kali ke apotik k24 daerah sini alhamdulillah pelayanannya ramah dan di beri edukasi yang mudah di mengerti,pertama kali apotik k24 daerah sini alhamdulillah pelayanannya ramah beri edukasi mudah mengerti,Pelayanan,Positif,0.9749
Kesehatan,Apotek & Farmasi,Apotek K-24 Balongpanggang,4.9,410,ainun masroyah,5,2026-05-02T10:32:12.543Z,"Pelayanan ramaH dan CePaT, Obatnya Juga LengkaP😇",pelayanan ramah dan cepat obatnya juga lengkap,pelayanan ramah dan cepat obatnya juga lengkap,pelayanan ramah cepat obatnya lengkap,Pelayanan,Positif,0.9936
Kesehatan,Apotek & Farmasi,Apotek K-24 Balongpanggang,4.9,410,Odellio Creativity (Mojokerto inspiratif),4,2026-05-02T09:35:01.249Z,Sangat memuaskan sekali pelayanannya...makasih,sangat memuaskan sekali pelayanannya makasih,sangat memuaskan sekali pelayanannya makasih,memuaskan pelayanannya makasih,Pelayanan,Positif,0.9954
Kesehatan,Apotek & Farmasi,Apotek K-24 Balongpanggang,4.9,410,Fawwaz Akbar hamizan,5,2026-05-02T09:13:42.595Z,"Masuk Apotek K-24 cuma mau beli obat, pulangnya bawa senyum 😆 Pelayanannya ramah banget, dijelasin sampai paham. Ini apotek apa tempat healing sih? Recommended!”",masuk apotek k cuma mau beli obat pulangnya bawa senyum pelayanannya ramah banget dijelasin sampai paham ini apotek apa tempat healing sih recommended,masuk apotek k cuma mau beli obat pulangnya bawa senyum pelayanannya ramah banget dijelasin sampai paham ini apotek apa tempat healing sih recommended,masuk apotek cuma mau beli obat pulangnya bawa senyum pelayanannya ramah banget dijelasin sampai paham apotek apa tempat healing recommended,Pelayanan,Positif,0.9958
Kesehatan,Apotek & Farmasi,Apotek K-24 Balongpanggang,4.9,410,Nisaur Rosyida,5,2026-05-02T08:34:47.849Z,Sngat oke,sngat oke,sngat oke,sngat oke,Lainnya,Positif,0.99
Kesehatan,Apotek & Farmasi,Apotek K-24 Balongpanggang,4.9,410,Deny Hamdan,5,2026-05-02T05:44:05.448Z,"Pelayanananya rama, dan baik",pelayanananya rama dan baik,pelayanananya rama dan baik,pelayanananya rama baik,Pelayanan,Positif,0.9952
Kesehatan,Apotek & Farmasi,Apotek K-24 Balongpanggang,4.9,410,Nurlaili Octafiyah,5,2026-05-02T05:01:55.023Z,"Kakaknya ramah banget, dijelasin detail soal obatnya dan nggak buru-buru. Recommended!",kakaknya ramah banget dijelasin detail soal obatnya dan nggak buru buru recommended,kakaknya ramah banget dijelasin detail soal obatnya dan tidak buru buru recommended,kakaknya ramah banget dijelasin detail soal obatnya buru buru recommended,Pelayanan,Positif,0.9961
