Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Apotek & Farmasi,Apotek K-24 Bungah Gresik,4.5,126,Tauwa Aa-Miin Bungah Gresik,5,2026-03-12T15:14:46.780Z,Pelayanan baik,pelayanan baik,pelayanan baik,pelayanan baik,Pelayanan,Positif,0.9952
Kesehatan,Apotek & Farmasi,Apotek K-24 Bungah Gresik,4.5,126,Novi Anggraeni,5,2026-02-24T02:24:06.547Z,"pelayanannya baik, ramah. harganya terjangkau 👍🏻",pelayanannya baik ramah harganya terjangkau,pelayanannya baik ramah harganya terjangkau,pelayanannya baik ramah harganya terjangkau,Pelayanan,Positif,0.9973
Kesehatan,Apotek & Farmasi,Apotek K-24 Bungah Gresik,4.5,126,Dela Stagiya,5,2026-02-23T03:13:11.425Z,Apotekkk ter baikkk🙏🫶,apotekkk ter baikkk,apotekkk ter baikkk,apotekkk ter baikkk,Administrasi,Positif,0.9814
Kesehatan,Apotek & Farmasi,Apotek K-24 Bungah Gresik,4.5,126,BAM Bam,1,2026-02-21T14:59:34.730Z,"Pegawai kurang komunikatif, ditanya malah dijawab ketus, tolong perbaiki layanannya!!",pegawai kurang komunikatif ditanya malah dijawab ketus tolong perbaiki layanannya,pegawai kurang komunikatif ditanya malah dijawab ketus tolong perbaiki layanannya,pegawai kurang komunikatif ditanya malah dijawab ketus tolong perbaiki layanannya,Pelayanan,Negatif,0.9742
Kesehatan,Apotek & Farmasi,Apotek K-24 Bungah Gresik,4.5,126,Mhilmizu'aimi Mhilmizu'aimi,5,2026-01-20T17:32:56.413Z,Apotek lengkap hanya di k24 + pelayanannya no 1,apotek lengkap hanya di k24 pelayanannya no,apotek lengkap hanya di k24 pelayanannya no,apotek lengkap hanya k24 pelayanannya no,Pelayanan,Netral,0.9829
Kesehatan,Apotek & Farmasi,Apotek K-24 Bungah Gresik,4.5,126,Afnanda Rokhana,5,2026-01-20T14:49:39.752Z,"pelayanan sangat ramah, obat yang tersedia sangat lengkap",pelayanan sangat ramah obat yang tersedia sangat lengkap,pelayanan sangat ramah obat yang tersedia sangat lengkap,pelayanan ramah obat tersedia lengkap,Pelayanan,Positif,0.9848
Kesehatan,Apotek & Farmasi,Apotek K-24 Bungah Gresik,4.5,126,roman dhoni,5,2026-01-20T14:10:43.474Z,"Pelayanannya bagus,ramah dan santun",pelayanannya bagus ramah dan santun,pelayanannya bagus ramah dan santun,pelayanannya bagus ramah santun,Pelayanan,Positif,0.9971
Kesehatan,Apotek & Farmasi,Apotek K-24 Bungah Gresik,4.5,126,Apotek KF Skin,5,2026-01-20T13:53:59.077Z,Sip,sip,sip,sip,Lainnya,Positif,0.9767
Kesehatan,Apotek & Farmasi,Apotek K-24 Bungah Gresik,4.5,126,Arfa Aluza,5,2026-01-20T13:52:16.076Z,"Flu sebulan gak sembuh sembuh, di kasih mbaknya obat dari sini baru minum 2 kali sudah enakan Kok ya gak kemarin kemarinnn aku beli disini",flu sebulan gak sembuh sembuh di kasih mbaknya obat dari sini baru minum kali sudah enakan kok ya gak kemarin kemarinnn aku beli disini,flu sebulan tidak sembuh sembuh di kasih mbaknya obat dari sini baru minum kali sudah enakan kok ya tidak kemarin kemarinnn aku beli disini,flu sebulan sembuh sembuh kasih mbaknya obat sini minum kali enakan kok ya kemarin kemarinnn aku beli disini,Kesehatan,Positif,0.7583
Kesehatan,Apotek & Farmasi,Apotek K-24 Bungah Gresik,4.5,126,Swiftly Id,5,2026-01-20T13:44:58.671Z,Baru tau ternyata susu bayi yg susah di cari ada puji tuhan. Semoga tihan memberkati,baru tau ternyata susu bayi yg susah di cari ada puji tuhan semoga tihan memberkati,baru tau ternyata susu bayi yang susah di cari ada puji tuhan semoga tihan memberkati,tau ternyata susu bayi susah cari puji tuhan semoga tihan memberkati,Lainnya,Positif,0.7086
Kesehatan,Apotek & Farmasi,Apotek K-24 Bungah Gresik,4.5,126,M F 4 ji,5,2026-01-20T13:41:10.238Z,Pelayanan lumayan ramah dan selalu tersedia obat.,pelayanan lumayan ramah dan selalu tersedia obat,pelayanan lumayan ramah dan selalu tersedia obat,pelayanan lumayan ramah selalu tersedia obat,Pelayanan,Positif,0.9946
Kesehatan,Apotek & Farmasi,Apotek K-24 Bungah Gresik,4.5,126,kaya Narji,5,2026-01-20T13:39:44.516Z,Tanggap  dlm membalas wa dn ksh edukasi seht selalu,tanggap dlm membalas wa dn ksh edukasi seht selalu,tanggap dalam membalas wa dn ksh edukasi seht selalu,tanggap membalas wa dn ksh edukasi seht selalu,Infrastruktur,Netral,0.6095
