Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Apotek & Farmasi,Apotek K-24 Dr Sutomo Gresik,4.3,67,Sigit Danuarto,5,2026-07-28T05:30:12.108Z,"Obat lengkat, menjual alat medis/kesehatan jg. Buka 24 jam, membantu pasien cari obat. Sahabat sehat kita semua.",obat lengkat menjual alat medis kesehatan jg buka jam membantu pasien cari obat sahabat sehat kita semua,obat lengkat menjual alat medis kesehatan juga buka jam membantu pasien cari obat sahabat sehat kita semua,obat lengkat menjual alat medis kesehatan buka jam membantu pasien cari obat sahabat sehat semua,Kesehatan,Netral,0.8047
Kesehatan,Apotek & Farmasi,Apotek K-24 Dr Sutomo Gresik,4.3,67,_maulida,5,2026-07-10T13:38:18.763Z,"Pesan via wa langsung di Respon cepat, obatnya lengkap dan pelayanan oke bgt, solusi cepat saat butuh obat bisa pesan via wa",pesan via wa langsung di respon cepat obatnya lengkap dan pelayanan oke bgt solusi cepat saat butuh obat bisa pesan via wa,pesan via wa langsung di respon cepat obatnya lengkap dan pelayanan oke banget solusi cepat saat butuh obat bisa pesan via wa,pesan via wa langsung respon cepat obatnya lengkap pelayanan oke banget solusi cepat butuh obat pesan via wa,Pelayanan,Positif,0.9654
Kesehatan,Apotek & Farmasi,Apotek K-24 Dr Sutomo Gresik,4.3,67,erlyn,5,2026-05-28T18:36:32.290Z,"pelayanan baik, ramah, dan jika ada obat yang kosong, karyawannya selalu berinisiatif untuk membantu cek stok di cabang lain, sangat memudahkan pasien",pelayanan baik ramah dan jika ada obat yang kosong karyawannya selalu berinisiatif untuk membantu cek stok di cabang lain sangat memudahkan pasien,pelayanan baik ramah dan jika ada obat yang kosong karyawannya selalu berinisiatif untuk membantu cek stok di cabang lain sangat memudahkan pasien,pelayanan baik ramah obat kosong karyawannya selalu berinisiatif membantu cek stok cabang lain memudahkan pasien,Pelayanan,Positif,0.9774
Kesehatan,Apotek & Farmasi,Apotek K-24 Dr Sutomo Gresik,4.3,67,Jessica Alifia Ramadhanty,1,2026-03-27T03:46:17.421Z,Karyawan yang jaga mlm ketus bgt 🙏🏻😭,karyawan yang jaga mlm ketus bgt,karyawan yang jaga mlm ketus banget,karyawan jaga mlm ketus banget,Lainnya,Negatif,0.9978
Kesehatan,Apotek & Farmasi,Apotek K-24 Dr Sutomo Gresik,4.3,67,Ali Martono,1,2026-01-30T08:19:46.707Z,Gila nih karyawan yg jaga sore pakai jilbab ketus banget. Emang sama pimpinannya nggk bisa di ajarin senyum ke pelanggan ya.,gila nih karyawan yg jaga sore pakai jilbab ketus banget emang sama pimpinannya nggk bisa di ajarin senyum ke pelanggan ya,gila nih karyawan yang jaga sore pakai jilbab ketus banget emang sama pimpinannya nggk bisa di ajarin senyum ke pelanggan ya,gila nih karyawan jaga sore pakai jilbab ketus banget emang sama pimpinannya nggk ajarin senyum pelanggan ya,Lainnya,Negatif,0.9311
Kesehatan,Apotek & Farmasi,Apotek K-24 Dr Sutomo Gresik,4.3,67,Rafi Firmansyah,2,2026-01-27T18:47:47.016Z,Baru kemaren jam 3 menjelang subuh ketemu dengan karyawan apotek yang judes banget. Dari awal saya belum udah sewot. Mungkin lagi ngantuk atau gimana gara gara jaga malam. Tapi kan itu sudah resikomu dan perioritasmu buat MELAYANI. Saya bilang terimakasih malah gak dijawab tapi diplengosin,baru kemaren jam menjelang subuh ketemu dengan karyawan apotek yang judes banget dari awal saya belum udah sewot mungkin lagi ngantuk atau gimana gara gara jaga malam tapi kan itu sudah resikomu dan perioritasmu buat melayani saya bilang terimakasih malah gak dijawab tapi diplengosin,baru kemaren jam menjelang subuh ketemu dengan karyawan apotek yang judes banget dari awal saya belum udah sewot mungkin lagi ngantuk atau gimana gara gara jaga malam tapi kan itu sudah resikomu dan perioritasmu buat melayani saya bilang terimakasih malah tidak dijawab tapi diplengosin,kemaren jam menjelang subuh ketemu karyawan apotek judes banget awal udah sewot mungkin ngantuk gimana gara gara jaga malam kan resikomu perioritasmu buat melayani bilang terimakasih malah dijawab diplengosin,Lainnya,Negatif,0.9978
Kesehatan,Apotek & Farmasi,Apotek K-24 Dr Sutomo Gresik,4.3,67,Dewantara Nur Alamsyah,5,2026-01-18T10:32:53.977Z,"Apotek K24 Jl. DR. Sutomo merupakan salah satu apotek yang sangat membantu, terutama karena operasionalnya 24 jam sehingga bisa diandalkan kapan pun dibutuhkan, baik siang maupun malam hari. Lokasinya strategis dan mudah ditemukan, dengan area apotek yang bersih, rapi, serta tertata dengan baik sehingga pengunjung merasa nyaman saat berbelanja.  Dari sisi pelayanan, staf apotek tergolong ramah dan cukup responsif. Petugas melayani dengan sopan, membantu mencarikan obat dengan cepat, serta memberikan penjelasan yang jelas terkait aturan pakai, dosis, dan alternatif obat jika stok yang dicari sedang kosong. Hal ini sangat membantu, terutama bagi pelanggan yang membutuhkan edukasi singkat mengenai obat yang dikonsumsi.  Ketersediaan obat terbilang cukup lengkap, mulai dari obat resep, obat bebas, vitamin, hingga kebutuhan kesehatan sehari-hari. Proses pelayanan juga relatif cepat dan tertib, sehingga tidak memakan waktu lama meskipun sedang ada beberapa pelanggan.  Secara keseluruhan, Apotek K24 Jl. DR. Sutomo adalah apotek yang praktis, terpercaya, dan layak menjadi pilihan utama untuk memenuhi kebutuhan obat dan kesehatan, khususnya dalam kondisi darurat atau di luar jam kerja apotek pada umumnya.",apotek k24 jl dr sutomo merupakan salah satu apotek yang sangat membantu terutama karena operasionalnya jam sehingga bisa diandalkan kapan pun dibutuhkan baik siang maupun malam hari lokasinya strategis dan mudah ditemukan dengan area apotek yang bersih rapi serta tertata dengan baik sehingga pengunjung merasa nyaman saat berbelanja dari sisi pelayanan staf apotek tergolong ramah dan cukup responsif petugas melayani dengan sopan membantu mencarikan obat dengan cepat serta memberikan penjelasan yang jelas terkait aturan pakai dosis dan alternatif obat jika stok yang dicari sedang kosong hal ini sangat membantu terutama bagi pelanggan yang membutuhkan edukasi singkat mengenai obat yang dikonsumsi ketersediaan obat terbilang cukup lengkap mulai dari obat resep obat bebas vitamin hingga kebutuhan kesehatan sehari hari proses pelayanan juga relatif cepat dan tertib sehingga tidak memakan waktu lama meskipun sedang ada beberapa pelanggan secara keseluruhan apotek k24 jl dr sutomo adalah apotek yang praktis terpercaya dan layak menjadi pilihan utama untuk memenuhi kebutuhan obat dan kesehatan khususnya dalam kondisi darurat atau di luar jam kerja apotek pada umumnya,apotek k24 jl dari sutomo merupakan salah satu apotek yang sangat membantu terutama karena operasionalnya jam sehingga bisa diandalkan kapan pun dibutuhkan baik siang maupun malam hari lokasinya strategis dan mudah ditemukan dengan area apotek yang bersih rapi serta tertata dengan baik sehingga pengunjung merasa nyaman saat berbelanja dari sisi pelayanan staf apotek tergolong ramah dan cukup responsif petugas melayani dengan sopan membantu mencarikan obat dengan cepat serta memberikan penjelasan yang jelas terkait aturan pakai dosis dan alternatif obat jika stok yang dicari sedang kosong hal ini sangat membantu terutama bagi pelanggan yang membutuhkan edukasi singkat mengenai obat yang dikonsumsi ketersediaan obat terbilang cukup lengkap mulai dari obat resep obat bebas vitamin hingga kebutuhan kesehatan sehari hari proses pelayanan juga relatif cepat dan tertib sehingga tidak memakan waktu lama meskipun sedang ada beberapa pelanggan secara keseluruhan apotek k24 jl dari sutomo adalah apotek yang praktis terpercaya dan layak menjadi pilihan utama untuk memenuhi kebutuhan obat dan kesehatan khususnya dalam kondisi darurat atau di luar jam kerja apotek pada umumnya,apotek k24 jl sutomo merupakan salah satu apotek membantu terutama operasionalnya jam sehingga diandalkan kapan dibutuhkan baik siang maupun malam hari lokasinya strategis mudah ditemukan area apotek bersih rapi serta tertata baik sehingga pengunjung merasa nyaman berbelanja sisi pelayanan staf apotek tergolong ramah cukup responsif petugas melayani sopan membantu mencarikan obat cepat serta memberikan penjelasan jelas terkait aturan pakai dosis alternatif obat stok dicari sedang kosong hal membantu terutama bagi pelanggan membutuhkan edukasi singkat mengenai obat dikonsumsi ketersediaan obat terbilang cukup lengkap mulai obat resep obat bebas vitamin hingga kebutuhan kesehatan sehari hari proses pelayanan relatif cepat tertib sehingga memakan waktu lama meskipun sedang beberapa pelanggan secara keseluruhan apotek k24 jl sutomo apotek praktis terpercaya layak menjadi pilihan utama memenuhi kebutuhan obat kesehatan khususnya kondisi darurat luar jam kerja apotek umumnya,Pelayanan,Positif,0.9801
Kesehatan,Apotek & Farmasi,Apotek K-24 Dr Sutomo Gresik,4.3,67,Rizki Ananda,2,2025-12-17T14:15:12.217Z,Rating dua karena sudah kecewa dua kali ke apotek ini tiap darurat malam hari tapi pelayanannya kurang. Ga tau kenapa pelayanan dari staff malam hari selalu keburu buru dan ga kasih info spesifik soal obatnya. Dan kenapa ya kak tiap pembayaran qris hrus minimalnya berubah rubah? Awal pertama pake qris minimal 10 ribu sekarang minimal 20 ribu? Saya ga tau kenapa ada minimal pembelian itu selalu berubah-rubah sehingga niat bayar pakai qris supaya uang terpakai secukupnya dan ga perlu ribet kembalian malah harus ditambah dengan beli barang yang lain supaya kena minimal transaksi.,rating dua karena sudah kecewa dua kali ke apotek ini tiap darurat malam hari tapi pelayanannya kurang ga tau kenapa pelayanan dari staff malam hari selalu keburu buru dan ga kasih info spesifik soal obatnya dan kenapa ya kak tiap pembayaran qris hrus minimalnya berubah rubah awal pertama pake qris minimal ribu sekarang minimal ribu saya ga tau kenapa ada minimal pembelian itu selalu berubah rubah sehingga niat bayar pakai qris supaya uang terpakai secukupnya dan ga perlu ribet kembalian malah harus ditambah dengan beli barang yang lain supaya kena minimal transaksi,rating dua karena sudah kecewa dua kali ke apotek ini tiap darurat malam hari tapi pelayanannya kurang tidak tau kenapa pelayanan dari staff malam hari selalu keburu buru dan tidak kasih info spesifik soal obatnya dan kenapa ya kak tiap pembayaran qris hrus minimalnya berubah rubah awal pertama pake qris minimal ribu sekarang minimal ribu saya tidak tau kenapa ada minimal pembelian itu selalu berubah rubah sehingga niat bayar pakai qris supaya uang terpakai secukupnya dan tidak perlu ribet kembalian malah harus ditambah dengan beli barang yang lain supaya kena minimal transaksi,rating dua kecewa dua kali apotek tiap darurat malam hari pelayanannya kurang tau kenapa pelayanan staff malam hari selalu keburu buru kasih info spesifik soal obatnya kenapa ya kak tiap pembayaran qris hrus minimalnya berubah rubah awal pertama pake qris minimal ribu sekarang minimal ribu tau kenapa minimal pembelian selalu berubah rubah sehingga niat bayar pakai qris supaya uang terpakai secukupnya perlu ribet kembalian malah harus ditambah beli barang lain supaya kena minimal transaksi,Pelayanan,Negatif,0.9467
Kesehatan,Apotek & Farmasi,Apotek K-24 Dr Sutomo Gresik,4.3,67,Nurul fadilah asky,5,2025-10-28T10:11:23.208Z,"Obatnya lengkap, pelayananya juga ramah, bisa delivery obat juga, recomended pokoknya",obatnya lengkap pelayananya juga ramah bisa delivery obat juga recomended pokoknya,obatnya lengkap pelayananya juga ramah bisa delivery obat juga recomended pokoknya,obatnya lengkap pelayananya ramah delivery obat recomended pokoknya,Pelayanan,Positif,0.9977
Kesehatan,Apotek & Farmasi,Apotek K-24 Dr Sutomo Gresik,4.3,67,POIN AGUS PANGESTU,5,2025-10-15T15:39:39.224Z,Pelayanan baik sesuai standar,pelayanan baik sesuai standar,pelayanan baik sesuai standar,pelayanan baik sesuai standar,Pelayanan,Positif,0.9891
