Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Apotek & Farmasi,Apotek K-24 Driyorejo Gresik,4,90,Come2indo,4,2026-07-24T06:46:56.079Z,Staff are friendly & gives you many options,staff are friendly gives you many options,staff are friendly gives you many options,staff are friendly gives you many options,Lainnya,Netral,0.9646
Kesehatan,Apotek & Farmasi,Apotek K-24 Driyorejo Gresik,4,90,Didik Kristianto,1,2026-07-02T16:04:52.500Z,Pelayanan yang lambat dan mengecewakan,pelayanan yang lambat dan mengecewakan,pelayanan yang lambat dan mengecewakan,pelayanan lambat mengecewakan,Pelayanan,Negatif,0.9974
Kesehatan,Apotek & Farmasi,Apotek K-24 Driyorejo Gresik,4,90,Didik Kristianto,1,2026-07-02T14:58:47.402Z,"Beli lwt wa lama banget pelayanan nya sampai pernah 1 jam baru di info obatnya,seklipun beli lwt wa harusnya juga ngikuti antrian",beli lwt wa lama banget pelayanan nya sampai pernah jam baru di info obatnya seklipun beli lwt wa harusnya juga ngikuti antrian,beli lwt wa lama banget pelayanan nya sampai pernah jam baru di info obatnya seklipun beli lwt wa harusnya juga ngikuti antrian,beli lwt wa lama banget pelayanan sampai pernah jam info obatnya seklipun beli lwt wa harusnya ngikuti antrian,Pelayanan,Negatif,0.9971
Kesehatan,Apotek & Farmasi,Apotek K-24 Driyorejo Gresik,4,90,Vanny Stevanny,5,2026-05-13T11:29:38.648Z,"Kemarin mau beli multivitamin untuk orang tua saya tapi bingung pilih yg mana yg bagus, langsung diarahkan sama pegawainyaa, banyak pilihan multivitaminnya. Pelayanan ramah dan sabar🥰🥰",kemarin mau beli multivitamin untuk orang tua saya tapi bingung pilih yg mana yg bagus langsung diarahkan sama pegawainyaa banyak pilihan multivitaminnya pelayanan ramah dan sabar,kemarin mau beli multivitamin untuk orang tua saya tapi bingung pilih yang mana yang bagus langsung diarahkan sama pegawainyaa banyak pilihan multivitaminnya pelayanan ramah dan sabar,kemarin mau beli multivitamin orang tua bingung pilih mana bagus langsung diarahkan sama pegawainyaa banyak pilihan multivitaminnya pelayanan ramah sabar,Pelayanan,Positif,0.9947
Kesehatan,Apotek & Farmasi,Apotek K-24 Driyorejo Gresik,4,90,Novayuni Puspitasari,5,2026-05-13T09:16:43.800Z,"Stok obat lengkap, pelayanan ramah",stok obat lengkap pelayanan ramah,stok obat lengkap pelayanan ramah,stok obat lengkap pelayanan ramah,Pelayanan,Positif,0.9867
Kesehatan,Apotek & Farmasi,Apotek K-24 Driyorejo Gresik,4,90,Amartya Saskya Rahayu,5,2026-05-13T06:09:44.409Z,"Ramah, baik. Murah senyum. Sukaa sekalii 🙌",ramah baik murah senyum sukaa sekalii,ramah baik murah senyum sukaa sekalii,ramah baik murah senyum sukaa sekalii,Pelayanan,Positif,0.9952
Kesehatan,Apotek & Farmasi,Apotek K-24 Driyorejo Gresik,4,90,bella savera,1,2026-04-22T13:54:57.678Z,"ga di kasih struk, mana waktu blg makasih mbak nya yg jaga diem aja cuek. ga ramah bgt",ga di kasih struk mana waktu blg makasih mbak nya yg jaga diem aja cuek ga ramah bgt,tidak di kasih struk mana waktu blg makasih mbak nya yang jaga diem aja cuek tidak ramah banget,kasih struk mana waktu blg makasih mbak jaga diem aja cuek ramah banget,Pelayanan,Negatif,0.7503
Kesehatan,Apotek & Farmasi,Apotek K-24 Driyorejo Gresik,4,90,dewi lukita,1,2026-01-15T16:00:48.599Z,"Kenapa pelayan tdk menunjuk kan detail obat yg benar2 / betul diminta oleh cstmer saat masih ada di toko, setelah sampai rumah ternyata salah barang. Dikembalikan lagi sdh tdk bisa. Seharusnya obat ditunjuk kan dlu "" apakah betul ini barang yg betul diminta"" baru dibuat kan nota. Kecewa sekali.",kenapa pelayan tdk menunjuk kan detail obat yg benar2 betul diminta oleh cstmer saat masih ada di toko setelah sampai rumah ternyata salah barang dikembalikan lagi sdh tdk bisa seharusnya obat ditunjuk kan dlu apakah betul ini barang yg betul diminta baru dibuat kan nota kecewa sekali,kenapa pelayan tidak menunjuk kan detail obat yang benar2 betul diminta oleh cstmer saat masih ada di toko setelah sampai rumah ternyata salah barang dikembalikan lagi sudah tidak bisa seharusnya obat ditunjuk kan dlu apakah betul ini barang yang betul diminta baru dibuat kan nota kecewa sekali,kenapa pelayan menunjuk kan detail obat benar2 betul diminta cstmer toko sampai rumah ternyata salah barang dikembalikan seharusnya obat ditunjuk kan dlu apakah betul barang betul diminta dibuat kan nota kecewa,Kesehatan,Negatif,0.9949
Kesehatan,Apotek & Farmasi,Apotek K-24 Driyorejo Gresik,4,90,Ridia Ningrum,5,2025-11-28T16:06:02.085Z,Apotek buka 24 jam,apotek buka jam,apotek buka jam,apotek buka jam,Lainnya,Netral,0.9823
Kesehatan,Apotek & Farmasi,Apotek K-24 Driyorejo Gresik,4,90,Austin Orlando,5,2025-10-19T15:34:44.653Z,Udah lama gak beli disini krn tugas luar kota. Td pagi mampir beli obat pelayanannya jauh lebih baik dr sebelumnya. Petugasnya ramah dan informatif ttg penggunaan obat yg saya beli,udah lama gak beli disini krn tugas luar kota td pagi mampir beli obat pelayanannya jauh lebih baik dr sebelumnya petugasnya ramah dan informatif ttg penggunaan obat yg saya beli,udah lama tidak beli disini karena tugas luar kota td pagi mampir beli obat pelayanannya jauh lebih baik dari sebelumnya petugasnya ramah dan informatif tentang penggunaan obat yang saya beli,udah lama beli disini tugas luar kota td pagi mampir beli obat pelayanannya jauh baik sebelumnya petugasnya ramah informatif tentang penggunaan obat beli,Pelayanan,Positif,0.8317
