Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Apotek & Farmasi,Apotek K-24 GKB Gresik,4.5,87,Adelia Andhara,3,2026-08-06T12:13:24.230Z,mungkin bisa tambahkan karyawan lg krn pelayanan lama,mungkin bisa tambahkan karyawan lg krn pelayanan lama,mungkin bisa tambahkan karyawan lg karena pelayanan lama,mungkin tambahkan karyawan lg pelayanan lama,Pelayanan,Positif,0.9943
Kesehatan,Apotek & Farmasi,Apotek K-24 GKB Gresik,4.5,87,Febri Nisa,5,2026-07-08T09:02:56.814Z,"pelayanannya ramah, obat-obatanya juga lengkap",pelayanannya ramah obat obatanya juga lengkap,pelayanannya ramah obat obatanya juga lengkap,pelayanannya ramah obat obatanya lengkap,Pelayanan,Positif,0.9967
Kesehatan,Apotek & Farmasi,Apotek K-24 GKB Gresik,4.5,87,aulia nazihah,5,2026-07-08T09:02:50.341Z,obat-obatnya lengkap,obat obatnya lengkap,obat obatnya lengkap,obat obatnya lengkap,Kesehatan,Positif,0.8152
Kesehatan,Apotek & Farmasi,Apotek K-24 GKB Gresik,4.5,87,Ananda Aulia,5,2026-07-08T09:01:48.755Z,"mantap pelayanan nya, kalo ada yang ga paham tinggal tanya pasti dijawab",mantap pelayanan nya kalo ada yang ga paham tinggal tanya pasti dijawab,bagus pelayanan nya kalo ada yang tidak paham tinggal tanya pasti dijawab,bagus pelayanan kalo paham tinggal tanya pasti dijawab,Pelayanan,Positif,0.9938
Kesehatan,Apotek & Farmasi,Apotek K-24 GKB Gresik,4.5,87,zaul haq,2,2026-07-03T23:13:24.401Z,"3 juli sekitar jam 8 malam. Mau beli mecobalamin / metycobalamin, tanya ke petugas ada berapa macam? Harganya berapa masing masing? Padahal tinggal jawab aja A 14rb B 56rb  Tapi malah nyodorin yg 14rb sambil bilang ""sama aja"" dengan ketusnya. Sambil bilang ""bapak maunya gimana?"" didepan pelanggan pelanggan yg lain. Padahal pertanyaanku di atas sudah jelas dan tidak terjawab. Baru terakhir bilang kalo mau yg paten 56rb.  Akhirnya ambil yg harga 56rb. Niat mau cari obat yg bagus malah kena jawaban ketus.  Kronologi sudah jelas. Tolong diperbaiki pelayanan nya yg tidak ramah. Karena saya lihat banyak review jelek dg keluhan keramahan petugas. Dari dulu dimana aja langganan K24, sayang kalo karena oknum jadi kesan kurang baik.",juli sekitar jam malam mau beli mecobalamin metycobalamin tanya ke petugas ada berapa macam harganya berapa masing masing padahal tinggal jawab aja a 14rb b 56rb tapi malah nyodorin yg 14rb sambil bilang sama aja dengan ketusnya sambil bilang bapak maunya gimana didepan pelanggan pelanggan yg lain padahal pertanyaanku di atas sudah jelas dan tidak terjawab baru terakhir bilang kalo mau yg paten 56rb akhirnya ambil yg harga 56rb niat mau cari obat yg bagus malah kena jawaban ketus kronologi sudah jelas tolong diperbaiki pelayanan nya yg tidak ramah karena saya lihat banyak review jelek dg keluhan keramahan petugas dari dulu dimana aja langganan k24 sayang kalo karena oknum jadi kesan kurang baik,juli sekitar jam malam mau beli mecobalamin metycobalamin tanya ke petugas ada berapa macam harganya berapa masing masing padahal tinggal jawab aja a 14rb b 56rb tapi malah nyodorin yang 14rb sambil bilang sama aja dengan ketusnya sambil bilang bapak maunya gimana didepan pelanggan pelanggan yang lain padahal pertanyaanku di atas sudah jelas dan tidak terjawab baru terakhir bilang kalo mau yang paten 56rb akhirnya ambil yang harga 56rb niat mau cari obat yang bagus malah kena jawaban ketus kronologi sudah jelas tolong diperbaiki pelayanan nya yang tidak ramah karena saya lihat banyak review jelek dengan keluhan keramahan petugas dari dulu dimana aja langganan k24 sayang kalo karena oknum jadi kesan kurang baik,juli sekitar jam malam mau beli mecobalamin metycobalamin tanya petugas berapa macam harganya berapa masing masing padahal tinggal jawab aja 14rb 56rb malah nyodorin 14rb sambil bilang sama aja ketusnya sambil bilang bapak maunya gimana didepan pelanggan pelanggan lain padahal pertanyaanku atas jelas terjawab terakhir bilang kalo mau paten 56rb akhirnya ambil harga 56rb niat mau cari obat bagus malah kena jawaban ketus kronologi jelas tolong diperbaiki pelayanan ramah lihat banyak review jelek keluhan keramahan petugas dulu dimana aja langganan k24 sayang kalo oknum jadi kesan kurang baik,Pelayanan,Negatif,0.9756
Kesehatan,Apotek & Farmasi,Apotek K-24 GKB Gresik,4.5,87,Barizatul Husniyah,2,2026-06-13T17:00:59.386Z,"15 menitnh nungguin, sampek banyak yg antri juga. Tulisannya sih k kamar mandi. Mmg kalau k kamar mandi selama itu kah, yg jaga malam apa cuma 1 orang ya? Sampek balik lg suami saya. Terus ngelayanin jg luuamaa buanget , lambat pdhal beli susu doang. Di mobil smpai nunggu 20-30 mnitan.  Mohon ke depan lbh baik",menitnh nungguin sampek banyak yg antri juga tulisannya sih k kamar mandi mmg kalau k kamar mandi selama itu kah yg jaga malam apa cuma orang ya sampek balik lg suami saya terus ngelayanin jg luuamaa buanget lambat pdhal beli susu doang di mobil smpai nunggu mnitan mohon ke depan lbh baik,menitnh nungguin sampek banyak yang antrian juga tulisannya sih k kamar mandi mmg kalau k kamar mandi selama itu kah yang jaga malam apa cuma orang ya sampek balik lg suami saya terus ngelayanin juga luuamaa buanget lambat pdhal beli susu doang di mobil smpai nunggu mnitan mohon ke depan lebih baik,menitnh nungguin sampek banyak antrian tulisannya kamar mandi mmg kamar mandi selama jaga malam apa cuma orang ya sampek balik lg suami terus ngelayanin luuamaa buanget lambat pdhal beli susu doang mobil smpai nunggu mnitan mohon depan baik,Pelayanan,Negatif,0.9681
Kesehatan,Apotek & Farmasi,Apotek K-24 GKB Gresik,4.5,87,Dienda Sabrina,5,2026-06-03T02:10:07.942Z,makasih kak sudah diantar,makasih kak sudah diantar,makasih kak sudah diantar,makasih kak diantar,Lainnya,Positif,0.97
Kesehatan,Apotek & Farmasi,Apotek K-24 GKB Gresik,4.5,87,Narisa Nihayah,5,2026-04-29T14:39:15.506Z,Pelayanan ramah dan obat nya lengkap terimakasih,pelayanan ramah dan obat nya lengkap terimakasih,pelayanan ramah dan obat nya lengkap terimakasih,pelayanan ramah obat lengkap terimakasih,Pelayanan,Positif,0.9927
Kesehatan,Apotek & Farmasi,Apotek K-24 GKB Gresik,4.5,87,Man Ewy,3,2026-04-21T11:27:59.844Z,"saya langganan diapotek sini waktu beli disini pas pagi hari dapet pelayanan kurang memuaskan sama mbak"" yang badannya kecil kurus pakai masker, mau beli obat radang lupa namanya waktu masih tanya macam"" obatnya dan mbaknya udah nunjukin obat degirol terus tanya nominal uang saya, posisi saya masih kebingungan dan mengingat obat yang saya butuhkan, saya masih nanya ""itu obatnya yang tengahnya lubang ya mbak"" terus mbaknya jawabnya judes dia langsung bilang kalau obatnya sudah distruk dan obatnya gabisa ditukar kembali. mohon lebih diperhatikan kembali untuk pelayanannya kepada konsumen agar konsumen tidak kecewa dengan pelayanannya.",saya langganan diapotek sini waktu beli disini pas pagi hari dapet pelayanan kurang memuaskan sama mbak yang badannya kecil kurus pakai masker mau beli obat radang lupa namanya waktu masih tanya macam obatnya dan mbaknya udah nunjukin obat degirol terus tanya nominal uang saya posisi saya masih kebingungan dan mengingat obat yang saya butuhkan saya masih nanya itu obatnya yang tengahnya lubang ya mbak terus mbaknya jawabnya judes dia langsung bilang kalau obatnya sudah distruk dan obatnya gabisa ditukar kembali mohon lebih diperhatikan kembali untuk pelayanannya kepada konsumen agar konsumen tidak kecewa dengan pelayanannya,saya langganan diapotek sini waktu beli disini pas pagi hari dapet pelayanan kurang memuaskan sama mbak yang badannya kecil kurus pakai masker mau beli obat radang lupa namanya waktu masih tanya macam obatnya dan mbaknya udah nunjukin obat degirol terus tanya nominal uang saya posisi saya masih kebingungan dan mengingat obat yang saya butuhkan saya masih nanya itu obatnya yang tengahnya lubang ya mbak terus mbaknya jawabnya judes dia langsung bilang kalau obatnya sudah distruk dan obatnya gabisa ditukar kembali mohon lebih diperhatikan kembali untuk pelayanannya kepada konsumen agar konsumen tidak kecewa dengan pelayanannya,langganan diapotek sini waktu beli disini pas pagi hari dapet pelayanan kurang memuaskan sama mbak badannya kecil kurus pakai masker mau beli obat radang lupa namanya waktu tanya macam obatnya mbaknya udah nunjukin obat degirol terus tanya nominal uang posisi kebingungan mengingat obat butuhkan nanya obatnya tengahnya lubang ya mbak terus mbaknya jawabnya judes langsung bilang obatnya distruk obatnya gabisa ditukar kembali mohon diperhatikan kembali pelayanannya kepada konsumen agar konsumen kecewa pelayanannya,Pelayanan,Positif,0.9925
Kesehatan,Apotek & Farmasi,Apotek K-24 GKB Gresik,4.5,87,Khuss Khusnul,3,2026-04-07T07:40:11.472Z,Aku 3x belanja disini harganya mahal gk sama diapotik k24 bungah lebih murah kemarin beli obat diapotik bungah dapat harga 47k diapotik sini jadi 75k,aku 3x belanja disini harganya mahal gk sama diapotik k24 bungah lebih murah kemarin beli obat diapotik bungah dapat harga 47k diapotik sini jadi 75k,aku 3x belanja disini harganya mahal tidak sama diapotik k24 bungah lebih murah kemarin beli obat diapotik bungah dapat harga 47k diapotik sini jadi 75k,aku 3x belanja disini harganya mahal sama diapotik k24 bungah murah kemarin beli obat diapotik bungah harga 47k diapotik sini jadi 75k,Kesehatan,Positif,0.9925
Kesehatan,Apotek & Farmasi,Apotek K-24 GKB Gresik,4.5,87,TTK Erly Yulia Gadis Pratama,5,2026-04-07T00:44:39.974Z,Obatnya sangat lengkap pelayanan juga bagus dan cepat bisa melayani pesan antar juga free ongkir 😍,obatnya sangat lengkap pelayanan juga bagus dan cepat bisa melayani pesan antar juga free ongkir,obatnya sangat lengkap pelayanan juga bagus dan cepat bisa melayani pesan antar juga free ongkir,obatnya lengkap pelayanan bagus cepat melayani pesan antar free ongkir,Pelayanan,Positif,0.9924
