Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Apotek & Farmasi,Apotek K-24 Panglima Sudirman Gresik,4.3,135,Enja Shine,1,2026-07-09T09:10:50.349Z,Sudah dijelaskan dapat resepnya itu secara online tidak ada kertasnya dari klinik kok mbk nya yg kacamata tidak ramah yg satunya malah mengejek dan tertawa....saya tersinggung dan tidak nyaman dengan pelayanan nya...saya juga sudah libatkan resep ada di chat dengan pihak klinik nya bukan wa pribadi...,sudah dijelaskan dapat resepnya itu secara online tidak ada kertasnya dari klinik kok mbk nya yg kacamata tidak ramah yg satunya malah mengejek dan tertawa saya tersinggung dan tidak nyaman dengan pelayanan nya saya juga sudah libatkan resep ada di chat dengan pihak klinik nya bukan wa pribadi,sudah dijelaskan dapat resepnya itu secara online tidak ada kertasnya dari klinik kok mbk nya yang kacamata tidak ramah yang satunya malah mengejek dan tertawa saya tersinggung dan tidak nyaman dengan pelayanan nya saya juga sudah libatkan resep ada di chat dengan pihak klinik nya bukan wa pribadi,dijelaskan resepnya secara online kertasnya klinik kok mbk kacamata ramah satunya malah mengejek tertawa tersinggung nyaman pelayanan libatkan resep chat pihak klinik bukan wa pribadi,Pelayanan,Negatif,0.9937
Kesehatan,Apotek & Farmasi,Apotek K-24 Panglima Sudirman Gresik,4.3,135,Jhossy Agus Prasetyo,5,2026-04-21T07:03:21.063Z,Ok pelayanan cepat,ok pelayanan cepat,oke pelayanan cepat,oke pelayanan cepat,Pelayanan,Positif,0.9941
Kesehatan,Apotek & Farmasi,Apotek K-24 Panglima Sudirman Gresik,4.3,135,Yareeuu!,1,2026-03-28T08:53:27.509Z,"Kenapa ya penjualan disini kebanyakan bohong? Saya sudah sering kesini tapi selalu di beri Sanexon, padahal saya tidak meminta obat itu, saya sudah memberi petunjuk saya sakit apa tapi ternyata diselipkan Sanexon yang harga 10 tab nya tidak masuk akal, harganya bisa mencapai 35.786 padahal hanya 10 tablet saja. Juga gak dijelaskan kenapa saya dikasih obat itu padahal saya hanya sakit flu, batuk, dan panas biasa. Kalaupun pusing waktu saya cari di Google informasinya bahwa obat Sanexon tidak buat pusing, justru alergi dan asma. Saya mau ganti rugi tapi di tolak. Padahal saya ada struk nya, dan baru kemarin saya beli. Tidak bisa seperti ini dong, apalagi obat nya belum saya sentuh. Untungnya belum saya minum, kalau gak mag saya makin parah karena SANEXON TERGOLONG OBAT KERAS!!! Apalagi saya masih anak-anak, saya datang ke apotek tujuannya untuk semakin sembuh, supaya orang dewasa bisa memberi pemahaman bagi anak remaja yang belum mengerti obat, bukannya malah di bohongi seperti ini DAN TIDAK MAU DIMINTA PERTANGGUNG JAWABAN. Kalau saya makin sakit dan masuk rumah sakit memangnya mau tanggung jawab? ⚠️TOLONG DIPERBAIKI DAN SAYA MAU ETIKET BAIK NYA UNTUK BERTANGGUNG JAWAB MENGGANTI RUGI!!!!⚠️",kenapa ya penjualan disini kebanyakan bohong saya sudah sering kesini tapi selalu di beri sanexon padahal saya tidak meminta obat itu saya sudah memberi petunjuk saya sakit apa tapi ternyata diselipkan sanexon yang harga tab nya tidak masuk akal harganya bisa mencapai padahal hanya tablet saja juga gak dijelaskan kenapa saya dikasih obat itu padahal saya hanya sakit flu batuk dan panas biasa kalaupun pusing waktu saya cari di google informasinya bahwa obat sanexon tidak buat pusing justru alergi dan asma saya mau ganti rugi tapi di tolak padahal saya ada struk nya dan baru kemarin saya beli tidak bisa seperti ini dong apalagi obat nya belum saya sentuh untungnya belum saya minum kalau gak mag saya makin parah karena sanexon tergolong obat keras apalagi saya masih anak anak saya datang ke apotek tujuannya untuk semakin sembuh supaya orang dewasa bisa memberi pemahaman bagi anak remaja yang belum mengerti obat bukannya malah di bohongi seperti ini dan tidak mau diminta pertanggung jawaban kalau saya makin sakit dan masuk rumah sakit memangnya mau tanggung jawab tolong diperbaiki dan saya mau etiket baik nya untuk bertanggung jawab mengganti rugi,kenapa ya penjualan disini kebanyakan bohong saya sudah sering kesini tapi selalu di beri sanexon padahal saya tidak meminta obat itu saya sudah memberi petunjuk saya sakit apa tapi ternyata diselipkan sanexon yang harga tab nya tidak masuk akal harganya bisa mencapai padahal hanya tablet saja juga tidak dijelaskan kenapa saya dikasih obat itu padahal saya hanya sakit flu batuk dan panas biasa kalaupun pusing waktu saya cari di google informasinya bahwa obat sanexon tidak buat pusing justru alergi dan asma saya mau ganti rugi tapi di tolak padahal saya ada struk nya dan baru kemarin saya beli tidak bisa seperti ini dong apalagi obat nya belum saya sentuh untungnya belum saya minum kalau tidak mag saya makin parah karena sanexon tergolong obat keras apalagi saya masih anak anak saya datang ke apotek tujuannya untuk semakin sembuh supaya orang dewasa bisa memberi pemahaman bagi anak remaja yang belum mengerti obat bukannya malah di bohongi seperti ini dan tidak mau diminta pertanggung jawaban kalau saya makin sakit dan masuk rumah sakit memangnya mau tanggung jawab tolong diperbaiki dan saya mau etiket baik nya untuk bertanggung jawab mengganti rugi,kenapa ya penjualan disini kebanyakan bohong sering kesini selalu beri sanexon padahal meminta obat memberi petunjuk sakit apa ternyata diselipkan sanexon harga tab masuk akal harganya mencapai padahal hanya tablet saja dijelaskan kenapa dikasih obat padahal hanya sakit flu batuk panas biasa kalaupun pusing waktu cari google informasinya bahwa obat sanexon buat pusing justru alergi asma mau ganti rugi tolak padahal struk kemarin beli seperti apalagi obat sentuh untungnya minum mag makin parah sanexon tergolong obat keras apalagi anak anak datang apotek tujuannya semakin sembuh supaya orang dewasa memberi pemahaman bagi anak remaja mengerti obat bukannya malah bohongi seperti mau diminta pertanggung jawaban makin sakit masuk rumah sakit memangnya mau tanggung jawab tolong diperbaiki mau etiket baik bertanggung jawab mengganti rugi,Kesehatan,Negatif,0.9925
Kesehatan,Apotek & Farmasi,Apotek K-24 Panglima Sudirman Gresik,4.3,135,RivaldiEkaptr,5,2026-03-17T17:20:02.783Z,best,best,best,best,Lainnya,Positif,0.9965
Kesehatan,Apotek & Farmasi,Apotek K-24 Panglima Sudirman Gresik,4.3,135,Sulis Tiyani,1,2026-01-17T12:06:52.097Z,"Pelayanannya nggk oke banget, beli obat seharga Rp 9.500,- sudah antri di kasir di mundurkan antrian obatnya,  mendahulukan obat yang harganya Rp 54.000,- Keren ya....bisa seperti itu, akhirnya saya mundur dari antrian karena bukan pembelian saya yang di input kasir. Kita membeli kan sesuai kebutuhan, bukan membeli karena ingin di dahulukan di kasir. Mohon di jaga attitude kasir dan pelayannya agar pembeli senang dan datang lagi untuk membeli di sana.",pelayanannya nggk oke banget beli obat seharga rp sudah antri di kasir di mundurkan antrian obatnya mendahulukan obat yang harganya rp keren ya bisa seperti itu akhirnya saya mundur dari antrian karena bukan pembelian saya yang di input kasir kita membeli kan sesuai kebutuhan bukan membeli karena ingin di dahulukan di kasir mohon di jaga attitude kasir dan pelayannya agar pembeli senang dan datang lagi untuk membeli di sana,pelayanannya nggk oke banget beli obat seharga rp sudah antrian di kasir di mundurkan antrian obatnya mendahulukan obat yang harganya rp bagus ya bisa seperti itu akhirnya saya mundur dari antrian karena bukan pembelian saya yang di input kasir kita membeli kan sesuai kebutuhan bukan membeli karena ingin di dahulukan di kasir mohon di jaga attitude kasir dan pelayannya agar pembeli senang dan datang lagi untuk membeli di sana,pelayanannya nggk oke banget beli obat seharga rp antrian kasir mundurkan antrian obatnya mendahulukan obat harganya rp bagus ya seperti akhirnya mundur antrian bukan pembelian input kasir membeli kan sesuai kebutuhan bukan membeli ingin dahulukan kasir mohon jaga attitude kasir pelayannya agar pembeli senang datang membeli sana,Pelayanan,Negatif,0.8296
Kesehatan,Apotek & Farmasi,Apotek K-24 Panglima Sudirman Gresik,4.3,135,David Darren n' dustin,5,2026-01-07T10:42:19.297Z,"Obat nya lengkap,mbak nya baik2 dan mau menjelaskan dg benar,mbk nya yg cek juga baik,untuk pelayanan sudah sangat memuaskan 😊",obat nya lengkap mbak nya baik2 dan mau menjelaskan dg benar mbk nya yg cek juga baik untuk pelayanan sudah sangat memuaskan,obat nya lengkap mbak nya baik2 dan mau menjelaskan dengan benar mbk nya yang cek juga baik untuk pelayanan sudah sangat memuaskan,obat lengkap mbak baik2 mau menjelaskan benar mbk cek baik pelayanan memuaskan,Pelayanan,Netral,0.7064
Kesehatan,Apotek & Farmasi,Apotek K-24 Panglima Sudirman Gresik,4.3,135,Aisyah Aulia,1,2025-12-14T00:11:45.745Z,Pelayanan tidak ramah,pelayanan tidak ramah,pelayanan tidak ramah,pelayanan ramah,Pelayanan,Negatif,0.996
Kesehatan,Apotek & Farmasi,Apotek K-24 Panglima Sudirman Gresik,4.3,135,Nana Wina,5,2025-10-14T01:16:55.087Z,obat lengkap josjis. Pelayanannya cepet satset. Staff bisa memberi opsi apabila obat tidak tersedia. Sippp pokoknyaa,obat lengkap josjis pelayanannya cepet satset staff bisa memberi opsi apabila obat tidak tersedia sippp pokoknyaa,obat lengkap josjis pelayanannya cepet satset staff bisa memberi opsi apabila obat tidak tersedia sippp pokoknyaa,obat lengkap josjis pelayanannya cepet satset staff memberi opsi apabila obat tersedia sippp pokoknyaa,Pelayanan,Positif,0.9908
Kesehatan,Apotek & Farmasi,Apotek K-24 Panglima Sudirman Gresik,4.3,135,ATTK Ratna Suherwin,5,2025-10-14T01:13:39.037Z,"Pelayanan staff Ramah, obat lengkap, lokasi strategis",pelayanan staff ramah obat lengkap lokasi strategis,pelayanan staff ramah obat lengkap lokasi strategis,pelayanan staff ramah obat lengkap lokasi strategis,Pelayanan,Positif,0.9913
Kesehatan,Apotek & Farmasi,Apotek K-24 Panglima Sudirman Gresik,4.3,135,muhammad rossi,5,2025-10-14T01:03:16.069Z,"Pelayanannya ramah poll, staffnya sat set , terbaik deh.",pelayanannya ramah poll staffnya sat set terbaik deh,pelayanannya ramah poll staffnya sat set terbaik deh,pelayanannya ramah poll staffnya sat set terbaik,Pelayanan,Positif,0.9963
