Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Apotek & Farmasi,Apotek K-24 Pasar Menganti Gresik,4.6,67,ikak kusumaw,1,2026-07-23T13:01:15.987Z,"orang mau nebus obat dipersulit. pdhl ada. resep juga ada, dalam bentuk foto. sudah di fotokan oleh dokter. dokter di luar kota. masa kita disuruh cari dokter di sekitar daerah apotik utk tuliskan resep fisik.  malah aneh kan kita gak pake dokter itu, tp minta suruh dokter itu buatkan resep. parah.",orang mau nebus obat dipersulit pdhl ada resep juga ada dalam bentuk foto sudah di fotokan oleh dokter dokter di luar kota masa kita disuruh cari dokter di sekitar daerah apotik utk tuliskan resep fisik malah aneh kan kita gak pake dokter itu tp minta suruh dokter itu buatkan resep parah,orang mau nebus obat dipersulit pdhl ada resep juga ada dalam bentuk foto sudah di fotokan oleh dokter dokter di luar kota masa kita disuruh cari dokter di sekitar daerah apotik untuk tuliskan resep fisik malah aneh kan kita tidak pake dokter itu tapi minta suruh dokter itu buatkan resep parah,orang mau nebus obat dipersulit pdhl resep bentuk foto fotokan dokter dokter luar kota masa disuruh cari dokter sekitar daerah apotik tuliskan resep fisik malah aneh kan pake dokter minta suruh dokter buatkan resep parah,Kesehatan,Negatif,0.9954
Kesehatan,Apotek & Farmasi,Apotek K-24 Pasar Menganti Gresik,4.6,67,Yudhis Tira,5,2026-07-05T23:00:16.658Z,"sangat suka di apotek ini karena lengkap, dan mbaknya juga hafal obat alternatif yg akan dipesan jika obat yg kita cari gaada.. joss gandos krotos krotosss",sangat suka di apotek ini karena lengkap dan mbaknya juga hafal obat alternatif yg akan dipesan jika obat yg kita cari gaada joss gandos krotos krotosss,sangat suka di apotek ini karena lengkap dan mbaknya juga hafal obat alternatif yang akan dipesan jika obat yang kita cari gaada joss gandos krotos krotosss,suka apotek lengkap mbaknya hafal obat alternatif dipesan obat cari gaada joss gandos krotos krotosss,Kesehatan,Positif,0.9482
Kesehatan,Apotek & Farmasi,Apotek K-24 Pasar Menganti Gresik,4.6,67,Uyab Bn95,1,2026-07-02T11:28:16.822Z,pelayanan buruk sekali,pelayanan buruk sekali,pelayanan buruk sekali,pelayanan buruk,Pelayanan,Negatif,0.998
Kesehatan,Apotek & Farmasi,Apotek K-24 Pasar Menganti Gresik,4.6,67,Tian Setiawan,5,2026-06-09T04:47:56.451Z,"Obat lengkap, pengiriman cepat 👍👍👍",obat lengkap pengiriman cepat,obat lengkap pengiriman cepat,obat lengkap pengiriman cepat,Pelayanan,Positif,0.8935
Kesehatan,Apotek & Farmasi,Apotek K-24 Pasar Menganti Gresik,4.6,67,mami wulan,5,2026-05-19T11:26:49.844Z,"Pelayanannya luar biasa sangat memuaskan , fast respon via chat gercep dan bisa DO . Memberi banyak saran alternatif obat . Terimakasih apotek k24 menganti",pelayanannya luar biasa sangat memuaskan fast respon via chat gercep dan bisa do memberi banyak saran alternatif obat terimakasih apotek k24 menganti,pelayanannya luar biasa sangat memuaskan fast respon via chat gercep dan bisa do memberi banyak saran alternatif obat terimakasih apotek k24 menganti,pelayanannya luar biasa memuaskan fast respon via chat gercep do memberi banyak saran alternatif obat terimakasih apotek k24 menganti,Pelayanan,Positif,0.9305
Kesehatan,Apotek & Farmasi,Apotek K-24 Pasar Menganti Gresik,4.6,67,Juliana Suwandi,5,2026-05-19T10:37:52.690Z,"obatnya lengkap, pelayanan bagus dan bisa kirim ke rumah untuk obatnya. Best",obatnya lengkap pelayanan bagus dan bisa kirim ke rumah untuk obatnya best,obatnya lengkap pelayanan bagus dan bisa kirim ke rumah untuk obatnya best,obatnya lengkap pelayanan bagus kirim rumah obatnya best,Pelayanan,Positif,0.9947
Kesehatan,Apotek & Farmasi,Apotek K-24 Pasar Menganti Gresik,4.6,67,novega amanah,5,2026-05-13T01:45:53.632Z,"obat2an lengkap, pelayanan ramah, ada delivery ordernya dan gratis juga,bisa pesen obat juga kalau obatnya gaada.. sukses terus k24 pasar menganti gresik",obat2an lengkap pelayanan ramah ada delivery ordernya dan gratis juga bisa pesen obat juga kalau obatnya gaada sukses terus k24 pasar menganti gresik,obat2an lengkap pelayanan ramah ada delivery ordernya dan gratis juga bisa pesen obat juga kalau obatnya gaada sukses terus k24 pasar menganti gresik,obat2an lengkap pelayanan ramah delivery ordernya gratis pesen obat obatnya gaada sukses terus k24 pasar menganti gresik,Pelayanan,Positif,0.9754
Kesehatan,Apotek & Farmasi,Apotek K-24 Pasar Menganti Gresik,4.6,67,hesty wulandari,5,2026-04-12T15:06:12.667Z,"Terimkasih k24 ps.menganti, skrg sudah ada dokter umumnya dan layanan super cepat gk perlu nunggu lama untuk resep racikan puyer, tinggal duduk manis obat dianter smpe rumah😍..sukses selalu🤗",terimkasih k24 ps menganti skrg sudah ada dokter umumnya dan layanan super cepat gk perlu nunggu lama untuk resep racikan puyer tinggal duduk manis obat dianter smpe rumah sukses selalu,terimkasih k24 ps menganti sekarang sudah ada dokter umumnya dan layanan super cepat tidak perlu nunggu lama untuk resep racikan puyer tinggal duduk manis obat dianter smpe rumah sukses selalu,terimkasih k24 ps menganti sekarang dokter umumnya layanan super cepat perlu nunggu lama resep racikan puyer tinggal duduk manis obat dianter smpe rumah sukses selalu,Pelayanan,Positif,0.9718
Kesehatan,Apotek & Farmasi,Apotek K-24 Pasar Menganti Gresik,4.6,67,Cahyo Wibowo,5,2026-04-12T12:04:45.587Z,Respon cepat dan pelayanan ramah,respon cepat dan pelayanan ramah,respon cepat dan pelayanan ramah,respon cepat pelayanan ramah,Pelayanan,Positif,0.9936
Kesehatan,Apotek & Farmasi,Apotek K-24 Pasar Menganti Gresik,4.6,67,Ime Kristalydia,5,2026-04-11T14:23:18.621Z,"bisa antar area menganti. kalau butuh cepet, bisa gosend juga.  fast respond dan pelayanan gercep. thanks!",bisa antar area menganti kalau butuh cepet bisa gosend juga fast respond dan pelayanan gercep thanks,bisa antar area menganti kalau butuh cepet bisa gosend juga fast respond dan pelayanan gercep thanks,antar area menganti butuh cepet gosend fast respond pelayanan gercep thanks,Pelayanan,Netral,0.8155
