Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma Kartini,4.5,191,Mina Nasution,1,2026-07-14T13:53:51.281Z,"Pelayanan tidak ramah belik p3k malah di kasi yang koyak”,terus saya kembalikan minta ganti yang lebih layak,pas di buka ehh malah sama gak tau apa menang di dalamnya semua rusak atau gimana gak ngerti kalau tidak layak untuk di jual jangan di kasi ke pembeli kalau tadi di kasi gratis gpp mau terkoyak” pun suka hati",pelayanan tidak ramah belik p3k malah di kasi yang koyak terus saya kembalikan minta ganti yang lebih layak pas di buka ehh malah sama gak tau apa menang di dalamnya semua rusak atau gimana gak ngerti kalau tidak layak untuk di jual jangan di kasi ke pembeli kalau tadi di kasi gratis gpp mau terkoyak pun suka hati,pelayanan tidak ramah belik p3k malah di kasi yang koyak terus saya kembalikan minta ganti yang lebih layak pas di buka ehh malah sama tidak tau apa menang di dalamnya semua rusak atau gimana tidak ngerti kalau tidak layak untuk di jual jangan di kasi ke pembeli kalau tadi di kasi gratis gpp mau terkoyak pun suka hati,pelayanan ramah belik p3k malah kasi koyak terus kembalikan minta ganti layak pas buka ehh malah sama tau apa menang dalamnya semua rusak gimana ngerti layak jual jangan kasi pembeli tadi kasi gratis gpp mau terkoyak suka hati,Pelayanan,Negatif,0.9954
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma Kartini,4.5,191,maria pardede,5,2026-06-18T03:45:26.665Z,Ramah,ramah,ramah,ramah,Pelayanan,Positif,0.9959
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma Kartini,4.5,191,Sofyan Aldiansyah,5,2026-06-13T04:10:24.613Z,"pelayanannya baik , dan ramah",pelayanannya baik dan ramah,pelayanannya baik dan ramah,pelayanannya baik ramah,Pelayanan,Positif,0.9959
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma Kartini,4.5,191,iraa,5,2026-06-13T04:10:00.862Z,pelayanan baik,pelayanan baik,pelayanan baik,pelayanan baik,Pelayanan,Positif,0.9952
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma Kartini,4.5,191,Pita Novemia,5,2026-06-13T04:09:49.043Z,Pelayanan yang sangat bagus,pelayanan yang sangat bagus,pelayanan yang sangat bagus,pelayanan bagus,Pelayanan,Positif,0.9969
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma Kartini,4.5,191,lepa imud,5,2026-06-13T04:09:37.909Z,apotek ini nyaman pegawai ramah apoteker baik,apotek ini nyaman pegawai ramah apoteker baik,apotek ini nyaman pegawai ramah apoteker baik,apotek nyaman pegawai ramah apoteker baik,Pelayanan,Positif,0.9894
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma Kartini,4.5,191,yuniarta tobing,5,2026-06-13T04:09:30.705Z,pelayanan nya bagus,pelayanan nya bagus,pelayanan nya bagus,pelayanan bagus,Pelayanan,Positif,0.9969
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma Kartini,4.5,191,Alexa Queen,5,2026-06-13T04:09:23.128Z,mantap jiwa,mantap jiwa,bagus jiwa,bagus jiwa,Lainnya,Positif,0.9965
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma Kartini,4.5,191,Gielbert I Sijabat,3,2026-05-21T12:29:02.296Z,"Parkir cukup luas dan berbayar, suasana bersih, tidak terlalu ramai. Dtg kesini utk berobat lwt asuransi ke dokter umum. Ada toilet.",parkir cukup luas dan berbayar suasana bersih tidak terlalu ramai dtg kesini utk berobat lwt asuransi ke dokter umum ada toilet,parkir cukup luas dan berbayar suasana bersih tidak terlalu ramai dtg kesini untuk berobat lwt asuransi ke dokter umum ada toilet,parkir cukup luas berbayar suasana bersih terlalu ramai dtg kesini berobat lwt asuransi dokter umum toilet,Fasilitas,Negatif,0.9776
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma Kartini,4.5,191,Faisal Faisal,5,2026-05-13T11:33:25.791Z,"Izin bertanyak untuk dr. Spesialis kulit buat anak d hari ap aj yg ad y kk, dan sampai jam berp k jam berap kk, dengan dr. Ahmad fazar",izin bertanyak untuk dr spesialis kulit buat anak d hari ap aj yg ad y kk dan sampai jam berp k jam berap kk dengan dr ahmad fazar,izin bertanyak untuk dari spesialis kulit buat anak d hari ap aj yang ad y kk dan sampai jam berp k jam berap kk dengan dari ahmad fazar,izin bertanyak spesialis kulit buat anak hari ap aj ad kk sampai jam berp jam berap kk ahmad fazar,Administrasi,Netral,0.9762
