Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma Usman Sadar,4.7,31,Auliya dwi,5,2025-10-24T14:09:02.252Z,"mantap, ada special price bulanan🥰",mantap ada special price bulanan,bagus ada special price bulanan,bagus special price bulanan,Lainnya,Positif,0.9908
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma Usman Sadar,4.7,31,Ahmad Rival,5,2025-04-03T12:21:31.007Z,Apotek terlengkap👍🏻,apotek terlengkap,apotek terlengkap,apotek terlengkap,Lainnya,Positif,0.9492
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma Usman Sadar,4.7,31,Moch. Ammar Priarda,5,2025-04-03T12:14:44.673Z,"pelayannya jos banget, top lah🫶🏻",pelayannya jos banget top lah,pelayannya bagus banget top lah,pelayannya bagus banget top,Lainnya,Positif,0.9976
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma Usman Sadar,4.7,31,RMSYH FZH,5,2025-03-21T09:07:24.345Z,MANTAP KEREN,mantap keren,bagus bagus,bagus bagus,Lainnya,Positif,0.9928
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma Usman Sadar,4.7,31,Mufarrokhah 24,5,2025-03-21T08:48:05.658Z,"Apotek paling lengkap dengan tempat yang nyaman, bersih dan pelayanannya ramah semua 👍",apotek paling lengkap dengan tempat yang nyaman bersih dan pelayanannya ramah semua,apotek paling lengkap dengan tempat yang nyaman bersih dan pelayanannya ramah semua,apotek paling lengkap tempat nyaman bersih pelayanannya ramah semua,Pelayanan,Positif,0.9972
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma Usman Sadar,4.7,31,Muhammad Rendy Rizki,5,2025-03-16T02:17:50.458Z,Mantabb,mantabb,mantabb,mantabb,Lainnya,Positif,0.9971
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma Usman Sadar,4.7,31,Bernaldi Putra,5,2024-02-06T16:09:31.657Z,Ramah tamah gemah Ripah lojinawi,ramah tamah gemah ripah lojinawi,ramah tamah gemah ripah lojinawi,ramah tamah gemah ripah lojinawi,Pelayanan,Positif,0.9824
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma Usman Sadar,4.7,31,Sandy Putra,5,2024-02-06T16:08:57.652Z,mantappp,mantappp,mantappp,mantappp,Lainnya,Positif,0.9971
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma Usman Sadar,4.7,31,lsp_phuri register,5,2024-02-06T16:07:13.068Z,"kalau request obat satset , pelayananan satset",kalau request obat satset pelayananan satset,kalau request obat satset pelayananan satset,request obat satset pelayananan satset,Pelayanan,Netral,0.9942
Kesehatan,Apotek & Farmasi,Apotek Kimia Farma Usman Sadar,4.7,31,Kadek Afid,5,2024-02-06T16:04:41.566Z,Pelayanannya baik,pelayanannya baik,pelayanannya baik,pelayanannya baik,Pelayanan,Positif,0.9965
