Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Apotek & Farmasi,Apotek Krajan Farma,4.3,17,Asfiyak 391,1,2026-02-22T14:52:20.812Z,Aneh sih apoteknya harga obat semisal 24500 bayar pakai qris jadi 25000 Padahal apotek lain gak gitu,aneh sih apoteknya harga obat semisal bayar pakai qris jadi padahal apotek lain gak gitu,aneh sih apoteknya harga obat semisal bayar pakai qris jadi padahal apotek lain tidak gitu,aneh apoteknya harga obat semisal bayar pakai qris jadi padahal apotek lain gitu,Kesehatan,Negatif,0.9953
Kesehatan,Apotek & Farmasi,Apotek Krajan Farma,4.3,17,RICHO BUDI SANTOSO,1,2026-02-18T11:53:12.771Z,"Pelayanan penjaga toko buruk, tidak jadi beli kasa biasa tapi tetap beli kasa steril malah ditertawakan dan ada omongan sumbar yang tidak seharusnya dikeluarkan. Selain itu penjaga toko tidak jujur kalau kasa yang biasa ada rambut atau semacamnya, dia baru bicara setelah saya beli kasa steril. Semoga bisa berbenah.",pelayanan penjaga toko buruk tidak jadi beli kasa biasa tapi tetap beli kasa steril malah ditertawakan dan ada omongan sumbar yang tidak seharusnya dikeluarkan selain itu penjaga toko tidak jujur kalau kasa yang biasa ada rambut atau semacamnya dia baru bicara setelah saya beli kasa steril semoga bisa berbenah,pelayanan penjaga toko buruk tidak jadi beli kasa biasa tapi tetap beli kasa steril malah ditertawakan dan ada omongan sumbar yang tidak seharusnya dikeluarkan selain itu penjaga toko tidak jujur kalau kasa yang biasa ada rambut atau semacamnya dia baru bicara setelah saya beli kasa steril semoga bisa berbenah,pelayanan penjaga toko buruk jadi beli kasa biasa tetap beli kasa steril malah ditertawakan omongan sumbar seharusnya dikeluarkan selain penjaga toko jujur kasa biasa rambut semacamnya bicara beli kasa steril semoga berbenah,Pelayanan,Negatif,0.9966
Kesehatan,Apotek & Farmasi,Apotek Krajan Farma,4.3,17,Wong Plumpang,5,2025-09-18T03:32:12.712Z,Pelayanan sangat ramah bagus Cepat Komplit,pelayanan sangat ramah bagus cepat komplit,pelayanan sangat ramah bagus cepat komplit,pelayanan ramah bagus cepat komplit,Pelayanan,Positif,0.9964
Kesehatan,Apotek & Farmasi,Apotek Krajan Farma,4.3,17,Riri Lopez,5,2025-02-15T09:23:19.854Z,"Toko obat fav aku kalo mau beli chat dulu kalo ada yang kosong bisa pesen dulu kalo ready dikabari, harga murah dekat rumah pula pelayanannya juga bagus dan ramah",toko obat fav aku kalo mau beli chat dulu kalo ada yang kosong bisa pesen dulu kalo ready dikabari harga murah dekat rumah pula pelayanannya juga bagus dan ramah,toko obat fav aku kalo mau beli chat dulu kalo ada yang kosong bisa pesen dulu kalo ready dikabari harga murah dekat rumah pula pelayanannya juga bagus dan ramah,toko obat fav aku kalo mau beli chat dulu kalo kosong pesen dulu kalo ready dikabari harga murah dekat rumah pelayanannya bagus ramah,Pelayanan,Positif,0.9964
Kesehatan,Apotek & Farmasi,Apotek Krajan Farma,4.3,17,Adinda Ismu Chofidah,5,2025-02-14T12:42:43.117Z,"Ubur ubur ikan lele, obatnya disini paling murah lee 🤗",ubur ubur ikan lele obatnya disini paling murah lee,ubur ubur ikan lele obatnya disini paling murah lee,ubur ubur ikan lele obatnya disini paling murah lee,Kesehatan,Positif,0.9863
Kesehatan,Apotek & Farmasi,Apotek Krajan Farma,4.3,17,Dwi Rahayu,5,2025-02-12T14:03:15.132Z,Langganan tiap bulan beli obat²an & multivitamin ☺️harga lumayan serta pelayanannya baik 😉,langganan tiap bulan beli obatan multivitamin harga lumayan serta pelayanannya baik,langganan tiap bulan beli obatan multivitamin harga lumayan serta pelayanannya baik,langganan tiap bulan beli obatan multivitamin harga lumayan serta pelayanannya baik,Pelayanan,Positif,0.9884
Kesehatan,Apotek & Farmasi,Apotek Krajan Farma,4.3,17,Antarno Indra Saputro,5,2025-02-12T13:28:00.285Z,Harganya cukup murah...yang jaga mbak nya ramah-ramah...,harganya cukup murah yang jaga mbak nya ramah ramah,harganya cukup murah yang jaga mbak nya ramah ramah,harganya cukup murah jaga mbak ramah ramah,Pelayanan,Positif,0.9967
Kesehatan,Apotek & Farmasi,Apotek Krajan Farma,4.3,17,Nur Aini,5,2025-02-12T13:24:02.304Z,"Harga terjangkau, tempat strategis, pelayanan ramah, obat lengkap.",harga terjangkau tempat strategis pelayanan ramah obat lengkap,harga terjangkau tempat strategis pelayanan ramah obat lengkap,harga terjangkau tempat strategis pelayanan ramah obat lengkap,Pelayanan,Positif,0.9958
Kesehatan,Apotek & Farmasi,Apotek Krajan Farma,4.3,17,Afif Zainudin,5,2025-02-12T13:04:22.326Z,murah,murah,murah,murah,Lainnya,Positif,0.9968
Kesehatan,Apotek & Farmasi,Apotek Krajan Farma,4.3,17,Sirojul Ummah,5,2025-02-12T12:59:09.952Z,Harga obat terjangkau dan pelayanan baik..,harga obat terjangkau dan pelayanan baik,harga obat terjangkau dan pelayanan baik,harga obat terjangkau pelayanan baik,Pelayanan,Positif,0.9928
