Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Apotek & Farmasi,Apotek Mandiri Pharma Cisauk BSD,4.5,36,amir shanzher,5,2026-07-16T11:48:51.827Z,Obat nya lengkap dan di pesan cepat sampai oleh driver poko nya obat nya lengkap semua obat dan karyawan nya ramah ramah  top poko nya 😇😇,obat nya lengkap dan di pesan cepat sampai oleh driver poko nya obat nya lengkap semua obat dan karyawan nya ramah ramah top poko nya,obat nya lengkap dan di pesan cepat sampai oleh driver poko nya obat nya lengkap semua obat dan karyawan nya ramah ramah top poko nya,obat lengkap pesan cepat sampai driver poko obat lengkap semua obat karyawan ramah ramah top poko,Pelayanan,Positif,0.9848
Kesehatan,Apotek & Farmasi,Apotek Mandiri Pharma Cisauk BSD,4.5,36,della ipus,5,2026-07-16T08:02:59.679Z,Toko obat yg paling lengkap,toko obat yg paling lengkap,toko obat yang paling lengkap,toko obat paling lengkap,Kesehatan,Positif,0.8598
Kesehatan,Apotek & Farmasi,Apotek Mandiri Pharma Cisauk BSD,4.5,36,Stephen Ardana putra,5,2026-07-15T15:15:10.117Z,Obat lengkap pelayanan ramah,obat lengkap pelayanan ramah,obat lengkap pelayanan ramah,obat lengkap pelayanan ramah,Pelayanan,Positif,0.9928
Kesehatan,Apotek & Farmasi,Apotek Mandiri Pharma Cisauk BSD,4.5,36,Roni Derren,5,2026-07-15T12:35:10.181Z,Yg jaga nya cantik2,yg jaga nya cantik2,yang jaga nya cantik2,jaga cantik2,Lainnya,Positif,0.969
Kesehatan,Apotek & Farmasi,Apotek Mandiri Pharma Cisauk BSD,4.5,36,Abdul Muhi,5,2026-07-15T04:55:47.986Z,Mantap,mantap,bagus,bagus,Lainnya,Positif,0.9961
Kesehatan,Apotek & Farmasi,Apotek Mandiri Pharma Cisauk BSD,4.5,36,Rahul Anelka,5,2026-07-14T13:33:45.675Z,"Apotek langganan di daerah Cisauk. Obatnya tergolong sangat lengkap, dari obat bebas sampai tebus resep dokter seringkali langsung ada tanpa harus indent. Apoteker dan stafnya juga sangat informatif dan ramah saat menjelaskan dosis serta efek samping obat. Sangat direkomendasikan untuk warga sekitar Cisauk!",apotek langganan di daerah cisauk obatnya tergolong sangat lengkap dari obat bebas sampai tebus resep dokter seringkali langsung ada tanpa harus indent apoteker dan stafnya juga sangat informatif dan ramah saat menjelaskan dosis serta efek samping obat sangat direkomendasikan untuk warga sekitar cisauk,apotek langganan di daerah cisauk obatnya tergolong sangat lengkap dari obat bebas sampai tebus resep dokter seringkali langsung ada tanpa harus indent apoteker dan stafnya juga sangat informatif dan ramah saat menjelaskan dosis serta efek samping obat sangat direkomendasikan untuk warga sekitar cisauk,apotek langganan daerah cisauk obatnya tergolong lengkap obat bebas sampai tebus resep dokter seringkali langsung tanpa harus indent apoteker stafnya informatif ramah menjelaskan dosis serta efek samping obat direkomendasikan warga sekitar cisauk,Pelayanan,Positif,0.9904
Kesehatan,Apotek & Farmasi,Apotek Mandiri Pharma Cisauk BSD,4.5,36,Andre Pudyastomo,5,2026-07-11T19:34:59.270Z,Apotek yang buka 24 jam di Cisauk,apotek yang buka jam di cisauk,apotek yang buka jam di cisauk,apotek buka jam cisauk,Lainnya,Netral,0.9927
Kesehatan,Apotek & Farmasi,Apotek Mandiri Pharma Cisauk BSD,4.5,36,Dinar Hanifa Amani,5,2026-05-04T06:36:20.697Z,Staffnya ramah ramah dan sangat membantu 🫶,staffnya ramah ramah dan sangat membantu,staffnya ramah ramah dan sangat membantu,staffnya ramah ramah membantu,Pelayanan,Positif,0.9956
Kesehatan,Apotek & Farmasi,Apotek Mandiri Pharma Cisauk BSD,4.5,36,Wulan Dari,5,2026-02-27T13:47:46.320Z,"pelayanannya cepat dan tanggap, terimakasih ya ka",pelayanannya cepat dan tanggap terimakasih ya ka,pelayanannya cepat dan tanggap terimakasih ya ka,pelayanannya cepat tanggap terimakasih ya ka,Pelayanan,Positif,0.9807
Kesehatan,Apotek & Farmasi,Apotek Mandiri Pharma Cisauk BSD,4.5,36,ahmad,3,2026-02-25T15:12:56.967Z,Lelet pelayanan,lelet pelayanan,lelet pelayanan,lelet pelayanan,Pelayanan,Positif,0.9978
