Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Apotek & Farmasi,Apotek MENGANTI,4.4,38,Bay Haqi,5,2026-08-01T11:57:27.628Z,pelayanan bagus,pelayanan bagus,pelayanan bagus,pelayanan bagus,Pelayanan,Positif,0.9969
Kesehatan,Apotek & Farmasi,Apotek MENGANTI,4.4,38,Andreas Wibisono,5,2026-07-16T04:04:58.040Z,"Pelayan Ramah, harga obat bersaing",pelayan ramah harga obat bersaing,pelayan ramah harga obat bersaing,pelayan ramah harga obat bersaing,Pelayanan,Positif,0.994
Kesehatan,Apotek & Farmasi,Apotek MENGANTI,4.4,38,Resa Cipta,5,2026-07-14T13:35:15.825Z,"layanan okee, sudah langganan lama di sinii",layanan okee sudah langganan lama di sinii,layanan okee sudah langganan lama di sinii,layanan okee langganan lama sinii,Pelayanan,Positif,0.6998
Kesehatan,Apotek & Farmasi,Apotek MENGANTI,4.4,38,meyga wulan,5,2026-07-09T10:52:51.786Z,Apotiknya lengkap dan murah Uda jadi langganan lama,apotiknya lengkap dan murah uda jadi langganan lama,apotiknya lengkap dan murah uda jadi langganan lama,apotiknya lengkap murah uda jadi langganan lama,Lainnya,Positif,0.9938
Kesehatan,Apotek & Farmasi,Apotek MENGANTI,4.4,38,Sherin Regina P,5,2026-07-08T04:38:43.066Z,"ramahh bgt, bersih, muraah, terjamin topp",ramahh bgt bersih muraah terjamin topp,ramahh banget bersih muraah terjamin topp,ramahh banget bersih muraah terjamin topp,Pelayanan,Positif,0.9974
Kesehatan,Apotek & Farmasi,Apotek MENGANTI,4.4,38,Ayu Lebryan,5,2026-07-08T04:03:00.377Z,"Apotek terbaik di Menganti dengan pelayanan yg selalu ramah dan memberikan informasi tentang obat"" yg dibutuhkan dengan jelas dan tepat👍😊",apotek terbaik di menganti dengan pelayanan yg selalu ramah dan memberikan informasi tentang obat yg dibutuhkan dengan jelas dan tepat,apotek terbaik di menganti dengan pelayanan yang selalu ramah dan memberikan informasi tentang obat yang dibutuhkan dengan jelas dan tepat,apotek terbaik menganti pelayanan selalu ramah memberikan informasi tentang obat dibutuhkan jelas tepat,Pelayanan,Positif,0.9777
Kesehatan,Apotek & Farmasi,Apotek MENGANTI,4.4,38,Khoirotul Umami,5,2026-07-08T03:06:28.352Z,"Pelayanan baik , cepat dan lengkap .",pelayanan baik cepat dan lengkap,pelayanan baik cepat dan lengkap,pelayanan baik cepat lengkap,Pelayanan,Positif,0.9953
Kesehatan,Apotek & Farmasi,Apotek MENGANTI,4.4,38,Anis Fitria,5,2026-07-07T12:32:50.727Z,"Lengkap bangett di apotik menganti,pelayanan nya rama bangett🥰🥰",lengkap bangett di apotik menganti pelayanan nya rama bangett,lengkap bangett di apotik menganti pelayanan nya rama bangett,lengkap bangett apotik menganti pelayanan rama bangett,Pelayanan,Positif,0.996
Kesehatan,Apotek & Farmasi,Apotek MENGANTI,4.4,38,Maya Henti,5,2026-07-07T00:31:13.692Z,"Ownernya pelayanannya ramah,detail,bs konsul dg baik sukses selalu amin",ownernya pelayanannya ramah detail bs konsul dg baik sukses selalu amin,ownernya pelayanannya ramah detail bs konsul dengan baik sukses selalu amin,ownernya pelayanannya ramah detail bs konsul baik sukses selalu amin,Pelayanan,Positif,0.9745
Kesehatan,Apotek & Farmasi,Apotek MENGANTI,4.4,38,wanda aswanti,5,2026-07-05T11:50:07.144Z,the realll beli disini selalu manjur banget obatnyaa lebih sukaa pelayanannya ramaa bangettt selalu beli disiniii kalo adaa hal yg bikin badan ga enak karenaa emng bener bener the best bangett,the realll beli disini selalu manjur banget obatnyaa lebih sukaa pelayanannya ramaa bangettt selalu beli disiniii kalo adaa hal yg bikin badan ga enak karenaa emng bener bener the best bangett,the realll beli disini selalu manjur banget obatnyaa lebih sukaa pelayanannya ramaa bangettt selalu beli disiniii kalo adaa hal yang bikin badan tidak enak karenaa emng bener bener the best bangett,the realll beli disini selalu manjur banget obatnyaa sukaa pelayanannya ramaa bangettt selalu beli disiniii kalo adaa hal bikin badan enak karenaa emng bener bener the best bangett,Pelayanan,Positif,0.9977
Kesehatan,Apotek & Farmasi,Apotek MENGANTI,4.4,38,Keylila “154_Keylila Cahyaning M” Maharani,5,2026-07-05T11:45:00.509Z,pelayanannya sangat ramah,pelayanannya sangat ramah,pelayanannya sangat ramah,pelayanannya ramah,Pelayanan,Positif,0.9968
Kesehatan,Apotek & Farmasi,Apotek MENGANTI,4.4,38,Aprilia Sandy,5,2026-07-05T11:24:29.932Z,"pelayanan nya bagus, mbk dn mas nya ramah baik",pelayanan nya bagus mbk dn mas nya ramah baik,pelayanan nya bagus mbk dn mas nya ramah baik,pelayanan bagus mbk dn mas ramah baik,Pelayanan,Positif,0.9953
Kesehatan,Apotek & Farmasi,Apotek MENGANTI,4.4,38,maharani Putri,5,2026-07-05T10:01:03.094Z,Obat murah dan pelayanan ramah,obat murah dan pelayanan ramah,obat murah dan pelayanan ramah,obat murah pelayanan ramah,Pelayanan,Positif,0.9943
Kesehatan,Apotek & Farmasi,Apotek MENGANTI,4.4,38,Aqila Gracella,5,2026-07-03T04:08:00.151Z,"pelayanan oke, ramah",pelayanan oke ramah,pelayanan oke ramah,pelayanan oke ramah,Pelayanan,Positif,0.9964
Kesehatan,Apotek & Farmasi,Apotek MENGANTI,4.4,38,Wildan Assuyuti,5,2026-07-03T03:13:59.080Z,"Lengkap, bagus, cepat, dan pelayanan ramah masya Allah",lengkap bagus cepat dan pelayanan ramah masya allah,lengkap bagus cepat dan pelayanan ramah masya allah,lengkap bagus cepat pelayanan ramah masya allah,Pelayanan,Positif,0.9965
Kesehatan,Apotek & Farmasi,Apotek MENGANTI,4.4,38,Intan Puspita,1,2024-11-24T04:21:30.971Z,"Menyebalkan beli obat kayak ngutang obat. Ga ada senyum ramah. Beli hari ini tanggal 24 November jam 11 siang. Yang jaga pake baju merah ga berhijab ketus, ga sopan, ga ada senyum ramah. Tanya obat baik-baik malah di ketawain. Padahal orangnya sendiri yang ga bisa baca bhs inggris. Payah!",menyebalkan beli obat kayak ngutang obat ga ada senyum ramah beli hari ini tanggal november jam siang yang jaga pake baju merah ga berhijab ketus ga sopan ga ada senyum ramah tanya obat baik baik malah di ketawain padahal orangnya sendiri yang ga bisa baca bhs inggris payah,menyebalkan beli obat kayak ngutang obat tidak ada senyum ramah beli hari ini tanggal november jam siang yang jaga pake baju merah tidak berhijab ketus tidak sopan tidak ada senyum ramah tanya obat baik baik malah di ketawain padahal orangnya sendiri yang tidak bisa baca bhs inggris payah,menyebalkan beli obat kayak ngutang obat senyum ramah beli hari tanggal november jam siang jaga pake baju merah berhijab ketus sopan senyum ramah tanya obat baik baik malah ketawain padahal orangnya sendiri baca bhs inggris payah,Pelayanan,Negatif,0.9972
Kesehatan,Apotek & Farmasi,Apotek MENGANTI,4.4,38,Dian Oktaviani,1,2024-11-18T11:45:14.497Z,"Sudah lama langganan tapi malam ini kecewa banget gara2 bayar uang 50rb tapi leren berdebat wong memang gak ada uang kecil,saya baru ambil uang buk...sudah ngasih kembalian di kasih permen sama muka jutek ibu kasirnya dan gak bilang makasih jadi males beli obat lagi di situ",sudah lama langganan tapi malam ini kecewa banget gara2 bayar uang 50rb tapi leren berdebat wong memang gak ada uang kecil saya baru ambil uang buk sudah ngasih kembalian di kasih permen sama muka jutek ibu kasirnya dan gak bilang makasih jadi males beli obat lagi di situ,sudah lama langganan tapi malam ini kecewa banget gara2 bayar uang 50rb tapi leren berdebat wong memang tidak ada uang kecil saya baru ambil uang buk sudah ngasih kembalian di kasih permen sama muka jutek ibu kasirnya dan tidak bilang makasih jadi males beli obat lagi di situ,lama langganan malam kecewa banget gara2 bayar uang 50rb leren berdebat wong memang uang kecil ambil uang buk ngasih kembalian kasih permen sama muka jutek ibu kasirnya bilang makasih jadi males beli obat situ,Kesehatan,Negatif,0.9982
Kesehatan,Apotek & Farmasi,Apotek MENGANTI,4.4,38,Muhammad Nu Fahmy,1,2024-07-03T14:04:37.073Z,"Saya barusan beli vitamin ipi.Dan setelah saya minum, ternyata kadaluarsa.Mohon, untuk stock/persediaannya bisa di periksa lebih jeli dan teliti kembali dalam masa expired nya",saya barusan beli vitamin ipi dan setelah saya minum ternyata kadaluarsa mohon untuk stock persediaannya bisa di periksa lebih jeli dan teliti kembali dalam masa expired nya,saya barusan beli vitamin ipi dan setelah saya minum ternyata kadaluarsa mohon untuk stock persediaannya bisa di periksa lebih jeli dan teliti kembali dalam masa expired nya,barusan beli vitamin ipi minum ternyata kadaluarsa mohon stock persediaannya periksa jeli teliti kembali masa expired,Lainnya,Netral,0.957
Kesehatan,Apotek & Farmasi,Apotek MENGANTI,4.4,38,Anisah Noor Immama,5,2023-10-02T01:50:00.982Z,"Apotek langganan dari lama, harganya murah sih",apotek langganan dari lama harganya murah sih,apotek langganan dari lama harganya murah sih,apotek langganan lama harganya murah,Lainnya,Positif,0.9957
Kesehatan,Apotek & Farmasi,Apotek MENGANTI,4.4,38,Siti Masulah,5,2023-09-22T11:36:07.157Z,Sy SDH berlangganan bertahun2 lagian harga murah banget dibanding apotik lain tempat nya juga terjangkau dari dr rumah,sy sdh berlangganan bertahun2 lagian harga murah banget dibanding apotik lain tempat nya juga terjangkau dari dr rumah,saya sudah berlangganan bertahun2 lagian harga murah banget dibanding apotik lain tempat nya juga terjangkau dari dari rumah,berlangganan bertahun2 lagian harga murah banget dibanding apotik lain tempat terjangkau rumah,Lainnya,Positif,0.995
Kesehatan,Apotek & Farmasi,Apotek MENGANTI,4.4,38,Lutfiyah Lutfiyah,5,2023-09-22T11:07:29.862Z,Harga obatnya termurah dan praktek dokternya bagus 👍,harga obatnya termurah dan praktek dokternya bagus,harga obatnya termurah dan praktek dokternya bagus,harga obatnya termurah praktek dokternya bagus,Kesehatan,Positif,0.9968
