Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik & Praktek Dokter,Apotek Pahala Batu Mulia,4.3,55,Omar Latief,5,2026-08-20T14:15:23.024Z,Pelayanan bagusss... Keep smiley always harga bet sahabat☺,pelayanan bagusss keep smiley always harga bet sahabat,pelayanan bagusss keep smiley always harga bet sahabat,pelayanan bagusss keep smiley always harga bet sahabat,Pelayanan,Positif,0.9953
Kesehatan,Klinik & Praktek Dokter,Apotek Pahala Batu Mulia,4.3,55,Melani,5,2026-08-18T06:55:54.992Z,"Sangat puas belanja obat di sini! Pelayanannya sangat ramah, cepat, dan apotekernya informatif menjelaskan aturan pakai. Obat-obatan dan vitaminnya juga sangat lengkap, semua yang dicari pasti ada dengan harga yang terjangkau. Recommended sekali untuk jadi apotek langganan!",sangat puas belanja obat di sini pelayanannya sangat ramah cepat dan apotekernya informatif menjelaskan aturan pakai obat obatan dan vitaminnya juga sangat lengkap semua yang dicari pasti ada dengan harga yang terjangkau recommended sekali untuk jadi apotek langganan,sangat puas belanja obat di sini pelayanannya sangat ramah cepat dan apotekernya informatif menjelaskan aturan pakai obat obatan dan vitaminnya juga sangat lengkap semua yang dicari pasti ada dengan harga yang terjangkau recommended sekali untuk jadi apotek langganan,puas belanja obat sini pelayanannya ramah cepat apotekernya informatif menjelaskan aturan pakai obat obatan vitaminnya lengkap semua dicari pasti harga terjangkau recommended jadi apotek langganan,Pelayanan,Positif,0.9975
Kesehatan,Klinik & Praktek Dokter,Apotek Pahala Batu Mulia,4.3,55,mahani fy,5,2026-08-13T13:01:15.756Z,"Pengiriman cepat, pesen mudah juga bisa WA dan harga murah",pengiriman cepat pesen mudah juga bisa wa dan harga murah,pengiriman cepat pesen mudah juga bisa wa dan harga murah,pengiriman cepat pesen mudah wa harga murah,Pelayanan,Positif,0.9946
Kesehatan,Klinik & Praktek Dokter,Apotek Pahala Batu Mulia,4.3,55,Rika Aja,5,2026-08-13T12:32:26.115Z,"Pelayanan bagus , chat wa respon nya cepet, Obatnya  lengkap , Gratis pengiriman obat ke rmh pula 😍👍👍👍",pelayanan bagus chat wa respon nya cepet obatnya lengkap gratis pengiriman obat ke rmh pula,pelayanan bagus chat wa respon nya cepet obatnya lengkap gratis pengiriman obat ke rmh pula,pelayanan bagus chat wa respon cepet obatnya lengkap gratis pengiriman obat rmh,Pelayanan,Positif,0.9915
Kesehatan,Klinik & Praktek Dokter,Apotek Pahala Batu Mulia,4.3,55,Andik Putra,5,2026-08-06T07:05:13.181Z,Sipp,sipp,sipp,sipp,Lainnya,Positif,0.9838
Kesehatan,Klinik & Praktek Dokter,Apotek Pahala Batu Mulia,4.3,55,rizki valen,5,2026-07-09T08:41:16.321Z,"apotek yg ketersediaan obatnya lengkap, dan mau bantu nyarikan obat pesanan pasien yg di apotek2 lain susah didapat. harganya murah. pelayanan ramah. sehat2 terus ya staf apotek pahala driyorejo. tetap layani customer dengan hati yg ikhlas. secapek apapun stafnya tetap ramah. nerima keluhan dan konsultasi pasien dg baik dan berikan solusi terbaik.",apotek yg ketersediaan obatnya lengkap dan mau bantu nyarikan obat pesanan pasien yg di apotek2 lain susah didapat harganya murah pelayanan ramah sehat2 terus ya staf apotek pahala driyorejo tetap layani customer dengan hati yg ikhlas secapek apapun stafnya tetap ramah nerima keluhan dan konsultasi pasien dg baik dan berikan solusi terbaik,apotek yang ketersediaan obatnya lengkap dan mau bantu nyarikan obat pesanan pasien yang di apotek2 lain susah didapat harganya murah pelayanan ramah sehat2 terus ya staf apotek pahala driyorejo tetap layani customer dengan hati yang ikhlas secapek apapun stafnya tetap ramah nerima keluhan dan konsultasi pasien dengan baik dan berikan solusi terbaik,apotek ketersediaan obatnya lengkap mau bantu nyarikan obat pesanan pasien apotek2 lain susah didapat harganya murah pelayanan ramah sehat2 terus ya staf apotek pahala driyorejo tetap layani customer hati ikhlas secapek apapun stafnya tetap ramah nerima keluhan konsultasi pasien baik berikan solusi terbaik,Pelayanan,Positif,0.963
Kesehatan,Klinik & Praktek Dokter,Apotek Pahala Batu Mulia,4.3,55,Adit Pradana,5,2026-07-09T08:03:19.145Z,"Obatnya lengkap, saya kemarin cari obat tensi ke beberapa apotek kosong disini selalu ada, harganya juga murah dan petugasnya sangat ramah dalam menjelaskan dan menjawab pertanyaan saya",obatnya lengkap saya kemarin cari obat tensi ke beberapa apotek kosong disini selalu ada harganya juga murah dan petugasnya sangat ramah dalam menjelaskan dan menjawab pertanyaan saya,obatnya lengkap saya kemarin cari obat tensi ke beberapa apotek kosong disini selalu ada harganya juga murah dan petugasnya sangat ramah dalam menjelaskan dan menjawab pertanyaan saya,obatnya lengkap kemarin cari obat tensi beberapa apotek kosong disini selalu harganya murah petugasnya ramah menjelaskan menjawab pertanyaan,Pelayanan,Positif,0.972
Kesehatan,Klinik & Praktek Dokter,Apotek Pahala Batu Mulia,4.3,55,Iqrar Pribadi Santoso,5,2026-06-24T01:17:14.064Z,Mantap buk,mantap buk,bagus buk,bagus buk,Lainnya,Positif,0.9955
Kesehatan,Klinik & Praktek Dokter,Apotek Pahala Batu Mulia,4.3,55,Diva Santoso,5,2026-06-23T23:53:38.563Z,Bisa konsultasi via WA & kalo rumahnya area kbd free ongkir min 40 ribu,bisa konsultasi via wa kalo rumahnya area kbd free ongkir min ribu,bisa konsultasi via wa kalo rumahnya area kbd free ongkir min ribu,konsultasi via wa kalo rumahnya area kbd free ongkir min ribu,Lainnya,Netral,0.9932
Kesehatan,Klinik & Praktek Dokter,Apotek Pahala Batu Mulia,4.3,55,az zahra taqiyyah,1,2026-06-22T06:40:20.601Z,"pelayanannya buruk, tidak ramah, pegawai malah utk diajak diskusi malah dicuekin",pelayanannya buruk tidak ramah pegawai malah utk diajak diskusi malah dicuekin,pelayanannya buruk tidak ramah pegawai malah untuk diajak diskusi malah dicuekin,pelayanannya buruk ramah pegawai malah diajak diskusi malah dicuekin,Pelayanan,Negatif,0.9984
Kesehatan,Klinik & Praktek Dokter,Apotek Pahala Batu Mulia,4.3,55,Rasya Daffa,2,2026-06-19T12:03:59.635Z,pelayanan lama pdhl pegawai banyak kasir tidak satset,pelayanan lama pdhl pegawai banyak kasir tidak satset,pelayanan lama pdhl pegawai banyak kasir tidak satset,pelayanan lama pdhl pegawai banyak kasir satset,Pelayanan,Negatif,0.9953
Kesehatan,Klinik & Praktek Dokter,Apotek Pahala Batu Mulia,4.3,55,qiana 23,5,2026-03-28T16:09:24.764Z,Apotek yg sangat lengkap dn termurah . Karyawan nyaa sangat ramah dn melayani nyaa sangat sabar dn cepat .,apotek yg sangat lengkap dn termurah karyawan nyaa sangat ramah dn melayani nyaa sangat sabar dn cepat,apotek yang sangat lengkap dn termurah karyawan nyaa sangat ramah dn melayani nyaa sangat sabar dn cepat,apotek lengkap dn termurah karyawan nyaa ramah dn melayani nyaa sabar dn cepat,Pelayanan,Positif,0.9907
Kesehatan,Klinik & Praktek Dokter,Apotek Pahala Batu Mulia,4.3,55,Lidia Anggraeni,4,2026-03-28T09:52:15.083Z,"pelayanan cukup baik, cepat. barang lengkap",pelayanan cukup baik cepat barang lengkap,pelayanan cukup baik cepat barang lengkap,pelayanan cukup baik cepat barang lengkap,Pelayanan,Positif,0.987
Kesehatan,Klinik & Praktek Dokter,Apotek Pahala Batu Mulia,4.3,55,Dadan,5,2026-03-28T09:44:40.684Z,"Pelayanan ramah, bisa konsultasi obat, barang lengkap Mbaknya yng berkaca mata sawo matang Rama dalam melakukan pelayan",pelayanan ramah bisa konsultasi obat barang lengkap mbaknya yng berkaca mata sawo matang rama dalam melakukan pelayan,pelayanan ramah bisa konsultasi obat barang lengkap mbaknya yng berkaca mata sawo matang rama dalam melakukan pelayan,pelayanan ramah konsultasi obat barang lengkap mbaknya yng berkaca mata sawo matang rama melakukan pelayan,Pelayanan,Positif,0.9176
Kesehatan,Klinik & Praktek Dokter,Apotek Pahala Batu Mulia,4.3,55,Dodo Firdaus,5,2026-03-28T09:43:19.785Z,Pelayanan baik Obatnya lengkap Bisa konsultasi obat Mbak yang berkacamata dan tinggi kalo melakukan pengecekan saat menusuk jarum tidak sakit,pelayanan baik obatnya lengkap bisa konsultasi obat mbak yang berkacamata dan tinggi kalo melakukan pengecekan saat menusuk jarum tidak sakit,pelayanan baik obatnya lengkap bisa konsultasi obat mbak yang berkacamata dan tinggi kalo melakukan pengecekan saat menusuk jarum tidak sakit,pelayanan baik obatnya lengkap konsultasi obat mbak berkacamata tinggi kalo melakukan pengecekan menusuk jarum sakit,Pelayanan,Positif,0.9494
