Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Apotek & Farmasi,Apotek Samanhudi,4.4,16,Anisa Lutfia,5,2024-07-29T08:28:08.483Z,"lokasii strategis, pelayanan nyaa ramahh",lokasii strategis pelayanan nyaa ramahh,lokasii strategis pelayanan nyaa ramahh,lokasii strategis pelayanan nyaa ramahh,Pelayanan,Positif,0.9964
Kesehatan,Apotek & Farmasi,Apotek Samanhudi,4.4,16,shinta putri,5,2024-07-29T08:19:25.143Z,harganya murah,harganya murah,harganya murah,harganya murah,Lainnya,Positif,0.9973
Kesehatan,Apotek & Farmasi,Apotek Samanhudi,4.4,16,C. Dia,5,2024-03-11T09:05:15.392Z,"Harga nya sangat terjangkau Lokasi sangat strategis depan pasar Gresik Obat obat nya lengkap, dan punya obat yang sejenis untuk keluhan kita Pelayanan nya ramah",harga nya sangat terjangkau lokasi sangat strategis depan pasar gresik obat obat nya lengkap dan punya obat yang sejenis untuk keluhan kita pelayanan nya ramah,harga nya sangat terjangkau lokasi sangat strategis depan pasar gresik obat obat nya lengkap dan punya obat yang sejenis untuk keluhan kita pelayanan nya ramah,harga terjangkau lokasi strategis depan pasar gresik obat obat lengkap punya obat sejenis keluhan pelayanan ramah,Pelayanan,Positif,0.9778
Kesehatan,Apotek & Farmasi,Apotek Samanhudi,4.4,16,Andiena Elsafira,5,2023-12-17T12:04:12.650Z,"Harga obat terjangkau, stafnya ramah2, buka setiap hari dari pagi sampai malam",harga obat terjangkau stafnya ramah2 buka setiap hari dari pagi sampai malam,harga obat terjangkau stafnya ramah2 buka setiap hari dari pagi sampai malam,harga obat terjangkau stafnya ramah2 buka setiap hari pagi sampai malam,Pelayanan,Positif,0.9966
Kesehatan,Apotek & Farmasi,Apotek Samanhudi,4.4,16,Aisyah Giri Gresik (Aisy),5,2023-03-01T02:57:03.437Z,pelayanannya bagus obat2 nya lengkap harga cukup terjangkau,pelayanannya bagus obat2 nya lengkap harga cukup terjangkau,pelayanannya bagus obat2 nya lengkap harga cukup terjangkau,pelayanannya bagus obat2 lengkap harga cukup terjangkau,Pelayanan,Positif,0.9973
Kesehatan,Apotek & Farmasi,Apotek Samanhudi,4.4,16,WONG - SOKO - TUBAN,5,2019-04-29T06:33:35.407Z,Tempat pas depan pasar. Jadi mudah terlihat,tempat pas depan pasar jadi mudah terlihat,tempat pas depan pasar jadi mudah terlihat,tempat pas depan pasar jadi mudah terlihat,Lainnya,Positif,0.9853
Kesehatan,Apotek & Farmasi,Apotek Samanhudi,4.4,16,anyugds,3,2018-10-03T01:25:30.285Z,"salah satu apotek yang berlokasi di seberang pasar baru kota gresik. letaknya berada dipinggir jalan raya jadi memudahkan sekali pengendara yang melintas melihat. obat obatan lumayan lengkap, sambil menunggu di dalam ada kursi dan tv. untuk harga obat cukup terjangkau.",salah satu apotek yang berlokasi di seberang pasar baru kota gresik letaknya berada dipinggir jalan raya jadi memudahkan sekali pengendara yang melintas melihat obat obatan lumayan lengkap sambil menunggu di dalam ada kursi dan tv untuk harga obat cukup terjangkau,salah satu apotek yang berlokasi di seberang pasar baru kota gresik letaknya berada dipinggir jalan raya jadi memudahkan sekali pengendara yang melintas melihat obat obatan lumayan lengkap sambil menunggu di dalam ada kursi dan tv untuk harga obat cukup terjangkau,salah satu apotek berlokasi seberang pasar kota gresik letaknya berada dipinggir jalan raya jadi memudahkan pengendara melintas melihat obat obatan lumayan lengkap sambil menunggu kursi tv harga obat cukup terjangkau,Fasilitas,Negatif,0.9941
Kesehatan,Apotek & Farmasi,Apotek Samanhudi,4.4,16,yudi oke,4,2017-11-08T17:39:41.542Z,Apotek Samanhudi.,apotek samanhudi,apotek samanhudi,apotek samanhudi,Keamanan,Netral,0.9681
Kesehatan,Apotek & Farmasi,Apotek Samanhudi,4.4,16,Danil Sukses,4,2017-07-05T01:14:27.718Z,pagi sudah buka,pagi sudah buka,pagi sudah buka,pagi buka,Lainnya,Netral,0.8948
Kesehatan,Apotek & Farmasi,Apotek Samanhudi,4.4,16,original fadli,5,2017-04-04T23:50:18.105Z,Pelayanan bagus,pelayanan bagus,pelayanan bagus,pelayanan bagus,Pelayanan,Positif,0.9969
Kesehatan,Apotek & Farmasi,Apotek Samanhudi,4.4,16,Riyan Nandang,3,2015-02-16T05:49:19.695Z,Daftar Outlet Binaan,daftar outlet binaan,daftar outlet binaan,daftar outlet binaan,Lainnya,Netral,0.9869
