Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Apotek & Farmasi,Apotek Sunan Drajat,3.4,19,Mutiara Ramadhani,1,2026-04-12T06:32:29.184Z,"yang jual kyk ga punya adab, ketus kyk org ga bener. yang kurus pendek ga ada senyum senyumnya, budeg bukannya nanya lagi mendekat malah hah hoh hah hoh. selesai ngasih obat ga ada bilang terimakasih, perbaiki lagi pelayanannya.",yang jual kyk ga punya adab ketus kyk org ga bener yang kurus pendek ga ada senyum senyumnya budeg bukannya nanya lagi mendekat malah hah hoh hah hoh selesai ngasih obat ga ada bilang terimakasih perbaiki lagi pelayanannya,yang jual kyk tidak punya adab ketus kyk org tidak bener yang kurus pendek tidak ada senyum senyumnya budeg bukannya nanya lagi mendekat malah hah hoh hah hoh selesai ngasih obat tidak ada bilang terimakasih perbaiki lagi pelayanannya,jual kyk punya adab ketus kyk org bener kurus pendek senyum senyumnya budeg bukannya nanya mendekat malah hah hoh hah hoh selesai ngasih obat bilang terimakasih perbaiki pelayanannya,Pelayanan,Negatif,0.9908
Kesehatan,Apotek & Farmasi,Apotek Sunan Drajat,3.4,19,setya ningrum07,1,2026-02-27T21:49:22.646Z,"pelayanan model apaa sihh inii, judess bangett nggk informatif, nyuruh custmr cpet"" padahal cstmr kn butuh informasi obat yng dibeli. kampungann bngett sihh pelayanannya, di eval dongg karyawannya biar punyak adabb. custmr ngomong baik"" kok situ nge bleyer"" omongannya.",pelayanan model apaa sihh inii judess bangett nggk informatif nyuruh custmr cpet padahal cstmr kn butuh informasi obat yng dibeli kampungann bngett sihh pelayanannya di eval dongg karyawannya biar punyak adabb custmr ngomong baik kok situ nge bleyer omongannya,pelayanan model apaa sihh inii judess bangett nggk informatif nyuruh custmr cpet padahal cstmr kn butuh informasi obat yng dibeli kampungann bngett sihh pelayanannya di eval dongg karyawannya biar punyak adabb custmr ngomong baik kok situ nge bleyer omongannya,pelayanan model apaa sihh inii judess bangett nggk informatif nyuruh custmr cpet padahal cstmr kn butuh informasi obat yng dibeli kampungann bngett sihh pelayanannya eval dongg karyawannya biar punyak adabb custmr ngomong baik kok situ nge bleyer omongannya,Pelayanan,Negatif,0.994
Kesehatan,Apotek & Farmasi,Apotek Sunan Drajat,3.4,19,Akun Ngentod,1,2026-01-04T23:39:49.062Z,Pelayanan kurang ramah. Mbak yang jaga yg kurus muka jutek nada bicara nya judes. Padahl yang beli orang sepuh,pelayanan kurang ramah mbak yang jaga yg kurus muka jutek nada bicara nya judes padahl yang beli orang sepuh,pelayanan kurang ramah mbak yang jaga yang kurus muka jutek nada bicara nya judes padahl yang beli orang sepuh,pelayanan kurang ramah mbak jaga kurus muka jutek nada bicara judes padahl beli orang sepuh,Pelayanan,Negatif,0.9984
Kesehatan,Apotek & Farmasi,Apotek Sunan Drajat,3.4,19,nuri idha,1,2025-12-31T07:10:07.180Z,penjuak ketus,penjuak ketus,penjuak ketus,penjuak ketus,Lainnya,Negatif,0.9709
Kesehatan,Apotek & Farmasi,Apotek Sunan Drajat,3.4,19,Random Channel,1,2025-04-20T14:35:29.748Z,Tdk rama,tdk rama,tidak rama,rama,Lainnya,Negatif,0.6863
Kesehatan,Apotek & Farmasi,Apotek Sunan Drajat,3.4,19,nanda veir,1,2025-04-03T07:17:29.976Z,"Pelayanan cepat, namun pegawai kurang ramah (mba yg kurus kecil dan yg gemuk). Judesss. Minta struk bilangnya gabisa karena ga minta dan udah ganti sift, judess jutek. Kurang informatif dan buru buru. Sy juga kerja di rumah sakit, tp harusnya tetep bersikap profesional dong ke customer. Tolong di training ya pegawainya, komunikasi efektiknya, sopan dan ramah kepada pengunjung. Kesana pertama kurang menyenangkan.",pelayanan cepat namun pegawai kurang ramah mba yg kurus kecil dan yg gemuk judesss minta struk bilangnya gabisa karena ga minta dan udah ganti sift judess jutek kurang informatif dan buru buru sy juga kerja di rumah sakit tp harusnya tetep bersikap profesional dong ke customer tolong di training ya pegawainya komunikasi efektiknya sopan dan ramah kepada pengunjung kesana pertama kurang menyenangkan,pelayanan cepat namun pegawai kurang ramah mba yang kurus kecil dan yang gemuk judesss minta struk bilangnya gabisa karena tidak minta dan udah ganti sift judess jutek kurang informatif dan buru buru saya juga kerja di rumah sakit tapi harusnya tetep bersikap profesional dong ke customer tolong di training ya pegawainya komunikasi efektiknya sopan dan ramah kepada pengunjung kesana pertama kurang menyenangkan,pelayanan cepat pegawai kurang ramah mba kurus kecil gemuk judesss minta struk bilangnya gabisa minta udah ganti sift judess jutek kurang informatif buru buru kerja rumah sakit harusnya tetep bersikap profesional customer tolong training ya pegawainya komunikasi efektiknya sopan ramah kepada pengunjung kesana pertama kurang menyenangkan,Pelayanan,Negatif,0.985
Kesehatan,Apotek & Farmasi,Apotek Sunan Drajat,3.4,19,"Ahmad Fatoni, SH",5,2023-12-06T04:26:39.162Z,Alhamdulillah,alhamdulillah,alhamdulillah,alhamdulillah,Lainnya,Positif,0.9893
Kesehatan,Apotek & Farmasi,Apotek Sunan Drajat,3.4,19,Aida Daa123,4,2020-11-04T00:45:23.101Z,Pelayanannya kurang ramah,pelayanannya kurang ramah,pelayanannya kurang ramah,pelayanannya kurang ramah,Pelayanan,Positif,0.9977
Kesehatan,Apotek & Farmasi,Apotek Sunan Drajat,3.4,19,Fionaz Isza,5,2019-03-17T12:49:56.459Z,Apotik lengkap dan murah.,apotik lengkap dan murah,apotik lengkap dan murah,apotik lengkap murah,Lainnya,Positif,0.9879
Kesehatan,Apotek & Farmasi,Apotek Sunan Drajat,3.4,19,Evi Susan,4,2018-04-02T14:36:27.833Z,Tempat strategis. Harga terjangkau dibanding sekitarnya. Lengkap tempat nyaman luas parkir juga luas,tempat strategis harga terjangkau dibanding sekitarnya lengkap tempat nyaman luas parkir juga luas,tempat strategis harga terjangkau dibanding sekitarnya lengkap tempat nyaman luas parkir juga luas,tempat strategis harga terjangkau dibanding sekitarnya lengkap tempat nyaman luas parkir luas,Fasilitas,Positif,0.9971
