Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Apotek & Farmasi,Apotik Sumber Rejo,4.1,24,Affendi,5,2026-08-02T12:51:46.591Z,Apotek andalan ing Cerme Lor yang sangat mantap tempatnya,apotek andalan ing cerme lor yang sangat mantap tempatnya,apotek andalan ing cerme lor yang sangat bagus tempatnya,apotek andalan ing cerme lor bagus tempatnya,Lainnya,Positif,0.9963
Kesehatan,Apotek & Farmasi,Apotik Sumber Rejo,4.1,24,hendrik cokro,5,2026-04-17T06:13:01.987Z,Murah lengkap,murah lengkap,murah lengkap,murah lengkap,Lainnya,Positif,0.997
Kesehatan,Apotek & Farmasi,Apotik Sumber Rejo,4.1,24,Rara Rafif,5,2023-11-20T04:38:54.668Z,Lengkap dan murah,lengkap dan murah,lengkap dan murah,lengkap murah,Lainnya,Positif,0.9967
Kesehatan,Apotek & Farmasi,Apotik Sumber Rejo,4.1,24,Part Time Traveler,5,2023-05-18T11:09:04.206Z,"Pelayanannya sat set alias cekatan. Pegawainya informatif.  Harga obat relatif lebih murah dibanding beberapa apotek di sekitarnya.  Selain memjual obat, ada beberapa minuman dan susu.  Kalau ke sini, saran jangan bawa mobil karena agak susah parkirnya.  Kalau parkir motor masih cukup muat walau agak ramai.",pelayanannya sat set alias cekatan pegawainya informatif harga obat relatif lebih murah dibanding beberapa apotek di sekitarnya selain memjual obat ada beberapa minuman dan susu kalau ke sini saran jangan bawa mobil karena agak susah parkirnya kalau parkir motor masih cukup muat walau agak ramai,pelayanannya sat set alias cekatan pegawainya informatif harga obat relatif lebih murah dibanding beberapa apotek di sekitarnya selain memjual obat ada beberapa minuman dan susu kalau ke sini saran jangan bawa mobil karena agak susah parkirnya kalau parkir motor masih cukup muat walau agak ramai,pelayanannya sat set alias cekatan pegawainya informatif harga obat relatif murah dibanding beberapa apotek sekitarnya selain memjual obat beberapa minuman susu sini saran jangan bawa mobil agak susah parkirnya parkir motor cukup muat walau agak ramai,Pelayanan,Positif,0.9886
Kesehatan,Apotek & Farmasi,Apotik Sumber Rejo,4.1,24,Rara Rafif,5,2022-07-01T06:26:12.058Z,Obat nya lengkap cepat pelayanannya mbak2 juga ramah ... Bisa konsultasi juga,obat nya lengkap cepat pelayanannya mbak2 juga ramah bisa konsultasi juga,obat nya lengkap cepat pelayanannya mbak2 juga ramah bisa konsultasi juga,obat lengkap cepat pelayanannya mbak2 ramah konsultasi,Pelayanan,Positif,0.9912
Kesehatan,Apotek & Farmasi,Apotik Sumber Rejo,4.1,24,moch tadjudin,1,2022-02-01T03:19:36.538Z,Pegawai tidak sopan. Ada pesanan halodok tidak di lihat. Jauh jauh dari banjarsari barang kosong,pegawai tidak sopan ada pesanan halodok tidak di lihat jauh jauh dari banjarsari barang kosong,pegawai tidak sopan ada pesanan halodok tidak di lihat jauh jauh dari banjarsari barang kosong,pegawai sopan pesanan halodok lihat jauh jauh banjarsari barang kosong,Pelayanan,Negatif,0.9313
Kesehatan,Apotek & Farmasi,Apotik Sumber Rejo,4.1,24,zainul Mukhlis,5,2021-07-28T12:11:26.828Z,Obat nya lengkap dan murah pelayanannya jg enak kalau ditanya selalu ramah,obat nya lengkap dan murah pelayanannya jg enak kalau ditanya selalu ramah,obat nya lengkap dan murah pelayanannya juga enak kalau ditanya selalu ramah,obat lengkap murah pelayanannya enak ditanya selalu ramah,Pelayanan,Positif,0.9968
Kesehatan,Apotek & Farmasi,Apotik Sumber Rejo,4.1,24,imam purwanto,3,2021-01-21T01:06:59.721Z,Harga nya murah...pelayanan cepat..cuma sayang kurang senyumnya...,harga nya murah pelayanan cepat cuma sayang kurang senyumnya,harga nya murah pelayanan cepat cuma sayang kurang senyumnya,harga murah pelayanan cepat cuma sayang kurang senyumnya,Pelayanan,Negatif,0.9939
Kesehatan,Apotek & Farmasi,Apotik Sumber Rejo,4.1,24,aji widhia,4,2020-01-07T00:18:10.121Z,"Lengkap dan murah, mbak2 yg melayani semoga bisa selalu ramah dan senyum 😊",lengkap dan murah mbak2 yg melayani semoga bisa selalu ramah dan senyum,lengkap dan murah mbak2 yang melayani semoga bisa selalu ramah dan senyum,lengkap murah mbak2 melayani semoga selalu ramah senyum,Pelayanan,Positif,0.9929
Kesehatan,Apotek & Farmasi,Apotik Sumber Rejo,4.1,24,Rica Unyuxietha,3,2019-09-26T07:16:20.807Z,Langganan apotik ini.. obatnya lengkap harganya terjangkau.. cuma mbak2nya kadang senyumnya kurang..,langganan apotik ini obatnya lengkap harganya terjangkau cuma mbak2nya kadang senyumnya kurang,langganan apotik ini obatnya lengkap harganya terjangkau cuma mbak2nya kadang senyumnya kurang,langganan apotik obatnya lengkap harganya terjangkau cuma mbak2nya kadang senyumnya kurang,Kesehatan,Negatif,0.9852
Kesehatan,Apotek & Farmasi,Apotik Sumber Rejo,4.1,24,Friyant Fatin,3,2018-03-18T07:37:10.391Z,Kurang ramah,kurang ramah,kurang ramah,kurang ramah,Pelayanan,Positif,0.9976
Kesehatan,Apotek & Farmasi,Apotik Sumber Rejo,4.1,24,Ninah Tri Hartatik,3,2017-12-27T02:50:02.257Z,Apotik dg jenis obat yg terlengkap di wilayah cerme,apotik dg jenis obat yg terlengkap di wilayah cerme,apotik dengan jenis obat yang terlengkap di wilayah cerme,apotik jenis obat terlengkap wilayah cerme,Kesehatan,Netral,0.9179
Kesehatan,Apotek & Farmasi,Apotik Sumber Rejo,4.1,24,lulus andika,5,2017-10-06T06:21:48.202Z,Lengkap,lengkap,lengkap,lengkap,Lainnya,Positif,0.9938
Kesehatan,Apotek & Farmasi,Apotik Sumber Rejo,4.1,24,muhammad irwan,4,2017-09-07T10:11:24.637Z,Mantep,mantep,mantep,mantep,Lainnya,Positif,0.9973
Kesehatan,Apotek & Farmasi,Apotik Sumber Rejo,4.1,24,xnngx,1,2017-07-06T04:06:15.227Z,Tuku tuzalos ae gak ono,tuku tuzalos ae gak ono,tuku tuzalos ae tidak ono,tuku tuzalos ae ono,Lainnya,Negatif,0.8781
Kesehatan,Apotek & Farmasi,Apotik Sumber Rejo,4.1,24,Tri Wahyudi,5,2017-03-13T15:25:03.534Z,"Pharmacy store in cerme distric, near traditional market, pretty crowd with customer, nice and friendly service",pharmacy store in cerme distric near traditional market pretty crowd with customer nice and friendly service,pharmacy store in cerme distric near traditional market pretty crowd with customer nice and friendly service,pharmacy store in cerme distric near traditional market pretty crowd with customer nice and friendly service,Fasilitas,Netral,0.6193
Kesehatan,Apotek & Farmasi,Apotik Sumber Rejo,4.1,24,Nashruddin,5,2017-02-11T08:47:41.503Z,Lengkap dan Murah.,lengkap dan murah,lengkap dan murah,lengkap murah,Lainnya,Positif,0.9967
