Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,Instansi Vertikal,Badan Narkotika Nasional Kabupaten Gresik,4.3,35,Habibi Mas884,1,2025-11-17T21:56:02.129Z,Apakah disitu ada mister Chan dan nama security yang bernama pak Slamet.?,apakah disitu ada mister chan dan nama security yang bernama pak slamet,apakah disitu ada mister chan dan nama security yang bernama pak slamet,apakah disitu mister chan nama security bernama pak slamet,Keamanan,Netral,0.9542
Pemerintahan,Instansi Vertikal,Badan Narkotika Nasional Kabupaten Gresik,4.3,35,Basuki Gres,5,2025-08-07T01:27:15.504Z,Ayo Wujudkan Indonesia Bersinar,ayo wujudkan indonesia bersinar,ayo wujudkan indonesia bersinar,ayo wujudkan indonesia bersinar,Lainnya,Positif,0.9149
Pemerintahan,Instansi Vertikal,Badan Narkotika Nasional Kabupaten Gresik,4.3,35,Hasan Rifai,3,2025-07-25T10:48:57.472Z,Kantornya sllu terlihat sepi,kantornya sllu terlihat sepi,kantornya sllu terlihat sepi,kantornya sllu terlihat sepi,Lainnya,Positif,0.9899
Pemerintahan,Instansi Vertikal,Badan Narkotika Nasional Kabupaten Gresik,4.3,35,pak d yoyon,5,2025-01-26T01:59:37.088Z,"Konsultasi tentang rencana dan cara rehab narkoba, pelayanan SKHPN dan pelayanannya cepat",konsultasi tentang rencana dan cara rehab narkoba pelayanan skhpn dan pelayanannya cepat,konsultasi tentang rencana dan cara rehab narkoba pelayanan skhpn dan pelayanannya cepat,konsultasi tentang rencana cara rehab narkoba pelayanan skhpn pelayanannya cepat,Pelayanan,Netral,0.6186
Pemerintahan,Instansi Vertikal,Badan Narkotika Nasional Kabupaten Gresik,4.3,35,Rino Do Carmo,4,2024-09-24T05:26:05.497Z,Mantap,mantap,bagus,bagus,Lainnya,Positif,0.9961
Pemerintahan,Instansi Vertikal,Badan Narkotika Nasional Kabupaten Gresik,4.3,35,Puisi Cinta,1,2024-04-23T01:11:33.672Z,Sangat baik pelaayanan,sangat baik pelaayanan,sangat baik pelaayanan,baik pelaayanan,Lainnya,Negatif,0.9328
Pemerintahan,Instansi Vertikal,Badan Narkotika Nasional Kabupaten Gresik,4.3,35,Zuhri Pribadi,5,2024-04-14T04:25:36.724Z,BNN Gresik,bnn gresik,bnn gresik,bnn gresik,Lainnya,Netral,0.9864
Pemerintahan,Instansi Vertikal,Badan Narkotika Nasional Kabupaten Gresik,4.3,35,The Mift,4,2023-12-19T13:25:13.996Z,"Pelayanan test bebas narkoba 290.000, lbh mahal drpd di RS Daerah. Nice standard government office..",pelayanan test bebas narkoba lbh mahal drpd di rs daerah nice standard government office,pelayanan test bebas narkoba lebih mahal drpd di rumah sakit daerah nice standard government office,pelayanan test bebas narkoba mahal drpd rumah sakit daerah nice standard government office,Pelayanan,Netral,0.4976
Pemerintahan,Instansi Vertikal,Badan Narkotika Nasional Kabupaten Gresik,4.3,35,Agus Suryo,5,2023-10-02T07:04:38.484Z,"Apakah rehabilitasi di sini bisa,,apa ada biaya",apakah rehabilitasi di sini bisa apa ada biaya,apakah rehabilitasi di sini bisa apa ada biaya,apakah rehabilitasi sini apa biaya,Lainnya,Positif,0.5131
Pemerintahan,Instansi Vertikal,Badan Narkotika Nasional Kabupaten Gresik,4.3,35,Amar Siddiq,5,2023-09-12T06:51:49.357Z,"Pelayanan ramah, cepat dan baik. Salah satu tempat pelayanan publik terbaik yg pernah saya datangi.",pelayanan ramah cepat dan baik salah satu tempat pelayanan publik terbaik yg pernah saya datangi,pelayanan ramah cepat dan baik salah satu tempat pelayanan publik terbaik yang pernah saya datangi,pelayanan ramah cepat baik salah satu tempat pelayanan publik terbaik pernah datangi,Pelayanan,Positif,0.9949
