Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,Kelurahan/Desa,Balai Desa Sukorejo,4.2,161,aisjah rachma,5,2025-10-14T07:43:43.094Z,Nyaman bersih,nyaman bersih,nyaman bersih,nyaman bersih,Fasilitas,Positif,0.9971
Pemerintahan,Kelurahan/Desa,Balai Desa Sukorejo,4.2,161,Sri Budiharjo,5,2024-08-27T11:45:53.936Z,"Tempat nya strategis, tdk 0 jalan, tp tdk jauh dari Jl raya",tempat nya strategis tdk jalan tp tdk jauh dari jl raya,tempat nya strategis tidak jalan tapi tidak jauh dari jl raya,tempat strategis jalan jauh jl raya,Infrastruktur,Positif,0.9714
Pemerintahan,Kelurahan/Desa,Balai Desa Sukorejo,4.2,161,LA Media Cipta,5,2023-11-16T14:17:17.353Z,Balai Desa yang nyaman dan bersih...,balai desa yang nyaman dan bersih,balai desa yang nyaman dan bersih,balai desa nyaman bersih,Fasilitas,Positif,0.9952
Pemerintahan,Kelurahan/Desa,Balai Desa Sukorejo,4.2,161,khuzainal arifin,5,2023-07-21T08:03:11.856Z,"Lokasinya agak masuk dannmemang adem, untk pengembangan spertinya lbh baik pindah ke selatan krn lahan sdh tdk mencukupi.",lokasinya agak masuk dannmemang adem untk pengembangan spertinya lbh baik pindah ke selatan krn lahan sdh tdk mencukupi,lokasinya agak masuk dannmemang adem untk pengembangan spertinya lebih baik pindah ke selatan karena lahan sudah tidak mencukupi,lokasinya agak masuk dannmemang adem untk pengembangan spertinya baik pindah selatan lahan mencukupi,Lainnya,Positif,0.9844
Pemerintahan,Kelurahan/Desa,Balai Desa Sukorejo,4.2,161,fani kaze,5,2023-07-02T09:01:36.107Z,Good,good,good,good,Lainnya,Positif,0.9942
Pemerintahan,Kelurahan/Desa,Balai Desa Sukorejo,4.2,161,Dicky Rengga Aldi Maulun,5,2023-04-30T08:47:58.101Z,"Desa yang asri dan memiliki penduduk yang marah,",desa yang asri dan memiliki penduduk yang marah,desa yang asri dan memiliki penduduk yang marah,desa asri memiliki penduduk marah,Lainnya,Positif,0.6231
Pemerintahan,Kelurahan/Desa,Balai Desa Sukorejo,4.2,161,Wahyudi Yudi,3,2022-09-19T00:43:56.503Z,Saya kurang tau tempat ini tp Sy kasi bintang 3 trima kasih,saya kurang tau tempat ini tp sy kasi bintang trima kasih,saya kurang tau tempat ini tapi saya kasi bintang trima kasih,kurang tau tempat kasi bintang trima kasih,Lainnya,Positif,0.9014
Pemerintahan,Kelurahan/Desa,Balai Desa Sukorejo,4.2,161,dino tin,4,2022-09-03T13:53:54.446Z,luas bersih,luas bersih,luas bersih,luas bersih,Fasilitas,Positif,0.9952
Pemerintahan,Kelurahan/Desa,Balai Desa Sukorejo,4.2,161,suwarno warno,5,2022-05-15T10:13:02.267Z,"Baru kali ini saya msk ds sukorejo dlm rangka halal bihalal PWRI di rmh bpk sugeng, desanya bersih menyenangkan..",baru kali ini saya msk ds sukorejo dlm rangka halal bihalal pwri di rmh bpk sugeng desanya bersih menyenangkan,baru kali ini saya msk ds sukorejo dalam rangka halal bihalal pwri di rmh bpk sugeng desanya bersih menyenangkan,kali msk ds sukorejo rangka halal bihalal pwri rmh bpk sugeng desanya bersih menyenangkan,Fasilitas,Positif,0.9861
Pemerintahan,Kelurahan/Desa,Balai Desa Sukorejo,4.2,161,Nur Dianto,5,2022-05-02T09:38:47.977Z,Bagus n indah,bagus n indah,bagus n indah,bagus indah,Lainnya,Positif,0.9962
Pemerintahan,Kelurahan/Desa,Balai Desa Sukorejo,4.2,161,Dela Dwi,5,2022-03-23T23:29:07.255Z,Pelayanan baik dan ramah tama pegawai dalam berkomunikasi dengan warga dan tamu,pelayanan baik dan ramah tama pegawai dalam berkomunikasi dengan warga dan tamu,pelayanan baik dan ramah tama pegawai dalam berkomunikasi dengan warga dan tamu,pelayanan baik ramah tama pegawai berkomunikasi warga tamu,Pelayanan,Positif,0.9775
Pemerintahan,Kelurahan/Desa,Balai Desa Sukorejo,4.2,161,Ezi Oi,5,2022-01-29T16:46:35.261Z,Kantor kepala desa dan tempat aulah yang bersih,kantor kepala desa dan tempat aulah yang bersih,kantor kepala desa dan tempat aulah yang bersih,kantor kepala desa tempat aulah bersih,Fasilitas,Netral,0.9423
Pemerintahan,Kelurahan/Desa,Balai Desa Sukorejo,4.2,161,wyn,4,2021-12-26T02:59:51.141Z,hari-hari yang menyenangkan,hari hari yang menyenangkan,hari hari yang menyenangkan,hari hari menyenangkan,Lainnya,Positif,0.9966
