Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,Kelurahan/Desa,Balai pertemuan,5,70,H.A.R,5,2025-01-11T13:46:32.739Z,Tempat berkumpulnya warga di sekitar untuk berbagai acara,tempat berkumpulnya warga di sekitar untuk berbagai acara,tempat berkumpulnya warga di sekitar untuk berbagai acara,tempat berkumpulnya warga sekitar berbagai acara,Fasilitas,Netral,0.8112
Pemerintahan,Kelurahan/Desa,Balai pertemuan,5,70,Aditya bayu Saputra,5,2024-07-28T02:34:33.725Z,"tempatnya nyaman, dan strategis",tempatnya nyaman dan strategis,tempatnya nyaman dan strategis,tempatnya nyaman strategis,Fasilitas,Positif,0.9974
Pemerintahan,Kelurahan/Desa,Balai pertemuan,5,70,D4mboo,5,2024-07-28T02:15:42.093Z,tempatnya nyaman fasilitas komplit ada AC TV Alat musik,tempatnya nyaman fasilitas komplit ada ac tv alat musik,tempatnya nyaman fasilitas komplit ada ac tv alat musik,tempatnya nyaman fasilitas komplit ac tv alat musik,Fasilitas,Positif,0.9929
Pemerintahan,Kelurahan/Desa,Balai pertemuan,5,70,Sgy Rks,5,2024-07-28T01:55:41.177Z,Nyaman dan enak untuk pertemuan,nyaman dan enak untuk pertemuan,nyaman dan enak untuk pertemuan,nyaman enak pertemuan,Fasilitas,Positif,0.9967
Pemerintahan,Kelurahan/Desa,Balai pertemuan,5,70,Siti Marwiyah,5,2024-07-04T17:13:30.825Z,Tempat nya nyaman full AC Kondisi ruangan selalu bersih dan rapih,tempat nya nyaman full ac kondisi ruangan selalu bersih dan rapih,tempat nya nyaman full ac kondisi ruangan selalu bersih dan rapih,tempat nyaman full ac kondisi ruangan selalu bersih rapih,Fasilitas,Positif,0.9936
Pemerintahan,Kelurahan/Desa,Balai pertemuan,5,70,Ilham Fajar Agustian,5,2024-04-09T02:58:00.019Z,Untuk tempat nya bersih dan nyaman fasilitas nya pun juga lengkap dan memadai dijamin mantap,untuk tempat nya bersih dan nyaman fasilitas nya pun juga lengkap dan memadai dijamin mantap,untuk tempat nya bersih dan nyaman fasilitas nya pun juga lengkap dan memadai dijamin bagus,tempat bersih nyaman fasilitas lengkap memadai dijamin bagus,Fasilitas,Positif,0.9975
Pemerintahan,Kelurahan/Desa,Balai pertemuan,5,70,rohim solehan,5,2024-04-09T02:20:42.641Z,"Bersih, nyaman dan akses mudah",bersih nyaman dan akses mudah,bersih nyaman dan akses mudah,bersih nyaman akses mudah,Fasilitas,Positif,0.9962
Pemerintahan,Kelurahan/Desa,Balai pertemuan,5,70,Rudi jkt,5,2024-01-23T13:30:38.323Z,"Tempatnya rapi , bersih dan bagus",tempatnya rapi bersih dan bagus,tempatnya rapi bersih dan bagus,tempatnya rapi bersih bagus,Fasilitas,Positif,0.9976
Pemerintahan,Kelurahan/Desa,Balai pertemuan,5,70,budi anta,5,2024-01-18T15:36:55.307Z,mantap,mantap,bagus,bagus,Lainnya,Positif,0.9961
Pemerintahan,Kelurahan/Desa,Balai pertemuan,5,70,ichsan 0971,5,2024-01-18T15:33:29.824Z,mantap...keren poll...semoga tambah mempererat persaudaraan warga rt 02,mantap keren poll semoga tambah mempererat persaudaraan warga rt,bagus bagus poll semoga tambah mempererat persaudaraan warga rt,bagus bagus poll semoga tambah mempererat persaudaraan warga rt,Lainnya,Positif,0.976
Pemerintahan,Kelurahan/Desa,Balai pertemuan,5,70,Haryanto Yanto,5,2024-01-18T15:33:11.373Z,Keren poll,keren poll,bagus poll,bagus poll,Lainnya,Positif,0.9922
Pemerintahan,Kelurahan/Desa,Balai pertemuan,5,70,Irfan Arjuna,5,2024-01-18T15:31:37.860Z,Joss tenan,joss tenan,joss tenan,joss tenan,Lainnya,Positif,0.9949
Pemerintahan,Kelurahan/Desa,Balai pertemuan,5,70,Yaya Marya,5,2024-01-17T08:00:41.021Z,Tempatnya strategis dan nyaman,tempatnya strategis dan nyaman,tempatnya strategis dan nyaman,tempatnya strategis nyaman,Fasilitas,Positif,0.9973
Pemerintahan,Kelurahan/Desa,Balai pertemuan,5,70,Eko Purwanto,5,2024-01-17T03:32:34.087Z,Strategis,strategis,strategis,strategis,Lainnya,Positif,0.9965
Pemerintahan,Kelurahan/Desa,Balai pertemuan,5,70,Eni Purwanti,5,2024-01-17T03:26:21.424Z,Mantap pak bos..👍👍,mantap pak bos,bagus pak bos,bagus pak bos,Lainnya,Positif,0.9916
Pemerintahan,Kelurahan/Desa,Balai pertemuan,5,70,suratiman timan,5,2024-01-17T03:02:20.452Z,Nyaman,nyaman,nyaman,nyaman,Fasilitas,Positif,0.9972
