Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Perbankan,Bank BNI Cabang Gresik,4.1,122,Tegar Bergaskara Egar,3,2022-09-20T10:07:34.719Z,"untuk pelayanan memuaskan tapi yang bikin terkejutnya adalah ketika KTP saya tidak bisa discan oleh mesin scanner KTP disana , hampir saja saya disuruh ke dispenduk untuk update ulang KTP versi Baru. hmmm.. kalau waktu itu saya diharuskan ke dipenduk terlebih dahulu mungkin saya kasih rating pelayanan disini bintang 1 .  selebihnya CS BNI ramah . terima kasih atas bantuannya.",untuk pelayanan memuaskan tapi yang bikin terkejutnya adalah ketika ktp saya tidak bisa discan oleh mesin scanner ktp disana hampir saja saya disuruh ke dispenduk untuk update ulang ktp versi baru hmmm kalau waktu itu saya diharuskan ke dipenduk terlebih dahulu mungkin saya kasih rating pelayanan disini bintang selebihnya cs bni ramah terima kasih atas bantuannya,untuk pelayanan memuaskan tapi yang bikin terkejutnya adalah ketika ktp saya tidak bisa discan oleh mesin scanner ktp disana hampir saja saya disuruh ke dispenduk untuk update ulang ktp versi baru hmmm kalau waktu itu saya diharuskan ke dipenduk terlebih dahulu mungkin saya kasih rating pelayanan disini bintang selebihnya cs bni ramah terima kasih atas bantuannya,pelayanan memuaskan bikin terkejutnya ktp discan mesin scanner ktp disana hampir saja disuruh dispenduk update ulang ktp versi hmmm waktu diharuskan dipenduk terlebih dahulu mungkin kasih rating pelayanan disini bintang selebihnya cs bni ramah terima kasih atas bantuannya,Pelayanan,Positif,0.9631
Perbankan,Bank BNI Cabang Gresik,4.1,122,SUMANTRI JAYA,3,2022-09-20T00:53:32.113Z,Area lokasi parkir mobil yg terbatas,area lokasi parkir mobil yg terbatas,area lokasi parkir mobil yang terbatas,area lokasi parkir mobil terbatas,Fasilitas,Netral,0.9216
Perbankan,Bank BNI Cabang Gresik,4.1,122,Barkowi Official,5,2022-07-18T11:36:04.592Z,"Transaksi perbankan di kota Gresik yang sangat mudah dan cepat ,jangan lupa transaksi perbankan di BNI Kantor Cabang Gresik Jl Veteran No 142 Greaik",transaksi perbankan di kota gresik yang sangat mudah dan cepat jangan lupa transaksi perbankan di bni kantor cabang gresik jl veteran no greaik,transaksi perbankan di kota gresik yang sangat mudah dan cepat jangan lupa transaksi perbankan di bni kantor cabang gresik jl veteran no greaik,transaksi perbankan kota gresik mudah cepat jangan lupa transaksi perbankan bni kantor cabang gresik jl veteran no greaik,Pelayanan,Netral,0.7749
Perbankan,Bank BNI Cabang Gresik,4.1,122,Sonny Kurniawan,5,2022-07-18T10:34:53.559Z,"Pelayanannya memuaskan , petugas teller dan cs nya baik-baik. Satpamnya juga sopan.",pelayanannya memuaskan petugas teller dan cs nya baik baik satpamnya juga sopan,pelayanannya memuaskan petugas teller dan cs nya baik baik satpamnya juga sopan,pelayanannya memuaskan petugas teller cs baik baik satpamnya sopan,Pelayanan,Positif,0.9911
Perbankan,Bank BNI Cabang Gresik,4.1,122,yohan samudera,5,2022-07-18T10:27:25.777Z,Bagus layanan dari BNI Gresik. Team nya ramah n cekatan. Terima kasih BNI Gresik,bagus layanan dari bni gresik team nya ramah n cekatan terima kasih bni gresik,bagus layanan dari bni gresik team nya ramah n cekatan terima kasih bni gresik,bagus layanan bni gresik team ramah cekatan terima kasih bni gresik,Pelayanan,Positif,0.9884
Perbankan,Bank BNI Cabang Gresik,4.1,122,smart private,5,2022-07-18T10:25:00.964Z,"Tempatnya nyaman,pelayanan nya Prima,bisa ajukan KUR..TOP",tempatnya nyaman pelayanan nya prima bisa ajukan kur top,tempatnya nyaman pelayanan nya prima bisa ajukan kur top,tempatnya nyaman pelayanan prima ajukan kur top,Pelayanan,Positif,0.9958
Perbankan,Bank BNI Cabang Gresik,4.1,122,Soenardi Al Falah,5,2022-07-18T09:48:49.957Z,"Customer service nya ramah, satpam nya smart, semua karyawan nya ramah, nyaman pokok nya disini... Terimakasih BNI.",customer service nya ramah satpam nya smart semua karyawan nya ramah nyaman pokok nya disini terimakasih bni,customer service nya ramah satpam nya smart semua karyawan nya ramah nyaman pokok nya disini terimakasih bni,customer service ramah satpam smart semua karyawan ramah nyaman pokok disini terimakasih bni,Pelayanan,Positif,0.9824
Perbankan,Bank BNI Cabang Gresik,4.1,122,Be Talk Surabaya,5,2022-07-18T09:16:00.605Z,BNI Gresik layanan nya sangat memuaskan. Buktinya kami saat transaksi di BNI Gresik sangat bagus,bni gresik layanan nya sangat memuaskan buktinya kami saat transaksi di bni gresik sangat bagus,bni gresik layanan nya sangat memuaskan buktinya kami saat transaksi di bni gresik sangat bagus,bni gresik layanan memuaskan buktinya transaksi bni gresik bagus,Pelayanan,Positif,0.9944
Perbankan,Bank BNI Cabang Gresik,4.1,122,Karno Wijoyo,5,2022-07-18T09:13:09.532Z,"Pelayanan baik,dan ramah",pelayanan baik dan ramah,pelayanan baik dan ramah,pelayanan baik ramah,Pelayanan,Positif,0.995
Perbankan,Bank BNI Cabang Gresik,4.1,122,brigasa store,5,2022-07-18T09:11:25.385Z,Layananan BNI Gresik cepat dan ramah.,layananan bni gresik cepat dan ramah,layananan bni gresik cepat dan ramah,layananan bni gresik cepat ramah,Pelayanan,Positif,0.9894
Perbankan,Bank BNI Cabang Gresik,4.1,122,Laily Sabiroza,5,2022-07-18T09:10:17.487Z,Proses Garansi Bank cepat sekali .. 2 jam bisa selesai loh 🤩🤩,proses garansi bank cepat sekali jam bisa selesai loh,proses garansi bank cepat sekali jam bisa selesai loh,proses garansi bank cepat jam selesai loh,Pelayanan,Positif,0.9433
Perbankan,Bank BNI Cabang Gresik,4.1,122,Navy eka Pattiruhu,5,2022-07-11T13:14:56.079Z,Mantap,mantap,bagus,bagus,Lainnya,Positif,0.9961
