Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Perbankan,BANK BNI CERME,4,73,Eka Nurhidayah,5,2022-08-30T06:36:39.903Z,Pelayanan sangat baik dan ramah,pelayanan sangat baik dan ramah,pelayanan sangat baik dan ramah,pelayanan baik ramah,Pelayanan,Negatif,0.995
Perbankan,BANK BNI CERME,4,73,zia Rohmah,5,2022-08-30T06:32:49.613Z,Pelayanan sangat baik dan ramah,pelayanan sangat baik dan ramah,pelayanan sangat baik dan ramah,pelayanan baik ramah,Pelayanan,Negatif,0.995
Perbankan,BANK BNI CERME,4,73,Alby Fauzi,5,2022-08-16T12:01:31.475Z,Cukup bersahabat dan pelayana  cukup memuaskan,cukup bersahabat dan pelayana cukup memuaskan,cukup bersahabat dan pelayana cukup memuaskan,cukup bersahabat pelayana cukup memuaskan,Lainnya,Negatif,0.9952
Perbankan,BANK BNI CERME,4,73,Sahi Li,5,2022-08-15T07:45:35.343Z,"Walau rame, tapi santai... Pelayanan nya ramah,... Dengan d bantu satpam",walau rame tapi santai pelayanan nya ramah dengan d bantu satpam,walau rame tapi santai pelayanan nya ramah dengan d bantu satpam,walau rame santai pelayanan ramah bantu satpam,Pelayanan,Negatif,0.9735
Perbankan,BANK BNI CERME,4,73,Novi ayu indriani,5,2022-08-15T05:37:10.845Z,"Pelayanan ramah dari CS Teller Satpam, Dan Jukir nya baik hati ☺️",pelayanan ramah dari cs teller satpam dan jukir nya baik hati,pelayanan ramah dari cs teller satpam dan jukir nya baik hati,pelayanan ramah cs teller satpam jukir baik hati,Pelayanan,Negatif,0.9496
Perbankan,BANK BNI CERME,4,73,Widodo Yudianto,5,2022-08-15T05:18:38.731Z,Bni Cerme Mantap 👍👍,bni cerme mantap,bni cerme bagus,bni cerme bagus,Lainnya,Negatif,0.9942
Perbankan,BANK BNI CERME,4,73,sutikno uchathifaazka,5,2022-08-15T05:04:49.815Z,"Bagus tempatx, nyaman. Pelayanan cepat",bagus tempatx nyaman pelayanan cepat,bagus tempatx nyaman pelayanan cepat,bagus tempatx nyaman pelayanan cepat,Pelayanan,Negatif,0.9959
Perbankan,BANK BNI CERME,4,73,Amirul Muminin,5,2022-08-15T04:53:45.626Z,Pelayanan bagus teler ramah,pelayanan bagus teler ramah,pelayanan bagus teler ramah,pelayanan bagus teler ramah,Pelayanan,Negatif,0.9955
Perbankan,BANK BNI CERME,4,73,ferry Yadi,5,2022-08-15T04:34:02.867Z,Pelayanan cepat .teller dan cs ramah,pelayanan cepat teller dan cs ramah,pelayanan cepat teller dan cs ramah,pelayanan cepat teller cs ramah,Pelayanan,Negatif,0.9868
Perbankan,BANK BNI CERME,4,73,Anak Bungsu,5,2022-08-15T03:23:24.206Z,Good job,good job,good job,good job,Lainnya,Negatif,0.993
Perbankan,BANK BNI CERME,4,73,Feni Rahma,5,2022-08-15T03:20:14.645Z,Bagus,bagus,bagus,bagus,Lainnya,Negatif,0.9961
Perbankan,BANK BNI CERME,4,73,Cerme Ae,5,2022-08-15T02:38:27.651Z,sangat baik,sangat baik,sangat baik,baik,Lainnya,Negatif,0.9844
Perbankan,BANK BNI CERME,4,73,Lailatul Sholikah,5,2022-08-04T02:31:00.531Z,baik,baik,baik,baik,Lainnya,Negatif,0.9844
Perbankan,BANK BNI CERME,4,73,Alysia salsabillah nuriz zahrah,5,2022-08-02T09:26:45.280Z,Ada ATM setor tunai yg sangat membanggakan,ada atm setor tunai yg sangat membanggakan,ada atm setor tunai yang sangat membanggakan,atm setor tunai membanggakan,Lainnya,Negatif,0.9789
Perbankan,BANK BNI CERME,4,73,Ria Mariana,5,2022-08-02T08:48:59.592Z,Petugas ramah dan sigap dalam membantu nasabah. Sip deh,petugas ramah dan sigap dalam membantu nasabah sip deh,petugas ramah dan sigap dalam membantu nasabah sip deh,petugas ramah sigap membantu nasabah sip,Pelayanan,Negatif,0.9826
Perbankan,BANK BNI CERME,4,73,Goldina Fathin,5,2022-08-02T08:42:33.166Z,Pelayananya cepat dan ramah,pelayananya cepat dan ramah,pelayananya cepat dan ramah,pelayananya cepat ramah,Pelayanan,Negatif,0.996
Perbankan,BANK BNI CERME,4,73,Ifsal Av,5,2022-08-02T05:29:18.078Z,Teller dan Customer service nya memberikan pelayanan yang memuaskan,teller dan customer service nya memberikan pelayanan yang memuaskan,teller dan customer service nya memberikan pelayanan yang memuaskan,teller customer service memberikan pelayanan memuaskan,Pelayanan,Negatif,0.9086
