Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Perbankan,Bank BRI KCP Driyorejo,3,27,Deki Zamka,1,2022-09-14T06:38:01.678Z,mw buka tabungan kok malah suruh nunggu jam istrhat juga sudah 13.30 pelayanan kurang baik,mw buka tabungan kok malah suruh nunggu jam istrhat juga sudah pelayanan kurang baik,mw buka tabungan kok malah suruh nunggu jam istrhat juga sudah pelayanan kurang baik,mw buka tabungan kok malah suruh nunggu jam istrhat pelayanan kurang baik,Pelayanan,Positif,0.9957
Perbankan,Bank BRI KCP Driyorejo,3,27,siti masulla,3,2022-08-02T00:31:16.096Z,"Mau buka rekening baru, pelayanannya lama karna hnya 1org yg melayani.. Mohon di perbaiki lagi",mau buka rekening baru pelayanannya lama karna hnya 1org yg melayani mohon di perbaiki lagi,mau buka rekening baru pelayanannya lama karna hnya 1org yang melayani mohon di perbaiki lagi,mau buka rekening pelayanannya lama karna hnya 1org melayani mohon perbaiki,Pelayanan,Positif,0.9889
Perbankan,Bank BRI KCP Driyorejo,3,27,Bayu Nur,1,2022-06-24T08:10:48.226Z,Lemot,lemot,lemot,lemot,Lainnya,Positif,0.998
Perbankan,Bank BRI KCP Driyorejo,3,27,Titin Kharisma,3,2022-05-27T04:11:37.710Z,pelayanan CS yg lama karena cuma 1 orang,pelayanan cs yg lama karena cuma orang,pelayanan cs yang lama karena cuma orang,pelayanan cs lama cuma orang,Pelayanan,Positif,0.9965
Perbankan,Bank BRI KCP Driyorejo,3,27,moci ya,1,2022-03-22T03:23:08.791Z,"gunanya nomor antrian gaada, kalah saya yang pinjaman, antri nomor awal malah gadidulukan sesuai.",gunanya nomor antrian gaada kalah saya yang pinjaman antri nomor awal malah gadidulukan sesuai,gunanya nomor antrian gaada kalah saya yang pinjaman antrian nomor awal malah gadidulukan sesuai,gunanya nomor antrian gaada kalah pinjaman antrian nomor awal malah gadidulukan sesuai,Pelayanan,Positif,0.9852
Perbankan,Bank BRI KCP Driyorejo,3,27,raraqais raraqais,2,2022-01-05T05:42:14.961Z,Top up brizzi di atm bri driyo rek sdh terpotong saldo brizzi tetap tanya cs nya palah di suruh ke bri cangkir..,top up brizzi di atm bri driyo rek sdh terpotong saldo brizzi tetap tanya cs nya palah di suruh ke bri cangkir,top up brizzi di atm bri driyo rek sudah terpotong saldo brizzi tetap tanya cs nya palah di suruh ke bri cangkir,top up brizzi atm bri driyo rek terpotong saldo brizzi tetap tanya cs palah suruh bri cangkir,Lainnya,Netral,0.9957
Perbankan,Bank BRI KCP Driyorejo,3,27,muhamad arif,1,2021-12-31T01:56:40.672Z,BANK ndak bisa bedakan ATM Ketelan sama hilang. Ini bank BUMN pelayanan rakyat malah bikin ribet rakyat  Save rakyat indonesia BANK ndak berpihak ke rakyat harus di tindak,bank ndak bisa bedakan atm ketelan sama hilang ini bank bumn pelayanan rakyat malah bikin ribet rakyat save rakyat indonesia bank ndak berpihak ke rakyat harus di tindak,bank ndak bisa bedakan atm ketelan sama hilang ini bank bumn pelayanan rakyat malah bikin ribet rakyat save rakyat indonesia bank ndak berpihak ke rakyat harus di tindak,bank ndak bedakan atm ketelan sama hilang bank bumn pelayanan rakyat malah bikin ribet rakyat save rakyat indonesia bank ndak berpihak rakyat harus tindak,Pelayanan,Positif,0.9965
Perbankan,Bank BRI KCP Driyorejo,3,27,Ahmad Muzakki,1,2021-12-15T15:47:13.570Z,mesin atm dan sekuritinya TERBAIK.. tapi masih mending BCA,mesin atm dan sekuritinya terbaik tapi masih mending bca,mesin atm dan sekuritinya terbaik tapi masih mending bca,mesin atm sekuritinya terbaik mending bca,Lainnya,Negatif,0.9881
Perbankan,Bank BRI KCP Driyorejo,3,27,Galuh Prasetyawan,1,2021-10-15T01:42:28.965Z,teller cuma 1. padahal meja nya 2. lambat. ga sat set wat wet,teller cuma padahal meja nya lambat ga sat set wat wet,teller cuma padahal meja nya lambat tidak sat set wat wet,teller cuma padahal meja lambat sat set wat wet,Pelayanan,Positif,0.9847
Perbankan,Bank BRI KCP Driyorejo,3,27,Dimas Prima,1,2021-10-06T03:00:52.990Z,"Pelayanan kurang ramah, lelet dan tidak jelas, udah antri lama berjam2 untuk upgrade atm ternyata stelah sya tanyakan kembali malah bilang tidak bisa... seharusnya klo tidak bisa bilang lebih awal... dab setau sya pelayanan bank tidak seperti ini... mohon untuk dievaluasi pelayanan di BRI KCP Driyorejo ini... terimakasih",pelayanan kurang ramah lelet dan tidak jelas udah antri lama berjam2 untuk upgrade atm ternyata stelah sya tanyakan kembali malah bilang tidak bisa seharusnya klo tidak bisa bilang lebih awal dab setau sya pelayanan bank tidak seperti ini mohon untuk dievaluasi pelayanan di bri kcp driyorejo ini terimakasih,pelayanan kurang ramah lelet dan tidak jelas udah antrian lama berjam2 untuk upgrade atm ternyata stelah sya tanyakan kembali malah bilang tidak bisa seharusnya kalau tidak bisa bilang lebih awal dab setau sya pelayanan bank tidak seperti ini mohon untuk dievaluasi pelayanan di bri kcp driyorejo ini terimakasih,pelayanan kurang ramah lelet jelas udah antrian lama berjam2 upgrade atm ternyata stelah sya tanyakan kembali malah bilang seharusnya bilang awal dab setau sya pelayanan bank seperti mohon dievaluasi pelayanan bri kcp driyorejo terimakasih,Pelayanan,Positif,0.9701
