Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Perbankan,Bank BRI UNIT Dukun Gresik,2.9,26,khozin emerald,2,2022-09-02T04:22:19.673Z,"Ngantri panjang malah meja computer ditinggal 15 menit, bikin gregetan.",ngantri panjang malah meja computer ditinggal menit bikin gregetan,antrian panjang malah meja computer ditinggal menit bikin gregetan,antrian panjang malah meja computer ditinggal menit bikin gregetan,Pelayanan,Negatif,0.9695
Perbankan,Bank BRI UNIT Dukun Gresik,2.9,26,Udin Golden Natura,1,2022-06-06T02:41:47.848Z,"Tidak Recomend banget , bikin rekening baru kartunya bisa kosong dijanjiin 2mingguan setelah kembali lagi katanya masih kosong sampek 2 bulanan lagi baru ada , tidak ada solusi sama sekali terus gimana mau transaksi kalau gak ada kartunya , sudah minta ke cabang2 lain dipusat2 katanya suruh ke unitnya pas waktu bikin rekening , mau nabung aja ribet dilempar2",tidak recomend banget bikin rekening baru kartunya bisa kosong dijanjiin 2mingguan setelah kembali lagi katanya masih kosong sampek bulanan lagi baru ada tidak ada solusi sama sekali terus gimana mau transaksi kalau gak ada kartunya sudah minta ke cabang2 lain dipusat2 katanya suruh ke unitnya pas waktu bikin rekening mau nabung aja ribet dilempar2,tidak recomend banget bikin rekening baru kartunya bisa kosong dijanjiin 2mingguan setelah kembali lagi katanya masih kosong sampek bulanan lagi baru ada tidak ada solusi sama sekali terus gimana mau transaksi kalau tidak ada kartunya sudah minta ke cabang2 lain dipusat2 katanya suruh ke unitnya pas waktu bikin rekening mau nabung aja ribet dilempar2,recomend banget bikin rekening kartunya kosong dijanjiin 2mingguan kembali katanya kosong sampek bulanan solusi sama terus gimana mau transaksi kartunya minta cabang2 lain dipusat2 katanya suruh unitnya pas waktu bikin rekening mau nabung aja ribet dilempar2,Lainnya,Positif,0.9483
Perbankan,Bank BRI UNIT Dukun Gresik,2.9,26,Cilpiii,3,2021-06-30T16:51:57.601Z,Perlu perluasan lahan dan infrastruktur,perlu perluasan lahan dan infrastruktur,perlu perluasan lahan dan infrastruktur,perlu perluasan lahan infrastruktur,Lainnya,Netral,0.9849
Perbankan,Bank BRI UNIT Dukun Gresik,2.9,26,Wafiq Azhar,1,2021-04-16T02:10:15.950Z,satpam tidak bersahabat,satpam tidak bersahabat,satpam tidak bersahabat,satpam bersahabat,Keamanan,Negatif,0.9889
Perbankan,Bank BRI UNIT Dukun Gresik,2.9,26,Untung Sarmawi,1,2021-02-08T06:43:08.746Z,jam pelayanan CS gak jelas!,jam pelayanan cs gak jelas,jam pelayanan cs tidak jelas,jam pelayanan cs jelas,Pelayanan,Negatif,0.8069
Perbankan,Bank BRI UNIT Dukun Gresik,2.9,26,Wong Gedangan,1,2020-12-15T07:24:00.479Z,"Pelayanan tidak terbuka, yg kenal di dahulukan. Tetap tidak sesuai sop. Kecewa.",pelayanan tidak terbuka yg kenal di dahulukan tetap tidak sesuai sop kecewa,pelayanan tidak terbuka yang kenal di dahulukan tetap tidak sesuai sop kecewa,pelayanan terbuka kenal dahulukan tetap sesuai sop kecewa,Pelayanan,Negatif,0.8141
Perbankan,Bank BRI UNIT Dukun Gresik,2.9,26,Jayadi Muntholib,5,2020-10-10T01:14:56.812Z,Pelayanannya cepat,pelayanannya cepat,pelayanannya cepat,pelayanannya cepat,Pelayanan,Negatif,0.9968
Perbankan,Bank BRI UNIT Dukun Gresik,2.9,26,miftak harianto,5,2020-09-11T13:47:04.807Z,Nyaman,nyaman,nyaman,nyaman,Fasilitas,Negatif,0.9972
Perbankan,Bank BRI UNIT Dukun Gresik,2.9,26,Fajar Khoirunnas,1,2020-07-13T07:16:51.675Z,Satpam galak. Nanyai nasabah kayak introgasi terpidana,satpam galak nanyai nasabah kayak introgasi terpidana,satpam galak nanyai nasabah kayak introgasi terpidana,satpam galak nanyai nasabah kayak introgasi terpidana,Keamanan,Positif,0.995
Perbankan,Bank BRI UNIT Dukun Gresik,2.9,26,Sembadhani Bayu,5,2020-03-30T10:01:53.324Z,BRI yg selalu ramah dengan nasabah baik lansia maupun muda,bri yg selalu ramah dengan nasabah baik lansia maupun muda,bri yang selalu ramah dengan nasabah baik lansia maupun muda,bri selalu ramah nasabah baik lansia maupun muda,Pelayanan,Negatif,0.9781
Perbankan,Bank BRI UNIT Dukun Gresik,2.9,26,Dhiya Afaf,1,2019-11-20T06:51:06.403Z,pelayanane tidak memuaskan,pelayanane tidak memuaskan,pelayanane tidak memuaskan,pelayanane memuaskan,Pelayanan,Negatif,0.9961
Perbankan,Bank BRI UNIT Dukun Gresik,2.9,26,Manan Asmanan,1,2018-10-09T02:50:54.250Z,"Satpam yang baru besar dan tidak ramah sama sekali sama pelanggan. Ramahan satpam yang dulu,sangat ramah dan bijak, yang sedikit pendek orangnya",satpam yang baru besar dan tidak ramah sama sekali sama pelanggan ramahan satpam yang dulu sangat ramah dan bijak yang sedikit pendek orangnya,satpam yang baru besar dan tidak ramah sama sekali sama pelanggan ramahan satpam yang dulu sangat ramah dan bijak yang sedikit pendek orangnya,satpam besar ramah sama sama pelanggan ramahan satpam dulu ramah bijak sedikit pendek orangnya,Pelayanan,Positif,0.783
