Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Perbankan,Bank BRI Unit Kedamean,3.4,30,Umi Fitri Shofiyah,1,2021-10-20T03:52:55.059Z,"Pelayanan nya selalu lama, jika ada perubahan jadwal dalam layanan tertentu tidak diinfokan dengan jelas, sehingga harus bolak balik pulang atau balik lagi ke bank nya😞",pelayanan nya selalu lama jika ada perubahan jadwal dalam layanan tertentu tidak diinfokan dengan jelas sehingga harus bolak balik pulang atau balik lagi ke bank nya,pelayanan nya selalu lama jika ada perubahan jadwal dalam layanan tertentu tidak diinfokan dengan jelas sehingga harus bolak balik pulang atau balik lagi ke bank nya,pelayanan selalu lama perubahan jadwal layanan tertentu diinfokan jelas sehingga harus bolak balik pulang balik bank,Pelayanan,Positif,0.6628
Perbankan,Bank BRI Unit Kedamean,3.4,30,Eko Desywan,5,2021-05-20T01:26:58.558Z,"pekerja ramah dan asik , gaul.  kantor keren",pekerja ramah dan asik gaul kantor keren,pekerja ramah dan asik gaul kantor bagus,pekerja ramah asik gaul kantor bagus,Pelayanan,Negatif,0.9971
Perbankan,Bank BRI Unit Kedamean,3.4,30,Anita Suci,5,2021-05-07T02:38:34.638Z,"Sangat tdk kompeten disini saya sudah antri nunggu panggilan eh malah sama bpk securitynya ngasih ktp org ke bag. Cs dan bilang di suruh dulukan. Mksdnya apa jika memang di buat sistem ga pakai antrian yah ndak perlu ada no antrian.. Dan juga sangat lama penanganannya.. Dari saya dtg jam ±08.50 sampai jam 09.15 hanya memanggil 2 org Dgn no antrian 803 dan 804. Harusnya setelah dari salah satu no antrian itu selesai kan panggilan no antrian 805 (no antrian saya) tp saya tunggu cs 1 masih menangani cust. Cs 2 sudah selesai di jam 09.15 eh bukan manggil no antrian selanjutnya dong, tp malah manggil org yg sdh di titipkan ktp oleh pak satpam. Aku masih sabar menunggu ga lama dari itu cs 1 dah selesai nangani cust, aku masih nunggu buat di panggil sampek 10 mnt ga manggil, sudah ku tinggal pulang... Dan ga akan aku datang ke situ lagi. Pelayanan sangat sangat mengecewakan",sangat tdk kompeten disini saya sudah antri nunggu panggilan eh malah sama bpk securitynya ngasih ktp org ke bag cs dan bilang di suruh dulukan mksdnya apa jika memang di buat sistem ga pakai antrian yah ndak perlu ada no antrian dan juga sangat lama penanganannya dari saya dtg jam sampai jam hanya memanggil org dgn no antrian dan harusnya setelah dari salah satu no antrian itu selesai kan panggilan no antrian no antrian saya tp saya tunggu cs masih menangani cust cs sudah selesai di jam eh bukan manggil no antrian selanjutnya dong tp malah manggil org yg sdh di titipkan ktp oleh pak satpam aku masih sabar menunggu ga lama dari itu cs dah selesai nangani cust aku masih nunggu buat di panggil sampek mnt ga manggil sudah ku tinggal pulang dan ga akan aku datang ke situ lagi pelayanan sangat sangat mengecewakan,sangat tidak kompeten disini saya sudah antrian nunggu panggilan eh malah sama bpk securitynya ngasih ktp org ke bag cs dan bilang di suruh dulukan mksdnya apa jika memang di buat sistem tidak pakai antrian yah ndak perlu ada no antrian dan juga sangat lama penanganannya dari saya dtg jam sampai jam hanya memanggil org dengan no antrian dan harusnya setelah dari salah satu no antrian itu selesai kan panggilan no antrian no antrian saya tapi saya tunggu cs masih menangani cust cs sudah selesai di jam eh bukan manggil no antrian selanjutnya dong tapi malah manggil org yang sudah di titipkan ktp oleh pak satpam aku masih sabar menunggu tidak lama dari itu cs dah selesai nangani cust aku masih nunggu buat di panggil sampek mnt tidak manggil sudah ku tinggal pulang dan tidak akan aku datang ke situ lagi pelayanan sangat sangat mengecewakan,kompeten disini antrian nunggu panggilan eh malah sama bpk securitynya ngasih ktp org bag cs bilang suruh dulukan mksdnya apa memang buat sistem pakai antrian yah ndak perlu no antrian lama penanganannya dtg jam sampai jam hanya memanggil org no antrian harusnya salah satu no antrian selesai kan panggilan no antrian no antrian tunggu cs menangani cust cs selesai jam eh bukan manggil no antrian selanjutnya malah manggil org titipkan ktp pak satpam aku sabar menunggu lama cs dah selesai nangani cust aku nunggu buat panggil sampek mnt manggil ku tinggal pulang aku datang situ pelayanan mengecewakan,Pelayanan,Positif,0.7293
Perbankan,Bank BRI Unit Kedamean,3.4,30,meilina dewi,2,2021-03-31T05:05:13.050Z,Pelayanan super duper lama,pelayanan super duper lama,pelayanan super duper lama,pelayanan super duper lama,Pelayanan,Positif,0.9961
Perbankan,Bank BRI Unit Kedamean,3.4,30,Mariya Al Qibtiyah,2,2021-02-21T01:58:20.651Z,Kurang suka disini. Orang orang bebas mendahului. Padahal saya sudah antri. Jadi malah pulang terakhir karena sering di selat. Padahal ya sama2 pentingnya.. dan saya urusannyansebentar. Mana kondisi saya hamil. Lagi teler malah dahulukan yang lain yang jelas2 sehat. Tolong buat CS buat lebih profesional..mendahulukan sesuai dg nomor antrian..dan tegas menolak yang tb2 datang padahal ga antri.,kurang suka disini orang orang bebas mendahului padahal saya sudah antri jadi malah pulang terakhir karena sering di selat padahal ya sama2 pentingnya dan saya urusannyansebentar mana kondisi saya hamil lagi teler malah dahulukan yang lain yang jelas2 sehat tolong buat cs buat lebih profesional mendahulukan sesuai dg nomor antrian dan tegas menolak yang tb2 datang padahal ga antri,kurang suka disini orang orang bebas mendahului padahal saya sudah antrian jadi malah pulang terakhir karena sering di selat padahal ya sama2 pentingnya dan saya urusannyansebentar mana kondisi saya hamil lagi teler malah dahulukan yang lain yang jelas2 sehat tolong buat cs buat lebih profesional mendahulukan sesuai dengan nomor antrian dan tegas menolak yang tb2 datang padahal tidak antrian,kurang suka disini orang orang bebas mendahului padahal antrian jadi malah pulang terakhir sering selat padahal ya sama2 pentingnya urusannyansebentar mana kondisi hamil teler malah dahulukan lain jelas2 sehat tolong buat cs buat profesional mendahulukan sesuai nomor antrian tegas menolak tb2 datang padahal antrian,Pelayanan,Positif,0.9944
Perbankan,Bank BRI Unit Kedamean,3.4,30,bach debian,1,2020-12-15T06:57:38.257Z,Bener bener profesional Istirahatnya dari jam 12 sampe jam 2 masih istirahat. Amazing,bener bener profesional istirahatnya dari jam sampe jam masih istirahat amazing,bener bener profesional istirahatnya dari jam sampe jam masih istirahat amazing,bener bener profesional istirahatnya jam sampe jam istirahat amazing,Lainnya,Negatif,0.996
Perbankan,Bank BRI Unit Kedamean,3.4,30,Ryo Firmansyah,1,2020-11-26T03:32:44.798Z,Pelayanannya sangat lama,pelayanannya sangat lama,pelayanannya sangat lama,pelayanannya lama,Pelayanan,Positif,0.9969
Perbankan,Bank BRI Unit Kedamean,3.4,30,melati puspitasari,4,2020-08-06T09:58:10.393Z,Harus datang pagi jika tdk ingin mengantri lama. Pelayanan lumayan lama,harus datang pagi jika tdk ingin mengantri lama pelayanan lumayan lama,harus datang pagi jika tidak ingin mengantri lama pelayanan lumayan lama,harus datang pagi ingin mengantri lama pelayanan lumayan lama,Pelayanan,Positif,0.8785
Perbankan,Bank BRI Unit Kedamean,3.4,30,tia Nana,5,2020-07-09T13:19:55.916Z,Jarang antri,jarang antri,jarang antrian,jarang antrian,Pelayanan,Positif,0.75
Perbankan,Bank BRI Unit Kedamean,3.4,30,Rizka Octavia,1,2020-01-07T06:23:25.412Z,Pelayanan lamban skali. Nunggu CS dari jam 12.an smpe jam 13.22 msh tdk dilayani. Pdhl cuma mau gnti krtu ATM.,pelayanan lamban skali nunggu cs dari jam an smpe jam msh tdk dilayani pdhl cuma mau gnti krtu atm,pelayanan lamban skali nunggu cs dari jam an smpe jam masih tidak dilayani pdhl cuma mau gnti krtu atm,pelayanan lamban skali nunggu cs jam an smpe jam dilayani pdhl cuma mau gnti krtu atm,Pelayanan,Positif,0.9946
Perbankan,Bank BRI Unit Kedamean,3.4,30,hilmiyatus saidah,1,2019-07-19T04:49:23.900Z,Pelayananx lemootttt sekali...kl ambil uang bnyak meskipun sdh pesan tapi bsoknya juga masih belum tentu ada...saya pesan hari senin katanya kalau sdh siap akan dihubungi..tapi smpai hari sabtu juga tdk ada kabar..kl d bank lain hari ini pesan bsokx sdh bs d ambil..bahkan ada yg tdk pakai pesan meskipum nominalx besar bs langsung di ambil,pelayananx lemootttt sekali kl ambil uang bnyak meskipun sdh pesan tapi bsoknya juga masih belum tentu ada saya pesan hari senin katanya kalau sdh siap akan dihubungi tapi smpai hari sabtu juga tdk ada kabar kl d bank lain hari ini pesan bsokx sdh bs d ambil bahkan ada yg tdk pakai pesan meskipum nominalx besar bs langsung di ambil,pelayananx lemootttt sekali kalau ambil uang bnyak meskipun sudah pesan tapi bsoknya juga masih belum tentu ada saya pesan hari senin katanya kalau sudah siap akan dihubungi tapi smpai hari sabtu juga tidak ada kabar kalau d bank lain hari ini pesan bsokx sudah bs d ambil bahkan ada yang tidak pakai pesan meskipum nominalx besar bs langsung di ambil,pelayananx lemootttt ambil uang bnyak meskipun pesan bsoknya tentu pesan hari senin katanya siap dihubungi smpai hari sabtu kabar bank lain hari pesan bsokx bs ambil bahkan pakai pesan meskipum nominalx besar bs langsung ambil,Pelayanan,Positif,0.9847
Perbankan,Bank BRI Unit Kedamean,3.4,30,Ilmiyah Achfatul,1,2019-07-10T15:25:40.649Z,"Gara2 bagian unitnya di ganti. PELAYANAN BOBROK BANGET. SAYA BUAT BRI JUNIO JELAS2 D WEB RESMI BRI TIDAK ADA BIAYA ADMIN BAGI ANAK <12THN SEDANGKAN ANAK SY UMUR 1,5THN ADA ADMINNYA. CS SUPER LELET MALAH NRIMA TLP DR ORG YG MAU PINJEM UANG. GAK D KASIH INFO BLA BLA GINI GITU MALAH KITA YG HRUS TNYA. BEDA SM YG DULU RAMAH DAN D KASIH PENJELASAN. SEMUA BANK SEPERTI ITU. NYESEL POKOKNYA !!!!!!",gara2 bagian unitnya di ganti pelayanan bobrok banget saya buat bri junio jelas2 d web resmi bri tidak ada biaya admin bagi anak 12thn sedangkan anak sy umur 5thn ada adminnya cs super lelet malah nrima tlp dr org yg mau pinjem uang gak d kasih info bla bla gini gitu malah kita yg hrus tnya beda sm yg dulu ramah dan d kasih penjelasan semua bank seperti itu nyesel pokoknya,gara2 bagian unitnya di ganti pelayanan bobrok banget saya buat bri junio jelas2 d web resmi bri tidak ada biaya admin bagi anak 12thn sedangkan anak saya umur 5thn ada adminnya cs super lelet malah nrima tlp dari org yang mau pinjem uang tidak d kasih info bla bla gini gitu malah kita yang hrus tnya beda sama yang dulu ramah dan d kasih penjelasan semua bank seperti itu nyesel pokoknya,gara2 bagian unitnya ganti pelayanan bobrok banget buat bri junio jelas2 web resmi bri biaya admin bagi anak 12thn sedangkan anak umur 5thn adminnya cs super lelet malah nrima tlp org mau pinjem uang kasih info bla bla gini gitu malah hrus tnya beda sama dulu ramah kasih penjelasan semua bank seperti nyesel pokoknya,Pelayanan,Positif,0.9908
