Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Perbankan,Bank Mandiri Gresik Balungpanggang,4.9,272,Zuli Ani,5,2026-07-31T02:06:53.125Z,Pelayanan sangat cepat dan gampang mudah,pelayanan sangat cepat dan gampang mudah,pelayanan sangat cepat dan gampang mudah,pelayanan cepat gampang mudah,Pelayanan,Positif,0.9954
Perbankan,Bank Mandiri Gresik Balungpanggang,4.9,272,Chipenk Panggres,5,2026-07-27T04:35:08.860Z,"Palayan cepat , ramah, tempat nyaman dan bersih",palayan cepat ramah tempat nyaman dan bersih,palayan cepat ramah tempat nyaman dan bersih,palayan cepat ramah tempat nyaman bersih,Pelayanan,Positif,0.9957
Perbankan,Bank Mandiri Gresik Balungpanggang,4.9,272,Saf Fitri,5,2026-07-27T02:39:54.582Z,Sudah serba digital keren sekali.mempermudah transaksi,sudah serba digital keren sekali mempermudah transaksi,sudah serba digital bagus sekali mempermudah transaksi,serba digital bagus mempermudah transaksi,Lainnya,Positif,0.9891
Perbankan,Bank Mandiri Gresik Balungpanggang,4.9,272,Karomatul Alima,5,2026-07-24T03:01:12.232Z,transaksi makin mudah dengan adanya sistem baru thanks mamdiri balongpanggang,transaksi makin mudah dengan adanya sistem baru thanks mamdiri balongpanggang,transaksi makin mudah dengan adanya sistem baru thanks mamdiri balongpanggang,transaksi makin mudah adanya sistem thanks mamdiri balongpanggang,Lainnya,Positif,0.6289
Perbankan,Bank Mandiri Gresik Balungpanggang,4.9,272,Ageng Narto,5,2026-07-24T02:40:11.457Z,Layanan semakin cepat dan canggih ternyata thanks mandiri balongpanggang,layanan semakin cepat dan canggih ternyata thanks mandiri balongpanggang,layanan semakin cepat dan canggih ternyata thanks mandiri balongpanggang,layanan semakin cepat canggih ternyata thanks mandiri balongpanggang,Pelayanan,Positif,0.9019
Perbankan,Bank Mandiri Gresik Balungpanggang,4.9,272,Bismo Pujo,5,2026-07-23T07:30:05.071Z,"Servicee bagus banget, terima kasih mandiri Balongpanggang",servicee bagus banget terima kasih mandiri balongpanggang,servicee bagus banget terima kasih mandiri balongpanggang,servicee bagus banget terima kasih mandiri balongpanggang,Lainnya,Positif,0.9903
Perbankan,Bank Mandiri Gresik Balungpanggang,4.9,272,Suntoro sun,5,2026-07-23T07:04:21.977Z,"Pelayanan super ramah dan cepat sat set, urus apapun jadi lebih mudah karna sudah paperless, pake digital semua.",pelayanan super ramah dan cepat sat set urus apapun jadi lebih mudah karna sudah paperless pake digital semua,pelayanan super ramah dan cepat sat set urus apapun jadi lebih mudah karna sudah paperless pake digital semua,pelayanan super ramah cepat sat set urus apapun jadi mudah karna paperless pake digital semua,Pelayanan,Positif,0.9945
Perbankan,Bank Mandiri Gresik Balungpanggang,4.9,272,刘Albert Laurence,5,2026-07-23T03:17:46.508Z,"Kakaa kaka nya ramah bintang 5, Mas² satpam nya juga ramah.",kakaa kaka nya ramah bintang mas satpam nya juga ramah,kakaa kaka nya ramah bintang mas satpam nya juga ramah,kakaa kaka ramah bintang mas satpam ramah,Pelayanan,Positif,0.979
Perbankan,Bank Mandiri Gresik Balungpanggang,4.9,272,Mohammad Toyib,5,2026-07-22T03:06:44.464Z,"Pelayanan baik cepat dan ramah, teller sat set.🫰🫰🫰",pelayanan baik cepat dan ramah teller sat set,pelayanan baik cepat dan ramah teller sat set,pelayanan baik cepat ramah teller sat set,Pelayanan,Positif,0.9681
Perbankan,Bank Mandiri Gresik Balungpanggang,4.9,272,octavia faradila,5,2026-07-22T02:57:26.419Z,"pelayanan cepat, kantor nyaman",pelayanan cepat kantor nyaman,pelayanan cepat kantor nyaman,pelayanan cepat kantor nyaman,Pelayanan,Positif,0.9957
Perbankan,Bank Mandiri Gresik Balungpanggang,4.9,272,Ardi Antoo123,5,2026-07-22T02:16:00.622Z,"setor tunai jadi lebih cepat jadi sat set dan mudah, teller interaktif",setor tunai jadi lebih cepat jadi sat set dan mudah teller interaktif,setor tunai jadi lebih cepat jadi sat set dan mudah teller interaktif,setor tunai jadi cepat jadi sat set mudah teller interaktif,Pelayanan,Netral,0.5905
Perbankan,Bank Mandiri Gresik Balungpanggang,4.9,272,Septiana Tri Wulandari,5,2026-07-21T03:13:01.356Z,Pelayanan nya sangat ramah,pelayanan nya sangat ramah,pelayanan nya sangat ramah,pelayanan ramah,Pelayanan,Positif,0.996
Perbankan,Bank Mandiri Gresik Balungpanggang,4.9,272,Hartatik Hartatik,5,2026-07-21T01:34:31.956Z,"Pelayanan mudah dan cepat. Teller, cs dan satpam ramah dan proses mudah👍",pelayanan mudah dan cepat teller cs dan satpam ramah dan proses mudah,pelayanan mudah dan cepat teller cs dan satpam ramah dan proses mudah,pelayanan mudah cepat teller cs satpam ramah proses mudah,Pelayanan,Positif,0.9781
