Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Perbankan,Bank Mandiri Gresik Petrokimia,4.8,259,Rahastri Rengganis Sukma,5,2026-07-23T03:31:30.246Z,Pelayanan bagus,pelayanan bagus,pelayanan bagus,pelayanan bagus,Pelayanan,Positif,0.9969
Perbankan,Bank Mandiri Gresik Petrokimia,4.8,259,tolongin dit,5,2026-07-22T14:54:36.658Z,aku biasa sm mb april,aku biasa sm mb april,aku biasa sama mb april,aku biasa sama mb april,Lainnya,Netral,0.652
Perbankan,Bank Mandiri Gresik Petrokimia,4.8,259,Iman Ohong,5,2026-07-13T05:09:44.628Z,"Pelayanannya cepat ,ramah dan baik",pelayanannya cepat ramah dan baik,pelayanannya cepat ramah dan baik,pelayanannya cepat ramah baik,Pelayanan,Positif,0.9961
Perbankan,Bank Mandiri Gresik Petrokimia,4.8,259,NIKEN PURBASARI,5,2026-07-10T12:12:53.525Z,layanan cepat🙌🏻,layanan cepat,layanan cepat,layanan cepat,Pelayanan,Positif,0.9938
Perbankan,Bank Mandiri Gresik Petrokimia,4.8,259,Shinta Silvia,5,2026-06-30T02:23:12.582Z,Pelayanan sabgat vaik,pelayanan sabgat vaik,pelayanan sabgat vaik,pelayanan sabgat vaik,Pelayanan,Netral,0.3946
Perbankan,Bank Mandiri Gresik Petrokimia,4.8,259,Siti Rohmatul Karimah,5,2026-06-29T08:28:42.671Z,Pelayanannya sangat baik. Semua petugasnya ramah. Terbaik pokoknya,pelayanannya sangat baik semua petugasnya ramah terbaik pokoknya,pelayanannya sangat baik semua petugasnya ramah terbaik pokoknya,pelayanannya baik semua petugasnya ramah terbaik pokoknya,Pelayanan,Positif,0.9975
Perbankan,Bank Mandiri Gresik Petrokimia,4.8,259,Risca pashaa,5,2026-06-25T03:28:59.860Z,Tempat nyaman pelayanan oke,tempat nyaman pelayanan oke,tempat nyaman pelayanan oke,tempat nyaman pelayanan oke,Pelayanan,Positif,0.9969
Perbankan,Bank Mandiri Gresik Petrokimia,4.8,259,nono gresik,5,2026-06-25T02:48:04.072Z,Jos jis,jos jis,bagus jis,bagus jis,Lainnya,Positif,0.9923
Perbankan,Bank Mandiri Gresik Petrokimia,4.8,259,Chusnah Mualifah,5,2026-06-25T02:46:46.980Z,Pelayanan oke,pelayanan oke,pelayanan oke,pelayanan oke,Pelayanan,Positif,0.9963
Perbankan,Bank Mandiri Gresik Petrokimia,4.8,259,Ahmad Ryab,5,2026-06-24T04:43:24.462Z,MANDIRI,mandiri,mandiri,mandiri,Lainnya,Positif,0.9635
Perbankan,Bank Mandiri Gresik Petrokimia,4.8,259,bagus supriyadi,5,2026-06-17T06:47:54.480Z,pelayanan ramah dan cepet banget,pelayanan ramah dan cepet banget,pelayanan ramah dan cepet banget,pelayanan ramah cepet banget,Pelayanan,Positif,0.9962
Perbankan,Bank Mandiri Gresik Petrokimia,4.8,259,Mie Themit,5,2026-06-17T06:44:59.601Z,pelayanan okee poll.. cepett,pelayanan okee poll cepett,pelayanan okee poll cepett,pelayanan okee poll cepett,Pelayanan,Positif,0.9904
