Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Perbankan,Bank Mandiri Gresik Sedayu,4.9,378,Khusnul Hulk,5,2026-07-14T12:09:19.640Z,Pelayanan nya bagus dan cepat,pelayanan nya bagus dan cepat,pelayanan nya bagus dan cepat,pelayanan bagus cepat,Pelayanan,Positif,0.9965
Perbankan,Bank Mandiri Gresik Sedayu,4.9,378,Ahmad fiqi Hermawan,5,2026-07-02T03:43:00.194Z,Pelayanan baik,pelayanan baik,pelayanan baik,pelayanan baik,Pelayanan,Positif,0.9952
Perbankan,Bank Mandiri Gresik Sedayu,4.9,378,Miftah Aljafri,5,2026-06-30T13:56:45.243Z,"Pelayannya ramah dan murah senyum☺, #mbkazzahra",pelayannya ramah dan murah senyum,pelayannya ramah dan murah senyum,pelayannya ramah murah senyum,Pelayanan,Positif,0.9968
Perbankan,Bank Mandiri Gresik Sedayu,4.9,378,Rohman Moncrot,5,2026-05-22T03:22:53.499Z,Makasih bantuannya mbak cs dan satpam,makasih bantuannya mbak cs dan satpam,makasih bantuannya mbak cs dan satpam,makasih bantuannya mbak cs satpam,Keamanan,Netral,0.7388
Perbankan,Bank Mandiri Gresik Sedayu,4.9,378,Hakim A1916,5,2026-05-22T02:55:08.242Z,Terima kasih bantuan untuk Livin saya,terima kasih bantuan untuk livin saya,terima kasih bantuan untuk livin saya,terima kasih bantuan livin,Lainnya,Positif,0.7219
Perbankan,Bank Mandiri Gresik Sedayu,4.9,378,nadia fachriyanti,5,2026-05-21T05:09:49.618Z,"Sangat terbantu , nyaman dan dingin",sangat terbantu nyaman dan dingin,sangat terbantu nyaman dan dingin,terbantu nyaman dingin,Fasilitas,Positif,0.9925
Perbankan,Bank Mandiri Gresik Sedayu,4.9,378,mufid ainul,5,2026-05-21T03:52:39.655Z,Di bantu dengan cepat,di bantu dengan cepat,di bantu dengan cepat,bantu cepat,Pelayanan,Positif,0.5909
Perbankan,Bank Mandiri Gresik Sedayu,4.9,378,IRTA,5,2026-05-20T03:32:58.968Z,Ramah dan nyaman untuk bertransaksi,ramah dan nyaman untuk bertransaksi,ramah dan nyaman untuk bertransaksi,ramah nyaman bertransaksi,Pelayanan,Positif,0.9954
Perbankan,Bank Mandiri Gresik Sedayu,4.9,378,Poethel Goerge,5,2026-05-20T02:59:42.399Z,Sangat solutif terima kasih bank mandiri,sangat solutif terima kasih bank mandiri,sangat solutif terima kasih bank mandiri,solutif terima kasih bank mandiri,Lainnya,Positif,0.8143
Perbankan,Bank Mandiri Gresik Sedayu,4.9,378,ANINDIYA MAGHFIROH,5,2026-05-19T02:34:32.275Z,terima kaasih bantuannya sangat terbanntu,terima kaasih bantuannya sangat terbanntu,terima kaasih bantuannya sangat terbanntu,terima kaasih bantuannya terbanntu,Lainnya,Positif,0.8238
Perbankan,Bank Mandiri Gresik Sedayu,4.9,378,Ning Ina,5,2026-05-19T01:42:23.378Z,Sangat membantu,sangat membantu,sangat membantu,membantu,Lainnya,Positif,0.9882
Perbankan,Bank Mandiri Gresik Sedayu,4.9,378,Imam Ha,5,2026-05-18T09:11:13.500Z,Pelayanan mantap,pelayanan mantap,pelayanan bagus,pelayanan bagus,Pelayanan,Positif,0.9969
Perbankan,Bank Mandiri Gresik Sedayu,4.9,378,Pekek Mihawk,5,2026-05-18T07:44:04.200Z,Nyaman dan membantu,nyaman dan membantu,nyaman dan membantu,nyaman membantu,Fasilitas,Positif,0.9966
Perbankan,Bank Mandiri Gresik Sedayu,4.9,378,Angga R,5,2026-05-18T07:31:45.598Z,Top,top,top,top,Lainnya,Positif,0.9971
Perbankan,Bank Mandiri Gresik Sedayu,4.9,378,Mahfud Mahfud,5,2026-05-18T04:21:43.501Z,Terima kasih bank mandiri sidayu,terima kasih bank mandiri sidayu,terima kasih bank mandiri sidayu,terima kasih bank mandiri sidayu,Lainnya,Positif,0.5725
Perbankan,Bank Mandiri Gresik Sedayu,4.9,378,Daru Insan,5,2026-05-18T03:56:04.384Z,Sangat terbantu dengan cepat,sangat terbantu dengan cepat,sangat terbantu dengan cepat,terbantu cepat,Pelayanan,Positif,0.9927
Perbankan,Bank Mandiri Gresik Sedayu,4.9,378,_tsqif.,5,2026-05-18T02:24:02.432Z,sangat nyaman,sangat nyaman,sangat nyaman,nyaman,Fasilitas,Positif,0.9972
Perbankan,Bank Mandiri Gresik Sedayu,4.9,378,Yoga Brayo,5,2026-05-11T03:51:47.926Z,pelayanannya bagus petugas nya ramah,pelayanannya bagus petugas nya ramah,pelayanannya bagus petugas nya ramah,pelayanannya bagus petugas ramah,Pelayanan,Positif,0.9971
Perbankan,Bank Mandiri Gresik Sedayu,4.9,378,Mas Bromo,5,2026-05-11T02:48:18.226Z,Istimewa,istimewa,istimewa,istimewa,Lainnya,Positif,0.9969
