Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Perbankan,BANK MANDIRI KCP GRESIK JIIPE,5,173,jannatul ma'wa,5,2026-08-04T03:03:06.415Z,"Masuk mandiri seperti masuk di hotel bintang lima dg pelayanan yg sangat  prima seluruh staf mandiri memberikan pelayanan yg sangat luar biasa bagus mulai dari satpam, CS , TELLER  dan lainnya nya sangat bagus sekali .. terimakasih mandiri ..semoga terus  jaya",masuk mandiri seperti masuk di hotel bintang lima dg pelayanan yg sangat prima seluruh staf mandiri memberikan pelayanan yg sangat luar biasa bagus mulai dari satpam cs teller dan lainnya nya sangat bagus sekali terimakasih mandiri semoga terus jaya,masuk mandiri seperti masuk di hotel bintang lima dengan pelayanan yang sangat prima seluruh staf mandiri memberikan pelayanan yang sangat luar biasa bagus mulai dari satpam cs teller dan lainnya nya sangat bagus sekali terimakasih mandiri semoga terus jaya,masuk mandiri seperti masuk hotel bintang lima pelayanan prima seluruh staf mandiri memberikan pelayanan luar biasa bagus mulai satpam cs teller lainnya bagus terimakasih mandiri semoga terus jaya,Pelayanan,Positif,0.9916
Perbankan,BANK MANDIRI KCP GRESIK JIIPE,5,173,pt haidrnt,5,2026-07-21T05:27:21.697Z,Pelayanan sangat ramah dibantu mbk riyah untuk transaksi perusahaan mantap,pelayanan sangat ramah dibantu mbk riyah untuk transaksi perusahaan mantap,pelayanan sangat ramah dibantu mbk riyah untuk transaksi perusahaan bagus,pelayanan ramah dibantu mbk riyah transaksi perusahaan bagus,Pelayanan,Positif,0.9952
Perbankan,BANK MANDIRI KCP GRESIK JIIPE,5,173,dicky ardiansyah,5,2026-07-21T05:25:35.082Z,Pelayanan sangat ramah dan cepat dibantu mbk teller riyah dan mas bayu security yang gagah,pelayanan sangat ramah dan cepat dibantu mbk teller riyah dan mas bayu security yang gagah,pelayanan sangat ramah dan cepat dibantu mbk teller riyah dan mas bayu security yang gagah,pelayanan ramah cepat dibantu mbk teller riyah mas bayu security gagah,Pelayanan,Positif,0.9282
Perbankan,BANK MANDIRI KCP GRESIK JIIPE,5,173,dicky ajg,5,2026-07-21T05:23:52.895Z,Tellernya sangat ramah dan cantik dan sangat membantu untuk bertransaksi mandiri jiipe jos🤩,tellernya sangat ramah dan cantik dan sangat membantu untuk bertransaksi mandiri jiipe jos,tellernya sangat ramah dan cantik dan sangat membantu untuk bertransaksi mandiri jiipe bagus,tellernya ramah cantik membantu bertransaksi mandiri jiipe bagus,Pelayanan,Positif,0.9959
Perbankan,BANK MANDIRI KCP GRESIK JIIPE,5,173,Criz Lovely,5,2026-07-21T02:33:05.940Z,Kantor bagus dan pelayanan cepat dan ramah,kantor bagus dan pelayanan cepat dan ramah,kantor bagus dan pelayanan cepat dan ramah,kantor bagus pelayanan cepat ramah,Pelayanan,Positif,0.9951
Perbankan,BANK MANDIRI KCP GRESIK JIIPE,5,173,Zumaidah official,5,2026-07-20T02:47:20.546Z,Pelayanan memuaskan,pelayanan memuaskan,pelayanan memuaskan,pelayanan memuaskan,Pelayanan,Positif,0.996
Perbankan,BANK MANDIRI KCP GRESIK JIIPE,5,173,Anton Pelung,5,2026-07-15T03:54:10.759Z,Kantornya bagus pelayanan ramah dan cepat,kantornya bagus pelayanan ramah dan cepat,kantornya bagus pelayanan ramah dan cepat,kantornya bagus pelayanan ramah cepat,Pelayanan,Positif,0.9954
Perbankan,BANK MANDIRI KCP GRESIK JIIPE,5,173,David Kurniawan,5,2026-07-03T07:46:17.603Z,makasih mandiri jiipe csnya terbaik,makasih mandiri jiipe csnya terbaik,makasih mandiri jiipe csnya terbaik,makasih mandiri jiipe csnya terbaik,Lainnya,Positif,0.9908
Perbankan,BANK MANDIRI KCP GRESIK JIIPE,5,173,Feri Anggraini,5,2026-07-03T07:29:06.338Z,Pelayanan bagus dan cepat mandiri jiipe mantap,pelayanan bagus dan cepat mandiri jiipe mantap,pelayanan bagus dan cepat mandiri jiipe bagus,pelayanan bagus cepat mandiri jiipe bagus,Pelayanan,Positif,0.9956
Perbankan,BANK MANDIRI KCP GRESIK JIIPE,5,173,Dinduuofficial,5,2026-07-03T03:13:18.823Z,Pelayanan sangat ramah dan cepat kantornya bagus,pelayanan sangat ramah dan cepat kantornya bagus,pelayanan sangat ramah dan cepat kantornya bagus,pelayanan ramah cepat kantornya bagus,Pelayanan,Positif,0.9964
Perbankan,BANK MANDIRI KCP GRESIK JIIPE,5,173,Dikky ardiansyah,5,2026-07-02T02:23:18.507Z,"Csnya gercep ama ramah, makasih mas cs",csnya gercep ama ramah makasih mas cs,csnya gercep ama ramah makasih mas cs,csnya gercep ama ramah makasih mas cs,Pelayanan,Positif,0.9361
Perbankan,BANK MANDIRI KCP GRESIK JIIPE,5,173,Hilmi Alwy,5,2026-07-01T03:42:03.680Z,"Pelayanan ramah dan murah senyum, terimakasih mbk teller cantik",pelayanan ramah dan murah senyum terimakasih mbk teller cantik,pelayanan ramah dan murah senyum terimakasih mbk teller cantik,pelayanan ramah murah senyum terimakasih mbk teller cantik,Pelayanan,Positif,0.9942
