Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Perbankan,Bank Syariah Indonesia KC Gresik Kartini,4.2,178,sofia,5,2026-07-16T01:05:44.734Z,"tempat nya bersihh wangi, pegawai nya juga ramah"" topp pokoknya",tempat nya bersihh wangi pegawai nya juga ramah topp pokoknya,tempat nya bersihh wangi pegawai nya juga ramah topp pokoknya,tempat bersihh wangi pegawai ramah topp pokoknya,Pelayanan,Negatif,0.9976
Perbankan,Bank Syariah Indonesia KC Gresik Kartini,4.2,178,lalaaa vy,5,2026-07-14T12:54:53.999Z,pelayanan yang baik,pelayanan yang baik,pelayanan yang baik,pelayanan baik,Pelayanan,Negatif,0.9952
Perbankan,Bank Syariah Indonesia KC Gresik Kartini,4.2,178,Susmita Yuliana Santi,5,2026-07-14T09:06:15.398Z,pelayanan ramah,pelayanan ramah,pelayanan ramah,pelayanan ramah,Pelayanan,Negatif,0.996
Perbankan,Bank Syariah Indonesia KC Gresik Kartini,4.2,178,Ichaa 12,5,2026-07-14T07:50:43.758Z,"cepat pelayanannya,anak² PKL ramah dan membantu menjelaskan ke nasabah",cepat pelayanannya anak pkl ramah dan membantu menjelaskan ke nasabah,cepat pelayanannya anak pkl ramah dan membantu menjelaskan ke nasabah,cepat pelayanannya anak pkl ramah membantu menjelaskan nasabah,Pelayanan,Negatif,0.9931
Perbankan,Bank Syariah Indonesia KC Gresik Kartini,4.2,178,Yan Ti,5,2026-07-14T04:11:16.853Z,Pelayanan nya sangat baik,pelayanan nya sangat baik,pelayanan nya sangat baik,pelayanan baik,Pelayanan,Negatif,0.9952
Perbankan,Bank Syariah Indonesia KC Gresik Kartini,4.2,178,Anggita Dinda,5,2026-07-14T03:31:50.673Z,"Satpamnya ramah, CS dan teller juga, tempatnya bersih dan nyaman.",satpamnya ramah cs dan teller juga tempatnya bersih dan nyaman,satpamnya ramah cs dan teller juga tempatnya bersih dan nyaman,satpamnya ramah cs teller tempatnya bersih nyaman,Pelayanan,Negatif,0.9959
Perbankan,Bank Syariah Indonesia KC Gresik Kartini,4.2,178,Anggita Dinda Florensya,5,2026-07-14T03:30:43.600Z,"Tempatnya bersih dan sejuk, satpam ramah, CS juga.",tempatnya bersih dan sejuk satpam ramah cs juga,tempatnya bersih dan sejuk satpam ramah cs juga,tempatnya bersih sejuk satpam ramah cs,Pelayanan,Negatif,0.9966
Perbankan,Bank Syariah Indonesia KC Gresik Kartini,4.2,178,A Dinda,5,2026-07-14T03:26:30.182Z,"Pelayanan informatif, ramah, dan untuk tempatnya bersih. Cukup nyaman untuk berkunjung.",pelayanan informatif ramah dan untuk tempatnya bersih cukup nyaman untuk berkunjung,pelayanan informatif ramah dan untuk tempatnya bersih cukup nyaman untuk berkunjung,pelayanan informatif ramah tempatnya bersih cukup nyaman berkunjung,Pelayanan,Negatif,0.9963
Perbankan,Bank Syariah Indonesia KC Gresik Kartini,4.2,178,D_Lulu Karena Ria,5,2026-07-14T03:16:20.292Z,Pelayanan cepat dan ramah,pelayanan cepat dan ramah,pelayanan cepat dan ramah,pelayanan cepat ramah,Pelayanan,Negatif,0.9955
Perbankan,Bank Syariah Indonesia KC Gresik Kartini,4.2,178,Mutiaghefira 08,5,2026-07-14T03:06:31.304Z,Pelayanan ramah,pelayanan ramah,pelayanan ramah,pelayanan ramah,Pelayanan,Negatif,0.996
