Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Perbankan,BCA KCP Gresik,4.6,35,dicky Dwiz ramadhan,1,2022-07-01T04:19:00.925Z,Orang luar daerah kurang di layanin,orang luar daerah kurang di layanin,orang luar daerah kurang di layanin,orang luar daerah kurang layanin,Lainnya,Positif,0.996
Perbankan,BCA KCP Gresik,4.6,35,Nur Salim,5,2022-02-09T05:55:58.833Z,Warung Emak Sebelah BANK BCA Dr Soetomo,warung emak sebelah bank bca dr soetomo,warung emak sebelah bank bca dari soetomo,warung emak sebelah bank bca soetomo,Lainnya,Netral,0.9953
Perbankan,BCA KCP Gresik,4.6,35,MUSRIANA ANDAYANI,5,2021-05-28T02:32:29.884Z,"Pelayanannya ramah semua, mulai dari satpam sampai customer servicenya 🙂",pelayanannya ramah semua mulai dari satpam sampai customer servicenya,pelayanannya ramah semua mulai dari satpam sampai customer servicenya,pelayanannya ramah semua mulai satpam sampai customer servicenya,Pelayanan,Negatif,0.9953
Perbankan,BCA KCP Gresik,4.6,35,Rob,5,2021-01-30T11:49:12.601Z,Pelayanannya baik. Petugas ramah senyum. Setiap pagi selalu dimulai dengan salam serentak. Tempatnya luas. AC sejuk. Hindari jam istirahat karena petugasnya lebih sedikit dan kadang antrean penuh sesak. Saran: siapkan slip atau hal-hal yang diperlukan dari rumah untuk mempercepat antrean. Jangan baru disiapkan saat sudah di depan teller/CS.,pelayanannya baik petugas ramah senyum setiap pagi selalu dimulai dengan salam serentak tempatnya luas ac sejuk hindari jam istirahat karena petugasnya lebih sedikit dan kadang antrean penuh sesak saran siapkan slip atau hal hal yang diperlukan dari rumah untuk mempercepat antrean jangan baru disiapkan saat sudah di depan teller cs,pelayanannya baik petugas ramah senyum setiap pagi selalu dimulai dengan salam serentak tempatnya luas ac sejuk hindari jam istirahat karena petugasnya lebih sedikit dan kadang antrean penuh sesak saran siapkan slip atau hal hal yang diperlukan dari rumah untuk mempercepat antrean jangan baru disiapkan saat sudah di depan teller cs,pelayanannya baik petugas ramah senyum setiap pagi selalu dimulai salam serentak tempatnya luas ac sejuk hindari jam istirahat petugasnya sedikit kadang antrean penuh sesak saran siapkan slip hal hal diperlukan rumah mempercepat antrean jangan disiapkan depan teller cs,Pelayanan,Negatif,0.5761
Perbankan,BCA KCP Gresik,4.6,35,Balox 8969,5,2020-10-03T01:04:18.385Z,Bagus,bagus,bagus,bagus,Lainnya,Negatif,0.9961
Perbankan,BCA KCP Gresik,4.6,35,باروكا رزقي الله تعالى,4,2020-06-22T18:06:31.190Z,joooossee,joooossee,joooossee,joooossee,Lainnya,Negatif,0.985
Perbankan,BCA KCP Gresik,4.6,35,Daniel Christian,5,2020-06-09T05:51:32.460Z,"Bagus, Ramah, Pelayanan cepat",bagus ramah pelayanan cepat,bagus ramah pelayanan cepat,bagus ramah pelayanan cepat,Pelayanan,Negatif,0.9959
Perbankan,BCA KCP Gresik,4.6,35,Gerhardt Unpapar,5,2020-04-30T07:40:50.164Z,Mau tanya ini bca cabang apa ya??,mau tanya ini bca cabang apa ya,mau tanya ini bca cabang apa ya,mau tanya bca cabang apa ya,Lainnya,Netral,0.9964
Perbankan,BCA KCP Gresik,4.6,35,reni dwi astuti,5,2020-01-31T00:15:15.845Z,"Teller nya banyak, pelayanannya sangat baik. ATM nya juga banyak, jadi kalau antri nggak lama-lama. Lokasi strategis, dekat dengan tempat kerjaku Parkir luas.",teller nya banyak pelayanannya sangat baik atm nya juga banyak jadi kalau antri nggak lama lama lokasi strategis dekat dengan tempat kerjaku parkir luas,teller nya banyak pelayanannya sangat baik atm nya juga banyak jadi kalau antrian tidak lama lama lokasi strategis dekat dengan tempat kerjaku parkir luas,teller banyak pelayanannya baik atm banyak jadi antrian lama lama lokasi strategis dekat tempat kerjaku parkir luas,Pelayanan,Negatif,0.9841
Perbankan,BCA KCP Gresik,4.6,35,Laili Riziiq Ma'rufaa,5,2019-12-06T16:51:09.604Z,deket rumah mesin atm nya juga banyak parkir luas sekali muat motor dan mobil banyak lokasinya pun strategis karena byk dilalui kendaraan bisa tarik dan setor tunai,deket rumah mesin atm nya juga banyak parkir luas sekali muat motor dan mobil banyak lokasinya pun strategis karena byk dilalui kendaraan bisa tarik dan setor tunai,deket rumah mesin atm nya juga banyak parkir luas sekali muat motor dan mobil banyak lokasinya pun strategis karena banyak dilalui kendaraan bisa tarik dan setor tunai,deket rumah mesin atm banyak parkir luas muat motor mobil banyak lokasinya strategis banyak dilalui kendaraan tarik setor tunai,Fasilitas,Negatif,0.983
Perbankan,BCA KCP Gresik,4.6,35,Kato Teki,5,2019-12-04T06:10:44.558Z,Cepet,cepet,cepet,cepet,Lainnya,Negatif,0.9916
Perbankan,BCA KCP Gresik,4.6,35,anies syofyan,4,2019-11-16T05:24:06.872Z,"Ini cabang BCA favorit saya... se ain Dekat rumah, dekat kantor dan parkir mobil dan motor leluasa",ini cabang bca favorit saya se ain dekat rumah dekat kantor dan parkir mobil dan motor leluasa,ini cabang bca favorit saya se ain dekat rumah dekat kantor dan parkir mobil dan motor leluasa,cabang bca favorit se ain dekat rumah dekat kantor parkir mobil motor leluasa,Fasilitas,Negatif,0.5519
Perbankan,BCA KCP Gresik,4.6,35,Untung Kartiko,4,2019-09-09T07:31:55.318Z,Temapatnya enak dan transaksinyapun nyaman,temapatnya enak dan transaksinyapun nyaman,temapatnya enak dan transaksinyapun nyaman,temapatnya enak transaksinyapun nyaman,Fasilitas,Negatif,0.9977
Perbankan,BCA KCP Gresik,4.6,35,Tonduk Majeng,5,2019-08-26T16:55:53.283Z,"Mesin ATM ada banyak, bisa tarik tunai dan setor tunai. Parkir luas.",mesin atm ada banyak bisa tarik tunai dan setor tunai parkir luas,mesin atm ada banyak bisa tarik tunai dan setor tunai parkir luas,mesin atm banyak tarik tunai setor tunai parkir luas,Fasilitas,Netral,0.9305
Perbankan,BCA KCP Gresik,4.6,35,Hendrawan Andy,5,2019-08-04T17:34:20.182Z,Pelayanan memuaskan. Stafnya cekatan dan tanggap,pelayanan memuaskan stafnya cekatan dan tanggap,pelayanan memuaskan stafnya cekatan dan tanggap,pelayanan memuaskan stafnya cekatan tanggap,Pelayanan,Negatif,0.9947
