Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Perbankan,BCA KCU GRESIK,4.6,54,Imam Shubkhi,5,2022-08-20T03:37:11.009Z,Bisa mengajukan pinjaman gak..,bisa mengajukan pinjaman gak,bisa mengajukan pinjaman tidak,mengajukan pinjaman,Keamanan,Netral,0.9722
Perbankan,BCA KCU GRESIK,4.6,54,Mohammad Asrofin,5,2022-08-18T11:16:48.930Z,Baru kali ini merasakan bank dengan tingkat pelayananya luar biasa.. Klo ada bintang 100 akun kasih semua.,baru kali ini merasakan bank dengan tingkat pelayananya luar biasa klo ada bintang akun kasih semua,baru kali ini merasakan bank dengan tingkat pelayananya luar biasa kalau ada bintang akun kasih semua,kali merasakan bank tingkat pelayananya luar biasa bintang akun kasih semua,Pelayanan,Negatif,0.9942
Perbankan,BCA KCU GRESIK,4.6,54,Muhammad Ahmad,5,2022-08-09T01:15:21.504Z,Tempat parkir luas Pelayanan ramah Terorganisir dengan baik,tempat parkir luas pelayanan ramah terorganisir dengan baik,tempat parkir luas pelayanan ramah terorganisir dengan baik,tempat parkir luas pelayanan ramah terorganisir baik,Pelayanan,Negatif,0.9924
Perbankan,BCA KCU GRESIK,4.6,54,Andi Amien Rais,5,2022-08-05T03:58:54.834Z,"Pelayanannya sangat ramah , dan baik good dehh 👍👍👍",pelayanannya sangat ramah dan baik good dehh,pelayanannya sangat ramah dan baik good dehh,pelayanannya ramah baik good dehh,Pelayanan,Negatif,0.9968
Perbankan,BCA KCU GRESIK,4.6,54,nur cholis nico,4,2022-06-13T13:07:17.211Z,Mesin ATM nya banyak,mesin atm nya banyak,mesin atm nya banyak,mesin atm banyak,Lainnya,Negatif,0.7158
Perbankan,BCA KCU GRESIK,4.6,54,Ligo 88,5,2022-05-08T12:47:43.776Z,"Satpamnya ramah,pelayanan cepat.",satpamnya ramah pelayanan cepat,satpamnya ramah pelayanan cepat,satpamnya ramah pelayanan cepat,Pelayanan,Negatif,0.996
Perbankan,BCA KCU GRESIK,4.6,54,Putro Channel,5,2022-03-04T06:24:59.533Z,Terbaik,terbaik,terbaik,terbaik,Lainnya,Negatif,0.996
Perbankan,BCA KCU GRESIK,4.6,54,huda as'ad,5,2021-12-30T00:09:35.000Z,Pokoknya BCA siPPP lah,pokoknya bca sippp lah,pokoknya bca sippp lah,pokoknya bca sippp,Lainnya,Negatif,0.9932
Perbankan,BCA KCU GRESIK,4.6,54,Muzabibul Alif,5,2021-06-30T08:04:35.906Z,"Pelayanan cepat, staf nya ramah semua, tempat nya bersih dan nyaman sangat puas dan sangat recomended 😁😁",pelayanan cepat staf nya ramah semua tempat nya bersih dan nyaman sangat puas dan sangat recomended,pelayanan cepat staf nya ramah semua tempat nya bersih dan nyaman sangat puas dan sangat recomended,pelayanan cepat staf ramah semua tempat bersih nyaman puas recomended,Pelayanan,Negatif,0.9978
Perbankan,BCA KCU GRESIK,4.6,54,SKY Chanel,5,2021-05-14T12:16:30.380Z,Pelayanan sangat memuaskan. Ramah dan sopan. Semoga pelayanan tetap diprioritaskan. Sangat puasssss,pelayanan sangat memuaskan ramah dan sopan semoga pelayanan tetap diprioritaskan sangat puasssss,pelayanan sangat memuaskan ramah dan sopan semoga pelayanan tetap diprioritaskan sangat puasssss,pelayanan memuaskan ramah sopan semoga pelayanan tetap diprioritaskan puasssss,Pelayanan,Negatif,0.9815
