Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik & Praktek Dokter,Bidan Ismari & Billah Family Care,4.9,82,rere noi,5,2024-12-25T13:01:31.604Z,"Dulu saya pernah jadi pasiennya waktu masih praktek di Pulau Bawean, pasiennya juga ramai, Orang Bawean is the best. Sehat selalu ya bu Bidan",dulu saya pernah jadi pasiennya waktu masih praktek di pulau bawean pasiennya juga ramai orang bawean is the best sehat selalu ya bu bidan,dulu saya pernah jadi pasiennya waktu masih praktek di pulau bawean pasiennya juga ramai orang bawean is the best sehat selalu ya bu bidan,dulu pernah jadi pasiennya waktu praktek pulau bawean pasiennya ramai orang bawean is the best sehat selalu ya bu bidan,Kesehatan,Positif,0.9943
Kesehatan,Klinik & Praktek Dokter,Bidan Ismari & Billah Family Care,4.9,82,azka Dina,5,2024-12-07T02:55:09.626Z,Kulit wajah ku selalu sehat dan ringan bersama Billah skincare kesayangan,kulit wajah ku selalu sehat dan ringan bersama billah skincare kesayangan,kulit wajah ku selalu sehat dan ringan bersama billah skincare kesayangan,kulit wajah ku selalu sehat ringan bersama billah skincare kesayangan,Lainnya,Positif,0.984
Kesehatan,Klinik & Praktek Dokter,Bidan Ismari & Billah Family Care,4.9,82,Ita Rohimah,5,2024-12-03T10:09:26.177Z,"Tempatnya nyaman n terapisnya ok bangets, treatment top markotop 👍👍👍",tempatnya nyaman n terapisnya ok bangets treatment top markotop,tempatnya nyaman n terapisnya oke bangets treatment top markotop,tempatnya nyaman terapisnya oke bangets treatment top markotop,Fasilitas,Positif,0.9977
Kesehatan,Klinik & Praktek Dokter,Bidan Ismari & Billah Family Care,4.9,82,Sevy DwiLestari,5,2024-12-01T19:38:59.067Z,"Suka banget sama pelayanan billah family care,sudah lama langganan skincare Salsabilah nya ,the best pokok nya👍",suka banget sama pelayanan billah family care sudah lama langganan skincare salsabilah nya the best pokok nya,suka banget sama pelayanan billah family care sudah lama langganan skincare salsabilah nya the best pokok nya,suka banget sama pelayanan billah family care lama langganan skincare salsabilah the best pokok,Pelayanan,Positif,0.9972
Kesehatan,Klinik & Praktek Dokter,Bidan Ismari & Billah Family Care,4.9,82,Vita Karisma,5,2024-11-26T06:50:10.052Z,Bidan yg sangat recomended periksa dr awal hamil sampe lahiran untuk pelayanan sangat baguss dan bu bidan juga sangat ramah sekali ❤,bidan yg sangat recomended periksa dr awal hamil sampe lahiran untuk pelayanan sangat baguss dan bu bidan juga sangat ramah sekali,bidan yang sangat recomended periksa dari awal hamil sampe lahiran untuk pelayanan sangat baguss dan bu bidan juga sangat ramah sekali,bidan recomended periksa awal hamil sampe lahiran pelayanan baguss bu bidan ramah,Pelayanan,Positif,0.9965
Kesehatan,Klinik & Praktek Dokter,Bidan Ismari & Billah Family Care,4.9,82,Ditta Ziyan zunainiyah,5,2024-09-06T11:59:42.903Z,"Tempatnya nyaman bangett, bersih pelayanannya sangat memuaskan trimakasih semuanya 🥰",tempatnya nyaman bangett bersih pelayanannya sangat memuaskan trimakasih semuanya,tempatnya nyaman bangett bersih pelayanannya sangat memuaskan trimakasih semuanya,tempatnya nyaman bangett bersih pelayanannya memuaskan trimakasih semuanya,Pelayanan,Positif,0.9951
Kesehatan,Klinik & Praktek Dokter,Bidan Ismari & Billah Family Care,4.9,82,Iswadiwatwo@gmail.com Iswadiwatwo,5,2023-02-14T12:39:42.374Z,Pelayanan sangat ramah memuaskan Tempatnya bersih,pelayanan sangat ramah memuaskan tempatnya bersih,pelayanan sangat ramah memuaskan tempatnya bersih,pelayanan ramah memuaskan tempatnya bersih,Pelayanan,Positif,0.9968
Kesehatan,Klinik & Praktek Dokter,Bidan Ismari & Billah Family Care,4.9,82,Akhmad Nur Hidayat,5,2022-07-13T12:19:23.455Z,Cepat dan cekatan,cepat dan cekatan,cepat dan cekatan,cepat cekatan,Pelayanan,Positif,0.9936
Kesehatan,Klinik & Praktek Dokter,Bidan Ismari & Billah Family Care,4.9,82,Lanny Narulita,5,2022-06-03T09:55:23.011Z,Bidanya ramah² pelayananya cepat dan tanggap,bidanya ramah pelayananya cepat dan tanggap,bidanya ramah pelayananya cepat dan tanggap,bidanya ramah pelayananya cepat tanggap,Pelayanan,Positif,0.9955
Kesehatan,Klinik & Praktek Dokter,Bidan Ismari & Billah Family Care,4.9,82,Meyta Wardani,5,2022-05-31T12:04:17.594Z,Pelayanan baikkk,pelayanan baikkk,pelayanan baikkk,pelayanan baikkk,Pelayanan,Positif,0.9959
