Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik & Praktek Dokter,Bidan Nisbaningsih,4.7,17,Nasiyati Yati,5,2026-01-29T04:25:52.203Z,"Pelayanan baik memuaskan bidan dan asisten nya cukup Rama , sy sangat cocok perobat ke sini ,👍👍👌👌",pelayanan baik memuaskan bidan dan asisten nya cukup rama sy sangat cocok perobat ke sini,pelayanan baik memuaskan bidan dan asisten nya cukup rama saya sangat cocok perobat ke sini,pelayanan baik memuaskan bidan asisten cukup rama cocok perobat sini,Pelayanan,Positif,0.9891
Kesehatan,Klinik & Praktek Dokter,Bidan Nisbaningsih,4.7,17,shofii dinah,5,2025-03-08T04:57:43.876Z,"ramah sekali, dijelaskan dengan detail meskipun kita tidak tanya🥰",ramah sekali dijelaskan dengan detail meskipun kita tidak tanya,ramah sekali dijelaskan dengan detail meskipun kita tidak tanya,ramah dijelaskan detail meskipun tanya,Pelayanan,Positif,0.9722
Kesehatan,Klinik & Praktek Dokter,Bidan Nisbaningsih,4.7,17,Siti Aisah,5,2024-08-31T22:36:38.383Z,"Bidan terbaik sepanjang aku yg pernah aku temui, paling baik bgt asistenya pun baik sekali 🥰😍",bidan terbaik sepanjang aku yg pernah aku temui paling baik bgt asistenya pun baik sekali,bidan terbaik sepanjang aku yang pernah aku temui paling baik banget asistenya pun baik sekali,bidan terbaik sepanjang aku pernah aku temui paling baik banget asistenya baik,Lainnya,Positif,0.9953
Kesehatan,Klinik & Praktek Dokter,Bidan Nisbaningsih,4.7,17,Irma Yunanda,5,2024-08-13T09:32:39.532Z,Pelayanan sangat memuaskan🥰,pelayanan sangat memuaskan,pelayanan sangat memuaskan,pelayanan memuaskan,Pelayanan,Positif,0.996
Kesehatan,Klinik & Praktek Dokter,Bidan Nisbaningsih,4.7,17,tata chivo92,1,2024-07-09T10:44:27.874Z,Buruk lah..dtg duluan tp g dilayan2i malah yg dtg blakangan dilayani dlu...sampe 5 org loh.. perbaiki lg playanan..dtg dlu dilayani dlu..,buruk lah dtg duluan tp g dilayan2i malah yg dtg blakangan dilayani dlu sampe org loh perbaiki lg playanan dtg dlu dilayani dlu,buruk lah dtg duluan tapi g dilayan2i malah yang dtg blakangan dilayani dlu sampe org loh perbaiki lg playanan dtg dlu dilayani dlu,buruk dtg duluan dilayan2i malah dtg blakangan dilayani dlu sampe org loh perbaiki lg playanan dtg dlu dilayani dlu,Pelayanan,Negatif,0.9921
Kesehatan,Klinik & Praktek Dokter,Bidan Nisbaningsih,4.7,17,Lia Chila,5,2024-03-25T02:23:17.042Z,bidan ramah dan cekatan tempat bersih dan rapi,bidan ramah dan cekatan tempat bersih dan rapi,bidan ramah dan cekatan tempat bersih dan rapi,bidan ramah cekatan tempat bersih rapi,Pelayanan,Positif,0.9944
Kesehatan,Klinik & Praktek Dokter,Bidan Nisbaningsih,4.7,17,muhammad wildan,4,2024-01-20T05:24:20.504Z,"Pelayanan bagus bidan dan asisten nya selalu ramah, menyenangkan...",pelayanan bagus bidan dan asisten nya selalu ramah menyenangkan,pelayanan bagus bidan dan asisten nya selalu ramah menyenangkan,pelayanan bagus bidan asisten selalu ramah menyenangkan,Pelayanan,Positif,0.9966
Kesehatan,Klinik & Praktek Dokter,Bidan Nisbaningsih,4.7,17,Isnaeni Nur Faeda,5,2024-01-03T13:25:42.104Z,"Sangat puas dengan pelayanan di sini, Pelayanan baik, dan ramah serta ditangani dengan cekatan. Tempatnya nyaman dan bersih. Terima kasih banyak bu bidan 🙏🏻😇",sangat puas dengan pelayanan di sini pelayanan baik dan ramah serta ditangani dengan cekatan tempatnya nyaman dan bersih terima kasih banyak bu bidan,sangat puas dengan pelayanan di sini pelayanan baik dan ramah serta ditangani dengan cekatan tempatnya nyaman dan bersih terima kasih banyak bu bidan,puas pelayanan sini pelayanan baik ramah serta ditangani cekatan tempatnya nyaman bersih terima kasih banyak bu bidan,Pelayanan,Positif,0.9933
Kesehatan,Klinik & Praktek Dokter,Bidan Nisbaningsih,4.7,17,Riswana Adjie Prasetyo,5,2023-12-27T05:21:14.719Z,tempatnya nyaman bersih,tempatnya nyaman bersih,tempatnya nyaman bersih,tempatnya nyaman bersih,Fasilitas,Positif,0.9975
Kesehatan,Klinik & Praktek Dokter,Bidan Nisbaningsih,4.7,17,Mohamad Puji,5,2023-07-03T09:11:52.251Z,"Pelayanannya sangat baik dan ramah ,, tempatnya rapi dan bersih",pelayanannya sangat baik dan ramah tempatnya rapi dan bersih,pelayanannya sangat baik dan ramah tempatnya rapi dan bersih,pelayanannya baik ramah tempatnya rapi bersih,Pelayanan,Positif,0.9967
Kesehatan,Klinik & Praktek Dokter,Bidan Nisbaningsih,4.7,17,Muhammad Rifqi Fitriyansyah,5,2020-08-04T10:40:21.172Z,"Pelayanan ramah, kesini mengantarkan saudara untuk keperluan imunisasi bayi. Tidak menerima BPJS.",pelayanan ramah kesini mengantarkan saudara untuk keperluan imunisasi bayi tidak menerima bpjs,pelayanan ramah kesini mengantarkan saudara untuk keperluan imunisasi bayi tidak menerima bpjs,pelayanan ramah kesini mengantarkan saudara keperluan imunisasi bayi menerima bpjs,Pelayanan,Positif,0.9313
