Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik & Praktek Dokter,Bidan Ny.Ely.Kusmawati,4.7,54,Anjelina Ansori,5,2026-07-15T02:29:56.457Z,Bidannya baik baik pelayanan Ok,bidannya baik baik pelayanan ok,bidannya baik baik pelayanan oke,bidannya baik baik pelayanan oke,Pelayanan,Positif,0.9923
Kesehatan,Klinik & Praktek Dokter,Bidan Ny.Ely.Kusmawati,4.7,54,Tiara Nur Astari,5,2026-07-15T02:24:29.092Z,"Sangat nyaman tempatnya, Bidannya semua baik baik",sangat nyaman tempatnya bidannya semua baik baik,sangat nyaman tempatnya bidannya semua baik baik,nyaman tempatnya bidannya semua baik baik,Fasilitas,Positif,0.9956
Kesehatan,Klinik & Praktek Dokter,Bidan Ny.Ely.Kusmawati,4.7,54,Sula ten,5,2026-06-08T12:52:12.251Z,Pelayanan bagus semoga segera jadi klinik,pelayanan bagus semoga segera jadi klinik,pelayanan bagus semoga segera jadi klinik,pelayanan bagus semoga segera jadi klinik,Pelayanan,Positif,0.9923
Kesehatan,Klinik & Praktek Dokter,Bidan Ny.Ely.Kusmawati,4.7,54,Ddky Dddky,5,2026-06-08T11:56:43.995Z,Bidan baik joss,bidan baik joss,bidan baik joss,bidan baik joss,Lainnya,Positif,0.9942
Kesehatan,Klinik & Praktek Dokter,Bidan Ny.Ely.Kusmawati,4.7,54,Siti Malikah,5,2026-06-08T11:54:58.939Z,Sangat baik sekali,sangat baik sekali,sangat baik sekali,baik,Lainnya,Positif,0.9844
Kesehatan,Klinik & Praktek Dokter,Bidan Ny.Ely.Kusmawati,4.7,54,Nurul Hidayati,5,2026-06-05T05:26:26.127Z,Pelayananya sangat sangat bagus,pelayananya sangat sangat bagus,pelayananya sangat sangat bagus,pelayananya bagus,Pelayanan,Positif,0.9972
Kesehatan,Klinik & Praktek Dokter,Bidan Ny.Ely.Kusmawati,4.7,54,yulaikah sumput,5,2026-06-05T04:00:01.120Z,"Alhamdulillah,,dengan adanya TPMB di desa sumput ,,semoga tambah sejahtera semua warga desa sumput, semoga TPMB ini bisa amanah,Barokah ,dan Sukses kedepannya,,",alhamdulillah dengan adanya tpmb di desa sumput semoga tambah sejahtera semua warga desa sumput semoga tpmb ini bisa amanah barokah dan sukses kedepannya,alhamdulillah dengan adanya tpmb di desa sumput semoga tambah sejahtera semua warga desa sumput semoga tpmb ini bisa amanah barokah dan sukses kedepannya,alhamdulillah adanya tpmb desa sumput semoga tambah sejahtera semua warga desa sumput semoga tpmb amanah barokah sukses kedepannya,Keamanan,Positif,0.9337
Kesehatan,Klinik & Praktek Dokter,Bidan Ny.Ely.Kusmawati,4.7,54,Nur Saadah,5,2026-06-05T03:46:38.316Z,Pelayanan nya sangat bagus perawat nya Rama dan tanggap terhadap pasien,pelayanan nya sangat bagus perawat nya rama dan tanggap terhadap pasien,pelayanan nya sangat bagus perawat nya rama dan tanggap terhadap pasien,pelayanan bagus perawat rama tanggap terhadap pasien,Pelayanan,Positif,0.9934
Kesehatan,Klinik & Praktek Dokter,Bidan Ny.Ely.Kusmawati,4.7,54,Ragil Mustofa,5,2026-06-05T03:46:32.466Z,Pelayanannya lengkap ada mams dan baby spa juga,pelayanannya lengkap ada mams dan baby spa juga,pelayanannya lengkap ada mams dan baby spa juga,pelayanannya lengkap mams baby spa,Pelayanan,Positif,0.9949
Kesehatan,Klinik & Praktek Dokter,Bidan Ny.Ely.Kusmawati,4.7,54,Sulastri Sulastri,5,2026-06-05T03:46:28.170Z,Pelayanannya Cepat dan Bagus,pelayanannya cepat dan bagus,pelayanannya cepat dan bagus,pelayanannya cepat bagus,Pelayanan,Positif,0.9966
