Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik & Praktek Dokter,"Bidan Praktek Mandiri Bdn Enik Norhayati,S.ST,M.Kes",5,38,Firda Felayani,5,2026-07-13T03:53:53.239Z,"Pertama kali ke bubidan enik,. tanggap sekali, pelayanan nyaman,baik , penjelasannya sangat ditail dan mudah di pahami, sangat sangat berpengalaman dan juga perhatian .. sukses selalu bubid",pertama kali ke bubidan enik tanggap sekali pelayanan nyaman baik penjelasannya sangat ditail dan mudah di pahami sangat sangat berpengalaman dan juga perhatian sukses selalu bubid,pertama kali ke bubidan enik tanggap sekali pelayanan nyaman baik penjelasannya sangat ditail dan mudah di pahami sangat sangat berpengalaman dan juga perhatian sukses selalu bubid,pertama kali bubidan enik tanggap pelayanan nyaman baik penjelasannya ditail mudah pahami berpengalaman perhatian sukses selalu bubid,Pelayanan,Positif,0.9826
Kesehatan,Klinik & Praktek Dokter,"Bidan Praktek Mandiri Bdn Enik Norhayati,S.ST,M.Kes",5,38,imelzda Fransiska,5,2026-06-29T03:21:52.385Z,"Biar bintang yang berbicara Saya puas dengan pelayanannya,ramah ,sabar top",biar bintang yang berbicara saya puas dengan pelayanannya ramah sabar top,biar bintang yang berbicara saya puas dengan pelayanannya ramah sabar top,biar bintang berbicara puas pelayanannya ramah sabar top,Pelayanan,Positif,0.9956
Kesehatan,Klinik & Praktek Dokter,"Bidan Praktek Mandiri Bdn Enik Norhayati,S.ST,M.Kes",5,38,destria serviona,5,2026-03-16T08:43:44.905Z,"bu bidan nyaa baik bgtt, sesabar itu beliau,  ramah banget. ibu hamil wajib banget lahiran di sini serius🥰 pelayanan nya baikk bangettt . yuk yang daerah gresik lahiran ke bu bidan Enik🥰lovyuu bu bidan",bu bidan nyaa baik bgtt sesabar itu beliau ramah banget ibu hamil wajib banget lahiran di sini serius pelayanan nya baikk bangettt yuk yang daerah gresik lahiran ke bu bidan eniklovyuu bu bidan,bu bidan nyaa baik bgtt sesabar itu beliau ramah banget ibu hamil wajib banget lahiran di sini serius pelayanan nya baikk bangettt yuk yang daerah gresik lahiran ke bu bidan eniklovyuu bu bidan,bu bidan nyaa baik bgtt sesabar beliau ramah banget ibu hamil wajib banget lahiran sini serius pelayanan baikk bangettt yuk daerah gresik lahiran bu bidan eniklovyuu bu bidan,Pelayanan,Positif,0.9921
Kesehatan,Klinik & Praktek Dokter,"Bidan Praktek Mandiri Bdn Enik Norhayati,S.ST,M.Kes",5,38,erik djasmin,5,2025-11-15T02:29:02.724Z,Pelayanan memuaskan sekali Dan jgn lupa ya temen temen klau ada masalah anak datang aja ke bidan enik di jamin puas deh,pelayanan memuaskan sekali dan jgn lupa ya temen temen klau ada masalah anak datang aja ke bidan enik di jamin puas deh,pelayanan memuaskan sekali dan jgn lupa ya temen temen klau ada masalah anak datang aja ke bidan enik di jamin puas deh,pelayanan memuaskan jgn lupa ya temen temen klau masalah anak datang aja bidan enik jamin puas,Pelayanan,Positif,0.9583
Kesehatan,Klinik & Praktek Dokter,"Bidan Praktek Mandiri Bdn Enik Norhayati,S.ST,M.Kes",5,38,Siti endang Wulandari,5,2025-10-27T02:19:45.740Z,"Suka sekali periksa di sini Bu bidanya ramah baik dan sabar .nyasih penjelasanya sampek aku bener""paham makasih Bu bidan🥰",suka sekali periksa di sini bu bidanya ramah baik dan sabar nyasih penjelasanya sampek aku bener paham makasih bu bidan,suka sekali periksa di sini bu bidanya ramah baik dan sabar nyasih penjelasanya sampek aku bener paham makasih bu bidan,suka periksa sini bu bidanya ramah baik sabar nyasih penjelasanya sampek aku bener paham makasih bu bidan,Pelayanan,Positif,0.97
Kesehatan,Klinik & Praktek Dokter,"Bidan Praktek Mandiri Bdn Enik Norhayati,S.ST,M.Kes",5,38,Ninik Wahyuni,5,2025-05-16T05:02:32.042Z,"Beneran bidannya ramah enak di ajak konsultasi, mau ngasih saran dan masukan ke pasien,baru kemarin saya kesana tau info dari google barokallah Bu bidan, terimakasih banyak sdh mau mendengarkan cerita dan keluhan saya",beneran bidannya ramah enak di ajak konsultasi mau ngasih saran dan masukan ke pasien baru kemarin saya kesana tau info dari google barokallah bu bidan terimakasih banyak sdh mau mendengarkan cerita dan keluhan saya,beneran bidannya ramah enak di ajak konsultasi mau ngasih saran dan masukan ke pasien baru kemarin saya kesana tau info dari google barokallah bu bidan terimakasih banyak sudah mau mendengarkan cerita dan keluhan saya,beneran bidannya ramah enak ajak konsultasi mau ngasih saran masukan pasien kemarin kesana tau info google barokallah bu bidan terimakasih banyak mau mendengarkan cerita keluhan,Pelayanan,Positif,0.8359
Kesehatan,Klinik & Praktek Dokter,"Bidan Praktek Mandiri Bdn Enik Norhayati,S.ST,M.Kes",5,38,budi knetihp,5,2025-04-26T22:47:54.572Z,"Pelayanan baik,  bisa untuk periksa penyakit umum.. D best lahh",pelayanan baik bisa untuk periksa penyakit umum d best lahh,pelayanan baik bisa untuk periksa penyakit umum d best lahh,pelayanan baik periksa penyakit umum best lahh,Pelayanan,Positif,0.996
Kesehatan,Klinik & Praktek Dokter,"Bidan Praktek Mandiri Bdn Enik Norhayati,S.ST,M.Kes",5,38,Syamsudin Ali,5,2025-04-23T02:09:24.958Z,Pelayan bagus dan orang nya ramah,pelayan bagus dan orang nya ramah,pelayan bagus dan orang nya ramah,pelayan bagus orang ramah,Pelayanan,Positif,0.9956
Kesehatan,Klinik & Praktek Dokter,"Bidan Praktek Mandiri Bdn Enik Norhayati,S.ST,M.Kes",5,38,Pulo Mayang,5,2025-03-03T13:43:55.668Z,"Trima kasih buat Bu bidan Enik sudah sabar dengar keluhanku, ngasih resep obat yang mantep pool, Alhamdulillah sakitnya sembuh,semoga sukses kedepannya buat  Bu bidan..dan buat warga Gresik dan Surabaya sekitarnya sangat rekomended buat berobat dan menjadi bidan kesehatan keluarga., orangnya ramah enak diajak ngobrol terutama masalah ibu dan anak.",trima kasih buat bu bidan enik sudah sabar dengar keluhanku ngasih resep obat yang mantep pool alhamdulillah sakitnya sembuh semoga sukses kedepannya buat bu bidan dan buat warga gresik dan surabaya sekitarnya sangat rekomended buat berobat dan menjadi bidan kesehatan keluarga orangnya ramah enak diajak ngobrol terutama masalah ibu dan anak,trima kasih buat bu bidan enik sudah sabar dengar keluhanku ngasih resep obat yang mantep pool alhamdulillah sakitnya sembuh semoga sukses kedepannya buat bu bidan dan buat warga gresik dan surabaya sekitarnya sangat rekomended buat berobat dan menjadi bidan kesehatan keluarga orangnya ramah enak diajak ngobrol terutama masalah ibu dan anak,trima kasih buat bu bidan enik sabar dengar keluhanku ngasih resep obat mantep pool alhamdulillah sakitnya sembuh semoga sukses kedepannya buat bu bidan buat warga gresik surabaya sekitarnya rekomended buat berobat menjadi bidan kesehatan keluarga orangnya ramah enak diajak ngobrol terutama masalah ibu anak,Pelayanan,Positif,0.9955
Kesehatan,Klinik & Praktek Dokter,"Bidan Praktek Mandiri Bdn Enik Norhayati,S.ST,M.Kes",5,38,Qusnul Fatimah,5,2024-10-21T08:30:12.914Z,"bu bidannya superr ramahh, baikk sekalii, penjelasannya lengkapp, suabarr poll, jadi nyaman kalo mau cerita apapun berasa kayak sama temen sendiri, rekomended poll, kalo nyari bidan pribadi sama beliau aja yahh🤗",bu bidannya superr ramahh baikk sekalii penjelasannya lengkapp suabarr poll jadi nyaman kalo mau cerita apapun berasa kayak sama temen sendiri rekomended poll kalo nyari bidan pribadi sama beliau aja yahh,bu bidannya superr ramahh baikk sekalii penjelasannya lengkapp suabarr poll jadi nyaman kalo mau cerita apapun berasa kayak sama temen sendiri rekomended poll kalo nyari bidan pribadi sama beliau aja yahh,bu bidannya superr ramahh baikk sekalii penjelasannya lengkapp suabarr poll jadi nyaman kalo mau cerita apapun berasa kayak sama temen sendiri rekomended poll kalo nyari bidan pribadi sama beliau aja yahh,Pelayanan,Positif,0.996
