Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik & Praktek Dokter,Bidan Praktek Mandiri Widya Puji Lestari,5,64,Widhy San,5,2026-07-28T10:11:01.010Z,"Terima kasih Bubid Widya atas pemeriksaan dan edukasi ke kami saat periksa awal kehamilan istri saya. Bubid komunikatif sekali, penjelasan baik dan jelas. Rekomendasi sekali untuk bumil muda maupun pasien lainnya.",terima kasih bubid widya atas pemeriksaan dan edukasi ke kami saat periksa awal kehamilan istri saya bubid komunikatif sekali penjelasan baik dan jelas rekomendasi sekali untuk bumil muda maupun pasien lainnya,terima kasih bubid widya atas pemeriksaan dan edukasi ke kami saat periksa awal kehamilan istri saya bubid komunikatif sekali penjelasan baik dan jelas rekomendasi sekali untuk bumil muda maupun pasien lainnya,terima kasih bubid widya atas pemeriksaan edukasi periksa awal kehamilan istri bubid komunikatif penjelasan baik jelas rekomendasi bumil muda maupun pasien lainnya,Kesehatan,Netral,0.7031
Kesehatan,Klinik & Praktek Dokter,Bidan Praktek Mandiri Widya Puji Lestari,5,64,Sopp Alifa,5,2026-05-23T09:05:31.986Z,Apa bisa pijat anak,apa bisa pijat anak,apa bisa pijat anak,apa pijat anak,Lainnya,Positif,0.8055
Kesehatan,Klinik & Praktek Dokter,Bidan Praktek Mandiri Widya Puji Lestari,5,64,vivin indraswari17,5,2026-01-12T23:43:12.083Z,Apa menerima imunisasi dpt? Dan di harga brp,apa menerima imunisasi dpt dan di harga brp,apa menerima imunisasi dpt dan di harga brp,apa menerima imunisasi dpt harga brp,Lainnya,Netral,0.9272
Kesehatan,Klinik & Praktek Dokter,Bidan Praktek Mandiri Widya Puji Lestari,5,64,erlienda _,5,2025-07-07T01:35:27.622Z,Apa ada nomer yang bisa di hubungi ?,apa ada nomer yang bisa di hubungi,apa ada nomer yang bisa di hubungi,apa nomer hubungi,Lainnya,Netral,0.8874
Kesehatan,Klinik & Praktek Dokter,Bidan Praktek Mandiri Widya Puji Lestari,5,64,Mhmd Handoko,5,2025-06-23T07:40:55.162Z,Bagus,bagus,bagus,bagus,Lainnya,Positif,0.9961
Kesehatan,Klinik & Praktek Dokter,Bidan Praktek Mandiri Widya Puji Lestari,5,64,Candana Dwi Januar,4,2024-11-06T04:41:02.591Z,Apa melayani imunisasi?,apa melayani imunisasi,apa melayani imunisasi,apa melayani imunisasi,Lainnya,Positif,0.9642
Kesehatan,Klinik & Praktek Dokter,Bidan Praktek Mandiri Widya Puji Lestari,5,64,Dyza Kara,5,2024-09-30T01:10:22.141Z,Apakah disini Menerima pelayanan tes kesehatan pra nikah (catin) ?,apakah disini menerima pelayanan tes kesehatan pra nikah catin,apakah disini menerima pelayanan tes kesehatan pra nikah catin,apakah disini menerima pelayanan tes kesehatan pra nikah catin,Pelayanan,Netral,0.9954
Kesehatan,Klinik & Praktek Dokter,Bidan Praktek Mandiri Widya Puji Lestari,5,64,affandi affandi,5,2024-03-03T12:48:46.498Z,Sukses selalu mbak  Bidan,sukses selalu mbak bidan,sukses selalu mbak bidan,sukses selalu mbak bidan,Lainnya,Positif,0.9842
Kesehatan,Klinik & Praktek Dokter,Bidan Praktek Mandiri Widya Puji Lestari,5,64,Triya Anggarika,5,2024-03-03T12:44:16.384Z,"Bubid baik banget, sabar, ramah, telaten Sukak banget deh pokoknya kalau periksa di Bubid cantik ini",bubid baik banget sabar ramah telaten sukak banget deh pokoknya kalau periksa di bubid cantik ini,bubid baik banget sabar ramah telaten sukak banget deh pokoknya kalau periksa di bubid cantik ini,bubid baik banget sabar ramah telaten sukak banget pokoknya periksa bubid cantik,Pelayanan,Positif,0.995
Kesehatan,Klinik & Praktek Dokter,Bidan Praktek Mandiri Widya Puji Lestari,5,64,verry ardiansyah,5,2023-09-19T07:01:11.783Z,Sukses selalu bu bidan,sukses selalu bu bidan,sukses selalu bu bidan,sukses selalu bu bidan,Lainnya,Positif,0.9849
