Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,BPJS Kesehatan,BPJS Ketenagakerjaan Gresik,4.5,1277,Hilman Ansori,5,2026-08-20T07:59:37.059Z,Terimakasih pak satpam sudah dibantu,terimakasih pak satpam sudah dibantu,terimakasih pak satpam sudah dibantu,terimakasih pak satpam dibantu,Keamanan,Positif,0.8398
Kesehatan,BPJS Kesehatan,BPJS Ketenagakerjaan Gresik,4.5,1277,Emy Aqsa,5,2026-08-20T05:07:28.669Z,"Terimakasih pelayanan sangat baik dan ramah, satpam juga baik ramah 🙏",terimakasih pelayanan sangat baik dan ramah satpam juga baik ramah,terimakasih pelayanan sangat baik dan ramah satpam juga baik ramah,terimakasih pelayanan baik ramah satpam baik ramah,Pelayanan,Positif,0.9436
Kesehatan,BPJS Kesehatan,BPJS Ketenagakerjaan Gresik,4.5,1277,Arifin Sa'dullah,5,2026-08-20T03:09:04.802Z,Terimakasih pak Satpam sudah dibantu membantu antrian,terimakasih pak satpam sudah dibantu membantu antrian,terimakasih pak satpam sudah dibantu membantu antrian,terimakasih pak satpam dibantu membantu antrian,Pelayanan,Positif,0.8881
Kesehatan,BPJS Kesehatan,BPJS Ketenagakerjaan Gresik,4.5,1277,Eka Citra Kharisma N,5,2026-08-20T00:33:20.158Z,pelayanan yang oke,pelayanan yang oke,pelayanan yang oke,pelayanan oke,Pelayanan,Positif,0.9963
Kesehatan,BPJS Kesehatan,BPJS Ketenagakerjaan Gresik,4.5,1277,IKHBAR PUTRA ROSMA,5,2026-08-20T00:21:07.200Z,Terima kasih atas bantuan bapak /ibu satpam dengan ramah,terima kasih atas bantuan bapak ibu satpam dengan ramah,terima kasih atas bantuan bapak ibu satpam dengan ramah,terima kasih atas bantuan bapak ibu satpam ramah,Pelayanan,Netral,0.5667
Kesehatan,BPJS Kesehatan,BPJS Ketenagakerjaan Gresik,4.5,1277,Nda A,5,2026-08-19T07:04:03.208Z,"Pelayann dengan baik,cepat,ramah",pelayann dengan baik cepat ramah,pelayann dengan baik cepat ramah,pelayann baik cepat ramah,Pelayanan,Positif,0.9915
Kesehatan,BPJS Kesehatan,BPJS Ketenagakerjaan Gresik,4.5,1277,Anita S,5,2026-08-19T06:30:10.413Z,Pelayanan ramah dan cepat,pelayanan ramah dan cepat,pelayanan ramah dan cepat,pelayanan ramah cepat,Pelayanan,Positif,0.996
Kesehatan,BPJS Kesehatan,BPJS Ketenagakerjaan Gresik,4.5,1277,Samsung J7pro,5,2026-08-18T22:14:52.230Z,Terima kasih bnyak mas satpam.nya sangat ramah. Membantu saya dengan sabar,terima kasih bnyak mas satpam nya sangat ramah membantu saya dengan sabar,terima kasih bnyak mas satpam nya sangat ramah membantu saya dengan sabar,terima kasih bnyak mas satpam ramah membantu sabar,Pelayanan,Positif,0.9699
Kesehatan,BPJS Kesehatan,BPJS Ketenagakerjaan Gresik,4.5,1277,Dniisukatribun 88,5,2026-08-18T02:06:06.650Z,Ramah,ramah,ramah,ramah,Pelayanan,Positif,0.9959
Kesehatan,BPJS Kesehatan,BPJS Ketenagakerjaan Gresik,4.5,1277,Dewirosita rosita,5,2026-08-18T01:54:10.893Z,pelayanan baik,pelayanan baik,pelayanan baik,pelayanan baik,Pelayanan,Positif,0.9952
