Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,BPJS Kesehatan,BPJS Ketenagakerjaan Gresik Driyorejo,4.7,646,Nita Setyorini,1,2026-08-20T01:27:04.289Z,"Pelayanan sangat buruk, pegawai santai santai kita harus menunggu hanya utk ambil kartu keanggotaan",pelayanan sangat buruk pegawai santai santai kita harus menunggu hanya utk ambil kartu keanggotaan,pelayanan sangat buruk pegawai santai santai kita harus menunggu hanya untuk ambil kartu keanggotaan,pelayanan buruk pegawai santai santai harus menunggu hanya ambil kartu keanggotaan,Pelayanan,Negatif,0.9973
Kesehatan,BPJS Kesehatan,BPJS Ketenagakerjaan Gresik Driyorejo,4.7,646,saraswatyatmoko,3,2026-08-05T03:09:06.956Z,"Fasilitas tempat duduk kurang, sehingga banyak lansia maupun pengunjung lain harus berdiri",fasilitas tempat duduk kurang sehingga banyak lansia maupun pengunjung lain harus berdiri,fasilitas tempat duduk kurang sehingga banyak lansia maupun pengunjung lain harus berdiri,fasilitas tempat duduk kurang sehingga banyak lansia maupun pengunjung lain harus berdiri,Fasilitas,Positif,0.8831
Kesehatan,BPJS Kesehatan,BPJS Ketenagakerjaan Gresik Driyorejo,4.7,646,Titik Yuli,5,2026-08-04T11:23:25.430Z,"Josjis wes pelayanan nya ,,,pak satpam nya oke ramah membantu mendaftarkan mbk"" cantik jg ramah cs jg satset Alhamdulillah punya suami ku SDH cair hari ini",josjis wes pelayanan nya pak satpam nya oke ramah membantu mendaftarkan mbk cantik jg ramah cs jg satset alhamdulillah punya suami ku sdh cair hari ini,josjis wes pelayanan nya pak satpam nya oke ramah membantu mendaftarkan mbk cantik juga ramah cs juga satset alhamdulillah punya suami ku sudah cair hari ini,josjis wes pelayanan pak satpam oke ramah membantu mendaftarkan mbk cantik ramah cs satset alhamdulillah punya suami ku cair hari,Pelayanan,Positif,0.9538
Kesehatan,BPJS Kesehatan,BPJS Ketenagakerjaan Gresik Driyorejo,4.7,646,Yahman Yahman,5,2026-07-31T02:08:59.950Z,Ramah sekali dan dibantu cara boking sama petugas dan adek adek,ramah sekali dan dibantu cara boking sama petugas dan adek adek,ramah sekali dan dibantu cara boking sama petugas dan adek adek,ramah dibantu cara boking sama petugas adek adek,Pelayanan,Positif,0.9048
Kesehatan,BPJS Kesehatan,BPJS Ketenagakerjaan Gresik Driyorejo,4.7,646,Jason Vallen,1,2026-07-29T05:23:22.317Z,"Pelayanan sangat buruk suruh ambil antrian 2x , karena katanya case yg d daftarin sm ditanyain berbeda , Sangat tidak jelas , dari jam 8 pagi sampai sekarang jam 2 gak selesai2 masih , sistem payah , security arogan , cs lelet , ada 2 tp cs no 1 istirahat terus",pelayanan sangat buruk suruh ambil antrian 2x karena katanya case yg d daftarin sm ditanyain berbeda sangat tidak jelas dari jam pagi sampai sekarang jam gak selesai2 masih sistem payah security arogan cs lelet ada tp cs no istirahat terus,pelayanan sangat buruk suruh ambil antrian 2x karena katanya case yang d daftarin sama ditanyain berbeda sangat tidak jelas dari jam pagi sampai sekarang jam tidak selesai2 masih sistem payah security arogan cs lelet ada tapi cs no istirahat terus,pelayanan buruk suruh ambil antrian 2x katanya case daftarin sama ditanyain berbeda jelas jam pagi sampai sekarang jam selesai2 sistem payah security arogan cs lelet cs no istirahat terus,Pelayanan,Negatif,0.9981
Kesehatan,BPJS Kesehatan,BPJS Ketenagakerjaan Gresik Driyorejo,4.7,646,Elis Rifanna,5,2026-07-16T01:15:57.234Z,Kakak Dian di Teller 1 Ramah sekali Pengurusan bpjs ketenagakerjaan satset wat wet 15 menit selesai asal dokumen lengkap. Terimah kasih kk dian sehat selalu ya ❤️❤️,kakak dian di teller ramah sekali pengurusan bpjs ketenagakerjaan satset wat wet menit selesai asal dokumen lengkap terimah kasih kk dian sehat selalu ya,kakak dian di teller ramah sekali pengurusan bpjs ketenagakerjaan satset wat wet menit selesai asal dokumen lengkap terimah kasih kk dian sehat selalu ya,kakak dian teller ramah pengurusan bpjs ketenagakerjaan satset wat wet menit selesai asal dokumen lengkap terimah kasih kk dian sehat selalu ya,Pelayanan,Positif,0.5765
Kesehatan,BPJS Kesehatan,BPJS Ketenagakerjaan Gresik Driyorejo,4.7,646,Dani Kris,5,2026-07-08T12:39:38.390Z,Mantab pelayanannya cepat dan CS infonya sgt cekatan dan mudah dipahami dlm menjelaskan info,mantab pelayanannya cepat dan cs infonya sgt cekatan dan mudah dipahami dlm menjelaskan info,mantab pelayanannya cepat dan cs infonya sangat cekatan dan mudah dipahami dalam menjelaskan info,mantab pelayanannya cepat cs infonya cekatan mudah dipahami menjelaskan info,Pelayanan,Positif,0.9955
Kesehatan,BPJS Kesehatan,BPJS Ketenagakerjaan Gresik Driyorejo,4.7,646,Mochamad Soni Wijaya,5,2026-06-20T22:02:34.034Z,Ok,ok,oke,oke,Lainnya,Positif,0.9063
Kesehatan,BPJS Kesehatan,BPJS Ketenagakerjaan Gresik Driyorejo,4.7,646,Ghufron Shodiq,5,2026-05-27T23:44:45.800Z,Antre nya bukan maen,antre nya bukan maen,antre nya bukan maen,antre bukan maen,Lainnya,Positif,0.9789
Kesehatan,BPJS Kesehatan,BPJS Ketenagakerjaan Gresik Driyorejo,4.7,646,ally 28April,5,2026-05-25T06:16:36.938Z,Terimakasih bpjs bijak dan sopan,terimakasih bpjs bijak dan sopan,terimakasih bpjs bijak dan sopan,terimakasih bpjs bijak sopan,Kesehatan,Positif,0.9774
