Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,BPN Kabupaten Gresik,4.2,226,Max Satria,3,2026-08-06T06:30:36.632Z,"Secara sistem sudah oke tapi aneh, jam 12:00 - jam 13:00 istirahat. Orang2 sutuh nunggu di luar. Di luar gak di siapkan tempat duduk. Sama jangan lupa download aplikasi sentuh tanah ku, ambil antrian nya online.  Petugas loket investasi tidak datang sampai jam 1:28 siang, 3 loket semua kosong. Warga yang mengantri bingung semua.",secara sistem sudah oke tapi aneh jam jam istirahat orang2 sutuh nunggu di luar di luar gak di siapkan tempat duduk sama jangan lupa download aplikasi sentuh tanah ku ambil antrian nya online petugas loket investasi tidak datang sampai jam siang loket semua kosong warga yang mengantri bingung semua,secara sistem sudah oke tapi aneh jam jam istirahat orang2 sutuh nunggu di luar di luar tidak di siapkan tempat duduk sama jangan lupa download aplikasi sentuh tanah ku ambil antrian nya online petugas loket investasi tidak datang sampai jam siang loket semua kosong warga yang mengantri bingung semua,secara sistem oke aneh jam jam istirahat orang2 sutuh nunggu luar luar siapkan tempat duduk sama jangan lupa download aplikasi sentuh tanah ku ambil antrian online petugas loket investasi datang sampai jam siang loket semua kosong warga mengantri bingung semua,Pelayanan,Positif,0.9918
Pemerintahan,BPN Kabupaten Gresik,4.2,226,Exa,1,2026-07-31T06:53:02.834Z,"Sangat buruk,,, mau minta saran karna surat nggak bisa di urus dan gak jadi² selama 6 thn aja plonga plongo,,, klok nggak bisa kerja nggak usah kerja gak guna",sangat buruk mau minta saran karna surat nggak bisa di urus dan gak jadi selama thn aja plonga plongo klok nggak bisa kerja nggak usah kerja gak guna,sangat buruk mau minta saran karna surat tidak bisa di urus dan tidak jadi selama thn aja plonga plongo klok tidak bisa kerja tidak usah kerja tidak guna,buruk mau minta saran karna surat urus jadi selama thn aja plonga plongo klok kerja usah kerja guna,Administrasi,Negatif,0.9944
Pemerintahan,BPN Kabupaten Gresik,4.2,226,Rama Sobhita,5,2026-07-22T04:40:37.493Z,"Pelayanan cukup baik dan mudah untuk diikuti orang awam. Sedikit informasi bagi pengunjung yang ingin proses berkasnya untuk download aplikasi ""Sentuh Tanahku"" di playstore untuk mengambil nomor antrian, karena nomor antrian hanya dari online.  Saya sangat mengapresiasi pelayanannya namun ada sedikit masukan soal pegawai yang bertugas di kloter untuk menyelesaikan kegiatannya sebelum jaga konter (melakukan kegiatan lain) Terimakasih 🙏",pelayanan cukup baik dan mudah untuk diikuti orang awam sedikit informasi bagi pengunjung yang ingin proses berkasnya untuk download aplikasi sentuh tanahku di playstore untuk mengambil nomor antrian karena nomor antrian hanya dari online saya sangat mengapresiasi pelayanannya namun ada sedikit masukan soal pegawai yang bertugas di kloter untuk menyelesaikan kegiatannya sebelum jaga konter melakukan kegiatan lain terimakasih,pelayanan cukup baik dan mudah untuk diikuti orang awam sedikit informasi bagi pengunjung yang ingin proses berkasnya untuk download aplikasi sentuh tanahku di playstore untuk mengambil nomor antrian karena nomor antrian hanya dari online saya sangat mengapresiasi pelayanannya namun ada sedikit masukan soal pegawai yang bertugas di kloter untuk menyelesaikan kegiatannya sebelum jaga konter melakukan kegiatan lain terimakasih,pelayanan cukup baik mudah diikuti orang awam sedikit informasi bagi pengunjung ingin proses berkasnya download aplikasi sentuh tanahku playstore mengambil nomor antrian nomor antrian hanya online mengapresiasi pelayanannya sedikit masukan soal pegawai bertugas kloter menyelesaikan kegiatannya jaga konter melakukan kegiatan lain terimakasih,Pelayanan,Positif,0.6784
Pemerintahan,BPN Kabupaten Gresik,4.2,226,Abi faozandi Ibanez,1,2026-07-16T03:17:19.131Z,mohon maaf min mau bertanya apakah ada  karyawan anda yang bernama ahmad hasan basri ?tolong sampaikan untuk selesaikan tanggung jawab nya.,mohon maaf min mau bertanya apakah ada karyawan anda yang bernama ahmad hasan basri tolong sampaikan untuk selesaikan tanggung jawab nya,mohon maaf min mau bertanya apakah ada karyawan anda yang bernama ahmad hasan basri tolong sampaikan untuk selesaikan tanggung jawab nya,mohon maaf min mau bertanya apakah karyawan bernama ahmad hasan basri tolong sampaikan selesaikan tanggung jawab,Lainnya,Netral,0.9561
Pemerintahan,BPN Kabupaten Gresik,4.2,226,Jandri Luwidianto,5,2026-07-14T09:58:47.007Z,Ok,ok,oke,oke,Lainnya,Positif,0.9063
Pemerintahan,BPN Kabupaten Gresik,4.2,226,Tania chandra,1,2026-07-02T03:47:06.708Z,ga ramah sama sekali dri satpam sampe staffnya minta bantuin antrian aja byk alesan nyusahin pake app yg lemot,ga ramah sama sekali dri satpam sampe staffnya minta bantuin antrian aja byk alesan nyusahin pake app yg lemot,tidak ramah sama sekali dri satpam sampe staffnya minta bantuin antrian aja banyak alesan nyusahin pake app yang lemot,ramah sama dri satpam sampe staffnya minta bantuin antrian aja banyak alesan nyusahin pake app lemot,Pelayanan,Negatif,0.9463
Pemerintahan,BPN Kabupaten Gresik,4.2,226,dinamariya ulfaumami,1,2026-06-30T05:38:47.923Z,"2x ke BPN gresik urus ROYA ajaa dipersulit dilempar sana sini Berkas sdah lengkap,hanya tinggal bayar aja & kalaupun saya bayar hari ini juga kata ibu2 BPN  server sedang troubel jadi tidak bisa lgsg diproses. Kalah sama yg berduitt .#alasan yg krg tepat.#",2x ke bpn gresik urus roya ajaa dipersulit dilempar sana sini berkas sdah lengkap hanya tinggal bayar aja kalaupun saya bayar hari ini juga kata ibu2 bpn server sedang troubel jadi tidak bisa lgsg diproses kalah sama yg berduitt yg krg tepat,2x ke bpn gresik urus roya ajaa dipersulit dilempar sana sini berkas sdah lengkap hanya tinggal bayar aja kalaupun saya bayar hari ini juga kata ibu2 bpn server sedang troubel jadi tidak bisa lgsg diproses kalah sama yang berduitt yang krg tepat,2x bpn gresik urus roya ajaa dipersulit dilempar sana sini berkas sdah lengkap hanya tinggal bayar aja kalaupun bayar hari kata ibu2 bpn server sedang troubel jadi lgsg diproses kalah sama berduitt krg tepat,Administrasi,Negatif,0.9922
Pemerintahan,BPN Kabupaten Gresik,4.2,226,Faradina Mirzana Apriani,5,2026-05-29T09:19:51.910Z,Layanan Memadai Sangat Berkualitas SDM di Kantah Kab Gresik. Jaya Terus BPN Gresik,layanan memadai sangat berkualitas sdm di kantah kab gresik jaya terus bpn gresik,layanan memadai sangat berkualitas sdm di kantah kab gresik jaya terus bpn gresik,layanan memadai berkualitas sdm kantah kab gresik jaya terus bpn gresik,Pelayanan,Positif,0.6455
Pemerintahan,BPN Kabupaten Gresik,4.2,226,Indri Kurniawati,5,2026-05-25T09:50:31.815Z,Petugas ukur BPN gresik sangat ramah & memberikan informasi yang detail.,petugas ukur bpn gresik sangat ramah memberikan informasi yang detail,petugas ukur bpn gresik sangat ramah memberikan informasi yang detail,petugas ukur bpn gresik ramah memberikan informasi detail,Pelayanan,Netral,0.7414
Pemerintahan,BPN Kabupaten Gresik,4.2,226,willy aditya,5,2026-05-25T08:33:07.415Z,untuk pelayanan petugas ukurnya respon cepat dan teliti dalam pengukuran,untuk pelayanan petugas ukurnya respon cepat dan teliti dalam pengukuran,untuk pelayanan petugas ukurnya respon cepat dan teliti dalam pengukuran,pelayanan petugas ukurnya respon cepat teliti pengukuran,Pelayanan,Positif,0.8771
