Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Apotek & Farmasi,BSC Farmasia,3.5,13,M Nasir,5,2025-02-20T09:36:32.675Z,Staff ramah dan obat obatnya bagus dll.,staff ramah dan obat obatnya bagus dll,staff ramah dan obat obatnya bagus dll,staff ramah obat obatnya bagus dll,Pelayanan,Positif,0.9935
Kesehatan,Apotek & Farmasi,BSC Farmasia,3.5,13,Azizul Anam,5,2025-02-20T09:33:16.280Z,Saya Cari2 obat tradisional disini ternyata lengkap ada obat kuat jugaa mantapp........🤩🤩,saya cari2 obat tradisional disini ternyata lengkap ada obat kuat jugaa mantapp,saya cari2 obat tradisional disini ternyata lengkap ada obat kuat jugaa mantapp,cari2 obat tradisional disini ternyata lengkap obat kuat jugaa mantapp,Kesehatan,Positif,0.9948
Kesehatan,Apotek & Farmasi,BSC Farmasia,3.5,13,Prastiyo Yoga,5,2025-02-20T05:56:25.363Z,Terima kasih mbak2 apoteker dan kasirnya ramah semua. Setiap saya tanya mengenai keluhan dan obat apa yg cocok . Mereka selalu mengarahkan sesuai keluhan dan kebutuhan saya. Harga terjangkau pelayanan ramah,terima kasih mbak2 apoteker dan kasirnya ramah semua setiap saya tanya mengenai keluhan dan obat apa yg cocok mereka selalu mengarahkan sesuai keluhan dan kebutuhan saya harga terjangkau pelayanan ramah,terima kasih mbak2 apoteker dan kasirnya ramah semua setiap saya tanya mengenai keluhan dan obat apa yang cocok mereka selalu mengarahkan sesuai keluhan dan kebutuhan saya harga terjangkau pelayanan ramah,terima kasih mbak2 apoteker kasirnya ramah semua setiap tanya mengenai keluhan obat apa cocok selalu mengarahkan sesuai keluhan kebutuhan harga terjangkau pelayanan ramah,Pelayanan,Positif,0.9863
Kesehatan,Apotek & Farmasi,BSC Farmasia,3.5,13,Yuli Rusmaidah,5,2025-01-16T00:38:14.141Z,Kemarin sore jam 16.00 pulang krja mampir ke apotik ini bwt beli obat sariawan.. pegawai apotiknya baik ramah...pelayananya enak cepat...buat mb putih berkaca mata trima kasih...,kemarin sore jam pulang krja mampir ke apotik ini bwt beli obat sariawan pegawai apotiknya baik ramah pelayananya enak cepat buat mb putih berkaca mata trima kasih,kemarin sore jam pulang krja mampir ke apotik ini bwt beli obat sariawan pegawai apotiknya baik ramah pelayananya enak cepat buat mb putih berkaca mata trima kasih,kemarin sore jam pulang krja mampir apotik bwt beli obat sariawan pegawai apotiknya baik ramah pelayananya enak cepat buat mb putih berkaca mata trima kasih,Pelayanan,Positif,0.7023
Kesehatan,Apotek & Farmasi,BSC Farmasia,3.5,13,M. Danis Benevolensa 14,1,2024-07-28T10:27:57.666Z,"Dulu denger denger dari beberapa orang yang pernah ke apotek itu, penjaganya ketus ketus dan ga bikin senang hati. Yaa saya rasa mungkin hanya kebetulan saja. Hingga pada saat saya coba membeli obat disini, ternyata betul. Saya Dapet dua kali kejadian ga enak di apotek ini, 28 juli 2024 di jam 16:30 WIB. Petugasnya cukup dikatakan kurang sopan dengan customer, nadanya ga enakin, dan ngesarkas pula dengan kata ""Apa ga ada uang yang lebih besar lagi mas?"" dengan nada yang cukup tinggi dan menjengkelkan. Lalu nyuruh saya untuk tuker uang saya ke indomart ""coba pean belanja belanja sana loh ke indomart"" ada ada beberapa kata lagi yang tidak bisa saya sebutkan. Ciri ciri orangnya perempuan cukup putih, tidak terlalu tua. Itu untuk kejadian pertama. Untuk kejadian kedua, dalam beberapa hari sebelum kejadian diatas tadi, adapula penjaga yang ga kalah ketus, bahkan nadanya tinggi dan seperti menantang customer. Mungkin kalau saya ilustrasikan akan cukup panjang disini. Tapi yg jelas orang itu perempuan, cukup muda, berkacamata dan sering kali alis sebelahnya dinaikkan. Sangat disayangkan sekali, dan jangan salahkan customer kalau banyak yang menilai apotek ini termasuk apotek dengan pelayanan yang buruk. Apa yang saya jelaskan sebenarnya masih belum bisa mendetailkan semuanya, namun pada intinya pelayanan apotek ini cukup buruk, terkhususnya dua perempuan tersebut",dulu denger denger dari beberapa orang yang pernah ke apotek itu penjaganya ketus ketus dan ga bikin senang hati yaa saya rasa mungkin hanya kebetulan saja hingga pada saat saya coba membeli obat disini ternyata betul saya dapet dua kali kejadian ga enak di apotek ini juli di jam wib petugasnya cukup dikatakan kurang sopan dengan customer nadanya ga enakin dan ngesarkas pula dengan kata apa ga ada uang yang lebih besar lagi mas dengan nada yang cukup tinggi dan menjengkelkan lalu nyuruh saya untuk tuker uang saya ke indomart coba pean belanja belanja sana loh ke indomart ada ada beberapa kata lagi yang tidak bisa saya sebutkan ciri ciri orangnya perempuan cukup putih tidak terlalu tua itu untuk kejadian pertama untuk kejadian kedua dalam beberapa hari sebelum kejadian diatas tadi adapula penjaga yang ga kalah ketus bahkan nadanya tinggi dan seperti menantang customer mungkin kalau saya ilustrasikan akan cukup panjang disini tapi yg jelas orang itu perempuan cukup muda berkacamata dan sering kali alis sebelahnya dinaikkan sangat disayangkan sekali dan jangan salahkan customer kalau banyak yang menilai apotek ini termasuk apotek dengan pelayanan yang buruk apa yang saya jelaskan sebenarnya masih belum bisa mendetailkan semuanya namun pada intinya pelayanan apotek ini cukup buruk terkhususnya dua perempuan tersebut,dulu denger denger dari beberapa orang yang pernah ke apotek itu penjaganya ketus ketus dan tidak bikin senang hati yaa saya rasa mungkin hanya kebetulan saja hingga pada saat saya coba membeli obat disini ternyata betul saya dapet dua kali kejadian tidak enak di apotek ini juli di jam wib petugasnya cukup dikatakan kurang sopan dengan customer nadanya tidak enakin dan ngesarkas pula dengan kata apa tidak ada uang yang lebih besar lagi mas dengan nada yang cukup tinggi dan menjengkelkan lalu nyuruh saya untuk tuker uang saya ke indomart coba pean belanja belanja sana loh ke indomart ada ada beberapa kata lagi yang tidak bisa saya sebutkan ciri ciri orangnya perempuan cukup putih tidak terlalu tua itu untuk kejadian pertama untuk kejadian kedua dalam beberapa hari sebelum kejadian diatas tadi adapula penjaga yang tidak kalah ketus bahkan nadanya tinggi dan seperti menantang customer mungkin kalau saya ilustrasikan akan cukup panjang disini tapi yang jelas orang itu perempuan cukup muda berkacamata dan sering kali alis sebelahnya dinaikkan sangat disayangkan sekali dan jangan salahkan customer kalau banyak yang menilai apotek ini termasuk apotek dengan pelayanan yang buruk apa yang saya jelaskan sebenarnya masih belum bisa mendetailkan semuanya namun pada intinya pelayanan apotek ini cukup buruk terkhususnya dua perempuan tersebut,dulu denger denger beberapa orang pernah apotek penjaganya ketus ketus bikin senang hati yaa rasa mungkin hanya kebetulan saja hingga coba membeli obat disini ternyata betul dapet dua kali kejadian enak apotek juli jam wib petugasnya cukup dikatakan kurang sopan customer nadanya enakin ngesarkas kata apa uang besar mas nada cukup tinggi menjengkelkan lalu nyuruh tuker uang indomart coba pean belanja belanja sana loh indomart beberapa kata sebutkan ciri ciri orangnya perempuan cukup putih terlalu tua kejadian pertama kejadian kedua beberapa hari kejadian diatas tadi adapula penjaga kalah ketus bahkan nadanya tinggi seperti menantang customer mungkin ilustrasikan cukup panjang disini jelas orang perempuan cukup muda berkacamata sering kali alis sebelahnya dinaikkan disayangkan jangan salahkan customer banyak menilai apotek termasuk apotek pelayanan buruk apa jelaskan sebenarnya mendetailkan semuanya intinya pelayanan apotek cukup buruk terkhususnya dua perempuan tersebut,Pelayanan,Negatif,0.9774
Kesehatan,Apotek & Farmasi,BSC Farmasia,3.5,13,Putri Rizqi,1,2024-02-13T14:29:02.035Z,"sudah nahan buat gak rivew kecewa . sudah 3x beli obat tetes mata . kembalian 1500 dikasih permen trs ke 4x nya 1500 di kasih cokolatos. SEnGAJA pegawai nya gak mau kasih kembalian ke pembeli ., gak profesional sekali. beli pake uang kurang gk bisa taPI tiap kembalian gak dikasih",sudah nahan buat gak rivew kecewa sudah 3x beli obat tetes mata kembalian dikasih permen trs ke 4x nya di kasih cokolatos sengaja pegawai nya gak mau kasih kembalian ke pembeli gak profesional sekali beli pake uang kurang gk bisa tapi tiap kembalian gak dikasih,sudah nahan buat tidak rivew kecewa sudah 3x beli obat tetes mata kembalian dikasih permen trs ke 4x nya di kasih cokolatos sengaja pegawai nya tidak mau kasih kembalian ke pembeli tidak profesional sekali beli pake uang kurang tidak bisa tapi tiap kembalian tidak dikasih,nahan buat rivew kecewa 3x beli obat tetes mata kembalian dikasih permen trs 4x kasih cokolatos sengaja pegawai mau kasih kembalian pembeli profesional beli pake uang kurang tiap kembalian dikasih,Pelayanan,Negatif,0.992
Kesehatan,Apotek & Farmasi,BSC Farmasia,3.5,13,Silvi Ana,1,2023-02-07T03:32:48.622Z,Ribet mau beli obat aja di tanyain ini itu sedangkan di apotik lain beli langsung di kasih no ribet2,ribet mau beli obat aja di tanyain ini itu sedangkan di apotik lain beli langsung di kasih no ribet2,ribet mau beli obat aja di tanyain ini itu sedangkan di apotik lain beli langsung di kasih no ribet2,ribet mau beli obat aja tanyain sedangkan apotik lain beli langsung kasih no ribet2,Kesehatan,Negatif,0.9945
Kesehatan,Apotek & Farmasi,BSC Farmasia,3.5,13,kartu gratisan,1,2023-01-04T07:52:35.949Z,"obat radang malah resep, kemarin saya pas obat habis beli di sini malah di kasih obat bagus, obat sebelum dari BPJS, masa beli selanjutnya malah suruh resep, iya kali kasih obat radang cocok, kemarin saya beli obat radang habis 40.000 enggk efek, malah ribet yang jaga,  14.44 wib / 03/01/2023  Tolong lebih perhatikan,",obat radang malah resep kemarin saya pas obat habis beli di sini malah di kasih obat bagus obat sebelum dari bpjs masa beli selanjutnya malah suruh resep iya kali kasih obat radang cocok kemarin saya beli obat radang habis enggk efek malah ribet yang jaga wib tolong lebih perhatikan,obat radang malah resep kemarin saya pas obat habis beli di sini malah di kasih obat bagus obat sebelum dari bpjs masa beli selanjutnya malah suruh resep iya kali kasih obat radang cocok kemarin saya beli obat radang habis enggk efek malah ribet yang jaga wib tolong lebih perhatikan,obat radang malah resep kemarin pas obat habis beli sini malah kasih obat bagus obat bpjs masa beli selanjutnya malah suruh resep iya kali kasih obat radang cocok kemarin beli obat radang habis enggk efek malah ribet jaga wib tolong perhatikan,Kesehatan,Negatif,0.9766
Kesehatan,Apotek & Farmasi,BSC Farmasia,3.5,13,Syakirah Darayani,4,2020-10-12T16:39:24.488Z,Sering beli disini karna harga yang terjangkau juga dekat dengan rumah,sering beli disini karna harga yang terjangkau juga dekat dengan rumah,sering beli disini karna harga yang terjangkau juga dekat dengan rumah,sering beli disini karna harga terjangkau dekat rumah,Lainnya,Positif,0.9926
Kesehatan,Apotek & Farmasi,BSC Farmasia,3.5,13,Yusuf Mitchell,4,2017-07-16T14:26:18.821Z,Lumayan murah.. 😊,lumayan murah,lumayan murah,lumayan murah,Lainnya,Positif,0.9954
