Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Perbankan,Bsi Bank Syariah Indonesia,4.9,34,Nur Azizah,5,2026-06-12T09:00:40.304Z,Alhamdulillah.. layanan nya mantap.. kantor nya dingin suka... Kakak teller nya sama sama gen z.. jadi aku gak tegang kalau tanya produk .. love banget deh ..,alhamdulillah layanan nya mantap kantor nya dingin suka kakak teller nya sama sama gen z jadi aku gak tegang kalau tanya produk love banget deh,alhamdulillah layanan nya bagus kantor nya dingin suka kakak teller nya sama sama gen z jadi aku tidak tegang kalau tanya produk love banget deh,alhamdulillah layanan bagus kantor dingin suka kakak teller sama sama gen jadi aku tegang tanya produk love banget,Pelayanan,Negatif,0.9933
Perbankan,Bsi Bank Syariah Indonesia,4.9,34,Naila Wardani_0886,5,2026-06-11T08:05:01.408Z,"Pelayanan nya ramah, lingkungan nya bersih, oranggota juga sopan",pelayanan nya ramah lingkungan nya bersih oranggota juga sopan,pelayanan nya ramah lingkungan nya bersih oranggota juga sopan,pelayanan ramah lingkungan bersih oranggota sopan,Pelayanan,Negatif,0.9907
Perbankan,Bsi Bank Syariah Indonesia,4.9,34,Nurul Aini,5,2026-06-11T03:27:17.315Z,"pegawai nya sangat ramah, pelayanan cepat sehingga prosesnya mudah di lakukan.",pegawai nya sangat ramah pelayanan cepat sehingga prosesnya mudah di lakukan,pegawai nya sangat ramah pelayanan cepat sehingga prosesnya mudah di lakukan,pegawai ramah pelayanan cepat sehingga prosesnya mudah lakukan,Pelayanan,Negatif,0.9928
Perbankan,Bsi Bank Syariah Indonesia,4.9,34,Qotrunnada Mutiara,5,2026-06-10T06:19:55.046Z,Alhamdulillah layanannya bagus dan cepat 😊,alhamdulillah layanannya bagus dan cepat,alhamdulillah layanannya bagus dan cepat,alhamdulillah layanannya bagus cepat,Pelayanan,Negatif,0.9957
Perbankan,Bsi Bank Syariah Indonesia,4.9,34,sigit meylani,5,2026-06-09T07:19:35.325Z,"Pelayanan Bagus, Ramah...👍",pelayanan bagus ramah,pelayanan bagus ramah,pelayanan bagus ramah,Pelayanan,Negatif,0.9968
Perbankan,Bsi Bank Syariah Indonesia,4.9,34,Disty Amelia,5,2026-06-09T05:15:33.343Z,pelayanannya ramahh banget tempat nyaman,pelayanannya ramahh banget tempat nyaman,pelayanannya ramahh banget tempat nyaman,pelayanannya ramahh banget tempat nyaman,Pelayanan,Negatif,0.9976
Perbankan,Bsi Bank Syariah Indonesia,4.9,34,Rio Alam Samudra,5,2026-06-09T04:57:45.992Z,"pelayanan ramah, kantor bersih dan wangi",pelayanan ramah kantor bersih dan wangi,pelayanan ramah kantor bersih dan wangi,pelayanan ramah kantor bersih wangi,Pelayanan,Negatif,0.9961
Perbankan,Bsi Bank Syariah Indonesia,4.9,34,SHOFIYYA MAR'ATUS SHIFA,5,2026-06-09T04:05:52.676Z,pelayanan SANGAT LUAR BIASA!!,pelayanan sangat luar biasa,pelayanan sangat luar biasa,pelayanan luar biasa,Pelayanan,Negatif,0.9958
Perbankan,Bsi Bank Syariah Indonesia,4.9,34,Arina Vidia,5,2026-06-08T07:10:52.663Z,transaksi sangat cepat di teller. mbaknya ramah,transaksi sangat cepat di teller mbaknya ramah,transaksi sangat cepat di teller mbaknya ramah,transaksi cepat teller mbaknya ramah,Pelayanan,Negatif,0.993
Perbankan,Bsi Bank Syariah Indonesia,4.9,34,Indra Darmawan,5,2026-06-08T05:13:51.710Z,Pelayanan terbaik,pelayanan terbaik,pelayanan terbaik,pelayanan terbaik,Pelayanan,Negatif,0.9959
Perbankan,Bsi Bank Syariah Indonesia,4.9,34,04_Anita Ameliya Annas M.,5,2026-06-08T01:48:54.913Z,"transaksi dibantu dgn baik, teller nya ramah cantik. topp👍🏼",transaksi dibantu dgn baik teller nya ramah cantik topp,transaksi dibantu dengan baik teller nya ramah cantik topp,transaksi dibantu baik teller ramah cantik topp,Pelayanan,Negatif,0.9927
Perbankan,Bsi Bank Syariah Indonesia,4.9,34,Se Lina,5,2026-06-05T11:33:14.161Z,Mantap pelayanan oke dan sangat ramah membuat nyaman bertransaksi disana,mantap pelayanan oke dan sangat ramah membuat nyaman bertransaksi disana,bagus pelayanan oke dan sangat ramah membuat nyaman bertransaksi disana,bagus pelayanan oke ramah membuat nyaman bertransaksi disana,Pelayanan,Negatif,0.9969
Perbankan,Bsi Bank Syariah Indonesia,4.9,34,Hengki Dayu Hamsah,5,2026-06-05T11:31:42.614Z,"Bintang 5 untuk pelayanannya Teller,CS dan security juga sangat ramah saat melayani👍🏻",bintang untuk pelayanannya teller cs dan security juga sangat ramah saat melayani,bintang untuk pelayanannya teller cs dan security juga sangat ramah saat melayani,bintang pelayanannya teller cs security ramah melayani,Pelayanan,Negatif,0.9751
Perbankan,Bsi Bank Syariah Indonesia,4.9,34,Mila Eviyana Y.N,5,2026-06-05T10:27:40.009Z,"Pelayanan sangat ramah, kantor nya bersih, dingin",pelayanan sangat ramah kantor nya bersih dingin,pelayanan sangat ramah kantor nya bersih dingin,pelayanan ramah kantor bersih dingin,Pelayanan,Negatif,0.9955
