Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Wisata,Country Things Antiques Collectibles and Gifts,4.7,25,Peter Greenberg,4,2026-05-12T14:20:12.416Z,Cool place. Lots of goodies and collectable in one small building. Staff very welcoming and friendly,cool place lots of goodies and collectable in one small building staff very welcoming and friendly,cool place lots of goodies and collectable in one small building staff very welcoming and friendly,cool place lots of goodies and collectable in one small building staff very welcoming and friendly,Fasilitas,Positif,0.9756
Wisata,Country Things Antiques Collectibles and Gifts,4.7,25,Steven Rinaldi,5,2025-08-12T03:22:11.382Z,LOTS to see. It's great.,lots to see it s great,lots to see it s great,lots to see it great,Lainnya,Positif,0.8981
Wisata,Country Things Antiques Collectibles and Gifts,4.7,25,Lisbeth Toth,5,2023-12-10T01:01:31.096Z,"Adorable shop with very reasonable prices.  I bought 3 things and they totaled under 20 dollars.  I had so much fun looking at the items from Gramma's house and very clever and well-done local crafts! I will definitely stop in again.  Shhhh, I got my Mom a Christmas present too!",adorable shop with very reasonable prices i bought things and they totaled under dollars i had so much fun looking at the items from gramma s house and very clever and well done local crafts i will definitely stop in again shhhh i got my mom a christmas present too,adorable shop with very reasonable prices i bought things and they totaled under dollars i had so much fun looking at the items from gramma s house and very clever and well done local crafts i will definitely stop in again shhhh i got my mom a christmas present too,adorable shop with very reasonable prices bought things and they totaled under dollars had so much fun looking at the items from gramma house and very clever and well done local crafts will definitely stop in again shhhh got my mom christmas present too,Lainnya,Positif,0.5446
Wisata,Country Things Antiques Collectibles and Gifts,4.7,25,Stephanie C,5,2023-10-28T21:46:25.881Z,I love this store. Great antiques and primitive items as well as artisan crafts. I try to stop here every time I am in the area.,i love this store great antiques and primitive items as well as artisan crafts i try to stop here every time i am in the area,i love this store great antiques and primitive items as well as artisan crafts i try to stop here every time i am in the area,love this store great antiques and primitive items as well as artisan crafts try to stop here every time am in the area,Lainnya,Netral,0.5285
Wisata,Country Things Antiques Collectibles and Gifts,4.7,25,Michelle Silva,5,2022-10-10T15:42:10.998Z,Such a cute place!!! Very reasonably priced & the owner is so very nice!!! Highly recommend stopping here!!,such a cute place very reasonably priced the owner is so very nice highly recommend stopping here,such a cute place very reasonably priced the owner is so very nice highly recommend stopping here,such cute place very reasonably priced the owner is so very nice highly recommend stopping here,Fasilitas,Positif,0.9683
Wisata,Country Things Antiques Collectibles and Gifts,4.7,25,Robin Whittenberg,5,2022-03-21T14:44:10.253Z,"Great mix of antiques, and handcrafted treasures and vintage goods at reasonable prices. Friendly talented  owner's. We just stopped by  for the first time since covid started and it was like being with old friends.  Definitely stop by here . It's worth the trip! 😇❣️.                  Stopped by again  yesterday for a visit. So good to see Deb. As usual we found lots of good treasures. Deb has been busy felting and has lots of great felted gnomes and other wonderful critters. She always remembers us and even puts aside things she knows that we collect and saves them for us!  They are now open year-round It's absolutely worth the stop.",great mix of antiques and handcrafted treasures and vintage goods at reasonable prices friendly talented owner s we just stopped by for the first time since covid started and it was like being with old friends definitely stop by here it s worth the trip stopped by again yesterday for a visit so good to see deb as usual we found lots of good treasures deb has been busy felting and has lots of great felted gnomes and other wonderful critters she always remembers us and even puts aside things she knows that we collect and saves them for us they are now open year round it s absolutely worth the stop,great mix of antiques and handcrafted treasures and vintage goods at reasonable prices friendly talented owner s we just stopped by for the first time since covid started and it was like being with old friends definitely stop by here it s worth the trip stopped by again yesterday for a visit so good to see deb as usual we found lots of good treasures deb has been busy felting and has lots of great felted gnomes and other wonderful critters she always remembers us and even puts aside things she knows that we collect and saves them for us they are now open year round it s absolutely worth the stop,great mix of antiques and handcrafted treasures and vintage goods at reasonable prices friendly talented owner we just stopped by for the first time since covid started and it was like being with old friends definitely stop by here it worth the trip stopped by again yesterday for visit so good to see deb as usual we found lots of good treasures deb has been busy felting and has lots of great felted gnomes and other wonderful critters she always remembers us and even puts aside things she knows that we collect and saves them for us they are now open year round it absolutely worth the stop,Lainnya,Positif,0.5813
Wisata,Country Things Antiques Collectibles and Gifts,4.7,25,Aaron Ide,5,2021-09-21T14:29:35.203Z,"Awesome finds, friendly owner,  great prices.",awesome finds friendly owner great prices,awesome finds friendly owner great prices,awesome finds friendly owner great prices,Lainnya,Positif,0.9895
Wisata,Country Things Antiques Collectibles and Gifts,4.7,25,Michelle Olivares,5,2020-10-10T19:35:42.671Z,Cute little place!!,cute little place,cute little place,cute little place,Fasilitas,Positif,0.988
Wisata,Country Things Antiques Collectibles and Gifts,4.7,25,Arthur Pierce,4,2019-10-12T16:48:31.714Z,Was just passing by .good prices on stuff. Worth the stop.,was just passing by good prices on stuff worth the stop,was just passing by good prices on stuff worth the stop,was just passing by good prices on stuff worth the stop,Lainnya,Netral,0.4938
Wisata,Country Things Antiques Collectibles and Gifts,4.7,25,Elizabeth Ann Morley,5,2019-06-08T18:31:02.039Z,Lots of goodies here nice friendly folks too some great home made products as well,lots of goodies here nice friendly folks too some great home made products as well,lots of goodies here nice friendly folks too some great home made products as well,lots of goodies here nice friendly folks too some great home made products as well,Lainnya,Positif,0.9467
