Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,Dinas Kesehatan Kabupaten Gresik,3.6,25,Maya Xantya 8082,5,2026-07-09T01:07:26.631Z,"perkenalkan saya Ibu maya santiawaty , pemerhati sanitasi dan sanitarian juga. mohon ijin , terkait lingkungan di mboro menganti,,, terkait RPH ayam. Saya ingin tahu lebih banyak mohon saget DM saya melalui instagram @mayasantiasanitarian, karena sebagai sanitarian saya sangat prihatin dengan kondisi estetika bau yang menyengat. Semoga kedepannya makin sukses dinas kesehatan. salam sanitarian. salam sehat",perkenalkan saya ibu maya santiawaty pemerhati sanitasi dan sanitarian juga mohon ijin terkait lingkungan di mboro menganti terkait rph ayam saya ingin tahu lebih banyak mohon saget dm saya melalui instagram karena sebagai sanitarian saya sangat prihatin dengan kondisi estetika bau yang menyengat semoga kedepannya makin sukses dinas kesehatan salam sanitarian salam sehat,perkenalkan saya ibu maya santiawaty pemerhati sanitasi dan sanitarian juga mohon ijin terkait lingkungan di mboro menganti terkait rph ayam saya ingin tahu lebih banyak mohon saget dm saya melalui instagram karena sebagai sanitarian saya sangat prihatin dengan kondisi estetika bau yang menyengat semoga kedepannya makin sukses dinas kesehatan salam sanitarian salam sehat,perkenalkan ibu maya santiawaty pemerhati sanitasi sanitarian mohon ijin terkait lingkungan mboro menganti terkait rph ayam ingin tahu banyak mohon saget dm melalui instagram sebagai sanitarian prihatin kondisi estetika bau menyengat semoga kedepannya makin sukses dinas kesehatan salam sanitarian salam sehat,Lainnya,Negatif,0.5085
Pemerintahan,Dinas Kesehatan Kabupaten Gresik,3.6,25,Regina Novita,5,2026-05-19T03:11:11.579Z,Pelayanan baik 👌,pelayanan baik,pelayanan baik,pelayanan baik,Pelayanan,Negatif,0.9952
Pemerintahan,Dinas Kesehatan Kabupaten Gresik,3.6,25,yos purwanto,1,2025-07-28T12:44:16.690Z,"Kpd Bapak / Ibu Pimpinan Dinas Kesehatan Kab. Gresik. Saya selaku warga Kab. Gresik, Dengan ini saya meminta Tolong. Adapun kurangnya pelayanan Yg di ciptakan sendiri Oleh pihak IGD RSUD Ibnu Sina Gresik. Tepat pada hari ini Tanggal 28 Juli 2025 Saya pribadi merasakan kurangnya / Sangat kurangnya pelayanan Yg diciptakan sendiri Oleh salah satu pegawai / perawat atau sebagainya Yg sedang berdinas Di IGD RSUD IBNU SINA GRESIK. Minta tolong dengan sangat dapat segera di Tindak lanjuti Perihal masalah ini. Trims.",kpd bapak ibu pimpinan dinas kesehatan kab gresik saya selaku warga kab gresik dengan ini saya meminta tolong adapun kurangnya pelayanan yg di ciptakan sendiri oleh pihak igd rsud ibnu sina gresik tepat pada hari ini tanggal juli saya pribadi merasakan kurangnya sangat kurangnya pelayanan yg diciptakan sendiri oleh salah satu pegawai perawat atau sebagainya yg sedang berdinas di igd rsud ibnu sina gresik minta tolong dengan sangat dapat segera di tindak lanjuti perihal masalah ini trims,kpd bapak ibu pimpinan dinas kesehatan kab gresik saya selaku warga kab gresik dengan ini saya meminta tolong adapun kurangnya pelayanan yang di ciptakan sendiri oleh pihak igd rsud ibnu sina gresik tepat pada hari ini tanggal juli saya pribadi merasakan kurangnya sangat kurangnya pelayanan yang diciptakan sendiri oleh salah satu pegawai perawat atau sebagainya yang sedang berdinas di igd rsud ibnu sina gresik minta tolong dengan sangat dapat segera di tindak lanjuti perihal masalah ini trims,kpd bapak ibu pimpinan dinas kesehatan kab gresik selaku warga kab gresik meminta tolong adapun kurangnya pelayanan ciptakan sendiri pihak igd rsud ibnu sina gresik tepat hari tanggal juli pribadi merasakan kurangnya kurangnya pelayanan diciptakan sendiri salah satu pegawai perawat sebagainya sedang berdinas igd rsud ibnu sina gresik minta tolong segera tindak lanjuti perihal masalah trims,Pelayanan,Netral,0.8522
Pemerintahan,Dinas Kesehatan Kabupaten Gresik,3.6,25,wahyu siwa,5,2025-04-21T04:32:02.524Z,"Instansi penyelenggara bidang kesehatan yg menaungi puskesmas di Gresik dg pelayanan yg sangat baik. Sebagai PJ TB jg sering bgt rapat disini, validasi data, monitoring, dll. Dibimbing wasor dn kooordinator2 yg ramah2. Dg ruangan yg nyaman dn makin bagus tata ruangnya. Cuma Ndak ada eskalatornya.. JD KLO rapat di lt.3 capek naikin tangganya😅",instansi penyelenggara bidang kesehatan yg menaungi puskesmas di gresik dg pelayanan yg sangat baik sebagai pj tb jg sering bgt rapat disini validasi data monitoring dll dibimbing wasor dn kooordinator2 yg ramah2 dg ruangan yg nyaman dn makin bagus tata ruangnya cuma ndak ada eskalatornya jd klo rapat di lt capek naikin tangganya,instansi penyelenggara bidang kesehatan yang menaungi puskesmas di gresik dengan pelayanan yang sangat baik sebagai pj tb juga sering banget rapat disini validasi data monitoring dll dibimbing wasor dn kooordinator2 yang ramah2 dengan ruangan yang nyaman dn makin bagus tata ruangnya cuma ndak ada eskalatornya jd kalau rapat di lt capek naikin tangganya,instansi penyelenggara bidang kesehatan menaungi puskesmas gresik pelayanan baik sebagai pj tb sering banget rapat disini validasi data monitoring dll dibimbing wasor dn kooordinator2 ramah2 ruangan nyaman dn makin bagus tata ruangnya cuma ndak eskalatornya jd rapat lt capek naikin tangganya,Pelayanan,Negatif,0.9944
Pemerintahan,Dinas Kesehatan Kabupaten Gresik,3.6,25,Badriyah Riyah,1,2025-01-21T01:36:33.853Z,Pelayanan tidak baik. Hampir satu tahun mencabut sipttk tapi tidak ada respon sama sekali. Tidak diinfo apakah sudah selesai apa belum..,pelayanan tidak baik hampir satu tahun mencabut sipttk tapi tidak ada respon sama sekali tidak diinfo apakah sudah selesai apa belum,pelayanan tidak baik hampir satu tahun mencabut sipttk tapi tidak ada respon sama sekali tidak diinfo apakah sudah selesai apa belum,pelayanan baik hampir satu tahun mencabut sipttk respon sama diinfo apakah selesai apa,Pelayanan,Netral,0.7201
Pemerintahan,Dinas Kesehatan Kabupaten Gresik,3.6,25,fpnox gaming,1,2024-06-26T11:45:18.619Z,"Di mohon orang2 gila yg berada di kampung2 untuk di berikan pelayanan, karena sangat mengganggu orang lain atau tetangga sekitar,tolong..",di mohon orang2 gila yg berada di kampung2 untuk di berikan pelayanan karena sangat mengganggu orang lain atau tetangga sekitar tolong,di mohon orang2 gila yang berada di kampung2 untuk di berikan pelayanan karena sangat mengganggu orang lain atau tetangga sekitar tolong,mohon orang2 gila berada kampung2 berikan pelayanan mengganggu orang lain tetangga sekitar tolong,Pelayanan,Positif,0.9954
Pemerintahan,Dinas Kesehatan Kabupaten Gresik,3.6,25,Muhammad Ahmad,4,2022-07-04T04:52:36.051Z,Gedung bagus Ruangan aula pertemuan luas Sanitasi lebih dirawat lagi,gedung bagus ruangan aula pertemuan luas sanitasi lebih dirawat lagi,gedung bagus ruangan aula pertemuan luas sanitasi lebih dirawat lagi,gedung bagus ruangan aula pertemuan luas sanitasi dirawat,Fasilitas,Negatif,0.9833
Pemerintahan,Dinas Kesehatan Kabupaten Gresik,3.6,25,Prio S,4,2021-06-10T03:59:38.258Z,"Lokasi di area komplek kantor Pemda Gresik,bersebelahan dengan Dinas Pertanian",lokasi di area komplek kantor pemda gresik bersebelahan dengan dinas pertanian,lokasi di area komplek kantor pemda gresik bersebelahan dengan dinas pertanian,lokasi area komplek kantor pemda gresik bersebelahan dinas pertanian,Lainnya,Netral,0.9863
Pemerintahan,Dinas Kesehatan Kabupaten Gresik,3.6,25,Rain Back,5,2020-06-09T13:14:06.024Z,Pusat kedinasan,pusat kedinasan,pusat kedinasan,pusat kedinasan,Lainnya,Netral,0.4141
Pemerintahan,Dinas Kesehatan Kabupaten Gresik,3.6,25,Ghoza Saturpanama,1,2019-10-11T08:20:41.275Z,Nomor telponnya nyambung tapi ga dijawab jawab. Padahal masih jam 2 sore,nomor telponnya nyambung tapi ga dijawab jawab padahal masih jam sore,nomor telponnya nyambung tapi tidak dijawab jawab padahal masih jam sore,nomor telponnya nyambung dijawab jawab padahal jam sore,Lainnya,Netral,0.7722
Pemerintahan,Dinas Kesehatan Kabupaten Gresik,3.6,25,Zulky RAHMAN,5,2017-12-28T02:56:12.769Z,Sejuk tempatnya,sejuk tempatnya,sejuk tempatnya,sejuk tempatnya,Lainnya,Negatif,0.9973
Pemerintahan,Dinas Kesehatan Kabupaten Gresik,3.6,25,Taufiqur Raman,5,2016-09-11T12:14:57.878Z,"Pelayanannya cepat, tidak bertele-tele",pelayanannya cepat tidak bertele tele,pelayanannya cepat tidak bertele tele,pelayanannya cepat bertele tele,Pelayanan,Positif,0.7658
Pemerintahan,Dinas Kesehatan Kabupaten Gresik,3.6,25,Atik Doct,5,2015-04-21T03:53:01.201Z,Sipp9,sipp9,sipp9,sipp9,Lainnya,Negatif,0.9729
