Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,Dinas Lingkungan Hidup Kabupaten Gresik,3.5,13,Johanes Budi,5,2026-07-03T07:24:08.155Z,Pelayanannya çepat jelas dan memuaskan,pelayanannya epat jelas dan memuaskan,pelayanannya epat jelas dan memuaskan,pelayanannya epat jelas memuaskan,Pelayanan,Negatif,0.9963
Pemerintahan,Dinas Lingkungan Hidup Kabupaten Gresik,3.5,13,Titik Ernawati,5,2026-02-23T09:25:48.977Z,"Berada di depan Alon lain kita Gresik , bergabung pula jadi satu gedung dengan dinas kependudukan dan catatan sipil dan dinas Sosial, termasuk gedung lama, bekas Gedung Pemda yang lama.",berada di depan alon lain kita gresik bergabung pula jadi satu gedung dengan dinas kependudukan dan catatan sipil dan dinas sosial termasuk gedung lama bekas gedung pemda yang lama,berada di depan alon lain kita gresik bergabung pula jadi satu gedung dengan dinas kependudukan dan catatan sipil dan dinas sosial termasuk gedung lama bekas gedung pemda yang lama,berada depan alon lain gresik bergabung jadi satu gedung dinas kependudukan catatan sipil dinas sosial termasuk gedung lama bekas gedung pemda lama,Fasilitas,Netral,0.9961
Pemerintahan,Dinas Lingkungan Hidup Kabupaten Gresik,3.5,13,HAYA HAURA,5,2025-10-07T03:47:36.973Z,TERIMAKASIH DLH GRESIK SUDAH MENINDAK LANJUTI ADUAN KAMI,terimakasih dlh gresik sudah menindak lanjuti aduan kami,terimakasih dlh gresik sudah menindak lanjuti aduan kami,terimakasih dlh gresik menindak lanjuti aduan,Lainnya,Netral,0.8869
Pemerintahan,Dinas Lingkungan Hidup Kabupaten Gresik,3.5,13,Amir Dzikri,5,2025-10-07T03:45:17.712Z,"Respon sangat CEPAT & TEPAT, jika pelaporan masalah sesuai, dan dengan platform yg telah disediakan.",respon sangat cepat tepat jika pelaporan masalah sesuai dan dengan platform yg telah disediakan,respon sangat cepat tepat jika pelaporan masalah sesuai dan dengan platform yang telah disediakan,respon cepat tepat pelaporan masalah sesuai platform telah disediakan,Pelayanan,Netral,0.6592
Pemerintahan,Dinas Lingkungan Hidup Kabupaten Gresik,3.5,13,H,1,2025-09-30T13:04:23.444Z,"Menganti banyak yang bakar sampah tiap hari. Ini sumber penyakit. Dinas lingkungan hidup jangan tutup mata, keliling beri penyuluhab kalau berulang hukumannya siapkan. Kurang taman dan banyak tanaman liat tidak tertata, kurang pohon pelan2 diganti pabrik dan perumahan semua.",menganti banyak yang bakar sampah tiap hari ini sumber penyakit dinas lingkungan hidup jangan tutup mata keliling beri penyuluhab kalau berulang hukumannya siapkan kurang taman dan banyak tanaman liat tidak tertata kurang pohon pelan2 diganti pabrik dan perumahan semua,menganti banyak yang bakar sampah tiap hari ini sumber penyakit dinas lingkungan hidup jangan tutup mata keliling beri penyuluhab kalau berulang hukumannya siapkan kurang taman dan banyak tanaman liat tidak tertata kurang pohon pelan2 diganti pabrik dan perumahan semua,menganti banyak bakar sampah tiap hari sumber penyakit dinas lingkungan hidup jangan tutup mata keliling beri penyuluhab berulang hukumannya siapkan kurang taman banyak tanaman liat tertata kurang pohon pelan2 diganti pabrik perumahan semua,Keamanan,Positif,0.9934
Pemerintahan,Dinas Lingkungan Hidup Kabupaten Gresik,3.5,13,Samsul Arifin,5,2021-05-04T02:16:01.130Z,Pelayanan ramah cepat,pelayanan ramah cepat,pelayanan ramah cepat,pelayanan ramah cepat,Pelayanan,Negatif,0.996
Pemerintahan,Dinas Lingkungan Hidup Kabupaten Gresik,3.5,13,Muhamad Thoriq,1,2020-01-21T01:35:07.553Z,Lampu PJU di dusun ngambar rt 12 rw 04 desa bambe driyorejo mohon untuk segera di perbaiki. Sudah 1 bulan lebih padam. Tidak ada tindak lanjut. Rawan kecelakaan kalau malam. Karena gelap sekali.,lampu pju di dusun ngambar rt rw desa bambe driyorejo mohon untuk segera di perbaiki sudah bulan lebih padam tidak ada tindak lanjut rawan kecelakaan kalau malam karena gelap sekali,lampu pju di dusun ngambar rt rw desa bambe driyorejo mohon untuk segera di perbaiki sudah bulan lebih padam tidak ada tindak lanjut rawan kecelakaan kalau malam karena gelap sekali,lampu pju dusun ngambar rt rw desa bambe driyorejo mohon segera perbaiki bulan padam tindak lanjut rawan kecelakaan malam gelap,Lainnya,Netral,0.9429
Pemerintahan,Dinas Lingkungan Hidup Kabupaten Gresik,3.5,13,In99o 14,5,2017-07-06T04:42:43.810Z,Pelayanannya bagus,pelayanannya bagus,pelayanannya bagus,pelayanannya bagus,Pelayanan,Negatif,0.9974
Pemerintahan,Dinas Lingkungan Hidup Kabupaten Gresik,3.5,13,dyas sevantiana,3,2017-04-05T07:04:28.530Z,"Assalamualaikum, saya dyas dari wates balongpanggang. Kepada Bapak yang berwewenang di Dinas Lingkungan Hidup saya mohon untuk pemangkasan pohon yang ada di jl. Raya wates balongpanggang karena setiap hari hujan disertai angin. Terimakasih atas perhatiannya. Wassalamualaikum wr.wb.",assalamualaikum saya dyas dari wates balongpanggang kepada bapak yang berwewenang di dinas lingkungan hidup saya mohon untuk pemangkasan pohon yang ada di jl raya wates balongpanggang karena setiap hari hujan disertai angin terimakasih atas perhatiannya wassalamualaikum wr wb,assalamualaikum saya dyas dari wates balongpanggang kepada bapak yang berwewenang di dinas lingkungan hidup saya mohon untuk pemangkasan pohon yang ada di jl raya wates balongpanggang karena setiap hari hujan disertai angin terimakasih atas perhatiannya wassalamualaikum wr wb,assalamualaikum dyas wates balongpanggang kepada bapak berwewenang dinas lingkungan hidup mohon pemangkasan pohon jl raya wates balongpanggang setiap hari hujan disertai angin terimakasih atas perhatiannya wassalamualaikum wr wb,Lainnya,Netral,0.9576
Pemerintahan,Dinas Lingkungan Hidup Kabupaten Gresik,3.5,13,Mas Maksum,3,2016-11-25T13:01:29.104Z,Badan Lingkungan Hidup Kabupaten Gresik,badan lingkungan hidup kabupaten gresik,badan lingkungan hidup kabupaten gresik,badan lingkungan hidup kabupaten gresik,Lainnya,Netral,0.9943
