Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,Dinas Pemberdayaan Masyarakat dan Desa Kabupaten Gresik,4.9,13,Catra Achyuta Ameputra,5,2026-06-02T06:45:26.347Z,"Pengalaman berkunjung ke kantor Dinas PMD sangat positif. Petugas melayani dengan sopan, sabar, dan memberikan penjelasan yang mudah dipahami. Terima kasih atas pelayanannya.",pengalaman berkunjung ke kantor dinas pmd sangat positif petugas melayani dengan sopan sabar dan memberikan penjelasan yang mudah dipahami terima kasih atas pelayanannya,pengalaman berkunjung ke kantor dinas pmd sangat positif petugas melayani dengan sopan sabar dan memberikan penjelasan yang mudah dipahami terima kasih atas pelayanannya,pengalaman berkunjung kantor dinas pmd positif petugas melayani sopan sabar memberikan penjelasan mudah dipahami terima kasih atas pelayanannya,Pelayanan,Negatif,0.9344
Pemerintahan,Dinas Pemberdayaan Masyarakat dan Desa Kabupaten Gresik,4.9,13,Nindah Azimatul Ismiah,5,2026-05-29T14:39:01.886Z,Memberikan fasilitas yang baik dan sangat membantu untuk segala urusan terkait desa yang ada di Kabupaten Gresik,memberikan fasilitas yang baik dan sangat membantu untuk segala urusan terkait desa yang ada di kabupaten gresik,memberikan fasilitas yang baik dan sangat membantu untuk segala urusan terkait desa yang ada di kabupaten gresik,memberikan fasilitas baik membantu segala urusan terkait desa kabupaten gresik,Fasilitas,Negatif,0.6357
Pemerintahan,Dinas Pemberdayaan Masyarakat dan Desa Kabupaten Gresik,4.9,13,Sigit Eko,5,2026-05-29T08:31:56.299Z,"Gedungnya baru, toiletnya bersih, dan pelayanan informasi nya cepat dan tanggap",gedungnya baru toiletnya bersih dan pelayanan informasi nya cepat dan tanggap,gedungnya baru toiletnya bersih dan pelayanan informasi nya cepat dan tanggap,gedungnya toiletnya bersih pelayanan informasi cepat tanggap,Pelayanan,Negatif,0.995
Pemerintahan,Dinas Pemberdayaan Masyarakat dan Desa Kabupaten Gresik,4.9,13,Alexa Tryartha,4,2026-05-29T08:27:47.274Z,Pelayanan cepat dan tersedia ruang tunggu yang menyediakan tempat duduk bagi disabilitas,pelayanan cepat dan tersedia ruang tunggu yang menyediakan tempat duduk bagi disabilitas,pelayanan cepat dan tersedia ruang tunggu yang menyediakan tempat duduk bagi disabilitas,pelayanan cepat tersedia ruang tunggu menyediakan tempat duduk bagi disabilitas,Pelayanan,Netral,0.9637
Pemerintahan,Dinas Pemberdayaan Masyarakat dan Desa Kabupaten Gresik,4.9,13,Fajar Khisbulloh,5,2026-05-29T08:26:50.287Z,Semua permasalahan dan keluhan yang berkaitan dengan desa bisa teratasi dengan baik dan mendapatakan solusi yang solutif oleh pegawai di dinas ini,semua permasalahan dan keluhan yang berkaitan dengan desa bisa teratasi dengan baik dan mendapatakan solusi yang solutif oleh pegawai di dinas ini,semua permasalahan dan keluhan yang berkaitan dengan desa bisa teratasi dengan baik dan mendapatakan solusi yang solutif oleh pegawai di dinas ini,semua permasalahan keluhan berkaitan desa teratasi baik mendapatakan solusi solutif pegawai dinas,Pelayanan,Negatif,0.5564
Pemerintahan,Dinas Pemberdayaan Masyarakat dan Desa Kabupaten Gresik,4.9,13,Tata Farindra Ayuningtyas,5,2026-05-29T08:25:28.942Z,mantep,mantep,mantep,mantep,Lainnya,Negatif,0.9973
Pemerintahan,Dinas Pemberdayaan Masyarakat dan Desa Kabupaten Gresik,4.9,13,Muhammad Fajar,5,2026-05-29T08:24:22.303Z,"Pelayanan cepat dan ramah, ada fasilitas koperasi dan juga wifi",pelayanan cepat dan ramah ada fasilitas koperasi dan juga wifi,pelayanan cepat dan ramah ada fasilitas koperasi dan juga wifi,pelayanan cepat ramah fasilitas koperasi wifi,Pelayanan,Negatif,0.9836
Pemerintahan,Dinas Pemberdayaan Masyarakat dan Desa Kabupaten Gresik,4.9,13,Fachri Huzaini,5,2026-05-29T08:17:17.144Z,"Wonge ramah2 dan murah senyum, segala informasi pasti dijelaskan dengan baik",wonge ramah2 dan murah senyum segala informasi pasti dijelaskan dengan baik,wonge ramah2 dan murah senyum segala informasi pasti dijelaskan dengan baik,wonge ramah2 murah senyum segala informasi pasti dijelaskan baik,Pelayanan,Negatif,0.9943
Pemerintahan,Dinas Pemberdayaan Masyarakat dan Desa Kabupaten Gresik,4.9,13,program pelaporan,5,2026-05-29T08:10:21.327Z,"kantor bersih ,pelayanan ramah dan cepat",kantor bersih pelayanan ramah dan cepat,kantor bersih pelayanan ramah dan cepat,kantor bersih pelayanan ramah cepat,Pelayanan,Negatif,0.9949
Pemerintahan,Dinas Pemberdayaan Masyarakat dan Desa Kabupaten Gresik,4.9,13,IMAM MUCHLISIN,5,2026-05-29T08:07:56.339Z,"PETUGASNYA RAMAH ,PELAYANANNYA CEPAT, KANTOR BERSIH, TOP DEH,,,",petugasnya ramah pelayanannya cepat kantor bersih top deh,petugasnya ramah pelayanannya cepat kantor bersih top deh,petugasnya ramah pelayanannya cepat kantor bersih top,Pelayanan,Negatif,0.9973
