Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,Dinas Pendidikan Kabupaten Gresik,4.1,55,Muhammad Ahmad,4,2022-07-27T06:08:53.915Z,Gedung bagus Pelayanan baik,gedung bagus pelayanan baik,gedung bagus pelayanan baik,gedung bagus pelayanan baik,Pelayanan,Negatif,0.9945
Pemerintahan,Dinas Pendidikan Kabupaten Gresik,4.1,55,Celsia Nur Jesika,5,2022-07-12T02:20:43.641Z,Proses pembuatan KTP berjalan lacara👌👍,proses pembuatan ktp berjalan lacara,proses pembuatan ktp berjalan lacara,proses pembuatan ktp berjalan lacara,Fasilitas,Netral,0.9926
Pemerintahan,Dinas Pendidikan Kabupaten Gresik,4.1,55,SMAMIO GKB Channel,5,2022-06-22T03:52:18.816Z,Terimakasih dispendukcapil kab Gresik Keren. Pelayanan prima,terimakasih dispendukcapil kab gresik keren pelayanan prima,terimakasih dispendukcapil kab gresik bagus pelayanan prima,terimakasih dispendukcapil kab gresik bagus pelayanan prima,Pelayanan,Negatif,0.9786
Pemerintahan,Dinas Pendidikan Kabupaten Gresik,4.1,55,Jasmino Torres,1,2022-06-15T02:59:46.157Z,"Ikut seleksi jalur hafidz nomor wa di formulir tidak di hubungi, kata panitia tes petik suruh datang jam 08:30 ..sampai di kantor dinas jadwal keluar dan ternyata ikut sesi sore. Siapa gak kecewa?",ikut seleksi jalur hafidz nomor wa di formulir tidak di hubungi kata panitia tes petik suruh datang jam sampai di kantor dinas jadwal keluar dan ternyata ikut sesi sore siapa gak kecewa,ikut seleksi jalur hafidz nomor wa di formulir tidak di hubungi kata panitia tes petik suruh datang jam sampai di kantor dinas jadwal keluar dan ternyata ikut sesi sore siapa tidak kecewa,ikut seleksi jalur hafidz nomor wa formulir hubungi kata panitia tes petik suruh datang jam sampai kantor dinas jadwal keluar ternyata ikut sesi sore siapa kecewa,Lainnya,Positif,0.9909
Pemerintahan,Dinas Pendidikan Kabupaten Gresik,4.1,55,Eka putri yuni fitriya Ningrum,5,2022-05-30T02:45:44.410Z,Terimakasih telah datang di SMKN1 CERME,terimakasih telah datang di smkn1 cerme,terimakasih telah datang di smkn1 cerme,terimakasih telah datang smkn1 cerme,Lainnya,Netral,0.9834
Pemerintahan,Dinas Pendidikan Kabupaten Gresik,4.1,55,Kenzo Jovan,5,2021-09-19T11:32:23.452Z,Tempatnya di tengah tengah kota gresik. Tempatnya sangat bersih rajin juga petugas pelayanannya sangat memuaskan jika ada masalah pendidikan bisa langsung komplain kwe sana pasti di tindak lanjuti. Tempat parkir juga luas dan rapi. Pokoknya twmpat nya bagus,tempatnya di tengah tengah kota gresik tempatnya sangat bersih rajin juga petugas pelayanannya sangat memuaskan jika ada masalah pendidikan bisa langsung komplain kwe sana pasti di tindak lanjuti tempat parkir juga luas dan rapi pokoknya twmpat nya bagus,tempatnya di tengah tengah kota gresik tempatnya sangat bersih rajin juga petugas pelayanannya sangat memuaskan jika ada masalah pendidikan bisa langsung komplain kwe sana pasti di tindak lanjuti tempat parkir juga luas dan rapi pokoknya twmpat nya bagus,tempatnya tengah tengah kota gresik tempatnya bersih rajin petugas pelayanannya memuaskan masalah pendidikan langsung komplain kwe sana pasti tindak lanjuti tempat parkir luas rapi pokoknya twmpat bagus,Pelayanan,Negatif,0.9977
Pemerintahan,Dinas Pendidikan Kabupaten Gresik,4.1,55,MaMa MeO,3,2021-05-09T01:01:06.565Z,"Anak saya mengikuti seleksi tahap 1 PPDB SMA Gresik  2021 untuk jalur affirmasi (disabilitas)..dengan harapan jika ""Tidak Diterima"" masih bisa mengikuti seleksi jalur reguler dan zonasi...Tapi saya kecewa sekali karena ada pemberitahuan jika ""Tidak Diterima"" pada seleksi jalur Disabilitas maka PIN tidak bisa digunakan lagi untuk seleksi tahap 2 sampe 5...Pemberitahuan ini pun mendadak.. tidak dikonfirmasikan dan tidak disosialisasikan dari awal.sebelum pendaftaran.melainkan beberapa jam sebelum keputusan jalur affirmasi diputuskan..yang ingin saya tanyakan.. Kenapa anak dengan disabilitas (ringan ) tidak diperbolehkan mengikuti seleksi tahap 2 sampe 5..??? Dimana letak keadilan jjika anak dengan keterbatasan fisik ini tidak diberi kesempatan yang sama dengan anak lainnya..??? Bukankah pemerintah seharusnya memfasilitasi anak dengan keterbatasan fisik seperti ini agar bisa punya kesempatan yang luas dalam menggapai masa depannya..???Tolong dipertimbangkan lagi keputusan seperti itu dan tolong difasilitasi semaksimal mungkin anak anak dengan keterbatasan fisik seperti ini agar bisa berpeluang yang sama dengan anak lainnya...Terima kasih atas responnya...",anak saya mengikuti seleksi tahap ppdb sma gresik untuk jalur affirmasi disabilitas dengan harapan jika tidak diterima masih bisa mengikuti seleksi jalur reguler dan zonasi tapi saya kecewa sekali karena ada pemberitahuan jika tidak diterima pada seleksi jalur disabilitas maka pin tidak bisa digunakan lagi untuk seleksi tahap sampe pemberitahuan ini pun mendadak tidak dikonfirmasikan dan tidak disosialisasikan dari awal sebelum pendaftaran melainkan beberapa jam sebelum keputusan jalur affirmasi diputuskan yang ingin saya tanyakan kenapa anak dengan disabilitas ringan tidak diperbolehkan mengikuti seleksi tahap sampe dimana letak keadilan jjika anak dengan keterbatasan fisik ini tidak diberi kesempatan yang sama dengan anak lainnya bukankah pemerintah seharusnya memfasilitasi anak dengan keterbatasan fisik seperti ini agar bisa punya kesempatan yang luas dalam menggapai masa depannya tolong dipertimbangkan lagi keputusan seperti itu dan tolong difasilitasi semaksimal mungkin anak anak dengan keterbatasan fisik seperti ini agar bisa berpeluang yang sama dengan anak lainnya terima kasih atas responnya,anak saya mengikuti seleksi tahap ppdb sma gresik untuk jalur affirmasi disabilitas dengan harapan jika tidak diterima masih bisa mengikuti seleksi jalur reguler dan zonasi tapi saya kecewa sekali karena ada pemberitahuan jika tidak diterima pada seleksi jalur disabilitas maka pin tidak bisa digunakan lagi untuk seleksi tahap sampe pemberitahuan ini pun mendadak tidak dikonfirmasikan dan tidak disosialisasikan dari awal sebelum pendaftaran melainkan beberapa jam sebelum keputusan jalur affirmasi diputuskan yang ingin saya tanyakan kenapa anak dengan disabilitas ringan tidak diperbolehkan mengikuti seleksi tahap sampe dimana letak keadilan jjika anak dengan keterbatasan fisik ini tidak diberi kesempatan yang sama dengan anak lainnya bukankah pemerintah seharusnya memfasilitasi anak dengan keterbatasan fisik seperti ini agar bisa punya kesempatan yang luas dalam menggapai masa depannya tolong dipertimbangkan lagi keputusan seperti itu dan tolong difasilitasi semaksimal mungkin anak anak dengan keterbatasan fisik seperti ini agar bisa berpeluang yang sama dengan anak lainnya terima kasih atas responnya,anak mengikuti seleksi tahap ppdb sma gresik jalur affirmasi disabilitas harapan diterima mengikuti seleksi jalur reguler zonasi kecewa pemberitahuan diterima seleksi jalur disabilitas maka pin digunakan seleksi tahap sampe pemberitahuan mendadak dikonfirmasikan disosialisasikan awal pendaftaran melainkan beberapa jam keputusan jalur affirmasi diputuskan ingin tanyakan kenapa anak disabilitas ringan diperbolehkan mengikuti seleksi tahap sampe dimana letak keadilan jjika anak keterbatasan fisik diberi kesempatan sama anak lainnya bukankah pemerintah seharusnya memfasilitasi anak keterbatasan fisik seperti agar punya kesempatan luas menggapai masa depannya tolong dipertimbangkan keputusan seperti tolong difasilitasi semaksimal mungkin anak anak keterbatasan fisik seperti agar berpeluang sama anak lainnya terima kasih atas responnya,Fasilitas,Netral,0.5706
Pemerintahan,Dinas Pendidikan Kabupaten Gresik,4.1,55,Muhammad Nasikh,3,2020-11-10T07:54:27.428Z,Pelayanan Lumayan bagus,pelayanan lumayan bagus,pelayanan lumayan bagus,pelayanan lumayan bagus,Pelayanan,Negatif,0.9962
Pemerintahan,Dinas Pendidikan Kabupaten Gresik,4.1,55,TOTO ISKANDAR,3,2020-05-10T02:07:23.121Z,"TemPatnya luas dan Adem, cuma klo pelayanan terhadap hak Guru selalu lambat, sertifikasi guru 2020 triwulan pertama tdk ada info sama sekali reapon lambat...",tempatnya luas dan adem cuma klo pelayanan terhadap hak guru selalu lambat sertifikasi guru triwulan pertama tdk ada info sama sekali reapon lambat,tempatnya luas dan adem cuma kalau pelayanan terhadap hak guru selalu lambat sertifikasi guru triwulan pertama tidak ada info sama sekali reapon lambat,tempatnya luas adem cuma pelayanan terhadap hak guru selalu lambat sertifikasi guru triwulan pertama info sama reapon lambat,Pelayanan,Positif,0.8749
Pemerintahan,Dinas Pendidikan Kabupaten Gresik,4.1,55,MH. Hudi,3,2020-04-25T00:49:38.581Z,Pelayanannya baik Dan sangat memuaskan👌👍,pelayanannya baik dan sangat memuaskan,pelayanannya baik dan sangat memuaskan,pelayanannya baik memuaskan,Pelayanan,Negatif,0.996
Pemerintahan,Dinas Pendidikan Kabupaten Gresik,4.1,55,alief habibiy,5,2019-10-24T07:43:44.927Z,"layanan ramah, tempat parkir luas berada di belakang gedung, ruang aula sangat luas",layanan ramah tempat parkir luas berada di belakang gedung ruang aula sangat luas,layanan ramah tempat parkir luas berada di belakang gedung ruang aula sangat luas,layanan ramah tempat parkir luas berada belakang gedung ruang aula luas,Pelayanan,Negatif,0.9834
Pemerintahan,Dinas Pendidikan Kabupaten Gresik,4.1,55,pro gaming,1,2019-07-03T04:38:51.502Z,"pegawai disini semua makan gaji buta, saya doakan semoga panjang umur dan segera di beri hidayah  SEGERALAH BERTOBAT SELAGI UMUR MASIH ADA",pegawai disini semua makan gaji buta saya doakan semoga panjang umur dan segera di beri hidayah segeralah bertobat selagi umur masih ada,pegawai disini semua makan gaji buta saya doakan semoga panjang umur dan segera di beri hidayah segeralah bertobat selagi umur masih ada,pegawai disini semua makan gaji buta doakan semoga panjang umur segera beri hidayah segeralah bertobat selagi umur,Pelayanan,Positif,0.9764
