Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,Dinas Perhubungan Kabupaten Gresik,3.5,52,Muhammad Royyan,2,2026-05-24T08:28:07.844Z,"Saya ingin menyampaikan kekhawatiran pribadi terkait salah satu petugas di Dishub Gresik yang berstatus kepala UPT. Saya merasa sangat tidak nyaman melihat bahwa ia terlalu memfokuskan perhatian dan tindakan hanya ke arah siswi perempuan, misalnya dengan terus‑menerus memanggil dan memuji cewek yang dianggap cantik, memberikan hadiah khusus, serta menanyakan alamat pribadi yang bersifat sensitif. Selain itu, saat membagikan mic, gerakannya seperti sengaja mendekatkan tangan hingga jarak dengan tangan cewek sangat tipis, padahal sebenarnya masih ada ruang untuk mengatur posisi tanpa perlu dekat seperti itu. Pada saat pulang, ia juga sering memposisikan diri di antara barisan cewek, sedangkan interaksi dengan cowok hanya singkat dan terkesan dibuat seolah biasa. Perilaku ini tampak sangat tidak seimbang dan tidak profesional, sehingga menimbulkan rasa tidak aman, terutama bagi siswi. Saya berharap pihak Dishub dan lembaga terkait bisa mengkaji ulang sikap dan cara kerja petugas ini, demi menciptakan lingkungan yang lebih aman dan sehat bagi pelajar.",saya ingin menyampaikan kekhawatiran pribadi terkait salah satu petugas di dishub gresik yang berstatus kepala upt saya merasa sangat tidak nyaman melihat bahwa ia terlalu memfokuskan perhatian dan tindakan hanya ke arah siswi perempuan misalnya dengan terusmenerus memanggil dan memuji cewek yang dianggap cantik memberikan hadiah khusus serta menanyakan alamat pribadi yang bersifat sensitif selain itu saat membagikan mic gerakannya seperti sengaja mendekatkan tangan hingga jarak dengan tangan cewek sangat tipis padahal sebenarnya masih ada ruang untuk mengatur posisi tanpa perlu dekat seperti itu pada saat pulang ia juga sering memposisikan diri di antara barisan cewek sedangkan interaksi dengan cowok hanya singkat dan terkesan dibuat seolah biasa perilaku ini tampak sangat tidak seimbang dan tidak profesional sehingga menimbulkan rasa tidak aman terutama bagi siswi saya berharap pihak dishub dan lembaga terkait bisa mengkaji ulang sikap dan cara kerja petugas ini demi menciptakan lingkungan yang lebih aman dan sehat bagi pelajar,saya ingin menyampaikan kekhawatiran pribadi terkait salah satu petugas di dishub gresik yang berstatus kepala upt saya merasa sangat tidak nyaman melihat bahwa ia terlalu memfokuskan perhatian dan tindakan hanya ke arah siswi perempuan misalnya dengan terusmenerus memanggil dan memuji cewek yang dianggap cantik memberikan hadiah khusus serta menanyakan alamat pribadi yang bersifat sensitif selain itu saat membagikan mic gerakannya seperti sengaja mendekatkan tangan hingga jarak dengan tangan cewek sangat tipis padahal sebenarnya masih ada ruang untuk mengatur posisi tanpa perlu dekat seperti itu pada saat pulang ia juga sering memposisikan diri di antara barisan cewek sedangkan interaksi dengan cowok hanya singkat dan terkesan dibuat seolah biasa perilaku ini tampak sangat tidak seimbang dan tidak profesional sehingga menimbulkan rasa tidak aman terutama bagi siswi saya berharap pihak dishub dan lembaga terkait bisa mengkaji ulang sikap dan cara kerja petugas ini demi menciptakan lingkungan yang lebih aman dan sehat bagi pelajar,ingin menyampaikan kekhawatiran pribadi terkait salah satu petugas dishub gresik berstatus kepala upt merasa nyaman melihat bahwa terlalu memfokuskan perhatian tindakan hanya arah siswi perempuan misalnya terusmenerus memanggil memuji cewek dianggap cantik memberikan hadiah khusus serta menanyakan alamat pribadi bersifat sensitif selain membagikan mic gerakannya seperti sengaja mendekatkan tangan hingga jarak tangan cewek tipis padahal sebenarnya ruang mengatur posisi tanpa perlu dekat seperti pulang sering memposisikan diri antara barisan cewek sedangkan interaksi cowok hanya singkat terkesan dibuat seolah biasa perilaku tampak seimbang profesional sehingga menimbulkan rasa aman terutama bagi siswi berharap pihak dishub lembaga terkait mengkaji ulang sikap cara kerja petugas demi menciptakan lingkungan aman sehat bagi pelajar,Pelayanan,Positif,0.8843
Pemerintahan,Dinas Perhubungan Kabupaten Gresik,3.5,52,Frendi Prasetyo,5,2026-05-10T15:42:42.695Z,Uji kir,uji kir,uji kir,uji kir,Lainnya,Netral,0.9598
Pemerintahan,Dinas Perhubungan Kabupaten Gresik,3.5,52,Aran Anak Rantau,1,2026-04-22T18:33:23.892Z,Boleh parkir truk tronton tidak?,boleh parkir truk tronton tidak,boleh parkir truk tronton tidak,boleh parkir truk tronton,Fasilitas,Netral,0.9959
Pemerintahan,Dinas Perhubungan Kabupaten Gresik,3.5,52,Sabrina Putri,1,2026-04-15T04:02:19.750Z,ga punya attitude orang orangnya.,ga punya attitude orang orangnya,tidak punya attitude orang orangnya,punya attitude orang orangnya,Lainnya,Negatif,0.9459
Pemerintahan,Dinas Perhubungan Kabupaten Gresik,3.5,52,Pt Cakrawala,5,2026-03-06T08:11:16.707Z,bapak WIDODO . segera bayar tagihan anda di aplikasi pinjaman online jangan main main anda disini,bapak widodo segera bayar tagihan anda di aplikasi pinjaman online jangan main main anda disini,bapak widodo segera bayar tagihan anda di aplikasi pinjaman online jangan main main anda disini,bapak widodo segera bayar tagihan aplikasi pinjaman online jangan main main disini,Keamanan,Netral,0.9825
Pemerintahan,Dinas Perhubungan Kabupaten Gresik,3.5,52,Aprilina Putri Lestiyani,1,2025-12-02T05:07:27.068Z,tolong di kasih tau untuk petugas dishub yg berjaga di terminal bunder gresik hari selasa tanggal 2 desember 2025 puluk 11.30. Saya bukan asli warga gresik baru 3 kali saya masuk ke terminal bunder sebelumnya saya selalu keluar naik motor lewat pintu yg di sebelah kanan (pintu keluar bis) lalu hari ini tiba tiba ada portal jadi saya bertanya ke petugas yg kebetulan ada di pos samping pintu keluar Saya : bisa pak? (Menunjuk pintu keluar) Petugas : (menggelengkan kepala) Saya : jadi lewat mana pak? (Karena saya benar2 tidak tahu saya kira pintu keluar hanya disitu) Petugas : ya biasanya lewat mana (dgn nada ketus) Saya : biasanya saya lewat sini pak Petugas : ya gak bisa skrg ada portalnya Saya : laiya skrg lewat mana pak? Petugas : ya muter sana (menunjuk pintu masuk dgn nada membentak) Dan saat itu saya mendengar dari speaker ada yg berbicara Petugas di speaker : gak bisa lewat situ samean iku wes salah muter sana muter Akhirnya saya bentak juga Saya : ya saya kan cuma tanya tinggal jawab susahnya apa? Ingat ya anda di gaji dari uang pajak rakyat sebaiknya pelayanan lebih baik,tolong di kasih tau untuk petugas dishub yg berjaga di terminal bunder gresik hari selasa tanggal desember puluk saya bukan asli warga gresik baru kali saya masuk ke terminal bunder sebelumnya saya selalu keluar naik motor lewat pintu yg di sebelah kanan pintu keluar bis lalu hari ini tiba tiba ada portal jadi saya bertanya ke petugas yg kebetulan ada di pos samping pintu keluar saya bisa pak menunjuk pintu keluar petugas menggelengkan kepala saya jadi lewat mana pak karena saya benar2 tidak tahu saya kira pintu keluar hanya disitu petugas ya biasanya lewat mana dgn nada ketus saya biasanya saya lewat sini pak petugas ya gak bisa skrg ada portalnya saya laiya skrg lewat mana pak petugas ya muter sana menunjuk pintu masuk dgn nada membentak dan saat itu saya mendengar dari speaker ada yg berbicara petugas di speaker gak bisa lewat situ samean iku wes salah muter sana muter akhirnya saya bentak juga saya ya saya kan cuma tanya tinggal jawab susahnya apa ingat ya anda di gaji dari uang pajak rakyat sebaiknya pelayanan lebih baik,tolong di kasih tau untuk petugas dishub yang berjaga di terminal bunder gresik hari selasa tanggal desember puluk saya bukan asli warga gresik baru kali saya masuk ke terminal bunder sebelumnya saya selalu keluar naik motor lewat pintu yang di sebelah kanan pintu keluar bis lalu hari ini tiba tiba ada portal jadi saya bertanya ke petugas yang kebetulan ada di pos samping pintu keluar saya bisa pak menunjuk pintu keluar petugas menggelengkan kepala saya jadi lewat mana pak karena saya benar2 tidak tahu saya kira pintu keluar hanya disitu petugas ya biasanya lewat mana dengan nada ketus saya biasanya saya lewat sini pak petugas ya tidak bisa sekarang ada portalnya saya laiya sekarang lewat mana pak petugas ya muter sana menunjuk pintu masuk dengan nada membentak dan saat itu saya mendengar dari speaker ada yang berbicara petugas di speaker tidak bisa lewat situ samean iku wes salah muter sana muter akhirnya saya bentak juga saya ya saya kan cuma tanya tinggal jawab susahnya apa ingat ya anda di gaji dari uang pajak rakyat sebaiknya pelayanan lebih baik,tolong kasih tau petugas dishub berjaga terminal bunder gresik hari selasa tanggal desember puluk bukan asli warga gresik kali masuk terminal bunder sebelumnya selalu keluar naik motor lewat pintu sebelah kanan pintu keluar bis lalu hari tiba tiba portal jadi bertanya petugas kebetulan pos samping pintu keluar pak menunjuk pintu keluar petugas menggelengkan kepala jadi lewat mana pak benar2 tahu kira pintu keluar hanya disitu petugas ya biasanya lewat mana nada ketus biasanya lewat sini pak petugas ya sekarang portalnya laiya sekarang lewat mana pak petugas ya muter sana menunjuk pintu masuk nada membentak mendengar speaker berbicara petugas speaker lewat situ samean iku wes salah muter sana muter akhirnya bentak ya kan cuma tanya tinggal jawab susahnya apa ingat ya gaji uang pajak rakyat sebaiknya pelayanan baik,Pelayanan,Positif,0.7286
Pemerintahan,Dinas Perhubungan Kabupaten Gresik,3.5,52,Fadhol Aif,1,2025-09-17T09:36:56.723Z,Larangan jam truk masih banyak yang di langgar. Dishub tidak bertindak,larangan jam truk masih banyak yang di langgar dishub tidak bertindak,larangan jam truk masih banyak yang di langgar dishub tidak bertindak,larangan jam truk banyak langgar dishub bertindak,Lainnya,Netral,0.9718
Pemerintahan,Dinas Perhubungan Kabupaten Gresik,3.5,52,Mahmud,5,2025-07-31T23:22:19.566Z,"Gooddd job buat dishub Gresik Kususnya para anggota dishub Gresik, yg menghalau truk truk besar yg tetap maksa lewat di jam 6-8 Kususnya di area Cerme-terminal Bunder",gooddd job buat dishub gresik kususnya para anggota dishub gresik yg menghalau truk truk besar yg tetap maksa lewat di jam kususnya di area cerme terminal bunder,gooddd job buat dishub gresik kususnya para anggota dishub gresik yang menghalau truk truk besar yang tetap maksa lewat di jam kususnya di area cerme terminal bunder,gooddd job buat dishub gresik kususnya para anggota dishub gresik menghalau truk truk besar tetap maksa lewat jam kususnya area cerme terminal bunder,Lainnya,Negatif,0.6668
Pemerintahan,Dinas Perhubungan Kabupaten Gresik,3.5,52,Aji Mulia,5,2025-06-30T13:38:04.950Z,Saat ini ( 30/06/2025) jam 19.00 wib ada Bus Adi Putro Mogok di Toll,saat ini jam wib ada bus adi putro mogok di toll,saat ini jam wib ada bus adi putro mogok di toll,jam wib bus adi putro mogok toll,Lainnya,Netral,0.9918
Pemerintahan,Dinas Perhubungan Kabupaten Gresik,3.5,52,irda rein,1,2024-12-02T00:15:40.702Z,Tukang parkir liar di area kantor bupati gresik. Tlng ditertibkan. Mengatasnamakan dishub,tukang parkir liar di area kantor bupati gresik tlng ditertibkan mengatasnamakan dishub,tukang parkir liar di area kantor bupati gresik tlng ditertibkan mengatasnamakan dishub,tukang parkir liar area kantor bupati gresik tlng ditertibkan mengatasnamakan dishub,Fasilitas,Netral,0.9188
Pemerintahan,Dinas Perhubungan Kabupaten Gresik,3.5,52,Bar,1,2024-10-30T12:36:29.215Z,"Dear Dinas Perhubungan, Jangan sembarang tempat dikasih tukang parkir. Mending anda memperkerjakan PAK OGA yg jelas2 membantu di jalan ramai. Anda malah memperkerjakan SDM2 yang mangkal di tempat yg kecil yg jelas2 kita bisa mengkondisikan sepeda kita sendiri.  Tadi saya beli wonton chili oil di pasar senggol, awal saya datang tidak ada tukang parkir lalu pas saya sudah selesai tiba2 dikasih karcis warna pink ada tulisannya DINAS PERHUBUNGAN. Orgnya jg pake seragam dishub.  Lalu saya bilang ""LHO PAK, KOK DIKASI KARCIS DIAKHIR MAU PLG GINI"" Trus kang parkirnya jawab ""EMANG DIKASIHNYA DI AKHIR MBAK"".  Ya Allah sumpah ya, bukan ga ikhlas cuma uang 2rb, tp uang itu GAK ADA KONTRIBUSINYA BUAT SEKEDAR PELAYANAN MASYARAKAT.  YANG ADA MALAH TERKESAN ""MEWAJIBKAN BAYAR"". PADAHAL TD KITA DATANG GADA KANG PARKIR.  TRUS UDH MAU PLG BARU DITODONG.  Enak banget yaa, kerja cuma tugasnya nodong 2000 doang, gak ngapa2in.  Td nyebrangin bapaknya jg gabisa.  GA SEPENUHNYA NYALAIN BAPAKNYA JG, KARENA INI JUGA PROGRAMNYA DISHUB.  JADI GIMANA2, TETEP DISHUB DAN SDM2 NYA YANG HARUS DIBENAHI.",dear dinas perhubungan jangan sembarang tempat dikasih tukang parkir mending anda memperkerjakan pak oga yg jelas2 membantu di jalan ramai anda malah memperkerjakan sdm2 yang mangkal di tempat yg kecil yg jelas2 kita bisa mengkondisikan sepeda kita sendiri tadi saya beli wonton chili oil di pasar senggol awal saya datang tidak ada tukang parkir lalu pas saya sudah selesai tiba2 dikasih karcis warna pink ada tulisannya dinas perhubungan orgnya jg pake seragam dishub lalu saya bilang lho pak kok dikasi karcis diakhir mau plg gini trus kang parkirnya jawab emang dikasihnya di akhir mbak ya allah sumpah ya bukan ga ikhlas cuma uang 2rb tp uang itu gak ada kontribusinya buat sekedar pelayanan masyarakat yang ada malah terkesan mewajibkan bayar padahal td kita datang gada kang parkir trus udh mau plg baru ditodong enak banget yaa kerja cuma tugasnya nodong doang gak ngapa2in td nyebrangin bapaknya jg gabisa ga sepenuhnya nyalain bapaknya jg karena ini juga programnya dishub jadi gimana2 tetep dishub dan sdm2 nya yang harus dibenahi,dear dinas perhubungan jangan sembarang tempat dikasih tukang parkir mending anda memperkerjakan pak oga yang jelas2 membantu di jalan ramai anda malah memperkerjakan sdm2 yang mangkal di tempat yang kecil yang jelas2 kita bisa mengkondisikan sepeda kita sendiri tadi saya beli wonton chili oil di pasar senggol awal saya datang tidak ada tukang parkir lalu pas saya sudah selesai tiba2 dikasih karcis warna pink ada tulisannya dinas perhubungan orgnya juga pake seragam dishub lalu saya bilang lho pak kok dikasi karcis diakhir mau paling gini trus kang parkirnya jawab emang dikasihnya di akhir mbak ya allah sumpah ya bukan tidak ikhlas cuma uang 2rb tapi uang itu tidak ada kontribusinya buat sekedar pelayanan masyarakat yang ada malah terkesan mewajibkan bayar padahal td kita datang gada kang parkir trus udh mau paling baru ditodong enak banget yaa kerja cuma tugasnya nodong doang tidak ngapa2in td nyebrangin bapaknya juga gabisa tidak sepenuhnya nyalain bapaknya juga karena ini juga programnya dishub jadi gimana2 tetep dishub dan sdm2 nya yang harus dibenahi,dear dinas perhubungan jangan sembarang tempat dikasih tukang parkir mending memperkerjakan pak oga jelas2 membantu jalan ramai malah memperkerjakan sdm2 mangkal tempat kecil jelas2 mengkondisikan sepeda sendiri tadi beli wonton chili oil pasar senggol awal datang tukang parkir lalu pas selesai tiba2 dikasih karcis warna pink tulisannya dinas perhubungan orgnya pake seragam dishub lalu bilang lho pak kok dikasi karcis diakhir mau paling gini trus kang parkirnya jawab emang dikasihnya akhir mbak ya allah sumpah ya bukan ikhlas cuma uang 2rb uang kontribusinya buat sekedar pelayanan masyarakat malah terkesan mewajibkan bayar padahal td datang gada kang parkir trus udh mau paling ditodong enak banget yaa kerja cuma tugasnya nodong doang ngapa2in td nyebrangin bapaknya gabisa sepenuhnya nyalain bapaknya programnya dishub jadi gimana2 tetep dishub sdm2 harus dibenahi,Pelayanan,Positif,0.9142
Pemerintahan,Dinas Perhubungan Kabupaten Gresik,3.5,52,Alika Naila,4,2024-05-19T15:21:59.176Z,"Pak minta tolong di tertibkan .. penjaga parkir pasar gresik  mulai depan toko dor afiat sampai toko agus .sikapnya Kurang ajar bawa minuman alkohol saat jaga parkir., suka goda2 perempuan. Mulutnya juga berkata kasar dan sikapnya juga tidak sopan... Mohon di tindak lanjuti demi keyamanan masyarakat gresik",pak minta tolong di tertibkan penjaga parkir pasar gresik mulai depan toko dor afiat sampai toko agus sikapnya kurang ajar bawa minuman alkohol saat jaga parkir suka goda2 perempuan mulutnya juga berkata kasar dan sikapnya juga tidak sopan mohon di tindak lanjuti demi keyamanan masyarakat gresik,pak minta tolong di tertibkan penjaga parkir pasar gresik mulai depan toko dor afiat sampai toko agus sikapnya kurang ajar bawa minuman alkohol saat jaga parkir suka goda2 perempuan mulutnya juga berkata kasar dan sikapnya juga tidak sopan mohon di tindak lanjuti demi keyamanan masyarakat gresik,pak minta tolong tertibkan penjaga parkir pasar gresik mulai depan toko dor afiat sampai toko agus sikapnya kurang ajar bawa minuman alkohol jaga parkir suka goda2 perempuan mulutnya berkata kasar sikapnya sopan mohon tindak lanjuti demi keyamanan masyarakat gresik,Fasilitas,Positif,0.9905
Pemerintahan,Dinas Perhubungan Kabupaten Gresik,3.5,52,paey Ridwan,3,2024-05-03T03:07:31.228Z,tolong di tertibkan angkutan xpedisi dan galian dari dan ke surabaya yang melewati jalan banjarsari cerme dan kedanyang kebomas karna melebihi tonase yang mengakibatkan jalan rusak dan got banyak yang ambruk,tolong di tertibkan angkutan xpedisi dan galian dari dan ke surabaya yang melewati jalan banjarsari cerme dan kedanyang kebomas karna melebihi tonase yang mengakibatkan jalan rusak dan got banyak yang ambruk,tolong di tertibkan angkutan xpedisi dan galian dari dan ke surabaya yang melewati jalan banjarsari cerme dan kedanyang kebomas karna melebihi tonase yang mengakibatkan jalan rusak dan got banyak yang ambruk,tolong tertibkan angkutan xpedisi galian surabaya melewati jalan banjarsari cerme kedanyang kebomas karna melebihi tonase mengakibatkan jalan rusak got banyak ambruk,Infrastruktur,Positif,0.8407
Pemerintahan,Dinas Perhubungan Kabupaten Gresik,3.5,52,Reinamenah Medika,1,2024-03-20T07:53:23.833Z,"Tertulisnya Karcis retribusi di tepi jalan. Ini parkir di dinkes di tarik, pdhl karyawan. karcis ilegal?",tertulisnya karcis retribusi di tepi jalan ini parkir di dinkes di tarik pdhl karyawan karcis ilegal,tertulisnya karcis retribusi di tepi jalan ini parkir di dinkes di tarik pdhl karyawan karcis ilegal,tertulisnya karcis retribusi tepi jalan parkir dinkes tarik pdhl karyawan karcis ilegal,Fasilitas,Netral,0.9825
Pemerintahan,Dinas Perhubungan Kabupaten Gresik,3.5,52,Meila Rosa,2,2023-11-27T12:42:49.164Z,Nelpon cal center susah,nelpon cal center susah,nelpon cal center susah,nelpon cal center susah,Lainnya,Positif,0.9941
Pemerintahan,Dinas Perhubungan Kabupaten Gresik,3.5,52,danazzura dwisaputro,1,2023-08-31T11:11:50.802Z,Naik dari bunder ke juanda tiap ditanyakan karcis bis damri selalu bilang gak ada.,naik dari bunder ke juanda tiap ditanyakan karcis bis damri selalu bilang gak ada,naik dari bunder ke juanda tiap ditanyakan karcis bis damri selalu bilang tidak ada,naik bunder juanda tiap ditanyakan karcis bis damri selalu bilang,Lainnya,Netral,0.9954
Pemerintahan,Dinas Perhubungan Kabupaten Gresik,3.5,52,Wahyu Firmansyah,1,2023-06-15T06:14:20.531Z,"Banyak parkir memakan bahu jalan, regulasi tidak diterapkan dengan baik",banyak parkir memakan bahu jalan regulasi tidak diterapkan dengan baik,banyak parkir memakan bahu jalan regulasi tidak diterapkan dengan baik,banyak parkir memakan bahu jalan regulasi diterapkan baik,Fasilitas,Netral,0.5303
Pemerintahan,Dinas Perhubungan Kabupaten Gresik,3.5,52,Adi Satriyo,5,2022-06-13T23:42:01.223Z,Kantor dinas yang luas...,kantor dinas yang luas,kantor dinas yang luas,kantor dinas luas,Lainnya,Negatif,0.9191
Pemerintahan,Dinas Perhubungan Kabupaten Gresik,3.5,52,ANW FZL STC WORLD,1,2022-04-15T05:47:02.462Z,tidak berpengaruh.dan memberi dampak,tidak berpengaruh dan memberi dampak,tidak berpengaruh dan memberi dampak,berpengaruh memberi dampak,Lainnya,Negatif,0.9061
