Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,Dinas PU Gresik,3.7,28,Achmad Yachsun,1,2022-07-19T05:25:11.721Z,Bikin jalan baik aja nggak bisa....masuk  tol cn brp jengkal aja nggak mulus🙏,bikin jalan baik aja nggak bisa masuk tol cn brp jengkal aja nggak mulus,bikin jalan baik aja tidak bisa masuk tol cn brp jengkal aja tidak mulus,bikin jalan baik aja masuk tol cn brp jengkal aja mulus,Infrastruktur,Negatif,0.98
Pemerintahan,Dinas PU Gresik,3.7,28,Agenk Gemink,3,2021-09-15T09:39:02.002Z,Banyak jalan yg kurang bagus khususnya di dalam kota kabupaten  untuk sekelas Kota Industri seperti Kota Gresik,banyak jalan yg kurang bagus khususnya di dalam kota kabupaten untuk sekelas kota industri seperti kota gresik,banyak jalan yang kurang bagus khususnya di dalam kota kabupaten untuk sekelas kota industri seperti kota gresik,banyak jalan kurang bagus khususnya kota kabupaten sekelas kota industri seperti kota gresik,Infrastruktur,Positif,0.9875
Pemerintahan,Dinas PU Gresik,3.7,28,Samsul Arifin,5,2021-04-07T04:12:37.498Z,Pelayanan ramah dan tempat nyaman,pelayanan ramah dan tempat nyaman,pelayanan ramah dan tempat nyaman,pelayanan ramah tempat nyaman,Pelayanan,Negatif,0.9961
Pemerintahan,Dinas PU Gresik,3.7,28,Charif interisti,5,2020-09-07T06:00:57.579Z,Dinas Pekerjaan Umum dan Tata Ruang Kabupaten Gresik. Gresik semakin lebih baik!,dinas pekerjaan umum dan tata ruang kabupaten gresik gresik semakin lebih baik,dinas pekerjaan umum dan tata ruang kabupaten gresik gresik semakin lebih baik,dinas pekerjaan umum tata ruang kabupaten gresik gresik semakin baik,Lainnya,Negatif,0.7162
Pemerintahan,Dinas PU Gresik,3.7,28,Yahya M Aji,5,2020-03-09T01:20:17.658Z,Just some stars...,just some stars,just some stars,just some stars,Lainnya,Negatif,0.8129
Pemerintahan,Dinas PU Gresik,3.7,28,Borowers Casanova,1,2020-02-23T14:31:12.114Z,Dan begitu banyak keluhan dari warga gresik. Dimanakah anda sebagai pihak yang berwenang dalam perbaikan jalan di gresik. Apakah tak ada pengamat jalan raya di instansi ini.,dan begitu banyak keluhan dari warga gresik dimanakah anda sebagai pihak yang berwenang dalam perbaikan jalan di gresik apakah tak ada pengamat jalan raya di instansi ini,dan begitu banyak keluhan dari warga gresik dimanakah anda sebagai pihak yang berwenang dalam perbaikan jalan di gresik apakah tak ada pengamat jalan raya di instansi ini,begitu banyak keluhan warga gresik dimanakah sebagai pihak berwenang perbaikan jalan gresik apakah tak pengamat jalan raya instansi,Infrastruktur,Positif,0.787
Pemerintahan,Dinas PU Gresik,3.7,28,Muhamad Thoriq,1,2020-01-21T01:25:57.917Z,Mohon lampu PJU di dusun ngambar rt 12 rw 04 desa bambe untuk segera di perbaiki pak. Ada 2 titik lampu yang mati sekitar 1 bulanan. Rawan kecelakaan. Karena gelap kalau malam,mohon lampu pju di dusun ngambar rt rw desa bambe untuk segera di perbaiki pak ada titik lampu yang mati sekitar bulanan rawan kecelakaan karena gelap kalau malam,mohon lampu pju di dusun ngambar rt rw desa bambe untuk segera di perbaiki pak ada titik lampu yang mati sekitar bulanan rawan kecelakaan karena gelap kalau malam,mohon lampu pju dusun ngambar rt rw desa bambe segera perbaiki pak titik lampu mati sekitar bulanan rawan kecelakaan gelap malam,Lainnya,Netral,0.8833
Pemerintahan,Dinas PU Gresik,3.7,28,Interior Decoration,4,2019-04-14T06:03:30.146Z,Top,top,top,top,Lainnya,Negatif,0.9971
Pemerintahan,Dinas PU Gresik,3.7,28,faiza quilla,1,2019-02-06T23:26:13.067Z,Ayo dong fast respon terhadap kebutuhan warga terutama jalan yg rusak,ayo dong fast respon terhadap kebutuhan warga terutama jalan yg rusak,ayo dong fast respon terhadap kebutuhan warga terutama jalan yang rusak,ayo fast respon terhadap kebutuhan warga terutama jalan rusak,Infrastruktur,Netral,0.9854
Pemerintahan,Dinas PU Gresik,3.7,28,Akbar Nugraha,5,2018-08-09T06:00:51.554Z,"Halaman parkir luas , gedung nya bersih rapi , pelayanan baik",halaman parkir luas gedung nya bersih rapi pelayanan baik,halaman parkir luas gedung nya bersih rapi pelayanan baik,halaman parkir luas gedung bersih rapi pelayanan baik,Pelayanan,Negatif,0.992
