Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik & Praktek Dokter,dr. Faiz Sp. THT,4.8,20,Lely Cristaly,5,2026-02-21T00:59:51.978Z,Info kontak admin atau telp yg bisa di hubungi,info kontak admin atau telp yg bisa di hubungi,info kontak admin atau telp yang bisa di hubungi,info kontak admin telp hubungi,Lainnya,Netral,0.9965
Kesehatan,Klinik & Praktek Dokter,dr. Faiz Sp. THT,4.8,20,Yenni Fajri,5,2026-02-18T10:49:19.720Z,"Dokter ramah, dijelaskan secara detail, Habis disemprot langsung plong, Biaya juga murah,, best pokoknya👍👍",dokter ramah dijelaskan secara detail habis disemprot langsung plong biaya juga murah best pokoknya,dokter ramah dijelaskan secara detail habis disemprot langsung plong biaya juga murah best pokoknya,dokter ramah dijelaskan secara detail habis disemprot langsung plong biaya murah best pokoknya,Pelayanan,Positif,0.9933
Kesehatan,Klinik & Praktek Dokter,dr. Faiz Sp. THT,4.8,20,Gus Muqsith,4,2025-09-25T07:11:34.698Z,No wa admin nya brp ??,no wa admin nya brp,no wa admin nya brp,no wa admin brp,Lainnya,Netral,0.9907
Kesehatan,Klinik & Praktek Dokter,dr. Faiz Sp. THT,4.8,20,Hendra Ys,5,2025-09-08T13:48:19.918Z,Apakah prakteknya masih buka ??,apakah prakteknya masih buka,apakah prakteknya masih buka,apakah prakteknya buka,Lainnya,Netral,0.9697
Kesehatan,Klinik & Praktek Dokter,dr. Faiz Sp. THT,4.8,20,dlila dlila,5,2025-06-24T00:55:34.629Z,Apa masih buka pratek kah? No gk bisa d hubungi mungkin ada yg punya no nya?,apa masih buka pratek kah no gk bisa d hubungi mungkin ada yg punya no nya,apa masih buka pratek kah no tidak bisa d hubungi mungkin ada yang punya no nya,apa buka pratek no hubungi mungkin punya no,Lainnya,Netral,0.9691
Kesehatan,Klinik & Praktek Dokter,dr. Faiz Sp. THT,4.8,20,nurul lailatul hidayah,5,2025-05-15T18:16:00.554Z,Sangat murah dan ramah hbs dibersihin lngsung plong,sangat murah dan ramah hbs dibersihin lngsung plong,sangat murah dan ramah hbs dibersihin lngsung plong,murah ramah hbs dibersihin lngsung plong,Pelayanan,Positif,0.9835
Kesehatan,Klinik & Praktek Dokter,dr. Faiz Sp. THT,4.8,20,Rabiyatul Adawiyah,5,2025-03-27T10:03:21.389Z,No Telp tidak bisa di hubungi,no telp tidak bisa di hubungi,no telp tidak bisa di hubungi,no telp hubungi,Lainnya,Netral,0.9954
Kesehatan,Klinik & Praktek Dokter,dr. Faiz Sp. THT,4.8,20,Mega Widdi,5,2025-01-28T15:55:13.861Z,"Terimakasih dok, tidak bayar mahal dibersihkan langsung sembuh telinga saya.😇",terimakasih dok tidak bayar mahal dibersihkan langsung sembuh telinga saya,terimakasih dok tidak bayar mahal dibersihkan langsung sembuh telinga saya,terimakasih dok bayar mahal dibersihkan langsung sembuh telinga,Fasilitas,Positif,0.7698
Kesehatan,Klinik & Praktek Dokter,dr. Faiz Sp. THT,4.8,20,Jafar Shadiq,5,2024-09-30T15:13:42.350Z,Masyallah baik dokter nya♥️ ramah dan sabar😇,masyallah baik dokter nya ramah dan sabar,masyallah baik dokter nya ramah dan sabar,masyallah baik dokter ramah sabar,Pelayanan,Positif,0.9904
Kesehatan,Klinik & Praktek Dokter,dr. Faiz Sp. THT,4.8,20,FAIYAD ALA' AL AHNAF,5,2023-09-08T09:07:51.764Z,Kk minta sun gak,kk minta sun gak,kk minta sun tidak,kk minta sun,Administrasi,Netral,0.9852
Kesehatan,Klinik & Praktek Dokter,dr. Faiz Sp. THT,4.8,20,Iqbal Rusdi,5,2023-08-20T09:14:47.438Z,Kak apakah Masi buka kliniknya,kak apakah masi buka kliniknya,kak apakah masi buka kliniknya,kak apakah masi buka kliniknya,Administrasi,Netral,0.9941
Kesehatan,Klinik & Praktek Dokter,dr. Faiz Sp. THT,4.8,20,harist Lesmana,5,2021-03-22T08:24:33.443Z,dokternya Ramah sabar 🥰👍👍👍👍👍👍,dokternya ramah sabar,dokternya ramah sabar,dokternya ramah sabar,Pelayanan,Positif,0.9945
Kesehatan,Klinik & Praktek Dokter,dr. Faiz Sp. THT,4.8,20,Mezmeric,5,2018-07-13T12:01:04.214Z,Buka cuman 1 jam dari jam 17.00 sampai jam 18.00,buka cuman jam dari jam sampai jam,buka cuman jam dari jam sampai jam,buka cuman jam jam sampai jam,Lainnya,Netral,0.6965
