Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik & Praktek Dokter,"dr. Nurina Dhani, SpDVE | Dokter Spesialis Kulit dan Kelamin (SpKK)",5,61,fedyanto rizal,5,2026-06-24T11:07:12.107Z,Pelayanan sangat baik dan memuaskan,pelayanan sangat baik dan memuaskan,pelayanan sangat baik dan memuaskan,pelayanan baik memuaskan,Pelayanan,Positif,0.9949
Kesehatan,Klinik & Praktek Dokter,"dr. Nurina Dhani, SpDVE | Dokter Spesialis Kulit dan Kelamin (SpKK)",5,61,Prapto Riau,5,2026-06-24T10:17:35.398Z,Dokter sangat ramah pelayanan juga sangat baik,dokter sangat ramah pelayanan juga sangat baik,dokter sangat ramah pelayanan juga sangat baik,dokter ramah pelayanan baik,Pelayanan,Positif,0.9934
Kesehatan,Klinik & Praktek Dokter,"dr. Nurina Dhani, SpDVE | Dokter Spesialis Kulit dan Kelamin (SpKK)",5,61,Rosyidah Nuzqia,5,2026-06-22T09:59:47.503Z,dokter nya detail untuk penjelasan kondisi kulit.,dokter nya detail untuk penjelasan kondisi kulit,dokter nya detail untuk penjelasan kondisi kulit,dokter detail penjelasan kondisi kulit,Kesehatan,Netral,0.9975
Kesehatan,Klinik & Praktek Dokter,"dr. Nurina Dhani, SpDVE | Dokter Spesialis Kulit dan Kelamin (SpKK)",5,61,Gina Aprilliana Asmar,5,2026-06-22T09:15:01.991Z,Cocok banget,cocok banget,cocok banget,cocok banget,Lainnya,Positif,0.9972
Kesehatan,Klinik & Praktek Dokter,"dr. Nurina Dhani, SpDVE | Dokter Spesialis Kulit dan Kelamin (SpKK)",5,61,Shavero Dzikri,5,2026-06-20T07:15:26.302Z,Pelayanan yg sgat memuaskan dan dokter nya baik,pelayanan yg sgat memuaskan dan dokter nya baik,pelayanan yang sgat memuaskan dan dokter nya baik,pelayanan sgat memuaskan dokter baik,Pelayanan,Positif,0.9868
Kesehatan,Klinik & Praktek Dokter,"dr. Nurina Dhani, SpDVE | Dokter Spesialis Kulit dan Kelamin (SpKK)",5,61,Macan Macan,5,2026-06-20T06:18:34.857Z,"dokternya baik banget,awalnya takut pas ketemu bu dokter masyaallah gak takut lagi... cara ngasih taunya detail banget trimakasih dok...",dokternya baik banget awalnya takut pas ketemu bu dokter masyaallah gak takut lagi cara ngasih taunya detail banget trimakasih dok,dokternya baik banget awalnya takut pas ketemu bu dokter masyaallah tidak takut lagi cara ngasih taunya detail banget trimakasih dok,dokternya baik banget awalnya takut pas ketemu bu dokter masyaallah takut cara ngasih taunya detail banget trimakasih dok,Kesehatan,Positif,0.845
Kesehatan,Klinik & Praktek Dokter,"dr. Nurina Dhani, SpDVE | Dokter Spesialis Kulit dan Kelamin (SpKK)",5,61,Derin Abidah Qodicia,5,2026-06-19T10:32:23.977Z,Dr ny ramah layanan ok .,dr ny ramah layanan ok,dari ny ramah layanan oke,ny ramah layanan oke,Pelayanan,Positif,0.9942
Kesehatan,Klinik & Praktek Dokter,"dr. Nurina Dhani, SpDVE | Dokter Spesialis Kulit dan Kelamin (SpKK)",5,61,dullah dul,5,2026-06-19T10:29:46.143Z,"Dr nya kids friendly juga... Alhamdulillah penjelasannya bagus banget, detail dan insyaallah penanganannya cocok untuk anak kami , sehat sehat ya dok",dr nya kids friendly juga alhamdulillah penjelasannya bagus banget detail dan insyaallah penanganannya cocok untuk anak kami sehat sehat ya dok,dari nya kids friendly juga alhamdulillah penjelasannya bagus banget detail dan insyaallah penanganannya cocok untuk anak kami sehat sehat ya dok,kids friendly alhamdulillah penjelasannya bagus banget detail insyaallah penanganannya cocok anak sehat sehat ya dok,Lainnya,Positif,0.9912
Kesehatan,Klinik & Praktek Dokter,"dr. Nurina Dhani, SpDVE | Dokter Spesialis Kulit dan Kelamin (SpKK)",5,61,Ima Noona,5,2026-06-19T10:00:57.028Z,"Bagus,dokternya ramah dan baik",bagus dokternya ramah dan baik,bagus dokternya ramah dan baik,bagus dokternya ramah baik,Pelayanan,Positif,0.9959
Kesehatan,Klinik & Praktek Dokter,"dr. Nurina Dhani, SpDVE | Dokter Spesialis Kulit dan Kelamin (SpKK)",5,61,Litsa Kejora,5,2026-06-19T09:48:05.921Z,"Dokternya ramah, penjelasannya juga jelas dan hasilnya sangat memuaskan.",dokternya ramah penjelasannya juga jelas dan hasilnya sangat memuaskan,dokternya ramah penjelasannya juga jelas dan hasilnya sangat memuaskan,dokternya ramah penjelasannya jelas hasilnya memuaskan,Pelayanan,Positif,0.9948
