Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Lainnya,Dynasty Water Park,4.3,3104,Irma Nurmala Sari,5,2026-07-17T02:41:08.917Z,"Dekat rumah, akses gampang, parkiran banyak. Kalo mau ga terlalu rame datangnya pagi pas awal buka. Jadi masih ga terlalu crowded.",dekat rumah akses gampang parkiran banyak kalo mau ga terlalu rame datangnya pagi pas awal buka jadi masih ga terlalu crowded,dekat rumah akses gampang parkiran banyak kalo mau tidak terlalu rame datangnya pagi pas awal buka jadi masih tidak terlalu crowded,dekat rumah akses gampang parkiran banyak kalo mau terlalu rame datangnya pagi pas awal buka jadi terlalu crowded,Fasilitas,Negatif,0.8379
Lainnya,Dynasty Water Park,4.3,3104,azzahraa,2,2026-07-11T02:51:45.233Z,"satpam dll ramah, tetapi kasir bagian kantin tidak, saya beli makanan dan gadikasih struk malah dibingungin katanya belum bayar dll padahal jelas” belum ada beberapa menit saya tinggal dan balik lagi mau ambil tolong lebih ditegaskan lagi kenapa malah customer yang dimarahin seakan kita bohong",satpam dll ramah tetapi kasir bagian kantin tidak saya beli makanan dan gadikasih struk malah dibingungin katanya belum bayar dll padahal jelas belum ada beberapa menit saya tinggal dan balik lagi mau ambil tolong lebih ditegaskan lagi kenapa malah customer yang dimarahin seakan kita bohong,satpam dll ramah tetapi kasir bagian kantin tidak saya beli makanan dan gadikasih struk malah dibingungin katanya belum bayar dll padahal jelas belum ada beberapa menit saya tinggal dan balik lagi mau ambil tolong lebih ditegaskan lagi kenapa malah customer yang dimarahin seakan kita bohong,satpam dll ramah kasir bagian kantin beli makanan gadikasih struk malah dibingungin katanya bayar dll padahal jelas beberapa menit tinggal balik mau ambil tolong ditegaskan kenapa malah customer dimarahin seakan bohong,Pelayanan,Positif,0.995
Lainnya,Dynasty Water Park,4.3,3104,Arif Prasetyo (Arifdinamo),5,2026-07-07T22:27:58.500Z,Bagus standart nasional,bagus standart nasional,bagus standart nasional,bagus standart nasional,Lainnya,Negatif,0.993
Lainnya,Dynasty Water Park,4.3,3104,Eko Purnomo,5,2026-07-05T03:34:40.978Z,nice,nice,nice,nice,Lainnya,Negatif,0.9923
Lainnya,Dynasty Water Park,4.3,3104,Robymas,4,2026-07-04T05:07:02.057Z,"saya berkunjung tgl 4 juli 2026 dan belanja minum air putih di Dynasty Minimarket tanpa di kasih struk belanja. yang jaga awalnya ramah, tiba tiba judes sekali saat saya bilang ada tulisan ""transaksi anda gratis kalau tidak di beri struk"" langsung ngomong ""kan onok seng gupuh dadi gak atek struk"" padahal ya sepi yang belanja saya aja  tapi untuk kolam renangnya dan wahana airnya lumayan lah harga 25rb kalau hari biasa, 30rb kalau lagi libur panjang. kalau kotor bersihnya wajar aja coba ke wahana air di malang atau batu dengan harga 100k ya sama aja kotor bersihnya",saya berkunjung tgl juli dan belanja minum air putih di dynasty minimarket tanpa di kasih struk belanja yang jaga awalnya ramah tiba tiba judes sekali saat saya bilang ada tulisan transaksi anda gratis kalau tidak di beri struk langsung ngomong kan onok seng gupuh dadi gak atek struk padahal ya sepi yang belanja saya aja tapi untuk kolam renangnya dan wahana airnya lumayan lah harga 25rb kalau hari biasa 30rb kalau lagi libur panjang kalau kotor bersihnya wajar aja coba ke wahana air di malang atau batu dengan harga 100k ya sama aja kotor bersihnya,saya berkunjung tgl juli dan belanja minum air putih di dynasty minimarket tanpa di kasih struk belanja yang jaga awalnya ramah tiba tiba judes sekali saat saya bilang ada tulisan transaksi anda gratis kalau tidak di beri struk langsung ngomong kan onok seng gupuh dadi tidak atek struk padahal ya sepi yang belanja saya aja tapi untuk kolam renangnya dan wahana airnya lumayan lah harga 25rb kalau hari biasa 30rb kalau lagi libur panjang kalau kotor bersihnya wajar aja coba ke wahana air di malang atau batu dengan harga 100k ya sama aja kotor bersihnya,berkunjung tgl juli belanja minum air putih dynasty minimarket tanpa kasih struk belanja jaga awalnya ramah tiba tiba judes bilang tulisan transaksi gratis beri struk langsung ngomong kan onok seng gupuh dadi atek struk padahal ya sepi belanja aja kolam renangnya wahana airnya lumayan harga 25rb hari biasa 30rb libur panjang kotor bersihnya wajar aja coba wahana air malang batu harga 100k ya sama aja kotor bersihnya,Pelayanan,Positif,0.9706
Lainnya,Dynasty Water Park,4.3,3104,Wahyu Nur Wijayanto,4,2026-06-23T10:45:02.493Z,Mungkin diberi kelonggaran untuk membawa makanan dari luar,mungkin diberi kelonggaran untuk membawa makanan dari luar,mungkin diberi kelonggaran untuk membawa makanan dari luar,mungkin diberi kelonggaran membawa makanan luar,Lainnya,Netral,0.9496
Lainnya,Dynasty Water Park,4.3,3104,Rohas Pablo,2,2026-06-12T04:50:31.860Z,"Ticket nya terlalu mahal, masak anak umur 2th kenak ticket 25rb (normal)",ticket nya terlalu mahal masak anak umur 2th kenak ticket 25rb normal,ticket nya terlalu mahal masak anak umur 2th kenak ticket 25rb normal,ticket terlalu mahal masak anak umur 2th kenak ticket 25rb normal,Lainnya,Positif,0.9947
Lainnya,Dynasty Water Park,4.3,3104,Pak Yan,2,2026-06-11T01:57:06.281Z,"Seharusnya jam buka loket dengan jam buka pintu kolamnya didahulukan jam loketnya dulu ,",seharusnya jam buka loket dengan jam buka pintu kolamnya didahulukan jam loketnya dulu,seharusnya jam buka loket dengan jam buka pintu kolamnya didahulukan jam loketnya dulu,seharusnya jam buka loket jam buka pintu kolamnya didahulukan jam loketnya dulu,Pelayanan,Netral,0.9938
Lainnya,Dynasty Water Park,4.3,3104,Yuning Meiriati,4,2026-06-06T08:11:52.294Z,"kolam ny sangat kotor banyak daun2 jatuh dah tangga untuk bermain prosotan sdh karatan, kebersihan ny tolong ditingkatkan",kolam ny sangat kotor banyak daun2 jatuh dah tangga untuk bermain prosotan sdh karatan kebersihan ny tolong ditingkatkan,kolam ny sangat kotor banyak daun2 jatuh dah tangga untuk bermain prosotan sudah karatan kebersihan ny tolong ditingkatkan,kolam ny kotor banyak daun2 jatuh dah tangga bermain prosotan karatan kebersihan ny tolong ditingkatkan,Fasilitas,Positif,0.9976
Lainnya,Dynasty Water Park,4.3,3104,Nadya Putri,1,2026-06-03T03:45:23.856Z,Sangat mengecewakan! Masa gaboleh bawa makanan. Sekelas JP aja boleh kok. Maksutnya gaboleh bawa makanan itu apa sedangkan klo beli di dalam di bebaskan kan sama² bikin sampah. Saya bawa cemilan buat anak saya yg bayi juga gaboleh di bawa. Pdhl bukan nasi cuma cemilan. Tolong di perbaiki klo bikin peraturan! Harusnya camilan buat bayi di perbolehkan,sangat mengecewakan masa gaboleh bawa makanan sekelas jp aja boleh kok maksutnya gaboleh bawa makanan itu apa sedangkan klo beli di dalam di bebaskan kan sama bikin sampah saya bawa cemilan buat anak saya yg bayi juga gaboleh di bawa pdhl bukan nasi cuma cemilan tolong di perbaiki klo bikin peraturan harusnya camilan buat bayi di perbolehkan,sangat mengecewakan masa gaboleh bawa makanan sekelas jp aja boleh kok maksutnya gaboleh bawa makanan itu apa sedangkan kalau beli di dalam di bebaskan kan sama bikin sampah saya bawa cemilan buat anak saya yang bayi juga gaboleh di bawa pdhl bukan nasi cuma cemilan tolong di perbaiki kalau bikin peraturan harusnya camilan buat bayi di perbolehkan,mengecewakan masa gaboleh bawa makanan sekelas jp aja boleh kok maksutnya gaboleh bawa makanan apa sedangkan beli bebaskan kan sama bikin sampah bawa cemilan buat anak bayi gaboleh bawa pdhl bukan nasi cuma cemilan tolong perbaiki bikin peraturan harusnya camilan buat bayi perbolehkan,Lainnya,Positif,0.9933
