Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Lainnya,Exotic Mengare,4.5,335,Hadi Mulya,5,2026-06-17T02:46:12.248Z,Masjidnya bersih,masjidnya bersih,masjidnya bersih,masjidnya bersih,Fasilitas,Negatif,0.9965
Lainnya,Exotic Mengare,4.5,335,Vie erliana,5,2026-03-24T03:02:51.531Z,Bagus..,bagus,bagus,bagus,Lainnya,Negatif,0.9961
Lainnya,Exotic Mengare,4.5,335,Don Jimmy,1,2025-11-09T06:21:32.289Z,Tempat bagus sayang pemda setempat tidak memperhatikan,tempat bagus sayang pemda setempat tidak memperhatikan,tempat bagus sayang pemda setempat tidak memperhatikan,tempat bagus sayang pemda setempat memperhatikan,Lainnya,Negatif,0.9895
Lainnya,Exotic Mengare,4.5,335,dino tin,5,2025-10-05T09:58:43.206Z,"tempat membuka tabir pencerahan di mana saya hamba Allah yg dulu nya merasa paling dekat dgn Allah setelah sering berkunjung ke tempat makam mbah kanjeng sunan ampel , hamba ini merasa  masih paling banyak dosa - dosa yg hamba perbuat . tempat yg penuh banyak karomah nya . karena ada makam wali Allah yg sangat mulia . mudah""an jenengan sedoyo bila ke sana mengalami spiritual yg sama . amin 🤲",tempat membuka tabir pencerahan di mana saya hamba allah yg dulu nya merasa paling dekat dgn allah setelah sering berkunjung ke tempat makam mbah kanjeng sunan ampel hamba ini merasa masih paling banyak dosa dosa yg hamba perbuat tempat yg penuh banyak karomah nya karena ada makam wali allah yg sangat mulia mudah an jenengan sedoyo bila ke sana mengalami spiritual yg sama amin,tempat membuka tabir pencerahan di mana saya hamba allah yang dulu nya merasa paling dekat dengan allah setelah sering berkunjung ke tempat makam mbah kanjeng sunan ampel hamba ini merasa masih paling banyak dosa dosa yang hamba perbuat tempat yang penuh banyak karomah nya karena ada makam wali allah yang sangat mulia mudah an jenengan sedoyo bila ke sana mengalami spiritual yang sama amin,tempat membuka tabir pencerahan mana hamba allah dulu merasa paling dekat allah sering berkunjung tempat makam mbah kanjeng sunan ampel hamba merasa paling banyak dosa dosa hamba perbuat tempat penuh banyak karomah makam wali allah mulia mudah an jenengan sedoyo bila sana mengalami spiritual sama amin,Lainnya,Negatif,0.9261
Lainnya,Exotic Mengare,4.5,335,Aneh Beneran,5,2025-07-30T11:24:10.399Z,Tempat nya bagus,tempat nya bagus,tempat nya bagus,tempat bagus,Lainnya,Negatif,0.9964
Lainnya,Exotic Mengare,4.5,335,Muhammad Munir,5,2025-03-14T17:47:41.115Z,Menyenangkan,menyenangkan,menyenangkan,menyenangkan,Lainnya,Negatif,0.997
Lainnya,Exotic Mengare,4.5,335,musa paradisia,5,2024-10-16T02:07:26.013Z,Mancing kakap putih disini,mancing kakap putih disini,mancing kakap putih disini,mancing kakap putih disini,Lainnya,Netral,0.8527
Lainnya,Exotic Mengare,4.5,335,Fadhil Pratama,5,2024-03-09T23:01:06.371Z,Liburan mantab,liburan mantab,liburan mantab,liburan mantab,Lainnya,Negatif,0.9962
Lainnya,Exotic Mengare,4.5,335,Adit Ryan Ispryanto,5,2023-12-25T14:56:08.665Z,Keren suasananya klo mlm,keren suasananya klo mlm,bagus suasananya kalau mlm,bagus suasananya mlm,Lainnya,Negatif,0.9968
Lainnya,Exotic Mengare,4.5,335,Roti Canai Cemoro 89,5,2023-11-18T15:50:43.655Z,bagus tempatnya,bagus tempatnya,bagus tempatnya,bagus tempatnya,Lainnya,Negatif,0.9974
Lainnya,Exotic Mengare,4.5,335,LA Media Cipta,5,2023-05-27T05:01:58.950Z,"Bener bener exotic, hanya dengan 30rb bisa naik armada penyebrangan PP & menikmati adventure keliling pulau...",bener bener exotic hanya dengan 30rb bisa naik armada penyebrangan pp menikmati adventure keliling pulau,bener bener exotic hanya dengan 30rb bisa naik armada penyebrangan pp menikmati adventure keliling pulau,bener bener exotic hanya 30rb naik armada penyebrangan pp menikmati adventure keliling pulau,Administrasi,Negatif,0.9921
Lainnya,Exotic Mengare,4.5,335,abu bakar,5,2023-05-22T08:57:20.512Z,Tempat mancing dan heling,tempat mancing dan heling,tempat mancing dan heling,tempat mancing heling,Lainnya,Negatif,0.9021
