Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Klinik & Praktek Dokter,FAN VET PETCARE - drh Firda Anjar Sari,4.9,86,Martina Astawiyani,5,2026-02-13T12:34:50.391Z,"Dokter langganan anabul di rumah😁, tangan Drh Firda kek ajaib banget gitu, semua kucingku kalau sakit cocok banget, sembuhnya cepet. Salam sayang dari momon, piko, pawla, mochi, boy, snowy, donat, pizza, chika, choco, oyen ( sudah rip) 😁",dokter langganan anabul di rumah tangan drh firda kek ajaib banget gitu semua kucingku kalau sakit cocok banget sembuhnya cepet salam sayang dari momon piko pawla mochi boy snowy donat pizza chika choco oyen sudah rip,dokter langganan anabul di rumah tangan drh firda kek ajaib banget gitu semua kucingku kalau sakit cocok banget sembuhnya cepet salam sayang dari momon piko pawla mochi boy snowy donat pizza chika choco oyen sudah rip,dokter langganan anabul rumah tangan drh firda kek ajaib banget gitu semua kucingku sakit cocok banget sembuhnya cepet salam sayang momon piko pawla mochi boy snowy donat pizza chika choco oyen rip,Kesehatan,Positif,0.9887
Kesehatan,Klinik & Praktek Dokter,FAN VET PETCARE - drh Firda Anjar Sari,4.9,86,Rain Back,4,2026-01-04T01:58:03.844Z,Tempat Miu nge kost biasanya kalo ditinggal Dinas luar,tempat miu nge kost biasanya kalo ditinggal dinas luar,tempat miu nge kost biasanya kalo ditinggal dinas luar,tempat miu nge kost biasanya kalo ditinggal dinas luar,Lainnya,Netral,0.6718
Kesehatan,Klinik & Praktek Dokter,FAN VET PETCARE - drh Firda Anjar Sari,4.9,86,Tariza Aprilia,5,2025-11-07T08:18:53.458Z,"Dokternya super duper ramah, pelayanannya bagus banget. Alhamdulillah kucingnya sudah sangat membaik setelah rawat inap kurang lebih 3 harian. Semua jenis royal canin yg dibutuhin buat recovery ada lengkap banget. Harganya masih terjangkau semua, sangat worth it dengan pelayanan yg diberikan. Jasa yg ditawarkan juga banyak banget, bisa jemput ke rumah juga. Terimakasih banyak buat drh. Firda dan asistennya, semoga sehat terus😊",dokternya super duper ramah pelayanannya bagus banget alhamdulillah kucingnya sudah sangat membaik setelah rawat inap kurang lebih harian semua jenis royal canin yg dibutuhin buat recovery ada lengkap banget harganya masih terjangkau semua sangat worth it dengan pelayanan yg diberikan jasa yg ditawarkan juga banyak banget bisa jemput ke rumah juga terimakasih banyak buat drh firda dan asistennya semoga sehat terus,dokternya super duper ramah pelayanannya bagus banget alhamdulillah kucingnya sudah sangat membaik setelah rawat inap kurang lebih harian semua jenis royal canin yang dibutuhin buat recovery ada lengkap banget harganya masih terjangkau semua sangat worth it dengan pelayanan yang diberikan jasa yang ditawarkan juga banyak banget bisa jemput ke rumah juga terimakasih banyak buat drh firda dan asistennya semoga sehat terus,dokternya super duper ramah pelayanannya bagus banget alhamdulillah kucingnya membaik rawat inap kurang harian semua jenis royal canin dibutuhin buat recovery lengkap banget harganya terjangkau semua worth it pelayanan diberikan jasa ditawarkan banyak banget jemput rumah terimakasih banyak buat drh firda asistennya semoga sehat terus,Pelayanan,Positif,0.9964
Kesehatan,Klinik & Praktek Dokter,FAN VET PETCARE - drh Firda Anjar Sari,4.9,86,yusni taufiqi,5,2025-09-27T05:00:24.696Z,Pelayanan bagus,pelayanan bagus,pelayanan bagus,pelayanan bagus,Pelayanan,Positif,0.9969
Kesehatan,Klinik & Praktek Dokter,FAN VET PETCARE - drh Firda Anjar Sari,4.9,86,Sulis Suliyawati,5,2025-09-27T03:23:35.968Z,Pelayanan ramah dan bisa antar jemput Tempat bagus Perawatan dokter ok,pelayanan ramah dan bisa antar jemput tempat bagus perawatan dokter ok,pelayanan ramah dan bisa antar jemput tempat bagus perawatan dokter oke,pelayanan ramah antar jemput tempat bagus perawatan dokter oke,Pelayanan,Positif,0.996
Kesehatan,Klinik & Praktek Dokter,FAN VET PETCARE - drh Firda Anjar Sari,4.9,86,deny aryati,5,2025-09-27T02:51:28.521Z,"Dokter nya ramah, care. Petshopnya menjual berbagai macam pakan kucing, lokasi praktek dokter hewan dan petshopnya ini sangat mudah ditemukan karena posisi persis di pinggir jalan. 👍👍",dokter nya ramah care petshopnya menjual berbagai macam pakan kucing lokasi praktek dokter hewan dan petshopnya ini sangat mudah ditemukan karena posisi persis di pinggir jalan,dokter nya ramah care petshopnya menjual berbagai macam pakan kucing lokasi praktek dokter hewan dan petshopnya ini sangat mudah ditemukan karena posisi persis di pinggir jalan,dokter ramah care petshopnya menjual berbagai macam pakan kucing lokasi praktek dokter hewan petshopnya mudah ditemukan posisi persis pinggir jalan,Pelayanan,Positif,0.9731
Kesehatan,Klinik & Praktek Dokter,FAN VET PETCARE - drh Firda Anjar Sari,4.9,86,Viola Rifilia,5,2025-09-27T02:19:24.220Z,"Dokternya ramah, pelayanannya juga bagus sekali. Terima kasih dokter firda",dokternya ramah pelayanannya juga bagus sekali terima kasih dokter firda,dokternya ramah pelayanannya juga bagus sekali terima kasih dokter firda,dokternya ramah pelayanannya bagus terima kasih dokter firda,Pelayanan,Positif,0.9939
Kesehatan,Klinik & Praktek Dokter,FAN VET PETCARE - drh Firda Anjar Sari,4.9,86,Anggy DM,5,2025-09-26T01:52:48.974Z,"Dokternya ramah, tempat nyaman 👍👍👍",dokternya ramah tempat nyaman,dokternya ramah tempat nyaman,dokternya ramah tempat nyaman,Pelayanan,Positif,0.9961
Kesehatan,Klinik & Praktek Dokter,FAN VET PETCARE - drh Firda Anjar Sari,4.9,86,andre Sidoarjo,5,2025-06-25T09:08:33.222Z,Karena blm pernah jdi saya. Blm tau juga tapi karena rating nya dan karena dokter Firda ramah. Jdi saya. Bakal kesana nanti,karena blm pernah jdi saya blm tau juga tapi karena rating nya dan karena dokter firda ramah jdi saya bakal kesana nanti,karena belum pernah jdi saya belum tau juga tapi karena rating nya dan karena dokter firda ramah jdi saya bakal kesana nanti,pernah jdi tau rating dokter firda ramah jdi bakal kesana nanti,Pelayanan,Positif,0.8063
Kesehatan,Klinik & Praktek Dokter,FAN VET PETCARE - drh Firda Anjar Sari,4.9,86,Bayu,3,2025-01-12T06:35:13.051Z,"Tempatnya bersih, lengkap. Tapi ini kecewa beli dry food, ditanya di tempat mbak ini yang 800 gram ya? Dijawab yang 1 kg mas. Pas sampai rumah kok cuman 800gram. Emang beda 200 gram, Beda 4-5k kalau saya beli 5 bungkus apa ga rugi 20k lebih saya.",tempatnya bersih lengkap tapi ini kecewa beli dry food ditanya di tempat mbak ini yang gram ya dijawab yang kg mas pas sampai rumah kok cuman 800gram emang beda gram beda 5k kalau saya beli bungkus apa ga rugi 20k lebih saya,tempatnya bersih lengkap tapi ini kecewa beli dry food ditanya di tempat mbak ini yang gram ya dijawab yang kg mas pas sampai rumah kok cuman 800gram emang beda gram beda 5k kalau saya beli bungkus apa tidak rugi 20k lebih saya,tempatnya bersih lengkap kecewa beli dry food ditanya tempat mbak gram ya dijawab kg mas pas sampai rumah kok cuman 800gram emang beda gram beda 5k beli bungkus apa rugi 20k,Fasilitas,Positif,0.9938
