Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Lainnya,Gedung Olahraga Sidayu,4.1,132,Aruf Nia,5,2023-09-02T02:55:07.058Z,Bagus kualitas futsal tapi harus bersih lantai,bagus kualitas futsal tapi harus bersih lantai,bagus kualitas futsal tapi harus bersih lantai,bagus kualitas futsal harus bersih lantai,Fasilitas,Positif,0.6561
Lainnya,Gedung Olahraga Sidayu,4.1,132,Dony Wijaya,5,2023-08-03T07:50:21.442Z,"Lumayan bagus, murah, ada toilet.",lumayan bagus murah ada toilet,lumayan bagus murah ada toilet,lumayan bagus murah toilet,Fasilitas,Negatif,0.9945
Lainnya,Gedung Olahraga Sidayu,4.1,132,Miqdad Ajah,5,2023-02-09T07:43:16.132Z,Lumayan lah.... Murah...,lumayan lah murah,lumayan lah murah,lumayan murah,Lainnya,Negatif,0.9954
Lainnya,Gedung Olahraga Sidayu,4.1,132,Lutfi Mahendra,5,2023-01-10T12:02:38.861Z,Menarik. Tempatnya luas.,menarik tempatnya luas,menarik tempatnya luas,menarik tempatnya luas,Lainnya,Negatif,0.9973
Lainnya,Gedung Olahraga Sidayu,4.1,132,abu2 tms,5,2021-08-29T07:12:09.432Z,Luas dan adem,luas dan adem,luas dan adem,luas adem,Lainnya,Negatif,0.9963
Lainnya,Gedung Olahraga Sidayu,4.1,132,Ataniya fitri2,4,2021-02-06T03:08:59.933Z,"Di sekitar gedung terdapat arena bermain anak seperti perosotan, dulu ada ayunan tapi tidak dirawat dengan baik. Saat sore ada persewaan mobil-mobilan atau motor-motoran untuk anak anak. Kebersihan di luar gedung kurang terawat, banyak sampah daun dan plastik yang berserakan. Ada petugas kebersihan tapi sepertinya tidak setiap hari membersihkan sampah.",di sekitar gedung terdapat arena bermain anak seperti perosotan dulu ada ayunan tapi tidak dirawat dengan baik saat sore ada persewaan mobil mobilan atau motor motoran untuk anak anak kebersihan di luar gedung kurang terawat banyak sampah daun dan plastik yang berserakan ada petugas kebersihan tapi sepertinya tidak setiap hari membersihkan sampah,di sekitar gedung terdapat arena bermain anak seperti perosotan dulu ada ayunan tapi tidak dirawat dengan baik saat sore ada persewaan mobil mobilan atau motor motoran untuk anak anak kebersihan di luar gedung kurang terawat banyak sampah daun dan plastik yang berserakan ada petugas kebersihan tapi sepertinya tidak setiap hari membersihkan sampah,sekitar gedung terdapat arena bermain anak seperti perosotan dulu ayunan dirawat baik sore persewaan mobil mobilan motor motoran anak anak kebersihan luar gedung kurang terawat banyak sampah daun plastik berserakan petugas kebersihan sepertinya setiap hari membersihkan sampah,Pelayanan,Positif,0.7657
Lainnya,Gedung Olahraga Sidayu,4.1,132,Qurrota Ainyn,3,2021-02-01T07:29:04.492Z,Banyak fasilitas yang tersedia sudah tak layak pakai. Beberapa alat untuk bermain anak sudah rusak. Kelebihannya tempat ini rindang dan teduh meskipun banyak sampah dedaunan dan beberapa sampah anorganik. Sore hari di sekitar GOR ada penyewaan mobil-mobilan dan sepeda motor untuk balita,banyak fasilitas yang tersedia sudah tak layak pakai beberapa alat untuk bermain anak sudah rusak kelebihannya tempat ini rindang dan teduh meskipun banyak sampah dedaunan dan beberapa sampah anorganik sore hari di sekitar gor ada penyewaan mobil mobilan dan sepeda motor untuk balita,banyak fasilitas yang tersedia sudah tak layak pakai beberapa alat untuk bermain anak sudah rusak kelebihannya tempat ini rindang dan teduh meskipun banyak sampah dedaunan dan beberapa sampah anorganik sore hari di sekitar gor ada penyewaan mobil mobilan dan sepeda motor untuk balita,banyak fasilitas tersedia tak layak pakai beberapa alat bermain anak rusak kelebihannya tempat rindang teduh meskipun banyak sampah dedaunan beberapa sampah anorganik sore hari sekitar gor penyewaan mobil mobilan sepeda motor balita,Fasilitas,Positif,0.8635
Lainnya,Gedung Olahraga Sidayu,4.1,132,Rifqi taufiq14,3,2019-12-29T08:37:51.611Z,Mari kita jaga GOR ini bersama-sama minimal buang sampah pada tempatnya,mari kita jaga gor ini bersama sama minimal buang sampah pada tempatnya,mari kita jaga gor ini bersama sama minimal buang sampah pada tempatnya,mari jaga gor bersama sama minimal buang sampah tempatnya,Lainnya,Positif,0.9767
Lainnya,Gedung Olahraga Sidayu,4.1,132,zumaroh luluk,5,2019-12-14T10:30:10.155Z,"Tempatnya yang strategis menjadikan gedung ini multi fungsi, di samping sebagai Gedung Olah Raga juga kadang di gunakan resepsi, tempat lomba dan lainnya",tempatnya yang strategis menjadikan gedung ini multi fungsi di samping sebagai gedung olah raga juga kadang di gunakan resepsi tempat lomba dan lainnya,tempatnya yang strategis menjadikan gedung ini multi fungsi di samping sebagai gedung olah raga juga kadang di gunakan resepsi tempat lomba dan lainnya,tempatnya strategis menjadikan gedung multi fungsi samping sebagai gedung olah raga kadang gunakan resepsi tempat lomba lainnya,Fasilitas,Negatif,0.9937
Lainnya,Gedung Olahraga Sidayu,4.1,132,Syafik Noer,4,2019-12-02T11:00:17.441Z,"Gedung ini tidak terlalu baik, biasa saja secara bangunan dan arsitektur kurang indah perawatan kurang, sangat minim ruangan, ventilasi udara kurang... tapi cukup luas untuk kegiatan yg butuh mendatangkan banyak orang seperti lomba atau lainnya",gedung ini tidak terlalu baik biasa saja secara bangunan dan arsitektur kurang indah perawatan kurang sangat minim ruangan ventilasi udara kurang tapi cukup luas untuk kegiatan yg butuh mendatangkan banyak orang seperti lomba atau lainnya,gedung ini tidak terlalu baik biasa saja secara bangunan dan arsitektur kurang indah perawatan kurang sangat minim ruangan ventilasi udara kurang tapi cukup luas untuk kegiatan yang butuh mendatangkan banyak orang seperti lomba atau lainnya,gedung terlalu baik biasa saja secara bangunan arsitektur kurang indah perawatan kurang minim ruangan ventilasi udara kurang cukup luas kegiatan butuh mendatangkan banyak orang seperti lomba lainnya,Fasilitas,Positif,0.9799
Lainnya,Gedung Olahraga Sidayu,4.1,132,Arif Taslim,3,2019-12-01T01:50:50.322Z,"Kurang perawatan, terutama bagian luar",kurang perawatan terutama bagian luar,kurang perawatan terutama bagian luar,kurang perawatan terutama bagian luar,Kesehatan,Positif,0.9943
