Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,Kelurahan/Desa,Gerbang TOL Kebomas,4.7,129,Indonesia 1997,1,2026-08-04T13:23:35.306Z,🏍yamaha r15v2 ✅  🛵Revo 100cc❌,yamaha r15v2 revo 100cc,yamaha r15v2 revo 100cc,yamaha r15v2 revo 100cc,Lainnya,Netral,0.9908
Pemerintahan,Kelurahan/Desa,Gerbang TOL Kebomas,4.7,129,Iqbal Firmansyah,5,2026-08-01T09:39:11.235Z,Sangat puas,sangat puas,sangat puas,puas,Lainnya,Positif,0.9965
Pemerintahan,Kelurahan/Desa,Gerbang TOL Kebomas,4.7,129,Rizquna Laila,5,2026-07-28T10:35:19.955Z,saya lewatin trus,saya lewatin trus,saya lewatin trus,lewatin trus,Lainnya,Positif,0.9461
Pemerintahan,Kelurahan/Desa,Gerbang TOL Kebomas,4.7,129,Sabdo Kalam,5,2026-07-02T02:38:11.322Z,Ada penyempitan bottle neck,ada penyempitan bottle neck,ada penyempitan bottle neck,penyempitan bottle neck,Lainnya,Netral,0.7928
Pemerintahan,Kelurahan/Desa,Gerbang TOL Kebomas,4.7,129,Ranggasakti Official,1,2026-06-27T06:59:15.471Z,"Gimana nih jasa marga. Masak exit tol gak di sediakan tempat top up. Dan minta tolong ke petugas kaya di persulit. QR gabisa, cash, debit pun gabisa. Payah",gimana nih jasa marga masak exit tol gak di sediakan tempat top up dan minta tolong ke petugas kaya di persulit qr gabisa cash debit pun gabisa payah,gimana nih jasa marga masak exit tol tidak di sediakan tempat top up dan minta tolong ke petugas kaya di persulit qr gabisa cash debit pun gabisa payah,gimana nih jasa marga masak exit tol sediakan tempat top up minta tolong petugas kaya persulit qr gabisa cash debit gabisa payah,Pelayanan,Negatif,0.9805
Pemerintahan,Kelurahan/Desa,Gerbang TOL Kebomas,4.7,129,eko sutopo,5,2026-06-27T00:19:36.397Z,Enak mempermudah akses tujuan bandara juanda,enak mempermudah akses tujuan bandara juanda,enak mempermudah akses tujuan bandara juanda,enak mempermudah akses tujuan bandara juanda,Infrastruktur,Positif,0.9968
Pemerintahan,Kelurahan/Desa,Gerbang TOL Kebomas,4.7,129,Sutik yes,4,2026-06-25T10:02:05.525Z,Iya tetap lancar aman dan nyaman,iya tetap lancar aman dan nyaman,iya tetap lancar aman dan nyaman,iya tetap lancar aman nyaman,Fasilitas,Positif,0.9818
Pemerintahan,Kelurahan/Desa,Gerbang TOL Kebomas,4.7,129,Hairul anwar,1,2026-06-24T10:13:18.140Z,Mudah dicari dg google map,mudah dicari dg google map,mudah dicari dengan google map,mudah dicari google map,Lainnya,Negatif,0.9242
Pemerintahan,Kelurahan/Desa,Gerbang TOL Kebomas,4.7,129,endra Sasmita,5,2026-06-04T12:28:38.608Z,Sangat membantu,sangat membantu,sangat membantu,membantu,Lainnya,Positif,0.9882
Pemerintahan,Kelurahan/Desa,Gerbang TOL Kebomas,4.7,129,Ade sofandie,5,2026-05-15T00:41:23.872Z,"Pelayanannya sungguh ramah. Saya berkendala mobil saya  ke habisan solar di km 15 tol kebomas keluar arah pintu tol Cerme. Terimakaaih pelayanan nya cepat, saya di bantu di belikan bbm. Saya lupa foto tapi buat petugas  nya sehat selalu lancar rezeki nya....    Aamiin.",pelayanannya sungguh ramah saya berkendala mobil saya ke habisan solar di km tol kebomas keluar arah pintu tol cerme terimakaaih pelayanan nya cepat saya di bantu di belikan bbm saya lupa foto tapi buat petugas nya sehat selalu lancar rezeki nya aamiin,pelayanannya sungguh ramah saya berkendala mobil saya ke habisan solar di km tol kebomas keluar arah pintu tol cerme terimakaaih pelayanan nya cepat saya di bantu di belikan bbm saya lupa foto tapi buat petugas nya sehat selalu lancar rezeki nya aamiin,pelayanannya sungguh ramah berkendala mobil habisan solar km tol kebomas keluar arah pintu tol cerme terimakaaih pelayanan cepat bantu belikan bbm lupa foto buat petugas sehat selalu lancar rezeki aamiin,Pelayanan,Positif,0.9565
Pemerintahan,Kelurahan/Desa,Gerbang TOL Kebomas,4.7,129,singo mfc,5,2026-04-28T07:56:41.900Z,Baik,baik,baik,baik,Lainnya,Positif,0.9844
Pemerintahan,Kelurahan/Desa,Gerbang TOL Kebomas,4.7,129,Titik Ernawati,5,2026-04-21T08:18:40.239Z,Sering macet disini,sering macet disini,sering macet disini,sering macet disini,Fasilitas,Positif,0.9947
