Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Lainnya,GOR JUNI JAYA SPORT,4.5,88,Doraemon Pikatchu,1,2025-09-13T14:25:07.149Z,Berisik banget,berisik banget,berisik banget,berisik banget,Lainnya,Negatif,0.9981
Lainnya,GOR JUNI JAYA SPORT,4.5,88,Bagus Setyawan,5,2024-11-04T09:15:52.355Z,tempat latihan badminton setelah kerja lapangan bagus dan terjangkau,tempat latihan badminton setelah kerja lapangan bagus dan terjangkau,tempat latihan badminton setelah kerja lapangan bagus dan terjangkau,tempat latihan badminton kerja lapangan bagus terjangkau,Lainnya,Positif,0.9968
Lainnya,GOR JUNI JAYA SPORT,4.5,88,Joko Pras,5,2024-09-29T00:51:34.399Z,Lantai lapangan gak licin👍,lantai lapangan gak licin,lantai lapangan tidak licin,lantai lapangan licin,Lainnya,Positif,0.9972
Lainnya,GOR JUNI JAYA SPORT,4.5,88,nur ulil khobilah,5,2024-05-14T00:11:08.959Z,Bagus,bagus,bagus,bagus,Lainnya,Positif,0.9961
Lainnya,GOR JUNI JAYA SPORT,4.5,88,Tiara,4,2024-02-25T03:37:46.208Z,"Harga tergolong murah untuk sewa per-jam nya, namun lokasi tidak strategis dan sempat nyasar ke kuburan. Jam setelah maghrib-menjelang tengah malam ramai, dan yang antri untuk booking jam selanjutnya juga menunggu didalam jadi hawa terasa sesak dan panas bercampur bau keringat",harga tergolong murah untuk sewa per jam nya namun lokasi tidak strategis dan sempat nyasar ke kuburan jam setelah maghrib menjelang tengah malam ramai dan yang antri untuk booking jam selanjutnya juga menunggu didalam jadi hawa terasa sesak dan panas bercampur bau keringat,harga tergolong murah untuk sewa per jam nya namun lokasi tidak strategis dan sempat nyasar ke kuburan jam setelah maghrib menjelang tengah malam ramai dan yang antrian untuk booking jam selanjutnya juga menunggu didalam jadi hawa terasa sesak dan panas bercampur bau keringat,harga tergolong murah sewa per jam lokasi strategis sempat nyasar kuburan jam maghrib menjelang tengah malam ramai antrian booking jam selanjutnya menunggu didalam jadi hawa terasa sesak panas bercampur bau keringat,Pelayanan,Positif,0.995
Lainnya,GOR JUNI JAYA SPORT,4.5,88,Bagas Ryandia Ardi Saputra,5,2024-02-25T03:28:04.367Z,review jujur dari pengalaman saya : - terdapat 3 lapangan - sewa lapangan harga 25 ribu per jamnya - kondisi lapangan bagus dan terawat - disini menyediakan makanan dan minuman - menjual kok juga apabila tidak punya kok,review jujur dari pengalaman saya terdapat lapangan sewa lapangan harga ribu per jamnya kondisi lapangan bagus dan terawat disini menyediakan makanan dan minuman menjual kok juga apabila tidak punya kok,review jujur dari pengalaman saya terdapat lapangan sewa lapangan harga ribu per jamnya kondisi lapangan bagus dan terawat disini menyediakan makanan dan minuman menjual kok juga apabila tidak punya kok,review jujur pengalaman terdapat lapangan sewa lapangan harga ribu per jamnya kondisi lapangan bagus terawat disini menyediakan makanan minuman menjual kok apabila punya kok,Kesehatan,Positif,0.9958
Lainnya,GOR JUNI JAYA SPORT,4.5,88,Erlina Indriyani,5,2024-02-24T04:32:36.051Z,"GOR Bulutangkis yang luas. Terdapat tiga lapangan. Bisa digunakan partneran sama teman-teman untuk ikhtiar sehat. Perjamnya cuma 25k. Snack dan air mineral juga tersedia, harga juga sama seperti di toko.",gor bulutangkis yang luas terdapat tiga lapangan bisa digunakan partneran sama teman teman untuk ikhtiar sehat perjamnya cuma 25k snack dan air mineral juga tersedia harga juga sama seperti di toko,gor bulutangkis yang luas terdapat tiga lapangan bisa digunakan partneran sama teman teman untuk ikhtiar sehat perjamnya cuma 25k snack dan air mineral juga tersedia harga juga sama seperti di toko,gor bulutangkis luas terdapat tiga lapangan digunakan partneran sama teman teman ikhtiar sehat perjamnya cuma 25k snack air mineral tersedia harga sama seperti toko,Fasilitas,Netral,0.7372
Lainnya,GOR JUNI JAYA SPORT,4.5,88,frans gonti,4,2024-01-25T01:28:24.781Z,perlu ditambahkan Ventilasi udara,perlu ditambahkan ventilasi udara,perlu ditambahkan ventilasi udara,perlu ditambahkan ventilasi udara,Lainnya,Netral,0.9771
Lainnya,GOR JUNI JAYA SPORT,4.5,88,Selvi Septiana,5,2022-11-22T11:16:19.557Z,Bersih&berkarpet...,bersih berkarpet,bersih berkarpet,bersih berkarpet,Fasilitas,Positif,0.9938
Lainnya,GOR JUNI JAYA SPORT,4.5,88,Miichael Halim,2,2022-06-11T00:25:56.090Z,"Masalah lapangan sih bagus nyaman tempat parkir aman kantin oke, cuma masalah bookingnya agak ga sesuai campur aduk masuk semua konyol",masalah lapangan sih bagus nyaman tempat parkir aman kantin oke cuma masalah bookingnya agak ga sesuai campur aduk masuk semua konyol,masalah lapangan sih bagus nyaman tempat parkir aman kantin oke cuma masalah bookingnya agak tidak sesuai campur aduk masuk semua konyol,masalah lapangan bagus nyaman tempat parkir aman kantin oke cuma masalah bookingnya agak sesuai campur aduk masuk semua konyol,Fasilitas,Negatif,0.6221
