Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Lainnya,Gor Sriwijaya,4.3,128,Nick Mhmdh,5,2024-10-07T14:46:27.215Z,cocok buat main badminton bareng temen kantor,cocok buat main badminton bareng temen kantor,cocok buat main badminton bareng temen kantor,cocok buat main badminton bareng temen kantor,Lainnya,Negatif,0.9948
Lainnya,Gor Sriwijaya,4.3,128,didik sudaryono,4,2024-03-20T12:00:26.664Z,"Tempat yang bagus buat main bulutangkis,",tempat yang bagus buat main bulutangkis,tempat yang bagus buat main bulutangkis,tempat bagus buat main bulutangkis,Lainnya,Negatif,0.9962
Lainnya,Gor Sriwijaya,4.3,128,FER98,2,2024-02-14T15:02:48.343Z,Plis lah buat yang punya atau yang ngelola ni tempat minimal tiap bearap jam itu di bersihin dong Masak iya tiap² latihan kalo ga ada bungkus makanan kalo ga abu sama putung rokok Jorok bgt,plis lah buat yang punya atau yang ngelola ni tempat minimal tiap bearap jam itu di bersihin dong masak iya tiap latihan kalo ga ada bungkus makanan kalo ga abu sama putung rokok jorok bgt,plis lah buat yang punya atau yang ngelola ni tempat minimal tiap bearap jam itu di bersihin dong masak iya tiap latihan kalo tidak ada bungkus makanan kalo tidak abu sama putung rokok jorok banget,plis buat punya ngelola ni tempat minimal tiap bearap jam bersihin masak iya tiap latihan kalo bungkus makanan kalo abu sama putung rokok jorok banget,Fasilitas,Positif,0.9975
Lainnya,Gor Sriwijaya,4.3,128,Devy Evyono,4,2023-04-19T04:10:32.553Z,Lap bagus,lap bagus,lap bagus,lap bagus,Lainnya,Negatif,0.9404
Lainnya,Gor Sriwijaya,4.3,128,sugi yatno,5,2023-03-04T05:49:08.426Z,Lumayan buat nyari keri. Get,lumayan buat nyari keri get,lumayan buat nyari keri get,lumayan buat nyari keri get,Lainnya,Negatif,0.9478
Lainnya,Gor Sriwijaya,4.3,128,tari suharno,5,2022-09-20T01:29:35.943Z,Tempatnya mantaab foto dibawah teman2 Pepege sdg Latber IV.🏸👍,tempatnya mantaab foto dibawah teman2 pepege sdg latber iv,tempatnya mantaab foto dibawah teman2 pepege sdg latber iv,tempatnya mantaab foto dibawah teman2 pepege sdg latber iv,Lainnya,Negatif,0.9389
Lainnya,Gor Sriwijaya,4.3,128,Adi Nur Rohkhim,3,2022-08-25T15:57:36.539Z,"lapangan bulutangkisnya sedikit gelap. kamar mandi bersih , tempat ibadah jg bersih. lantainya kurang nyaman sih menurut q",lapangan bulutangkisnya sedikit gelap kamar mandi bersih tempat ibadah jg bersih lantainya kurang nyaman sih menurut q,lapangan bulutangkisnya sedikit gelap kamar mandi bersih tempat ibadah juga bersih lantainya kurang nyaman sih menurut q,lapangan bulutangkisnya sedikit gelap kamar mandi bersih tempat ibadah bersih lantainya kurang nyaman menurut,Fasilitas,Positif,0.9749
Lainnya,Gor Sriwijaya,4.3,128,Muchamad NazaruddinJun,5,2022-07-23T01:46:56.567Z,Tempat olahraga yg bersih dan nyaman,tempat olahraga yg bersih dan nyaman,tempat olahraga yang bersih dan nyaman,tempat olahraga bersih nyaman,Fasilitas,Negatif,0.9962
Lainnya,Gor Sriwijaya,4.3,128,ageng prima,4,2022-03-03T15:29:30.951Z,"Bintang empat bukannya tidak bagus, bagus tapi memang gak bisa disandingkan dengan yang bintang lima. Cuma ada 2 lapangan bulutangkis dan masing-masing cukup terawat. Penerangan sudah cukup, tidak terlalu terang. Kamar mandinya juga baik, ada dua kamar mandi yang tersedia. Ditambah kalau haus bisa beli air mineral di sana, atau kalo lapar bisa beli pisang juga kalo pas tersedia",bintang empat bukannya tidak bagus bagus tapi memang gak bisa disandingkan dengan yang bintang lima cuma ada lapangan bulutangkis dan masing masing cukup terawat penerangan sudah cukup tidak terlalu terang kamar mandinya juga baik ada dua kamar mandi yang tersedia ditambah kalau haus bisa beli air mineral di sana atau kalo lapar bisa beli pisang juga kalo pas tersedia,bintang empat bukannya tidak bagus bagus tapi memang tidak bisa disandingkan dengan yang bintang lima cuma ada lapangan bulutangkis dan masing masing cukup terawat penerangan sudah cukup tidak terlalu terang kamar mandinya juga baik ada dua kamar mandi yang tersedia ditambah kalau haus bisa beli air mineral di sana atau kalo lapar bisa beli pisang juga kalo pas tersedia,bintang empat bukannya bagus bagus memang disandingkan bintang lima cuma lapangan bulutangkis masing masing cukup terawat penerangan cukup terlalu terang kamar mandinya baik dua kamar mandi tersedia ditambah haus beli air mineral sana kalo lapar beli pisang kalo pas tersedia,Kesehatan,Positif,0.8818
Lainnya,Gor Sriwijaya,4.3,128,Mulyar Yar,5,2022-02-16T02:59:22.673Z,Mantab,mantab,mantab,mantab,Lainnya,Negatif,0.9971
Lainnya,Gor Sriwijaya,4.3,128,Apriyanto Teguh Pribadi,3,2022-02-10T03:40:28.215Z,"Lapangan nya bagus (dua lapangan), tapi akses masuk dan tempat parkir nya gak memenuhi syarat khususnya untuk R4",lapangan nya bagus dua lapangan tapi akses masuk dan tempat parkir nya gak memenuhi syarat khususnya untuk r4,lapangan nya bagus dua lapangan tapi akses masuk dan tempat parkir nya tidak memenuhi syarat khususnya untuk r4,lapangan bagus dua lapangan akses masuk tempat parkir memenuhi syarat khususnya r4,Fasilitas,Netral,0.5729
Lainnya,Gor Sriwijaya,4.3,128,Casey AW,3,2021-05-15T05:30:37.466Z,sebelah rumah saya,sebelah rumah saya,sebelah rumah saya,sebelah rumah,Lainnya,Netral,0.9302
