Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Wisata,Gresik Universal Science,4.7,60,Ulfi Durrotun Nikmah,5,2026-08-01T14:35:31.310Z,"Gresik Universal Science cocok buat wisata edukasi sekaligus hunting foto karena banyak spot yang estetik. Tempatnya berada dibelakang masjid. Harga tiket masuknya Rp20.000/orang, tetapi jangan lupa reservasi minimal H-1 sebelum berkunjung.  Aku kesini saat siang di kotaweekday jadi sepi, hanya aku sendiri pengunjungnya sehingga lebih leluasa untuk berfoto. Tempatnya bersih dan nyaman. Petugasnya juga ramah dan siap membantu.  Overall, pengalaman berkunjung sangat menyenangkan. Cocok untuk wisata bersama keluarga, teman, maupun anak-anak yang ingin belajar sambil bermain.  Fyi, sekedar sharing disini ya. Aku kesini naik transjatim dari bunder - rambu Islamic center. Begitupun untuk baliknya. Enjoy your time🙂",gresik universal science cocok buat wisata edukasi sekaligus hunting foto karena banyak spot yang estetik tempatnya berada dibelakang masjid harga tiket masuknya rp20 orang tetapi jangan lupa reservasi minimal h sebelum berkunjung aku kesini saat siang di kotaweekday jadi sepi hanya aku sendiri pengunjungnya sehingga lebih leluasa untuk berfoto tempatnya bersih dan nyaman petugasnya juga ramah dan siap membantu overall pengalaman berkunjung sangat menyenangkan cocok untuk wisata bersama keluarga teman maupun anak anak yang ingin belajar sambil bermain fyi sekedar sharing disini ya aku kesini naik transjatim dari bunder rambu islamic center begitupun untuk baliknya enjoy your time,gresik universal science cocok buat wisata edukasi sekaligus hunting foto karena banyak spot yang estetik tempatnya berada dibelakang masjid harga tiket masuknya rp20 orang tetapi jangan lupa reservasi minimal h sebelum berkunjung aku kesini saat siang di kotaweekday jadi sepi hanya aku sendiri pengunjungnya sehingga lebih leluasa untuk berfoto tempatnya bersih dan nyaman petugasnya juga ramah dan siap membantu overall pengalaman berkunjung sangat menyenangkan cocok untuk wisata bersama keluarga teman maupun anak anak yang ingin belajar sambil bermain fyi sekedar sharing disini ya aku kesini naik transjatim dari bunder rambu islamic center begitupun untuk baliknya enjoy your time,gresik universal science cocok buat wisata edukasi sekaligus hunting foto banyak spot estetik tempatnya berada dibelakang masjid harga tiket masuknya rp20 orang jangan lupa reservasi minimal berkunjung aku kesini siang kotaweekday jadi sepi hanya aku sendiri pengunjungnya sehingga leluasa berfoto tempatnya bersih nyaman petugasnya ramah siap membantu overall pengalaman berkunjung menyenangkan cocok wisata bersama keluarga teman maupun anak anak ingin belajar sambil bermain fyi sekedar sharing disini ya aku kesini naik transjatim bunder rambu islamic center begitupun baliknya enjoy your time,Pelayanan,Positif,0.9967
Wisata,Gresik Universal Science,4.7,60,gurit prastowo,5,2026-07-31T21:25:00.005Z,"banyak jajanan, planetariumnya lumayan menarik",banyak jajanan planetariumnya lumayan menarik,banyak jajanan planetariumnya lumayan menarik,banyak jajanan planetariumnya lumayan menarik,Lainnya,Positif,0.9955
Wisata,Gresik Universal Science,4.7,60,Muhammad Nasikh,3,2026-07-18T09:23:47.693Z,"Masih perlu penataan kembali, perawatan dan tempat sampah kurang",masih perlu penataan kembali perawatan dan tempat sampah kurang,masih perlu penataan kembali perawatan dan tempat sampah kurang,perlu penataan kembali perawatan tempat sampah kurang,Kesehatan,Netral,0.5575
Wisata,Gresik Universal Science,4.7,60,Bima Putra,5,2026-07-03T10:02:11.897Z,Tempat bagus bisa mengetahui sejarah kota gresik 👌,tempat bagus bisa mengetahui sejarah kota gresik,tempat bagus bisa mengetahui sejarah kota gresik,tempat bagus mengetahui sejarah kota gresik,Lainnya,Positif,0.9951
Wisata,Gresik Universal Science,4.7,60,Kurnia Yahya,5,2026-07-01T09:05:44.712Z,"Ramah, ticket murah. Cocok utk anak2 belajar.",ramah ticket murah cocok utk anak2 belajar,ramah ticket murah cocok untuk anak2 belajar,ramah ticket murah cocok anak2 belajar,Pelayanan,Positif,0.9967
Wisata,Gresik Universal Science,4.7,60,Titik Ernawati,5,2026-06-30T13:47:12.200Z,"Gedungnya keren, futuristik , meskipun tempatnya di Balong panggang yang jauh dari kota tapi kunjungan kesini lumayan rame apalagi ada Gresik Universal science nya. Hari Minggu tgl 28 Juni diadakan acara rekok muri 3000 krawu.",gedungnya keren futuristik meskipun tempatnya di balong panggang yang jauh dari kota tapi kunjungan kesini lumayan rame apalagi ada gresik universal science nya hari minggu tgl juni diadakan acara rekok muri krawu,gedungnya bagus futuristik meskipun tempatnya di balong panggang yang jauh dari kota tapi kunjungan kesini lumayan rame apalagi ada gresik universal science nya hari minggu tgl juni diadakan acara rekok muri krawu,gedungnya bagus futuristik meskipun tempatnya balong panggang jauh kota kunjungan kesini lumayan rame apalagi gresik universal science hari minggu tgl juni diadakan acara rekok muri krawu,Fasilitas,Positif,0.9966
Wisata,Gresik Universal Science,4.7,60,Firman Kustiyawan,5,2026-06-24T10:24:07.147Z,Wow keren,wow keren,wow bagus,wow bagus,Lainnya,Positif,0.996
Wisata,Gresik Universal Science,4.7,60,Puspita Rahmawati,5,2026-06-09T13:07:54.121Z,Mewah Bangunan nya 👍🏻,mewah bangunan nya,mewah bangunan nya,mewah bangunan,Infrastruktur,Positif,0.9798
Wisata,Gresik Universal Science,4.7,60,dhyan novillia,4,2026-06-03T01:38:12.229Z,"Kami dr sekolah pesan tiketnya jauh jauh hari, semoga ada diskon bagi anak sekolah... dan makin berkembang tempatnya",kami dr sekolah pesan tiketnya jauh jauh hari semoga ada diskon bagi anak sekolah dan makin berkembang tempatnya,kami dari sekolah pesan tiketnya jauh jauh hari semoga ada diskon bagi anak sekolah dan makin berkembang tempatnya,sekolah pesan tiketnya jauh jauh hari semoga diskon bagi anak sekolah makin berkembang tempatnya,Lainnya,Positif,0.9362
Wisata,Gresik Universal Science,4.7,60,Laili Hijriyah,5,2026-05-21T07:51:30.855Z,"Alhamdulillah kunjungan hari ini di Gresik Universal Science sangat menyenagkan buat anak², wisata edukasi digital yg memadukan budaya, sejarah, dan sains. menyajikan cara belajar yg seru dan tidak membosankan. Dilengkapi  dengan game yang membuat anak² happy fun. I 💓 Gresik Universal Science",alhamdulillah kunjungan hari ini di gresik universal science sangat menyenagkan buat anak wisata edukasi digital yg memadukan budaya sejarah dan sains menyajikan cara belajar yg seru dan tidak membosankan dilengkapi dengan game yang membuat anak happy fun i gresik universal science,alhamdulillah kunjungan hari ini di gresik universal science sangat menyenagkan buat anak wisata edukasi digital yang memadukan budaya sejarah dan sains menyajikan cara belajar yang seru dan tidak membosankan dilengkapi dengan game yang membuat anak happy fun i gresik universal science,alhamdulillah kunjungan hari gresik universal science menyenagkan buat anak wisata edukasi digital memadukan budaya sejarah sains menyajikan cara belajar seru membosankan dilengkapi game membuat anak happy fun gresik universal science,Lainnya,Positif,0.9953
Wisata,Gresik Universal Science,4.7,60,artha tika,3,2026-05-19T12:27:59.330Z,bagus dan ramah staff nya cuma minus di kamar mandi nya bau sekali,bagus dan ramah staff nya cuma minus di kamar mandi nya bau sekali,bagus dan ramah staff nya cuma minus di kamar mandi nya bau sekali,bagus ramah staff cuma minus kamar mandi bau,Pelayanan,Positif,0.7835
Wisata,Gresik Universal Science,4.7,60,Fatur Rohman menghitam,5,2026-05-11T00:07:16.217Z,"​Perjalanan hari ini: Tuban - Lamongan - Gresik! 🛵✨ ​Sengaja pilih jalur ""blusukan"" lewat perkampungan dan rimbunnya hutan di daerah Lamongan biar dapet udara segarnya. Motoran santai dinikmati banget setiap kilometernya. ​Tujuan utamanya ke Gresik Universal Science (GUS). Ternyata seru banget! Si kecil bener-bener antusias, dari awal masuk sampai pulang nggak berhenti eksplor ini itu. Tempatnya edukatif, tertata, dan sangat ramah anak. Capek di jalan langsung terbayar lunas liat senyum lebar anak dan istri. ​Definisi healing tipis-tipis yang berkualitas. Ada yang pernah lewat jalur ini juga?",perjalanan hari ini tuban lamongan gresik sengaja pilih jalur blusukan lewat perkampungan dan rimbunnya hutan di daerah lamongan biar dapet udara segarnya motoran santai dinikmati banget setiap kilometernya tujuan utamanya ke gresik universal science gus ternyata seru banget si kecil bener bener antusias dari awal masuk sampai pulang nggak berhenti eksplor ini itu tempatnya edukatif tertata dan sangat ramah anak capek di jalan langsung terbayar lunas liat senyum lebar anak dan istri definisi healing tipis tipis yang berkualitas ada yang pernah lewat jalur ini juga,perjalanan hari ini tuban lamongan gresik sengaja pilih jalur blusukan lewat perkampungan dan rimbunnya hutan di daerah lamongan biar dapet udara segarnya motoran santai dinikmati banget setiap kilometernya tujuan utamanya ke gresik universal science gus ternyata seru banget si kecil bener bener antusias dari awal masuk sampai pulang tidak berhenti eksplor ini itu tempatnya edukatif tertata dan sangat ramah anak capek di jalan langsung terbayar lunas liat senyum lebar anak dan istri definisi healing tipis tipis yang berkualitas ada yang pernah lewat jalur ini juga,perjalanan hari tuban lamongan gresik sengaja pilih jalur blusukan lewat perkampungan rimbunnya hutan daerah lamongan biar dapet udara segarnya motoran santai dinikmati banget setiap kilometernya tujuan utamanya gresik universal science gus ternyata seru banget si kecil bener bener antusias awal masuk sampai pulang berhenti eksplor tempatnya edukatif tertata ramah anak capek jalan langsung terbayar lunas liat senyum lebar anak istri definisi healing tipis tipis berkualitas pernah lewat jalur,Pelayanan,Positif,0.997
Wisata,Gresik Universal Science,4.7,60,Sholihatul Ummah,5,2026-05-10T05:31:21.818Z,"Definisi bermain sambil belajar, asikk dan cukup menjadi sumber inovasi. Pelayanannya juga ramah dan membantu. Wisata di tengah sawah, jadi kalo oake bus trans jatim perlu jalan kaki ±500 meter. Puanasss puolll untungnya tempat ber AC. Depan GUS ada masjid tetapi kurang terawat, bau pesing, dan rokok. Penghijauannya juga kurang, SDM nya anak2 genzi, tingkatkan maintenance dan promotionnya ya. Overall menarik dan patut visited lah yaa bukan wisata mall aja wkwkwkwkw  Oiya pembelian tiket harus reservasi",definisi bermain sambil belajar asikk dan cukup menjadi sumber inovasi pelayanannya juga ramah dan membantu wisata di tengah sawah jadi kalo oake bus trans jatim perlu jalan kaki meter puanasss puolll untungnya tempat ber ac depan gus ada masjid tetapi kurang terawat bau pesing dan rokok penghijauannya juga kurang sdm nya anak2 genzi tingkatkan maintenance dan promotionnya ya overall menarik dan patut visited lah yaa bukan wisata mall aja wkwkwkwkw oiya pembelian tiket harus reservasi,definisi bermain sambil belajar asikk dan cukup menjadi sumber inovasi pelayanannya juga ramah dan membantu wisata di tengah sawah jadi kalo oake bus trans jatim perlu jalan kaki meter puanasss puolll untungnya tempat ber ac depan gus ada masjid tetapi kurang terawat bau pesing dan rokok penghijauannya juga kurang sdm nya anak2 genzi tingkatkan maintenance dan promotionnya ya overall menarik dan patut visited lah yaa bukan wisata mall aja wkwkwkwkw oiya pembelian tiket harus reservasi,definisi bermain sambil belajar asikk cukup menjadi sumber inovasi pelayanannya ramah membantu wisata tengah sawah jadi kalo oake bus trans jatim perlu jalan kaki meter puanasss puolll untungnya tempat ber ac depan gus masjid kurang terawat bau pesing rokok penghijauannya kurang sdm anak2 genzi tingkatkan maintenance promotionnya ya overall menarik patut visited yaa bukan wisata mall aja wkwkwkwkw oiya pembelian tiket harus reservasi,Pelayanan,Positif,0.9927
Wisata,Gresik Universal Science,4.7,60,Lia Sugianto,5,2026-05-09T10:03:03.436Z,"Pembelajaran bermakna sekali buat anak anak yang kebetulan materi kearifan lokal budaya Gresik. Definisi belajar sambil bermain dikemas menjadi seru dan interaktif. Tiket masuk hanya 20.000 bisa melalui web atau ots. Kalau bawa rombongan better konfirmasi dulu. Admin dan kakak pendampingnya ramah, bisa membaur dengan anak anak yang super duper aktif. Wilayahnya cukup luas jadi namun masih ada bagian aula yg pengerjaannya belum selesai. Penjual makanan juga variatif dan harga terjangkau. Overall, recommended banget lah untuk family time. Love GUS",pembelajaran bermakna sekali buat anak anak yang kebetulan materi kearifan lokal budaya gresik definisi belajar sambil bermain dikemas menjadi seru dan interaktif tiket masuk hanya bisa melalui web atau ots kalau bawa rombongan better konfirmasi dulu admin dan kakak pendampingnya ramah bisa membaur dengan anak anak yang super duper aktif wilayahnya cukup luas jadi namun masih ada bagian aula yg pengerjaannya belum selesai penjual makanan juga variatif dan harga terjangkau overall recommended banget lah untuk family time love gus,pembelajaran bermakna sekali buat anak anak yang kebetulan materi kearifan lokal budaya gresik definisi belajar sambil bermain dikemas menjadi seru dan interaktif tiket masuk hanya bisa melalui web atau ots kalau bawa rombongan better konfirmasi dulu admin dan kakak pendampingnya ramah bisa membaur dengan anak anak yang super duper aktif wilayahnya cukup luas jadi namun masih ada bagian aula yang pengerjaannya belum selesai penjual makanan juga variatif dan harga terjangkau overall recommended banget lah untuk family time love gus,pembelajaran bermakna buat anak anak kebetulan materi kearifan lokal budaya gresik definisi belajar sambil bermain dikemas menjadi seru interaktif tiket masuk hanya melalui web ots bawa rombongan better konfirmasi dulu admin kakak pendampingnya ramah membaur anak anak super duper aktif wilayahnya cukup luas jadi bagian aula pengerjaannya selesai penjual makanan variatif harga terjangkau overall recommended banget family time love gus,Pelayanan,Positif,0.9977
