Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Kesehatan,Rumah Sakit,Instalasi Gawat Darurat RSUD Ibnu Sina,3.9,38,Chusnul Chotimah,5,2026-01-20T07:02:50.642Z,"Pelayanan sesuai dengan triage, cepat dan tepat",pelayanan sesuai dengan triage cepat dan tepat,pelayanan sesuai dengan triage cepat dan tepat,pelayanan sesuai triage cepat tepat,Pelayanan,Positif,0.9843
Kesehatan,Rumah Sakit,Instalasi Gawat Darurat RSUD Ibnu Sina,3.9,38,Heru cahyono,5,2025-11-05T00:44:03.228Z,Pelayanan terbaik dengan perawatan yang sat set terima kasih igd rsud ibnu sina gresik,pelayanan terbaik dengan perawatan yang sat set terima kasih igd rsud ibnu sina gresik,pelayanan terbaik dengan perawatan yang sat set terima kasih igd rsud ibnu sina gresik,pelayanan terbaik perawatan sat set terima kasih igd rsud ibnu sina gresik,Pelayanan,Positif,0.7228
Kesehatan,Rumah Sakit,Instalasi Gawat Darurat RSUD Ibnu Sina,3.9,38,Dwi Astuti,5,2025-10-27T01:21:59.747Z,"Pelayanan dokternya istimewa,terima kasih sudah diobati",pelayanan dokternya istimewa terima kasih sudah diobati,pelayanan dokternya istimewa terima kasih sudah diobati,pelayanan dokternya istimewa terima kasih diobati,Pelayanan,Positif,0.9945
Kesehatan,Rumah Sakit,Instalasi Gawat Darurat RSUD Ibnu Sina,3.9,38,Nor Hamimah,5,2025-10-27T01:03:36.292Z,Dokter ramah,dokter ramah,dokter ramah,dokter ramah,Pelayanan,Positif,0.9942
Kesehatan,Rumah Sakit,Instalasi Gawat Darurat RSUD Ibnu Sina,3.9,38,Kusnah Mujib,5,2025-10-27T01:01:35.304Z,"Pelayanannya cepat,tepat dan akurat,terima kasih",pelayanannya cepat tepat dan akurat terima kasih,pelayanannya cepat tepat dan akurat terima kasih,pelayanannya cepat tepat akurat terima kasih,Pelayanan,Positif,0.9905
Kesehatan,Rumah Sakit,Instalasi Gawat Darurat RSUD Ibnu Sina,3.9,38,Muhima Johan,5,2025-10-27T00:57:20.282Z,Pelayanannya Gercep,pelayanannya gercep,pelayanannya gercep,pelayanannya gercep,Pelayanan,Positif,0.8853
Kesehatan,Rumah Sakit,Instalasi Gawat Darurat RSUD Ibnu Sina,3.9,38,galih gaishani,5,2025-10-26T23:00:17.368Z,Pelayanan bagus,pelayanan bagus,pelayanan bagus,pelayanan bagus,Pelayanan,Positif,0.9969
Kesehatan,Rumah Sakit,Instalasi Gawat Darurat RSUD Ibnu Sina,3.9,38,Yona Maheswari,1,2025-10-23T14:11:28.447Z,dr ambar bintang 1. Dari pasien yona.,dr ambar bintang dari pasien yona,dari ambar bintang dari pasien yona,ambar bintang pasien yona,Kesehatan,Negatif,0.5424
Kesehatan,Rumah Sakit,Instalasi Gawat Darurat RSUD Ibnu Sina,3.9,38,moch fahrur rohaji,5,2025-10-02T00:39:11.765Z,Menurutku RSUD Ibnu Sina okey banget.. terutama IGDnya Joooosss👍,menurutku rsud ibnu sina okey banget terutama igdnya joooosss,menurutku rsud ibnu sina okey banget terutama igdnya joooosss,menurutku rsud ibnu sina okey banget terutama igdnya joooosss,Kesehatan,Positif,0.9917
Kesehatan,Rumah Sakit,Instalasi Gawat Darurat RSUD Ibnu Sina,3.9,38,Nurul Fauziah,1,2025-09-20T21:58:25.666Z,Pelayanannya Wow sekalee.. kalo kek gitu jangan kerja sekalian lah.,pelayanannya wow sekalee kalo kek gitu jangan kerja sekalian lah,pelayanannya wow sekalee kalo kek gitu jangan kerja sekalian lah,pelayanannya wow sekalee kalo kek gitu jangan kerja sekalian,Pelayanan,Negatif,0.914
Kesehatan,Rumah Sakit,Instalasi Gawat Darurat RSUD Ibnu Sina,3.9,38,Ajeng Roihana,1,2025-04-24T12:18:50.601Z,pelayanannya jelek,pelayanannya jelek,pelayanannya jelek,pelayanannya jelek,Pelayanan,Negatif,0.9981
